snapshot,Bramford,Bramley,Daines,Deeside,Denny/Bonnybridge,Eccles,Errochty,Feckenham,Harker,Keadby,Kemsley,London,Lovedean,Melksham,N. Ireland,Neilston,Pelham,Penwortham,Peterhead,Ratcliffe,S.W.Penisula,Sellindge,Stella West,Strathaven,Sundon/East Claydon,Th. Marsh/Stocksbridge,Thornton/Drax/Eggborough,Torness,Walpole
2050-02-27 00:00:00,9260.901566,41.541823,357.109887,2661.221532,917.395175,671.008761,0.0,224.680569,825.4416839999999,2761.930306,345.2133,268.40759,139.505798,566.879472,0.0,6037.646153045557,98.13022,5480.409989,3978.4904529544615,117.112653,1120.5489629999997,1452.4100270000001,12224.138168000001,375.681156,436.216529,316.22120099999995,467.14623400000005,4846.857489000001,11068.840692
2050-02-27 01:00:00,9967.348418,41.434733,410.566546,4316.177127,927.888882,654.909652,0.0,227.82253599999999,542.7902190489971,2812.978548,332.852123,267.804529,165.74936,609.4160489999999,0.0,6135.130139045557,97.454262,5670.161209999999,0.0,123.595899,1198.3761599999996,1505.8368150000003,12464.677538999998,397.826999,423.63867,340.07773899999995,513.407662,4902.519650000001,11212.251977
2050-02-27 02:00:00,11302.402853,41.781991,446.79273800000004,5027.811746,0.0,656.075593,0.0,245.54561199999998,0.0,2929.06507,340.052664,268.559911,206.56571,1872.505154,0.0,6089.515674045557,103.80244499999999,5781.814309,0.0,142.16539699999998,1424.1241829999997,1600.1837250000003,12392.737226000001,0.0,506.831603,417.221133,634.56254,4956.301695,11205.089464
2050-02-27 03:00:00,11497.896901,42.039534,398.020661,2746.286414,298.6313507264381,652.420106,0.0,222.30634099999997,758.52458,2988.6706350000004,346.545116,270.785581,267.816328,3819.687088,0.0,6044.987821045557,106.937709,5729.118955999999,0.0,128.41142,1635.9052799999995,1674.3318290000004,12719.825144999999,389.157187,505.814661,382.629062,652.393194,1162.3200000000006,11513.783372
2050-02-27 04:00:00,10732.811904,42.000063,405.334377,2369.887336,805.1517368030125,595.999547,0.0,207.762465,687.4914610000001,2849.0095260000003,349.76219,270.990784,320.220994,1034.72838,0.0,5946.451065045558,99.268107,5890.6072540000005,0.0,123.512652,1379.8794099999996,1759.8901190000006,12513.713764,342.789065,448.04757,347.874728,615.270267,4995.964971,11222.631712
2050-02-27 05:00:00,9247.753325,41.847598,409.17701,2341.4167829999997,891.102208,574.809545,0.0,214.242402,680.4706,2705.444345,314.611065,267.34006899999997,277.882322,670.221157,0.0,6031.387551045557,90.80399,6025.253331,230.3344409544543,127.293125,1358.4909849999997,1749.2316490000003,12276.436012,361.60546899999997,451.136918,319.41644199999996,601.795799,4983.075349000001,10437.826282
2050-02-27 06:00:00,8461.809721,41.690834,414.447853,2624.794199,971.743552,507.620557,0.0,224.225075,727.16602,2679.400701,292.720259,266.959973,238.836625,694.138766,0.0,6093.859041045557,100.12337199999999,6219.357591,1926.2690065597037,125.332021,1410.0353869999997,1726.8488650000002,11972.392574,406.265174,457.750841,343.70669899999996,638.067768,4835.572305,10510.929646
2050-02-27 07:00:00,8151.849488,41.593662,423.28708500000005,4687.7878,1019.8432170000001,457.803895,238.915354,234.312576,780.381363,2811.7225460000004,310.965218,267.313098,244.691038,711.334941,541.9109412761742,6125.894657045557,95.127759,6361.812357,7547.845663553366,121.985738,1435.9688479999998,1840.326317,12425.536662,438.654849,437.45692599999995,356.43995900000004,638.465443,4729.492783000001,10623.390785000001
2050-02-27 08:00:00,7485.517245,1174.81199,1219.6693380000002,6184.280113999999,928.7514010000001,432.040551,318.863265,237.051534,866.746868,2972.661825,342.31496100000004,291.495263,313.185336380905,4948.810526,785.9756669999999,6353.333003045557,103.51806,6512.294716,7774.253845110912,1847.998177,2314.710662,1906.907107,12892.307502,447.212973,400.809373,423.112074,1283.194799,4510.4855560000005,10996.393471000001
2050-02-27 09:00:00,7340.520095999999,1200.884426,1311.6603220000002,5358.749269,906.24082,358.45463,336.950388,389.002217,934.970895,2940.4640320000003,397.270878,483.80169847571085,1382.402323,7699.207553,905.226887,6589.778195045557,195.520831,6558.320351,8270.76798089091,1948.919344,2664.732741,1967.8989219999999,12673.731819999999,456.66859,580.862605,525.5067019999999,1382.46305,4716.35696,10773.556225999999
