snapshot,Bramford,Bramley,Daines,Deeside,Denny/Bonnybridge,Errochty,Feckenham,Harker,Keadby,Kemsley,London,Lovedean,Melksham,Neilston,Pelham,Penwortham,Ratcliffe,S.W.Penisula,Sellindge,Stella West,Strathaven,Sundon/East Claydon,Th. Marsh/Stocksbridge,Thornton/Drax/Eggborough,Torness,Walpole
2050-02-27 00:00:00,12.1824,12.60864,30.25218,31.109519999999996,7.437564,0.0,35.417472000000004,4.0127999999999995,16.737768,29.474772,77.23644,18.144852,40.57674000000001,10.7328,10.926599999999999,16.8492,17.58252,30.48174,4.5948,37.891644,5.55,32.705951999999996,14.605944,39.350928,13.995348,15.807084000000001
2050-02-27 01:00:00,12.1824,12.60864,30.25218,31.109519999999996,7.437564,0.0,35.417472000000004,0.0,16.737768,29.474772,77.23644,18.144852,40.57674000000001,10.7328,10.926599999999999,16.8492,17.58252,30.48174,4.5948,37.891644,5.55,32.705951999999996,14.605944,39.350928,13.995348,15.807084000000001
2050-02-27 02:00:00,12.1824,12.60864,30.25218,31.109519999999996,0.0,0.0,35.417472000000004,0.0,16.737768,29.474772,77.23644,18.144852,40.57674000000001,10.7328,10.926599999999999,16.8492,17.58252,30.48174,4.5948,37.891644,0.0,32.705951999999996,14.605944,39.350928,13.995348,15.807084000000001
2050-02-27 03:00:00,12.1824,12.60864,30.25218,31.109519999999996,0.0,0.0,35.417472000000004,4.0127999999999995,16.737768,29.474772,77.23644,18.144852,40.57674000000001,10.7328,10.926599999999999,16.8492,17.58252,30.48174,4.5948,37.891644,5.55,32.705951999999996,14.605944,39.350928,0.0,15.807084000000001
2050-02-27 04:00:00,12.1824,12.60864,30.25218,31.109519999999996,0.0,0.0,35.417472000000004,4.0127999999999995,16.737768,29.474772,77.23644,18.144852,40.57674000000001,10.7328,10.926599999999999,16.8492,17.58252,30.48174,4.5948,37.891644,5.55,32.705951999999996,14.605944,39.350928,13.995348,15.807084000000001
2050-02-27 05:00:00,12.1824,12.60864,30.25218,31.109519999999996,7.437564,0.0,35.417472000000004,4.0127999999999995,16.737768,29.474772,77.23644,18.144852,40.57674000000001,10.7328,10.926599999999999,16.8492,17.58252,30.48174,4.5948,37.891644,5.55,32.705951999999996,14.605944,39.350928,13.995348,15.807084000000001
2050-02-27 06:00:00,12.1824,12.60864,30.25218,31.109519999999996,7.437564,0.0,35.417472000000004,4.0127999999999995,16.737768,29.474772,77.23644,18.144852,40.57674000000001,10.7328,10.926599999999999,16.8492,17.58252,30.48174,4.5948,37.891644,5.55,32.705951999999996,14.605944,39.350928,13.995348,15.807084000000001
2050-02-27 07:00:00,12.1824,12.60864,30.25218,31.109519999999996,7.437564,0.6,35.417472000000004,4.0127999999999995,16.737768,29.474772,77.23644,18.144852,40.57674000000001,10.7328,10.926599999999999,16.8492,17.58252,30.48174,4.5948,37.891644,5.55,32.705951999999996,14.605944,39.350928,13.995348,15.807084000000001
2050-02-27 08:00:00,14.0816556,46.58214,54.1632936,83.21040839999999,7.437564,0.7618848,35.5677936,6.8862552,19.171821599999998,31.440516,78.1557144,19.85410888142715,156.0047208,10.7328,10.926599999999999,17.109372,70.5762168,51.8651196,5.057327999999999,52.3716612,5.55,33.2523132,17.366658,114.56954400000001,14.18325,18.495528
2050-02-27 09:00:00,14.0816556,46.58214,54.1632936,83.21040839999999,7.437564,0.7618848,35.5677936,6.8862552,19.171821599999998,31.440516,81.74243677427134,49.025591999999996,156.0047208,10.7328,10.926599999999999,17.109372,70.5762168,51.8651196,5.057327999999999,52.3716612,5.55,33.2523132,17.366658,114.56954400000001,14.18325,18.495528
