snapshot,Bramford,Bramley,Daines,Deeside,Denny/Bonnybridge,Eccles,Errochty,Feckenham,Harker,Keadby,Kemsley,London,Lovedean,Melksham,N. Ireland,Neilston,Pelham,Penwortham,Peterhead,Ratcliffe,S.W.Penisula,Sellindge,Stella West,Strathaven,Sundon/East Claydon,Th. Marsh/Stocksbridge,Thornton/Drax/Eggborough,Torness,Walpole,Average
2050-02-27 00:00:00,1.315465876964489,303.51677151963213,84.71392448453828,11.689939986552009,8.107263045066702,0.0,0.0,157.634779712526,4.861397331613313,6.060170295984289,85.38133380144971,287.7580324759072,130.06521779116306,71.57913102205262,0.0,1.7776464085405328,111.34796192243327,3.0744415169337436,0.0,150.1333933575905,27.202506098789726,3.1635694566848374,3.0997395054967276,14.773165785296934,74.97641612750533,46.18900931946053,84.23685162363954,2.887509697110469,1.4280704221738925,57.82667960638297
2050-02-27 01:00:00,1.2222307768433023,304.3012247719805,73.68398690720407,7.207656007765132,8.015576158180545,0.0,0.0,155.46079251790965,0.0,5.950193972115567,88.55215263265724,288.4060261729181,109.47162631578185,66.58298557542585,0.0,1.7494005435506055,112.12028879763102,2.971555724074378,0.0,142.25811812736603,25.43586981903913,3.0513266472370044,3.039921721315538,13.950787688997448,77.2024706809697,42.9488388241725,76.64655382568093,2.8547255287390834,1.4098045631176954,55.67221083795423
2050-02-27 02:00:00,1.0778592975710843,301.7721199547432,67.70965019579167,6.187487036432886,0.0,0.0,0.0,144.23988973584267,0.0,5.714372197269076,86.67708011250869,287.5948227432947,87.84058109160519,21.669761449425632,0.0,1.7625047006192671,105.26341648310884,2.9141717633118125,0.0,123.67650898903341,21.403849723124885,2.871420280193138,3.0575685830329085,0.0,64.53021438759808,35.00768020780002,62.012686724306164,2.8237482020351465,1.410705737851126,49.55924481367241
2050-02-27 03:00:00,1.059532895875981,299.9234006732805,76.00655685560001,11.327849797970853,0.0,0.0,0.0,159.318316520715,5.29027022433472,5.600405680032386,85.05320271199551,285.23099241388337,67.75110440615107,10.623053424317568,0.0,1.775487448069602,102.17724039702402,2.9409757642323253,0.0,136.9233359462889,18.63294921329431,2.7442588860920467,2.97894378012694,14.261589366458237,64.65995259081666,38.172594427759385,60.31780889486103,0.0,1.3728835682665996,50.142851927153345
2050-02-27 04:00:00,1.1350613528836515,300.20526397781833,74.63512032684066,13.12700377246963,0.0,0.0,0.0,170.47098473730566,5.8368724960788985,5.874942799331307,84.27089274572532,285.01500626678137,56.663530311819585,39.21487105630562,0.0,1.804908487869272,110.07160638209811,2.860350261606492,0.0,142.3539994914853,22.090147718053135,2.610844819454321,3.028009487400003,16.190714835083785,72.99660614162018,41.98621752138315,63.95714226834238,2.8013302897915775,1.4085006445589756,52.43482511007263
2050-02-27 05:00:00,1.3173361758111124,301.2990136255849,73.93421248178142,13.286622110968272,8.346476906047572,0.0,0.0,165.31495011897786,5.897095333729332,6.186698325889975,93.68638067450044,288.90708485603034,65.29689211392152,60.54231439309817,0.0,1.7794910224496252,120.33171670099517,2.796430137353838,0.0,138.1262342329957,22.437940580076802,2.626753296298265,3.086534557990738,15.348219194107378,72.49673146900383,45.7269635481069,65.38917032220759,2.8085764351944977,1.5144038205789332,54.43049111840346
2050-02-27 06:00:00,1.4396920282627566,302.4319446332016,72.99393586193823,11.852174929315286,7.653834167144543,0.0,0.0,157.95500124149808,5.518409674863519,6.246832731570596,100.69262749593291,289.3184290215672,75.97181546171991,58.45623668855861,0.0,1.7612484843690301,109.13136245551138,2.7091544027605665,0.0,140.28753274472453,21.61771277588511,2.660800312712948,3.1649182705792556,13.661028203219802,71.44924502716533,42.4953719042875,61.6720197657751,2.8942485226678873,1.5038711638618458,53.984118895485985
2050-02-27 07:00:00,1.494433872697626,303.1384925905297,71.46965043830713,6.636290149481595,7.292850387217901,0.0,2.511349689145554,151.1548061338372,5.142101272861893,5.952851935483963,94.7847871526262,288.93623461728015,74.15413391642075,57.04308569878055,0.0,1.752037963574172,114.86237156075545,2.6484905644003423,0.0,144.13586611247948,21.22729893650172,2.4967311272764894,3.049497581531501,12.652316536913514,74.76382257575686,40.9772912133008,61.633606691537096,2.959164680471825,1.487950911334191,53.59853497622426
2050-02-27 08:00:00,1.8811867155079942,39.650718920565325,44.408178440245415,13.455148677956537,8.0081321998458,0.0,2.3893777792183117,150.04245279425191,7.94494385181903,6.449378613727782,91.84674811802923,268.1200153842637,63.39412027030541,31.52368028244046,0.0,1.6893180311586193,105.55259632956798,2.627241663059894,0.0,38.19063118047654,22.406739836410708,2.6521103106885633,4.062241083830456,12.41019454952171,82.96291314524724,41.04505417635517,89.28460751967246,3.1445062452606596,1.6819630953345681,39.20083445568143
2050-02-27 09:00:00,1.9183457596789886,38.78986103197244,41.29368914461987,15.52795330085073,8.207050307003387,0.0,2.261118630912513,91.4333956096708,7.365208090247557,6.519998677542061,79.14125535272686,168.95855684635467,35.46405498914949,20.26243866347163,0.0,1.6287042875083901,55.88458244635836,2.6088039443500493,0.0,36.21300030567094,19.463535236384143,2.569912480494768,4.132299936894198,12.153233486016632,57.24643472271726,33.04745293238906,82.87349452124597,3.0072469323865594,1.7167523528920228,28.609944137569286
