generator,carrier,empirical_mc,support_type_inferred,n_bmus,median_bid,mean_bid,std_bid
gym ospw 26,wind_offshore,-179.31,ROC,1,-179.31,-176.37707247511463,5.98355171020072
gym ospw 28,wind_offshore,-179.31,ROC,1,-179.31,-176.37180932108447,5.987370877978461
hadyard hill wind farm,wind_onshore,-77.95,ROC,1,-77.95,-45.3386195615703,64.32710508571095
halsary windfarm,wind_onshore,-13.47,CfD_or_merchant,1,-13.47,-15.52191477463371,15.631045038219186
harburnheadwf,wind_onshore,0.0,CfD_or_merchant,1,0.0,0.0,0.0
hare hill extension windfarm,wind_onshore,-42.13,ROC,1,-42.13,-44.129251481937146,44.18178803782417
harestanes,wind_onshore,-44.225,ROC,1,-44.225,-46.49945419975394,46.55979788802579
hill of glaschyle,wind_onshore,-200.0,ROC,1,-200.0,-200.0,0.0
hill of towie,wind_onshore,-34.365,ROC,1,-34.365,-48.71303154009618,49.30974992927292
hornsea_1a,wind_offshore,0.0,CfD_or_merchant,1,0.0,-23.256353574216572,127.32057219118839
hornsea_1b,wind_offshore,0.0,CfD_or_merchant,1,0.0,-23.256353574216572,127.32057219118839
hornsea_1c,wind_offshore,0.0,CfD_or_merchant,1,0.0,-23.256353574216572,127.32057219118839
hornsea_wf_2a,wind_offshore,0.0,CfD_or_merchant,1,0.0,4.725958459145393,25.999979315868682
hornsea_wf_2b,wind_offshore,0.0,CfD_or_merchant,1,0.0,4.94708107849241,26.58074026609257
hornsea_wf_2c,wind_offshore,0.0,CfD_or_merchant,1,0.0,6.610841780520053,24.847760123110525
humber offshore wind farm bmu1,wind_offshore,-167.72,ROC,1,-167.72,-168.0492040999216,5.381237591440782
humber offshore wind farm bmu2,wind_offshore,-167.72,ROC,1,-167.72,-168.05131961668548,5.398435803988675
hywind generator bmu1,wind_onshore,0.0,CfD_or_merchant,1,0.0,-110.93585728665697,138.95645151857468
keith hill windfarm,wind_onshore,0.0,CfD_or_merchant,1,0.0,0.0,0.0
kennoxhead wind farm,wind_onshore,40.925,CfD_or_merchant,1,40.925,39.99643803825075,60.22179995783416
kilbw,wind_onshore,-150.0,ROC,1,-150.0,-144.1268873727771,29.340508256393885
kilgallioch windfarm,wind_onshore,-42.13,ROC,1,-42.13,-44.498491499832234,44.56244097105391
kincardine offshore windfarm,wind_onshore,0.0,CfD_or_merchant,1,0.0,-166.4787439883682,170.17147685422438
kype muir wind farm,wind_onshore,39.5,CfD_or_merchant,1,39.5,27.7959705290236,74.37569766488043
larks green solar,solar_pv,0.0,CfD_or_merchant,1,0.0,0.0,0.0
lincs wind farm offshore bmu1,wind_offshore,-26.709999999999994,ROC,1,-26.709999999999994,-34.3623109831115,134.50665111788024
lincs wind farm offshore bmu2,wind_offshore,-26.709999999999994,ROC,1,-26.709999999999994,-34.3623109831115,134.50665111788024
lochluichart windfarm,wind_onshore,-84.0,ROC,1,-84.0,-84.38055027401856,4.541656653422863
london array bmu1,wind_offshore,-176.94,ROC,1,-176.94,-175.44459133741577,10.179942078852033
london array bmu2,wind_offshore,-176.94,ROC,1,-176.94,-175.43969890306693,10.18223036386849
london array bmu3,wind_offshore,-176.94,ROC,1,-176.94,-175.43189196761267,10.185875885457994
london array bmu4,wind_offshore,-176.94,ROC,1,-176.94,-175.43824787281685,10.182908487612027
mark hill,wind_onshore,-45.475,ROC,1,-45.475,-47.61760737054021,47.67254016567041
