name,bus,p_nom,carrier,marginal_cost,max_hours,efficiency_store,efficiency_dispatch
Dinorwig,bus,1728,Pumped Storage Hydroelectric,0,5.266,0.865,0.865
Ffestiniog,bus,360,Pumped Storage Hydroelectric,0,3.889,0.85,0.85
Cruachan,bus,440,Pumped Storage Hydroelectric,0,16.136,0.865,0.865
Foyers,bus,300,Pumped Storage Hydroelectric,0,21,0.865,0.865
