site_code,site_name,lat,lon,source
ENEI,ENERGY ISLES WIND FARM,60.715,-1.072,manual_correction
ERRO,ERROCHTY,56.760318,-4.156282,nominatim_geocode
ESST,ESSENSIDE,55.477276,-2.869619,nominatim_geocode
EWEH,EWE HILL,55.386403,-4.305172,nominatim_geocode
FAAR,FARR WINDFARM,57.333905,-4.103011,repd_match
FARI,FARIGAIG,57.306317,-4.372709,nominatim_geocode
FENW,FENWICK TEE,53.640284,-1.10336,nominatim_geocode
FERO,FERNOCH WIND,56.041846,-5.436207,nominatim_geocode
FFES,FFESTINIOG,52.9797,-3.9707,manual_correction
FINL,FINLARIG,57.308014,-3.670865,nominatim_geocode
FLIB,FLINTSHIRE BRIDGE,53.229497,-3.0658,nominatim_geocode
FOGG,FOGGIETON,57.121982,-2.221524,nominatim_geocode
FOUX,FOUR CROSSES,52.759,-3.084,nominatim_geocode
FOYE,FOYERS,57.253812,-4.494599,nominatim_geocode
FYRI,FYRISH,57.695604,-4.337647,nominatim_geocode
GALO,GALLOPER ONSHORE,52.2076,1.621,manual_correction
GANW,GALLOPER NORTH OFFSHORE,51.9333,1.8833,manual_correction
GARB,GARELOCH BOUNDARY,56.016547,-4.778999,nominatim_geocode
GARE,GARELOCH,56.016547,-4.778999,nominatim_geocode
GART,GARTH CABLE COMPOUND,54.006489,-1.484344,nominatim_geocode
GGON,GREATER GABBARD ONSHORE,52.2076,1.621,manual_correction
GLAG,GLENAGNES,56.461731,-2.997617,nominatim_geocode
GLAP,GLEN APP,55.067899,-3.827343,nominatim_geocode
GLDO,GLENDOE SUBSTATION,57.095774,-4.543823,nominatim_geocode
GLEN,GLENMORISTON,57.472778,-4.227299,nominatim_geocode
GLFA,GLENFARCLAS,57.427075,-3.314355,nominatim_geocode
GLGL,GLENGLASS,55.397589,-3.79723,nominatim_geocode
GLRB,GLENROTHES BOUNDARY,56.196191,-3.171632,nominatim_geocode
GORW,GORDONBUSH WINDFARM,58.088204,-3.958866,repd_match
GRAI,GRAIN,51.450355,0.715552,exact_name_match (power_stations)
GREG,GREATER GABBARD OFFSHORE,51.9333,1.8833,manual_correction
GREM,GREMISTA,60.1640,-1.1680,manual_correction
GRIF,GRIFFIN WINDFARM (SSE),56.581212,-3.733749,repd_match
GRMO,GRANGEMOUTH,56.018903,-3.72303,nominatim_geocode
GRNA,GRETNA,54.995379,-3.066982,nominatim_geocode
GRST,GREYSTONES,53.364371,-1.51656,nominatim_geocode
GRTO,GRANGETOWN,54.88611,-1.369161,nominatim_geocode
GWYN,GWYNEDD,53.146946,-4.265119,nominatim_geocode
GWYO,GWYNT-Y-MOR ONSHORE,53.291474,-3.84231,nominatim_geocode
HADH,HADYARD HILL,55.275715,-4.722607,nominatim_geocode
HAMB,HAMBLETON,54.250458,-1.436878,nominatim_geocode
HARE,HARESTANES,55.944784,-4.129393,nominatim_geocode
HARR,HARTING RIG WIND FARM,55.602091,-4.073358,nominatim_geocode
HATL,HARTLEPOOL,54.638746,-1.188342,exact_name_match (power_stations)
HEDO,HEDON (GIS),53.740389,-0.193956,nominatim_geocode
HEND,HENDON,51.589717,-0.221603,nominatim_geocode
HIBU,HIGHBURY,51.5458,-0.102713,nominatim_geocode
HIGM,HIGH MARNHAM,53.222582,-0.792358,nominatim_geocode
HINP,HINKLEY POINT,51.20921,-3.127465,name_in_gen (power_stations)
HOWA,HORNSEA ONE ONSHORE,53.91346,-0.168941,nominatim_geocode
HOWW,HORNSEA OFFSHORE,53.9,1.79,manual_correction
HUCS,HUNTERSTON CONVERTER STATION,55.721884,-4.892002,first_word_match (power_stations)
HUMO,HUMBER GATEWAY ONSHORE,53.601682,-0.145578,first_word_match (power_stations)
HUMR,HUMBER REFINERY,53.601682,-0.145578,first_word_match (power_stations)
HUMW,HUMBER GATEWAY OFFSHORE,53.618,0.293,manual_correction
HUNE,HUNTERSTON EAST,55.721884,-4.892002,first_word_match (power_stations)
HUNF,HUNTERSTON FARM,55.721884,-4.892002,first_word_match (power_stations)
HUNN,HUNTERSTON NORTH,55.721884,-4.892002,first_word_match (power_stations)
IMPP,IMPERIAL PARK,51.548,-3.031,manual_correction
INCE,INCE,53.282882,-2.825071,nominatim_geocode
INGA,INVERGARRY,57.069721,-4.804962,nominatim_geocode
INRU,INVERUGIE,57.5248,-1.831531,nominatim_geocode
INVB,INVERARNAN BORDER NODE,56.328175,-4.722875,nominatim_geocode
INVE,INVERARAY,56.230349,-5.073095,nominatim_geocode
INVR,INVERARNAN,56.328175,-4.722875,nominatim_geocode
INWI,INNERWICK,55.958136,-2.449635,nominatim_geocode
JUNA,JUNCTION A,55.971006,-3.172383,nominatim_geocode
JUNB,JUNCTION B,55.997137,-5.207152,nominatim_geocode
JUNV,JUNCTION V,55.970596,-3.171996,nominatim_geocode
KEAP,KEADBY POWER,53.594605,-0.749636,gen_in_name (power_stations)
KENG,KENSAL GREEN,51.530606,-0.224445,nominatim_geocode
KERG,KERGORD,60.294,-1.272,nominatim_geocode
KILB,KILBOWIE,55.908468,-4.403074,nominatim_geocode
KILC,KILLIN CASCADE GROUP,56.466702,-4.31961,nominatim_geocode
KILL,KILLINGHOLME,53.655965,-0.255435,exact_name_match (power_stations)
KILO,KINLOCHLEVEN,56.714298,-4.964776,nominatim_geocode
KINB,KINCARDINE BORDER NODE,56.068395,-3.718464,nominatim_geocode
KINC,KINCARDINE,56.068395,-3.718464,nominatim_geocode
KIOR,KILMORACK,57.465821,-4.51896,nominatim_geocode
KNOC,KNOCKNAGAEL,57.447927,-4.215718,nominatim_geocode
KYLL,GLEN KYLLACHY,57.351938,-6.052651,nominatim_geocode
KYPE,KYPE MUIR,55.660554,-4.016693,nominatim_geocode
LAGA,LANGAGE,50.388404,-4.011612,exact_name_match (power_stations)
LAGG,LAGGAN,57.019278,-4.282936,nominatim_geocode
LAMB,LAMBHILL,55.895932,-4.265246,nominatim_geocode
LEIB,LEIGHTON BUZZARD,51.916579,-0.662055,nominatim_geocode
LEIS,LEISTON,52.20648,1.576433,nominatim_geocode
LEVT,LEVEN TEE,56.195435,-2.99692,nominatim_geocode
LEWI,LEWIS SUBSTATION,58.216,-6.379,manual_correction
LHOR,LITTLE HORSTED,50.940194,0.096394,nominatim_geocode
LINO,LINCS ONSHORE,53.094762,-0.760624,nominatim_geocode
LINS,LINCS OFFSHORE,53.191,0.491,manual_correction
LITB,LITTLE BARFORD,52.204531,-0.26736,exact_name_match (power_stations)
LOAN,LONGANNET,56.048176,-3.682464,exact_name_match (power_stations)
LOAW,LONDON ARRAY OFFSHORE WIND FARM - PLATFORM 1,51.653,1.47,manual_correction
LOCB,LOCH BUIDHE,57.95468,-4.263497,nominatim_geocode
LOCH,LOCHAY,56.498029,-4.458282,nominatim_geocode
LOCL,LOCH LUNDIE,57.091797,-4.81341,nominatim_geocode
LOFI,LONGFIELD,51.39621,0.300103,nominatim_geocode
LONO,LONDON ARRAY ONSHORE,51.3372,0.9483,manual_correction
LOYW,LONDON ARRAY OFFSHORE WIND FARM - PLATFORM 2,51.599,1.522,manual_correction
LUIC,LUICHART,57.605603,-4.719667,nominatim_geocode
LUND,LUNDAVRA,56.748146,-5.129446,nominatim_geocode
MAHI,MARK HILL,54.876039,-3.803666,nominatim_geocode
MARH,MARKET HARBOROUGH,52.477711,-0.920857,nominatim_geocode
MARV,MARSTON VALE,52.107756,-0.530555,nominatim_geocode
MAWO,MARCHWOOD,50.8981,-1.437131,exact_name_match (power_stations)
MAYT,MAYBOLE TEE,55.355074,-4.680139,nominatim_geocode
MEAD,MEADOWHEAD,55.666495,-4.365329,nominatim_geocode
MEDB,MEDBURN TEE B,55.027806,-1.794701,nominatim_geocode
MEDW,MEDWAY,51.438105,0.687387,exact_name_match (power_stations)
MELG,MELGARVE SUBSTATION,57.028893,-4.532935,nominatim_geocode
MIDL,MIDDLETON,53.548817,-2.199436,nominatim_geocode
MIDM,MIDDLE MUIR,55.511681,-3.808151,nominatim_geocode
MILP,MILTON PARK,51.623416,-1.291513,nominatim_geocode
MILW,MILLENIUM WIND,57.129,-4.849,manual_correction
MINN,MINNYGAP,55.253363,-3.506133,nominatim_geocode
MOFF,MOFFAT,55.333241,-3.444357,nominatim_geocode
MONF,MONK FRYSTON,53.764737,-1.214338,nominatim_geocode
MORF,MORAY FIRTH ONSHORE,57.675304,-2.962875,nominatim_geocode
MORO,MORAY EAST ONSHORE,57.4909,-2.285,manual_correction
MOSH,MOSSMORRAN SHELL,56.101471,-3.336212,nominatim_geocode
MOSM,MOSSMORRAN,56.101471,-3.336212,nominatim_geocode
MOSS,MOSSFORD,57.547038,-2.706662,nominatim_geocode
MOWE,MORAY EAST OFFSHORE,58.188,-2.72,manual_correction
MSHL,MOSSY HILL,60.15,-1.224,nominatim_geocode
MUAI,MUAITHEBHEAL WIND FARM,58.015,-6.529,nominatim_geocode
NANT,NANT (LOCH NANT),56.401846,-5.461748,nominatim_geocode
NECH,NECHELLS,52.50231,-1.860504,nominatim_geocode
NECT,NECTON,52.651398,0.776995,nominatim_geocode
NECU,NEW CUMNOCK,55.402236,-4.183355,nominatim_geocode
NEDE,NEW DEER,57.512506,-2.192226,nominatim_geocode
NEIL,NEILSTON,55.782815,-4.427202,nominatim_geocode
NETH,NETHERTON ENERGY,55.897709,-4.329034,nominatim_geocode
NNGO,NEART NA GAOITHE ONSHORE,55.917698,-2.539176,nominatim_geocode
NNGW,NEART NA GAOITHE OFFSHORE,56.267,-2.25,manual_correction
NORW,NORWICH,52.628558,1.292395,nominatim_geocode
NOTR,NORWICH TROWSE,52.605455,1.318359,nominatim_geocode
OLDS,OLDBURY ON SEVERN,51.64842,-2.570838,gen_in_name (power_stations)
ORMO,ORMONDE ONSHORE,54.68,-3.508,manual_correction
ORMW,ORMONDE OFFSHORE,54.088,-3.437,manual_correction
PAFB,PATFORD BRIDGE,51.437152,-2.005647,nominatim_geocode
PEHE,PETERHEAD,57.477406,-1.789325,exact_name_match (power_stations)
PEWO,PENWORTHAM,53.741433,-2.729237,nominatim_geocode
POGB,POGBIE,55.835918,-2.85537,nominatim_geocode
PUDM,PUDDING MILL LANE,51.53383,-0.013536,nominatim_geocode
RAMW,RAMPION OFFSHORE,50.66,-0.2,manual_correction
RHIG,RHIGOS,51.747,-3.548,manual_correction
ROCK,ROCKSAVAGE,53.315364,-2.724212,exact_name_match (power_stations)
ROTI,ROTHIENORMAN,57.411365,-2.464431,nominatim_geocode
ROWD,ROWDOWN,51.3519,-0.0038,manual_correction
RYHA,RYHALL,52.685119,-0.470191,nominatim_geocode
SACO,SALTCOATS,55.633243,-4.788755,nominatim_geocode
SAEN,SALTEND NORTH,53.735487,-0.240645,gen_in_name (power_stations)
SAES,SALTEND SOUTH,53.735487,-0.240645,gen_in_name (power_stations)
SAFO,SANDFORD,50.823035,-3.707098,nominatim_geocode
SAKN,SANDY KNOWE,56.155165,-3.731124,nominatim_geocode
SFEE,ST FERGUS EAST,57.5741,-1.8488,manual_correction
SFER,ST FERGUS,57.559903,-1.842416,nominatim_geocode
SGRW,SEAGREEN ONE OFFSHORE,56.611,-1.821,manual_correction
SGRX,SEAGREEN ONE 275KV ONSHORE,56.791708,-2.34183,nominatim_geocode
SHBA,SOUTH HUMBER BANK,53.601682,-0.145578,exact_name_match (power_stations)
SHEE,SHEERNESS,51.439824,0.76204,nominatim_geocode
SHRE,SHREWSBURY,52.707755,-2.754066,nominatim_geocode
SHUR,SHURTON,51.192297,-3.142032,nominatim_geocode
SING,SINGLEWELL,51.412451,0.38059,nominatim_geocode
SIZE,SIZEWELL,52.214688,1.619141,name_in_gen (power_stations)
SLKB,Slackbuie,57.446536,-4.212445,nominatim_geocode
SMEA,SMEATON,56.130186,-3.155963,nominatim_geocode
SNQR,SANQUHAR,55.367686,-3.923677,nominatim_geocode
SOKY,SOUTH KYLE,55.459377,-4.627547,nominatim_geocode
SPIT,SPITTAL,58.43,-3.364,manual_correction
SPLN,SPALDING NORTH,52.80715,-0.13268,gen_in_name (power_stations)
STEW,STELLA WEST,54.9748,-1.7378,manual_correction
STOB,STOKE BARDOLPH,52.965611,-1.041219,nominatim_geocode
STRB,STRATH BRORA WIND,58.043,-4.055,manual_correction
STRL,STRONELAIRG WIND FARM (SSE),57.126908,-4.526365,repd_match
STRW,STRATHY WIND,57.748459,-4.290023,nominatim_geocode
STSB,STOCKSBRIDGE,53.482484,-1.590162,nominatim_geocode
STWB,STELLA WEST BORDER NODE,54.9748,-1.7378,manual_correction
