snapshot,Wind Onshore available,Wind Onshore dispatched,Wind Onshore curtailed,Wind Onshore capacity
2030-01-01 00:00:00,4222.348118531417,3217.172066436931,1005.1760520944858,27671.976
2030-01-01 01:00:00,3732.160403768601,2692.4297214718918,1039.7306822967093,27671.976
2030-01-01 02:00:00,3563.3199602451664,2447.8109789791524,1115.508981266014,27671.976
2030-01-01 03:00:00,3402.159918671894,2264.366419107167,1137.793499564727,27671.976
2030-01-01 04:00:00,3450.739395047346,2249.7707204427857,1200.9686746045604,27671.976
2030-01-01 05:00:00,3581.6502868217412,2321.1078821795504,1260.5424046421908,27671.976
2030-01-01 06:00:00,3694.4050051219574,2395.377597168711,1299.0274079532464,27671.976
2030-01-01 07:00:00,4006.925296939251,2617.6070988602182,1389.3181980790328,27671.976
2030-01-01 08:00:00,4149.970663351244,2764.280312123544,1385.6903512277004,27671.976
2030-01-01 09:00:00,4210.406426451985,2842.3979261784475,1368.0085002735373,27671.976
2030-01-01 10:00:00,4164.785470646031,2999.023712466799,1165.761758179232,27671.976
2030-01-01 11:00:00,4403.08753438331,3267.406868560535,1135.6806658227756,27671.976
2030-01-01 12:00:00,4813.645335904902,3630.3672403232104,1183.2780955816916,27671.976
2030-01-01 13:00:00,4927.451376373895,3672.399169332113,1255.052207041782,27671.976
2030-01-01 14:00:00,5057.382742343248,3755.1471764037847,1302.235565939463,27671.976
2030-01-01 15:00:00,5724.332371189088,4363.980910801956,1360.3514603871317,27671.976
2030-01-01 16:00:00,6401.606994310006,4959.060581052917,1442.5464132570887,27671.976
2030-01-01 17:00:00,7305.68471326689,5545.909148208814,1759.7755650580757,27671.976
2030-01-01 18:00:00,7993.134133126957,5904.210706266378,2088.9234268605787,27671.976
2030-01-01 19:00:00,8635.77520047873,6287.843271041434,2347.931929437297,27671.976
2030-01-01 20:00:00,9534.466241287682,6940.055580719277,2594.4106605684055,27671.976
2030-01-01 21:00:00,10815.877886872273,7525.547086296512,3290.330800575761,27671.976
2030-01-01 22:00:00,10630.98572902173,6979.675164084698,3651.310564937032,27671.976
2030-01-01 23:00:00,12311.297011801544,8145.819095392348,4165.477916409196,27671.976
2030-01-02 00:00:00,13639.663551620642,9168.278976368842,4471.384575251801,27671.976
2030-01-02 01:00:00,15032.202428605151,10534.55088069496,4497.651547910191,27671.976
2030-01-02 02:00:00,16138.68808347527,9369.389502852717,6769.298580622553,27671.976
2030-01-02 03:00:00,16994.54829775165,10277.851474156803,6716.696823594848,27671.976
2030-01-02 04:00:00,17454.459453388143,10077.124534548553,7377.33491883959,27671.976
2030-01-02 05:00:00,17845.837854226535,10491.302885049337,7354.534969177197,27671.976
2030-01-02 06:00:00,18429.51393641716,9633.357382827346,8796.156553589813,27671.976
2030-01-02 07:00:00,19339.65412705694,10585.132228625278,8754.521898431662,27671.976
2030-01-02 08:00:00,20366.435866159947,14222.41061409952,6144.025252060426,27671.976
2030-01-02 09:00:00,21036.001705471856,15512.929700466828,5523.072005005028,27671.976
2030-01-02 10:00:00,20478.5011098673,15473.89805510313,5004.603054764168,27671.976
2030-01-02 11:00:00,22425.310330222113,17862.492700000043,4562.817630222071,27671.976
2030-01-02 12:00:00,23544.130029668773,18804.626706602707,4739.5033230660665,27671.976
2030-01-02 13:00:00,23751.672365828177,18233.664284902643,5518.008080925534,27671.976
2030-01-02 14:00:00,24431.894655887503,18852.522056136047,5579.372599751456,27671.976
2030-01-02 15:00:00,24809.007818284197,19590.562554975106,5218.445263309091,27671.976
2030-01-02 16:00:00,25046.015931669026,19808.51235871517,5237.503572953858,27671.976
2030-01-02 17:00:00,25268.130569048095,20529.39619963873,4738.734369409365,27671.976
2030-01-02 18:00:00,25366.492930778088,20547.63008416939,4818.862846608699,27671.976
2030-01-02 19:00:00,25148.46233678117,20835.960094469287,4312.502242311883,27671.976
2030-01-02 20:00:00,24520.6417709734,19180.428674121857,5340.213096851545,27671.976
2030-01-02 21:00:00,23657.791498080293,17324.543276194458,6333.248221885835,27671.976
2030-01-02 22:00:00,21447.138370080596,15044.69614805571,6402.442222024887,27671.976
2030-01-02 23:00:00,19524.083859374347,12938.024842783825,6586.059016590521,27671.976
2030-01-03 00:00:00,17785.789177594084,9739.12645058071,8046.662727013374,27671.976
2030-01-03 01:00:00,16282.14390130934,8945.519745553516,7336.624155755824,27671.976
2030-01-03 02:00:00,14891.20107459327,8839.914304681774,6051.286769911496,27671.976
2030-01-03 03:00:00,13597.258530043959,7338.799960227237,6258.458569816722,27671.976
2030-01-03 04:00:00,13018.392476927718,7968.2311928598165,5050.161284067902,27671.976
2030-01-03 05:00:00,13186.062674098564,7527.349797520291,5658.712876578274,27671.976
