name,load,BritNed,EastWest,Moyle,Nemo,IFA,IFA2
2020-01-03 12:00:00,41701.5,-0.0,299.0,455.0,-0.0,-0.0,1.0
2020-01-03 13:00:00,42176.5,-0.0,377.5,431.5,-0.0,-0.0,1.0
2020-01-03 14:00:00,41279.0,-0.0,190.0,455.0,-0.0,-0.0,1.0
2020-01-03 15:00:00,40660.5,-0.0,36.0,431.0,-0.0,-0.0,1.0
2020-01-03 16:00:00,40409.0,-0.0,-0.0,280.0,-0.0,-0.0,1.0
2020-01-03 17:00:00,42928.5,-0.0,28.0,344.0,-0.0,-0.0,1.0
2020-01-03 18:00:00,44703.5,-0.0,224.0,442.0,-0.0,-0.0,1.0
2020-01-03 19:00:00,43765.5,-0.0,112.5,455.5,-0.0,-0.0,1.0
2020-01-03 20:00:00,42174.5,-0.0,5.5,313.5,-0.0,-0.0,1.0
2020-01-03 21:00:00,39246.0,-0.0,-0.0,100.5,-0.0,-0.0,1.0
2020-01-03 22:00:00,35935.0,-0.0,-0.0,133.5,-0.0,-0.0,1.0
2020-01-03 23:00:00,32784.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0
2020-01-04 00:00:00,29876.0,-0.0,-0.0,15.5,-0.0,815.5,1.0
2020-01-04 01:00:00,29018.5,105.5,-0.0,8.5,-0.0,1052.5,1.0
2020-01-04 02:00:00,28374.5,104.0,-0.0,-0.0,-0.0,1167.0,1.0
2020-01-04 03:00:00,27453.0,-0.0,-0.0,-0.0,-0.0,1611.5,1.0
2020-01-04 04:00:00,27157.0,-0.0,-0.0,-0.0,24.5,1616.5,1.0
2020-01-04 05:00:00,26379.0,-0.0,-0.0,-0.0,423.5,1523.5,1.0
2020-01-04 06:00:00,26356.5,-0.0,-0.0,-0.0,3.0,1522.5,1.0
2020-01-04 07:00:00,27374.0,-0.0,-0.0,49.5,-0.0,1496.0,1.0
2020-01-04 08:00:00,29207.5,-0.0,-0.0,7.0,-0.0,327.0,1.0
2020-01-04 09:00:00,31872.5,103.5,-0.0,-0.0,-0.0,-0.0,1.0
2020-01-04 10:00:00,34780.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0
2020-01-04 11:00:00,36614.5,-0.0,38.0,163.0,-0.0,-0.0,1.0
2020-01-04 12:00:00,37811.5,-0.0,-0.0,325.5,-0.0,-0.0,1.0
2020-01-04 13:00:00,37931.5,-0.0,-0.0,308.5,-0.0,-0.0,1.0
2020-01-04 14:00:00,37202.0,-0.0,-0.0,183.0,-0.0,-0.0,1.0
