name,BritNed,EastWest,Moyle,Nemo,IFA,IFA2
2019-12-02 08:00:00,0.46272728,0.0,0.0,0.6481818,0.07666667,0.0
2019-12-02 08:30:00,0.45,0.0,0.0,0.65181816,0.071428575,0.0
2019-12-02 09:00:00,0.41636363,0.0,0.0,0.4490909,0.0023809525,0.0
2019-12-02 09:30:00,0.41454545,0.0,0.0,0.44181818,0.0,0.0
2019-12-02 10:00:00,0.21909091,0.0,0.0,0.44545454,0.22809523,0.0
2019-12-02 10:30:00,0.21090908,0.0,0.0,0.44636363,0.24238095,0.0
2019-12-02 11:00:00,0.49454546,0.0,0.0,0.41636363,0.074285716,0.0
2019-12-02 11:30:00,0.5081818,0.0,0.0,0.41636363,0.07571428,0.0
2019-12-02 12:00:00,0.78,0.0,0.0,0.7590909,0.0,0.0
2019-12-02 12:30:00,0.7936364,0.0,0.0,0.77363634,0.0,0.0
2019-12-02 13:00:00,0.6409091,0.0,0.0,0.6636364,0.0,0.0
2019-12-02 13:30:00,0.63363636,0.0,0.0,0.65909094,0.0,0.0
2019-12-02 14:00:00,0.37363636,0.0,0.0,0.38545454,0.23809524,0.0
2019-12-02 14:30:00,0.35,0.0,0.0,0.37454545,0.23619048,0.0
2019-12-02 15:00:00,0.0,0.0,0.0,0.32818183,0.86190474,0.0
2019-12-02 15:30:00,0.0,0.0,0.0,0.32636362,0.87714285,0.0
2019-12-02 16:00:00,0.12818182,0.0,0.0,0.19818182,0.8814286,0.0
2019-12-02 16:30:00,0.14,0.0,0.0,0.19545455,0.88095236,0.0
2019-12-02 17:00:00,0.34636363,0.0,0.0,0.59818184,0.92761904,0.0
2019-12-02 17:30:00,0.35454544,0.0,0.0,0.61636364,0.92904764,0.0
2019-12-02 18:00:00,0.48,0.0,0.0,0.66818184,0.6542857,0.0
2019-12-02 18:30:00,0.48545456,0.0,0.0,0.6690909,0.6452381,0.0
2019-12-02 19:00:00,0.48545456,0.0,0.0,0.41,0.8566667,0.0
2019-12-02 19:30:00,0.48545456,0.0,0.0,0.40363637,0.85380954,0.0
2019-12-02 20:00:00,0.6990909,0.0,0.0,0.80545455,0.95047617,0.0
2019-12-02 20:30:00,0.7090909,0.0,0.0,0.82363635,0.9514286,0.0
2019-12-02 21:00:00,0.9509091,0.0,0.0,0.9054545,0.9514286,0.0
2019-12-02 21:30:00,0.96181816,0.0,0.0,0.90909094,0.9514286,0.0
