Node,2020,,2021,,2022,,2023,,2024,,2025,,2026,,2027,,2028,,2029,,2030,,2031,,2032,,2033,,2034,,2035,,2036,,2037,,2038,,2039,,2040,,2041,,2042,,2043,,2044,,2045,,2046,,2047,,2048,,2049,,2050,
Penwortham,1489.103,2.65%,1424.203,2.65%,1374.035,2.65%,1358.216,2.65%,1371.327,2.65%,1366.281,2.64%,1397.754,2.65%,1435.967,2.65%,1479.578,2.64%,1534.672,2.64%,1582.923,2.64%,1629.279,2.64%,1681.85,2.64%,1727.692,2.64%,1770.385,2.64%,1795.119,2.64%,1828.892,2.65%,1869.37,2.65%,1910.713,2.65%,1950.116,2.65%,1959.865,2.65%,1980.12,2.66%,2009.353,2.66%,2033.166,2.66%,2057.404,2.66%,2059.842,2.66%,2054.942,2.66%,2069.137,2.66%,2080.612,2.66%,2088.97,2.66%,2092.125,2.66%
Deeside,3189.678,5.68%,3047.268,5.67%,2929.921,5.65%,2885.998,5.62%,2904.209,5.61%,2885.53,5.58%,2941.478,5.57%,3012.074,5.55%,3093.798,5.52%,3198.941,5.50%,3291.086,5.48%,3376.514,5.47%,3474.834,5.45%,3558.087,5.43%,3633.788,5.42%,3675.3,5.40%,3725.205,5.40%,3797.002,5.39%,3871.169,5.38%,3942.06,5.36%,3956.87,5.36%,3992.187,5.36%,4045.86,5.35%,4089.636,5.35%,4134.767,5.34%,4140.319,5.35%,4133.828,5.35%,4160.923,5.35%,4182.347,5.35%,4197.158,5.35%,4201.226,5.35%
Daines,3238.207,5.77%,3090.92,5.75%,2967.619,5.72%,2919.66,5.69%,2936.068,5.67%,2917.106,5.64%,2974.905,5.64%,3047.274,5.62%,3131.854,5.59%,3239.594,5.57%,3333.507,5.55%,3421.637,5.54%,3522.429,5.53%,3608.13,5.51%,3686.177,5.49%,3728.178,5.48%,3778.886,5.48%,3851.472,5.47%,3926.314,5.45%,3997.888,5.44%,4011.525,5.43%,4039.478,5.42%,4092.391,5.41%,4135.528,5.41%,4180.287,5.40%,4183.746,5.40%,4168.191,5.40%,4194.404,5.39%,4215.012,5.39%,4229.17,5.39%,4232.859,5.39%
Th. Marsh/Stocksbridge,2583.729,4.60%,2471.944,4.60%,2383.96,4.59%,2355.641,4.59%,2377.757,4.59%,2370.066,4.58%,2423.873,4.59%,2491.728,4.59%,2571.016,4.59%,2669.946,4.59%,2756.895,4.59%,2834.474,4.59%,2926.595,4.59%,3006.129,4.59%,3079.343,4.59%,3121.163,4.59%,3163.537,4.59%,3231.415,4.59%,3301.252,4.58%,3368.382,4.58%,3385.079,4.58%,3410.707,4.58%,3459.679,4.58%,3499.407,4.58%,3539.896,4.58%,3543.775,4.58%,3531.293,4.57%,3554.707,4.57%,3573.302,4.57%,3586.192,4.57%,3590.113,4.57%
Thornton/Drax/Eggborough,2353.355,4.19%,2246.723,4.18%,2159.769,4.16%,2127.349,4.15%,2141.36,4.13%,2128.464,4.11%,2167.314,4.11%,2220.161,4.09%,2281.287,4.07%,2359.492,4.06%,2427.474,4.04%,2483.04,4.02%,2556.217,4.01%,2619.1,4.00%,2677.032,3.99%,2708.912,3.98%,2732.137,3.96%,2785.319,3.95%,2839.879,3.94%,2891.715,3.94%,2901.785,3.93%,2916.085,3.91%,2954.852,3.91%,2986.539,3.91%,3019.399,3.90%,3022.774,3.90%,3014.335,3.90%,3034.038,3.90%,3049.732,3.90%,3060.878,3.90%,3064.39,3.90%
Keadby,844.336,1.50%,807.689,1.50%,777.42,1.50%,766.121,1.49%,770.777,1.49%,765.24,1.48%,777.586,1.47%,794.292,1.46%,814.134,1.45%,840.256,1.45%,863.472,1.44%,884.043,1.43%,909.543,1.43%,931.79,1.42%,952.68,1.42%,965.365,1.42%,978.701,1.42%,999.468,1.42%,1020.571,1.42%,1040.488,1.42%,1046.224,1.42%,1055.869,1.42%,1071.438,1.42%,1084.103,1.42%,1097.046,1.42%,1099.852,1.42%,1097.595,1.42%,1105.889,1.42%,1112.761,1.42%,1117.927,1.42%,1120.252,1.43%
Ratcliffe,2040.054,3.63%,1954.392,3.64%,1889.311,3.64%,1870.143,3.64%,1889.178,3.65%,1882.93,3.64%,1924.171,3.65%,1978.818,3.65%,2043.163,3.65%,2123.443,3.65%,2194.164,3.66%,2258.284,3.66%,2332.938,3.66%,2397.4,3.66%,2456.776,3.66%,2491.307,3.66%,2528.951,3.67%,2584.992,3.67%,2642.685,3.67%,2698.199,3.67%,2713.556,3.67%,2737.84,3.67%,2778.829,3.68%,2812.032,3.68%,2845.582,3.68%,2850.041,3.68%,2836.408,3.67%,2856.031,3.67%,2871.699,3.67%,2882.598,3.67%,2886.085,3.67%
Feckenham,4152.415,7.39%,3975.276,7.40%,3836.809,7.39%,3792.798,7.39%,3828.727,7.39%,3819.626,7.38%,3892.229,7.38%,4010.988,7.39%,4156.107,7.42%,4331.846,7.45%,4485.227,7.47%,4605.316,7.46%,4762.083,7.47%,4895.989,7.48%,5017.206,7.48%,5082.724,7.47%,5114.146,7.42%,5219.11,7.41%,5328.335,7.40%,5434.831,7.40%,5457.761,7.39%,5478.033,7.35%,5551.767,7.34%,5611.336,7.34%,5672.413,7.33%,5673.065,7.33%,5634.374,7.29%,5667.131,7.29%,5691.921,7.28%,5707.244,7.27%,5708.528,7.26%
Walpole,1138.509,2.03%,1086.864,2.02%,1042.026,2.01%,1022.082,1.99%,1023.085,1.97%,1009.865,1.95%,1015.967,1.93%,1029.943,1.90%,1047.031,1.87%,1072.055,1.84%,1094.117,1.82%,1111.845,1.80%,1137.654,1.79%,1160.173,1.77%,1181.679,1.76%,1194.707,1.76%,1208.33,1.75%,1231.069,1.75%,1253.867,1.74%,1274.751,1.73%,1280.023,1.73%,1292.115,1.73%,1309.954,1.73%,1324.62,1.73%,1339.904,1.73%,1344.513,1.74%,1344.04,1.74%,1354.798,1.74%,1363.939,1.74%,1371.195,1.75%,1374.96,1.75%
Bramford,1426.63,2.54%,1363.269,2.54%,1318.102,2.54%,1307.149,2.55%,1325.403,2.56%,1327.515,2.57%,1354.689,2.57%,1399.665,2.58%,1451.028,2.59%,1513.352,2.60%,1567.324,2.61%,1612.129,2.61%,1668.519,2.62%,1717.229,2.62%,1761.851,2.63%,1786.279,2.63%,1810.124,2.62%,1849.685,2.62%,1890.534,2.63%,1930.076,2.63%,1938.791,2.63%,1956.088,2.63%,1983.926,2.62%,2006.505,2.62%,2029.501,2.62%,2029.689,2.62%,2019.802,2.61%,2032.144,2.61%,2041.688,2.61%,2048.031,2.61%,2049.362,2.61%
Pelham,868.317,1.55%,831.133,1.55%,804.826,1.55%,799.129,1.56%,810.902,1.57%,812.609,1.57%,832.047,1.58%,859.799,1.58%,891.73,1.59%,930.549,1.60%,964.602,1.61%,995.352,1.61%,1031.216,1.62%,1062.529,1.62%,1091.518,1.63%,1108.387,1.63%,1129.279,1.64%,1156.143,1.64%,1183.726,1.64%,1210.4,1.65%,1217.968,1.65%,1231.803,1.65%,1250.859,1.65%,1266.247,1.66%,1281.716,1.66%,1282.81,1.66%,1276.641,1.65%,1285.225,1.65%,1292.062,1.65%,1296.801,1.65%,1298.354,1.65%
Sundon/East Claydon,2919.641,5.20%,2794.44,5.20%,2699.255,5.20%,2674.206,5.21%,2708.862,5.23%,2712.913,5.24%,2785.248,5.28%,2878.309,5.31%,2986.249,5.33%,3116.81,5.36%,3232.107,5.38%,3341.565,5.42%,3457.402,5.43%,3554.39,5.43%,3640.394,5.43%,3686.962,5.42%,3753.579,5.44%,3832.451,5.44%,3915.43,5.44%,3997.291,5.44%,4018.08,5.44%,4061.09,5.45%,4118.452,5.45%,4164.556,5.45%,4211.084,5.44%,4213.023,5.44%,4192.131,5.43%,4216.743,5.42%,4235.051,5.42%,4245.565,5.41%,4245.136,5.40%
Melksham,4278.908,7.62%,4089.677,7.61%,3930.138,7.57%,3869.547,7.54%,3892.417,7.51%,3867.685,7.48%,3943.881,7.47%,4039.413,7.45%,4150.508,7.41%,4292.9,7.38%,4419.009,7.36%,4541.515,7.36%,4667.725,7.33%,4768.637,7.28%,4855.105,7.24%,4898.362,7.20%,4964.212,7.20%,5047.69,7.16%,5136.771,7.13%,5223.993,7.11%,5241.234,7.10%,5298.71,7.11%,5365.277,7.10%,5419.225,7.09%,5474.778,7.08%,5483.086,7.08%,5475.551,7.09%,5508.332,7.08%,5532.71,7.08%,5546.756,7.07%,5545.529,7.06%
Bramley,1339.963,2.39%,1281.066,2.38%,1236.315,2.38%,1223.899,2.39%,1239.049,2.39%,1240.035,2.40%,1271.632,2.41%,1313.668,2.42%,1361.887,2.43%,1420.341,2.44%,1471.542,2.45%,1519.671,2.46%,1571.157,2.47%,1613.959,2.47%,1651.669,2.46%,1671.241,2.46%,1699.564,2.46%,1733.582,2.46%,1769.495,2.46%,1804.912,2.46%,1812.564,2.45%,1831.212,2.46%,1855.995,2.46%,1875.981,2.45%,1896.293,2.45%,1896.527,2.45%,1887.665,2.44%,1898.252,2.44%,1905.989,2.44%,1910.29,2.43%,1909.657,2.43%
London,9203.967,16.39%,8817.995,16.41%,8532.264,16.44%,8447.895,16.46%,8530.504,16.46%,8490.398,16.41%,8623.72,16.34%,8847.955,16.31%,9114.665,16.28%,9452.909,16.26%,9747.817,16.24%,9974.643,16.16%,10305.669,16.17%,10605.422,16.20%,10894.582,16.24%,11072.031,16.28%,11159.557,16.18%,11426.098,16.22%,11693.686,16.24%,11944.778,16.26%,12013.167,16.27%,12050.326,16.17%,12237.224,16.19%,12389.91,16.20%,12545.367,16.22%,12566.737,16.23%,12474.153,16.15%,12568.661,16.16%,12647.879,16.18%,12710.021,16.19%,12741.427,16.21%
Kemsley,1605.37,2.86%,1532.881,2.85%,1472.679,2.84%,1449.912,2.83%,1459.129,2.82%,1450.865,2.80%,1478.78,2.80%,1515.007,2.79%,1557.471,2.78%,1611.517,2.77%,1658.928,2.76%,1706.098,2.76%,1757.037,2.76%,1800.475,2.75%,1840.119,2.74%,1862.057,2.74%,1893.645,2.75%,1931.538,2.74%,1970.557,2.74%,2007.939,2.73%,2016.518,2.73%,2037.115,2.73%,2064.989,2.73%,2087.631,2.73%,2110.939,2.73%,2113.413,2.73%,2104.669,2.72%,2118.437,2.72%,2129.376,2.72%,2136.973,2.72%,2139.266,2.72%
Sellindge,822.733,1.46%,787.376,1.47%,763.596,1.47%,759.578,1.48%,772.419,1.49%,776.156,1.50%,798.249,1.51%,829.472,1.53%,865.652,1.55%,908.361,1.56%,945.328,1.57%,980.312,1.59%,1019.328,1.60%,1053.582,1.61%,1085.246,1.62%,1102.897,1.62%,1122.745,1.63%,1150.239,1.63%,1178.515,1.64%,1206.058,1.64%,1212.657,1.64%,1224.633,1.64%,1243.129,1.64%,1258.062,1.65%,1273.119,1.65%,1272.056,1.64%,1261.998,1.63%,1269.444,1.63%,1275.168,1.63%,1278.933,1.63%,1279.729,1.63%
Lovedean,2220.415,3.95%,2122.996,3.95%,2049.23,3.95%,2027.35,3.95%,2049.429,3.96%,2045.794,3.95%,2093.698,3.97%,2156.798,3.98%,2229.738,3.98%,2319.66,3.99%,2398.087,3.99%,2476.548,4.01%,2560.842,4.02%,2634.046,4.02%,2701.622,4.03%,2739.8,4.03%,2795.2,4.05%,2858.019,4.06%,2922.489,4.06%,2984.536,4.06%,2999.867,4.06%,3032.249,4.07%,3076.863,4.07%,3113.047,4.07%,3149.791,4.07%,3151.708,4.07%,3132.708,4.06%,3153.161,4.05%,3169.393,4.05%,3180.703,4.05%,3184.25,4.05%
S.W.Penisula,2696.153,4.80%,2581.925,4.81%,2506.32,4.83%,2496.372,4.87%,2542.57,4.91%,2559.486,4.95%,2624.492,4.97%,2725.302,5.02%,2841.909,5.07%,2980.247,5.13%,3101.366,5.17%,3206.793,5.20%,3332.475,5.23%,3442.665,5.26%,3544.479,5.28%,3603.322,5.30%,3663.767,5.31%,3754.7,5.33%,3848.307,5.34%,3939.594,5.36%,3965.641,5.37%,4003.717,5.37%,4066.304,5.38%,4116.632,5.38%,4167.026,5.39%,4167.574,5.38%,4136.297,5.35%,4162.578,5.35%,4183.137,5.35%,4196.788,5.35%,4200.394,5.34%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
