SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,I014_ND,TSD,I014_TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,I014_PUMP_STORAGE_PUMPING,FRENCH_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,I014_FRENCH_FLOW,I014_BRITNED_FLOW,I014_MOYLE_FLOW,I014_EAST_WEST_FLOW
01-Jan-17,23,31282,31236,31890,31845,28846,1893,4871,553,11503,0,8,9,997,999,256,286,986,1000,250,286
01-Jan-17,24,32144,32095,32753,32707,29633,1952,4871,565,11503,0,9,11,997,999,48,287,986,1000,38,286
01-Jan-17,25,33025,33001,33750,33734,30495,2028,4871,539,11503,0,6,9,997,999,-119,287,986,1000,-124,286
01-Jan-17,26,33437,33356,34156,34079,30869,2104,4871,542,11503,0,5,9,998,1000,-114,248,986,1000,-114,242
01-Jan-17,27,33442,33394,34211,34164,30974,2140,4871,504,11503,0,4,5,952,999,-165,183,936,1000,-166,182
01-Jan-17,28,33363,33322,34136,34097,30951,2175,4871,448,11503,0,5,9,949,999,-168,155,936,1000,-167,155
01-Jan-17,29,33524,33451,34253,34179,31148,2187,4871,344,11503,0,5,9,950,1000,-124,164,936,1000,-120,164
01-Jan-17,30,33620,33503,34372,34255,31253,2198,4871,282,11503,0,5,9,949,1000,-147,194,936,1000,-145,196
01-Jan-17,31,34024,33961,34714,34651,31582,2162,4871,178,11503,0,7,10,996,1000,-83,251,986,1000,-80,255
01-Jan-17,32,34796,34772,35512,35490,32422,2126,4871,49,11503,0,6,7,998,1000,-110,287,986,1000,-111,287
01-Jan-17,33,36276,36307,37064,37102,33664,2109,4871,0,11503,0,8,11,998,865,-180,287,986,857,-183,286
01-Jan-17,34,37689,37688,38454,38441,34917,2091,4871,0,11503,0,9,6,998,851,-156,287,986,853,-146,286
01-Jan-17,35,38115,38120,38768,38783,35316,2070,4871,0,11503,0,6,7,998,851,-47,287,986,853,-52,286
01-Jan-17,36,37990,37831,38747,38591,35113,2048,4871,0,11503,0,9,9,998,851,-148,287,985,857,-152,287
01-Jan-17,37,37431,37210,38316,38095,34609,2043,4871,0,11503,0,5,6,951,994,-280,287,936,1000,-282,286
01-Jan-17,38,36577,36349,37394,37158,33787,2038,4871,0,11503,0,7,5,934,1000,-210,287,883,1000,-204,286
01-Jan-17,39,35683,35594,37034,37002,32993,2010,4871,0,11503,0,7,6,-523,822,-221,287,-583,810,-219,286
01-Jan-17,40,34605,34491,36012,35862,31837,1982,4871,0,11503,0,10,9,-616,802,-181,279,-577,805,-177,279
01-Jan-17,41,34149,34070,34938,34861,31391,1947,4871,0,11503,0,6,2,291,873,-183,249,319,877,-183,243
01-Jan-17,42,33187,32979,33994,33782,30415,1912,4871,0,11503,0,8,4,342,877,-199,174,316,879,-198,175
01-Jan-17,43,31945,31819,32901,32792,29299,1875,4871,0,11503,0,14,17,-132,922,-210,257,-140,927,-208,262
01-Jan-17,44,30773,30616,31692,31541,28154,1838,4871,0,11503,0,14,17,-141,925,-164,287,-140,924,-159,287
01-Jan-17,45,29604,29474,30953,30852,27090,1795,4871,0,11503,0,7,6,-640,710,-102,287,-670,696,-100,287
01-Jan-17,46,28675,28489,29964,29767,26071,1752,4871,0,11503,139,11,5,-678,689,2,287,-667,691,11,287
01-Jan-17,47,26964,26693,28530,28283,24346,1633,4871,0,11503,194,23,26,-876,865,-67,287,-885,877,-75,287
01-Jan-17,48,26057,25846,27705,27456,23533,1513,4871,0,11503,53,21,24,-926,904,-101,287,-881,904,-99,287
02-Jan-17,1,25943,25729,26716,26502,23487,1489,4871,0,11503,0,19,20,1,881,-154,287,24,882,-153,287
02-Jan-17,2,26226,25987,26915,26677,23777,1464,4871,0,11503,0,17,20,25,940,-72,287,23,946,-71,287
02-Jan-17,3,26140,25784,27136,26846,23695,1445,4871,0,11503,0,317,364,654,877,-79,287,691,872,-71,287
02-Jan-17,4,25295,24949,26692,26491,22938,1426,4871,0,11503,0,797,942,706,894,46,287,689,897,47,287
02-Jan-17,5,24842,24533,26666,26500,22553,1412,4871,0,11503,0,1224,1368,794,902,97,287,789,903,101,286
02-Jan-17,6,24669,24341,26569,26412,22357,1397,4871,0,11503,0,1300,1466,809,902,107,287,788,903,107,287
02-Jan-17,7,24151,23834,26449,26503,21845,1382,4871,0,11503,0,1698,1973,605,902,107,287,596,903,107,287
02-Jan-17,8,23643,23361,26099,26066,21323,1367,4871,0,11503,0,1856,2105,622,902,107,287,595,903,107,287
02-Jan-17,9,23349,23078,25788,25769,21081,1358,4871,0,11503,0,1839,2091,227,901,107,287,220,903,107,287
02-Jan-17,10,23345,23082,25774,25761,21122,1348,4871,0,11503,0,1829,2079,235,902,107,287,220,903,107,287
02-Jan-17,11,23575,23338,25952,26067,21366,1347,4871,0,11503,0,1731,1980,-46,892,107,287,-51,892,107,287
02-Jan-17,12,24006,23793,26275,26335,21773,1345,4871,0,11503,0,1617,1841,-52,900,107,287,-51,903,107,287
02-Jan-17,13,25273,25117,27142,27395,22981,1332,4871,0,11503,0,1178,1423,-91,897,138,267,-87,896,140,262
02-Jan-17,14,26246,26027,27784,27765,23948,1319,4871,0,11503,0,892,1067,-46,872,143,221,-90,864,136,219
02-Jan-17,15,27126,27027,28358,28832,24887,1315,4871,0,11503,0,33,120,-551,424,-48,158,-528,397,-52,154
02-Jan-17,16,27710,27666,28910,29350,25516,1311,4871,0,11503,0,17,13,-528,387,-55,96,-547,391,-55,93
02-Jan-17,17,28972,28860,30651,30536,26562,1298,4871,61,11503,0,9,9,-1015,646,-55,116,-1008,661,-55,124
02-Jan-17,18,30382,30243,32078,31937,27928,1285,4871,404,11503,0,10,9,-1020,670,-66,132,-1008,671,-72,125
02-Jan-17,19,31704,31546,33389,33215,29135,1296,4871,1120,11503,0,9,9,-1020,864,-56,40,-1008,876,-48,37
02-Jan-17,20,32513,32293,34160,33933,29817,1306,4871,2010,11503,0,10,13,-1020,876,-17,5,-1009,878,-17,3
02-Jan-17,21,33075,32849,34733,34503,30254,1320,4871,2770,11503,0,9,13,-1020,948,51,-29,-1008,954,49,-29
02-Jan-17,22,33195,32933,34876,34610,30302,1333,4871,3340,11503,0,6,10,-1021,957,-54,8,-1009,957,-55,8
02-Jan-17,23,33197,32960,34898,34661,30199,1333,4871,3690,11503,0,6,9,-1021,939,-45,-29,-1008,936,-50,-29
02-Jan-17,24,33141,32928,35075,34864,30086,1333,4871,4060,11503,0,5,9,-1021,926,-230,-78,-1009,929,-235,-82
02-Jan-17,25,33307,33158,35301,35145,30260,1362,4871,4030,11503,0,4,5,-1021,957,-257,-112,-1008,961,-256,-113
02-Jan-17,26,33359,33188,35367,35186,30281,1390,4871,4000,11503,0,5,7,-1021,959,-257,-125,-1007,961,-256,-124
02-Jan-17,27,33541,33413,35395,35254,30531,1395,4871,3700,11503,0,5,9,-921,968,-257,-71,-906,971,-256,-68
02-Jan-17,28,33756,33620,35582,35439,30782,1399,4871,3150,11503,0,5,9,-919,969,-257,-45,-906,972,-256,-46
02-Jan-17,29,34254,34146,36014,35898,31365,1398,4871,2460,11503,0,5,9,-818,998,-257,-80,-806,1000,-256,-80
02-Jan-17,30,34984,34911,36744,36663,32102,1396,4871,1700,11503,0,5,9,-818,1000,-257,-80,-805,1000,-256,-80
02-Jan-17,31,36065,36026,37690,37642,33085,1361,4871,878,11503,0,4,5,-709,776,-257,-55,-705,761,-256,-49
02-Jan-17,32,37532,37523,39153,39098,34491,1326,4871,263,11503,0,9,13,-755,751,-257,10,-698,750,-256,10
02-Jan-17,33,39702,39814,40633,40754,36474,1322,4871,22,11503,0,12,11,108,735,-319,41,106,737,-322,43
02-Jan-17,34,42839,42983,43872,44020,39398,1317,4871,0,11503,68,11,6,63,760,-422,79,108,770,-429,79
02-Jan-17,35,44460,44486,45552,45580,40875,1313,4871,0,11503,171,7,0,986,1026,-455,-30,985,1031,-453,-39
02-Jan-17,36,44714,44550,45901,45733,41068,1309,4871,0,11503,184,12,9,998,998,-455,-120,986,995,-453,-123
02-Jan-17,37,44182,43942,45429,45195,40619,1311,4871,0,11503,147,19,19,998,997,-397,-231,986,1001,-395,-239
02-Jan-17,38,43318,43105,44705,44496,39813,1312,4871,0,11503,20,20,17,949,1018,-453,-314,902,1022,-453,-313
02-Jan-17,39,42497,42322,43851,44134,39109,1304,4871,0,11503,0,12,11,-50,1021,-407,-285,-76,1019,-405,-283
02-Jan-17,40,41315,41039,42703,42821,38041,1296,4871,0,11503,0,17,11,-101,992,-454,-216,-101,994,-453,-208
02-Jan-17,41,40084,39771,41325,41057,36934,1280,4871,0,11503,0,14,13,-153,1005,-387,-87,-156,1006,-380,-85
02-Jan-17,42,38722,38442,40040,39777,35759,1263,4871,0,11503,0,10,10,-187,991,-436,-85,-210,994,-436,-81
02-Jan-17,43,37050,36834,38711,38485,34233,1270,4871,0,11503,0,9,9,-657,983,-375,-20,-655,980,-367,-20
02-Jan-17,44,35060,34861,36574,36377,32452,1276,4871,0,11503,0,9,13,-646,996,-240,-19,-656,997,-228,-19
02-Jan-17,45,33291,33116,35018,34837,30828,1284,4871,0,11503,0,9,7,-1016,996,-102,0,-1008,996,-101,0
02-Jan-17,46,31478,31324,33206,33049,28989,1292,4871,0,11503,0,10,9,-1021,985,-97,0,-1008,983,-98,0
02-Jan-17,47,29349,29223,30589,30425,27019,1296,4871,0,11503,0,16,18,-468,964,-156,5,-425,965,-155,6
02-Jan-17,48,28010,27913,29217,29127,25828,1299,4781,0,11503,0,23,30,-427,1000,-157,7,-427,1005,-155,7
03-Jan-17,1,27764,27534,29108,28975,25544,1326,4781,0,11503,0,723,926,346,960,-21,73,400,953,-10,82
03-Jan-17,2,27990,27747,29803,29706,25846,1353,4781,0,11503,0,1213,1467,428,950,47,222,413,955,54,229
03-Jan-17,3,27520,27320,29330,29397,25663,1380,4781,0,11503,0,1210,1567,898,1002,235,285,918,1003,240,286
03-Jan-17,4,26677,26566,28781,29081,24946,1407,4781,0,11503,0,1504,1917,936,989,252,285,917,991,251,286
03-Jan-17,5,26117,26049,28317,28658,24483,1440,4781,0,11503,0,1600,2009,875,996,267,285,867,996,268,286
03-Jan-17,6,25880,25855,28067,28447,24246,1473,4781,0,11503,0,1587,1992,879,1012,269,285,817,1013,268,285
03-Jan-17,7,25460,25441,27641,28027,23815,1500,4781,0,11503,0,1580,1986,-1,1006,269,285,-1,1005,269,286
03-Jan-17,8,25000,25004,27173,27583,23388,1527,4781,0,11503,0,1573,1979,41,998,268,285,-5,1001,269,286
03-Jan-17,9,24735,24728,28140,28571,23167,1586,4781,0,11503,0,1808,2231,-997,1021,268,286,-1002,1021,269,286
03-Jan-17,10,24749,24765,28196,28607,23218,1645,4781,0,11503,0,1826,2230,-1021,997,268,286,-1008,995,269,286
03-Jan-17,11,25330,25363,28767,29067,23805,1688,4781,0,11503,0,1816,2093,-1021,989,294,286,-1008,991,294,286
03-Jan-17,12,26440,26499,29218,29336,24872,1731,4781,0,11503,0,1158,1230,-1020,977,243,285,-1008,977,240,286
03-Jan-17,13,29371,29539,31084,31215,27679,1752,4781,0,11503,0,93,138,-1020,982,256,286,-1008,981,256,286
03-Jan-17,14,32107,32228,33737,33853,30372,1773,4781,0,11503,0,10,13,-1020,985,256,286,-1008,990,255,286
03-Jan-17,15,35301,35376,36932,37000,33424,1795,4781,0,11503,0,10,13,-1021,833,260,285,-1008,818,260,284
03-Jan-17,16,37347,37341,38978,38966,35391,1816,4781,1,11503,0,10,13,-1021,770,260,285,-1008,772,258,285
03-Jan-17,17,38859,38901,40489,40525,36848,1835,4781,81,11503,0,10,13,-1020,986,220,285,-1008,1000,219,286
03-Jan-17,18,39903,39939,41533,41563,37846,1854,4781,355,11503,5,9,13,-1021,1014,209,285,-1008,1013,203,284
03-Jan-17,19,40812,40776,42443,42401,38664,1895,4781,780,11503,160,10,13,-1021,1003,102,254,-1008,1004,95,253
03-Jan-17,20,40886,40869,42574,42560,38611,1935,4781,1210,11503,160,9,13,-1020,989,-59,214,-1008,989,-68,208
03-Jan-17,21,40940,40902,42732,42687,38548,1989,4781,1520,11503,54,9,12,-1021,977,-162,129,-1008,978,-162,127
03-Jan-17,22,40845,40788,42639,42577,38398,2043,4781,1800,11503,0,6,9,-1021,980,-167,100,-1008,984,-168,98
03-Jan-17,23,40767,40779,42634,42642,38235,2100,4781,1930,11503,0,5,9,-1021,1010,-241,51,-1008,1010,-244,50
03-Jan-17,24,40878,40873,42799,42787,38323,2157,4781,1970,11503,0,5,9,-1021,999,-295,40,-1008,1000,-295,36
03-Jan-17,25,41125,41077,43029,42970,38528,2209,4781,1890,11503,0,5,9,-1022,999,-263,-14,-1008,1000,-259,-15
03-Jan-17,26,40983,40961,42830,42794,38403,2260,4781,1850,11503,0,5,9,-1021,999,-219,-2,-1008,1000,-215,2
03-Jan-17,27,41034,41090,42828,42871,38507,2285,4781,1650,11503,0,5,7,-1021,1000,-168,19,-1008,1000,-163,20
03-Jan-17,28,41094,41138,42846,43012,38619,2310,4781,1370,11503,0,5,146,-1021,1000,-126,56,-1008,1000,-117,59
03-Jan-17,29,41328,41366,42975,43157,38885,2295,4781,1050,11503,0,5,158,-1021,1000,-21,66,-1008,1000,-21,65
03-Jan-17,30,41553,41595,43196,43380,39144,2279,4781,747,11503,0,5,158,-1021,999,-17,49,-1008,1000,-17,44
03-Jan-17,31,42084,42127,43741,43931,39605,2227,4781,448,11503,0,5,163,-1021,1000,-17,-14,-1008,1000,-17,-15
03-Jan-17,32,42945,43013,44553,44856,40444,2175,4781,211,11503,0,10,167,-938,991,-45,-15,-878,992,-53,-15
03-Jan-17,33,44207,44363,45012,45174,41467,2142,4781,57,11503,0,14,105,610,990,-176,-15,662,993,-179,-15
03-Jan-17,34,46233,46374,47253,47406,43270,2108,4781,0,11503,0,14,11,697,1017,-331,-75,659,1019,-337,-81
03-Jan-17,35,46763,46763,47874,47884,43652,2090,4781,0,11503,0,8,11,375,997,-323,-180,379,995,-323,-188
03-Jan-17,36,46475,46456,47778,47758,43370,2071,4781,0,11503,0,11,8,419,983,-440,-252,376,984,-444,-253
03-Jan-17,37,46006,46021,47523,47554,42999,2083,4781,0,11503,0,9,13,-149,1008,-451,-308,-146,1008,-448,-306
03-Jan-17,38,45459,45426,46893,46885,42492,2095,4781,0,11503,0,8,7,-132,1001,-454,-240,-148,1001,-454,-236
03-Jan-17,39,44845,44759,46539,46457,41991,2094,4781,0,11503,0,5,1,-497,1014,-453,-139,-497,1015,-449,-138
03-Jan-17,40,43582,43292,45237,44951,40719,2093,4781,0,11503,0,9,13,-502,999,-400,-144,-497,1000,-398,-140
03-Jan-17,41,42083,41878,43668,43463,39298,2074,4781,0,11503,0,9,11,-503,999,-445,-28,-497,1000,-444,-22
03-Jan-17,42,40151,40002,41641,41525,37593,2055,4781,0,11503,0,12,14,-477,999,-401,1,-499,1000,-398,6
03-Jan-17,43,38154,37996,40241,40081,35691,2054,4781,0,11503,0,12,9,-1016,1003,-443,-16,-1008,1004,-442,-24
03-Jan-17,44,35705,35590,37782,37643,33392,2052,4781,0,11503,0,12,13,-1020,1020,-346,-99,-1009,1021,-334,-100
03-Jan-17,45,33538,33451,35431,35326,31317,2034,4781,0,11503,0,9,63,-1020,1013,-192,-72,-1008,1010,-184,-67
03-Jan-17,46,31403,31327,33069,33133,29213,2016,4781,0,11503,0,9,162,-1020,1022,-37,0,-1008,1022,-31,0
03-Jan-17,47,29207,29078,30925,30939,27097,1961,4781,0,11503,0,17,172,-1020,985,-81,66,-1008,981,-78,75
03-Jan-17,48,27781,27796,29764,29910,25798,1906,4781,0,11503,0,363,559,-1020,975,40,200,-1008,978,41,205
04-Jan-17,1,27512,27582,30315,30554,25575,1885,4781,0,11503,0,1183,1513,-1020,1018,83,268,-1008,1021,85,272
04-Jan-17,2,27895,28001,30922,31267,25998,1863,4781,0,11503,0,1407,1807,-1020,1024,111,285,-1008,1026,111,286
04-Jan-17,3,27603,27633,30373,30628,25774,1848,4781,0,11503,0,1150,1536,-1020,1030,113,285,-1008,1030,112,285
04-Jan-17,4,27004,27002,30066,30325,25205,1832,4781,0,11503,0,1441,1864,-1021,906,163,285,-1005,851,160,286
04-Jan-17,5,26430,26543,29619,30062,24681,1824,4781,0,11503,0,1457,1798,-1020,-112,73,285,-1008,-131,73,285
04-Jan-17,6,26565,26627,29923,30348,24743,1816,4781,0,11503,0,1601,2018,-1021,-136,129,256,-1008,-143,133,250
04-Jan-17,7,26244,26243,29942,30250,24410,1789,4781,0,11503,0,1666,2051,-1021,-411,141,182,-1008,-425,141,182
04-Jan-17,8,25815,25816,29526,29841,23954,1762,4781,0,11503,0,1649,2068,-1020,-442,142,175,-1008,-442,141,174
04-Jan-17,9,25591,25582,29397,29667,23744,1757,4781,0,11503,0,1718,1975,-1021,-467,142,160,-1008,-467,141,160
04-Jan-17,10,25610,25648,29418,29720,23781,1751,4781,0,11503,0,1724,1961,-1021,-463,142,159,-1008,-461,141,159
04-Jan-17,11,26431,26494,29873,30097,24457,1720,4781,0,11503,0,1386,1492,-1020,-436,178,224,-1008,-438,180,231
04-Jan-17,12,27450,27754,30587,30865,25538,1689,4781,0,11503,0,1048,992,-1020,-469,206,285,-1008,-470,207,286
04-Jan-17,13,30459,30809,32392,32687,28316,1666,4781,0,11503,0,97,64,-1021,-215,278,285,-1008,-199,282,286
04-Jan-17,14,33417,33795,35214,35617,31126,1643,4781,0,11503,0,9,7,-1020,-168,297,283,-1008,-163,296,281
04-Jan-17,15,37194,37516,38823,39136,34639,1610,4781,0,11503,0,8,9,-1021,778,290,183,-1008,850,285,174
04-Jan-17,16,39356,39541,40986,41166,36642,1576,4781,0,11503,0,9,13,-1021,1024,190,139,-1008,1027,180,140
04-Jan-17,17,40743,40782,42373,42406,37725,1546,4781,15,11503,0,9,13,-1021,1009,63,112,-1008,1007,62,111
04-Jan-17,18,41277,41269,42907,42889,38134,1515,4781,117,11503,0,9,9,-1021,1021,54,132,-1008,1024,52,130
04-Jan-17,19,42069,42128,43698,43749,38860,1491,4781,306,11503,0,8,8,-1021,1021,13,81,-1008,1025,8,80
04-Jan-17,20,42462,42443,44183,44156,39177,1467,4781,572,11503,49,5,5,-1021,1017,-95,59,-1008,1016,-97,59
04-Jan-17,21,42265,42224,44049,44008,38963,1454,4781,867,11503,172,5,9,-1021,1003,-143,-15,-1008,1006,-142,-20
04-Jan-17,22,42102,42041,43919,43853,38763,1441,4781,1230,11503,196,4,5,-1021,981,-151,-41,-1008,982,-150,-41
04-Jan-17,23,42249,42113,44166,44030,38842,1438,4781,1490,11503,4,3,2,-1021,1001,-233,-60,-1008,1002,-237,-61
04-Jan-17,24,42095,41972,44131,44008,38627,1435,4781,1720,11503,2,5,9,-1021,961,-279,-131,-1008,962,-278,-137
04-Jan-17,25,42087,41920,44252,44080,38611,1446,4781,1880,11503,0,5,9,-1022,1008,-275,-263,-1008,1013,-274,-266
04-Jan-17,26,42074,41742,44299,43962,38394,1456,4781,1980,11503,0,5,9,-1021,1016,-325,-274,-1008,1017,-327,-274
04-Jan-17,27,41921,41607,44165,43842,38240,1420,4781,1870,11503,0,5,8,-1021,984,-354,-264,-1008,986,-351,-264
04-Jan-17,28,41907,41576,44086,43745,38251,1383,4781,1580,11503,0,6,9,-1021,1000,-289,-263,-1008,1000,-287,-263
04-Jan-17,29,42130,41898,44279,44035,38469,1332,4781,1250,11503,0,7,10,-1021,1000,-276,-245,-1008,1000,-275,-244
04-Jan-17,30,42345,42111,44478,44231,38697,1281,4781,881,11503,0,10,13,-1021,1000,-276,-226,-1004,1000,-275,-223
04-Jan-17,31,42788,42571,44640,44412,39062,1231,4781,450,11503,0,6,9,-865,999,-269,-112,-856,1000,-267,-108
04-Jan-17,32,44110,43940,45918,45709,40285,1180,4781,140,11503,0,5,9,-898,996,-269,-36,-855,994,-267,-36
04-Jan-17,33,45628,45456,46689,46527,41581,1159,4781,13,11503,0,5,9,709,974,-360,-96,738,977,-366,-99
04-Jan-17,34,47488,47340,48646,48495,43191,1138,4781,0,11503,0,8,8,754,1039,-440,-110,738,1042,-439,-111
04-Jan-17,35,48177,47946,49460,49234,43774,1112,4781,0,11503,0,8,10,977,979,-453,-222,975,979,-453,-228
04-Jan-17,36,47955,47712,49385,49147,43557,1086,4781,0,11503,0,5,3,997,1003,-454,-371,983,1008,-453,-377
04-Jan-17,37,47915,47664,49376,49114,43535,1035,4781,0,11503,5,6,1,899,1018,-454,-401,886,1016,-453,-398
04-Jan-17,38,47624,47328,49000,48695,43229,984,4781,0,11503,32,8,8,905,1010,-454,-314,886,1013,-454,-309
04-Jan-17,39,47226,46915,48455,48134,42916,942,4781,0,11503,32,9,9,678,994,-455,-165,672,998,-454,-160
04-Jan-17,40,46119,45744,47216,46827,41900,900,4781,0,11503,32,10,10,710,1012,-456,-31,669,1016,-454,-25
04-Jan-17,41,44770,44404,46681,46471,40572,859,4781,0,11503,25,7,7,-853,1018,-451,68,-879,1019,-448,70
04-Jan-17,42,42962,42649,44952,44617,38976,817,4781,0,11503,0,8,12,-1021,1027,-361,77,-1008,1029,-350,73
04-Jan-17,43,41024,40688,42888,42545,37198,796,4781,0,11503,0,4,5,-1021,1014,-213,-26,-1009,1015,-211,-27
04-Jan-17,44,38699,38401,40607,40295,35032,774,4781,0,11503,0,4,9,-1021,1001,-230,-53,-1008,1002,-225,-53
04-Jan-17,45,36492,36179,38245,37923,32951,747,4781,0,11503,0,6,8,-1021,963,-102,-24,-1008,966,-100,-24
04-Jan-17,46,34241,34004,36032,35793,30800,719,4781,0,11503,0,10,15,-1019,980,-101,-61,-1002,983,-97,-63
04-Jan-17,47,31924,31691,33414,33178,28676,693,4781,0,11503,0,21,28,-835,1008,-24,-10,-825,1011,-24,-7
04-Jan-17,48,30638,30473,32228,32121,27486,666,4781,0,11503,0,120,134,-853,1001,-17,2,-824,1001,-17,2
05-Jan-17,1,30220,30079,31990,32011,27165,646,4781,0,11503,0,1170,1360,387,987,61,98,409,988,65,104
05-Jan-17,2,30649,30535,32622,32915,27643,625,4781,0,11503,0,1373,1606,436,1023,125,243,408,1026,128,247
05-Jan-17,3,30513,30353,32476,32839,27527,612,4781,0,11503,0,1279,1565,-84,996,229,287,-82,996,234,287
05-Jan-17,4,29865,29704,32099,32189,26945,598,4781,0,11503,0,1549,1955,-85,1008,293,287,-82,1009,292,287
05-Jan-17,5,29448,29295,31678,31782,26587,592,4781,0,11503,0,1572,1986,-58,978,243,287,-55,982,241,287
05-Jan-17,6,29465,29323,31931,31851,26585,585,4781,0,11503,0,1802,2207,-64,998,249,287,-55,998,249,287
05-Jan-17,7,29122,28954,31514,31597,26228,583,4781,0,11503,0,1792,2197,715,991,266,287,734,993,266,287
05-Jan-17,8,28673,28519,31056,31153,25778,581,4781,0,11503,0,1783,2188,772,980,294,287,731,981,295,287
05-Jan-17,9,28497,28357,30888,30994,25648,574,4781,0,11503,0,1773,2178,-18,969,297,287,-14,969,297,287
05-Jan-17,10,28693,28540,31040,31032,25843,567,4781,0,11503,0,1747,1995,15,974,297,287,-18,981,297,287
05-Jan-17,11,29409,29312,32447,32516,26523,563,4781,0,11503,0,1432,1573,-1006,1011,297,287,-1003,1010,297,287
05-Jan-17,12,30751,30732,33593,33671,27765,558,4781,0,11503,0,1221,1348,-1021,1011,296,287,-1008,1013,296,287
05-Jan-17,13,33993,33997,35750,35848,30792,567,4781,0,11503,0,136,225,-1021,1001,297,287,-1008,1003,297,287
05-Jan-17,14,37314,37296,38944,38919,33958,576,4781,0,11503,0,9,9,-1021,1000,297,287,-1008,1002,297,287
05-Jan-17,15,41199,41189,42612,42824,37553,596,4781,0,11503,0,12,11,-801,539,292,287,-782,517,292,287
05-Jan-17,16,43329,43220,44707,44845,39527,616,4781,0,11503,140,12,10,-766,487,296,287,-756,494,295,287
05-Jan-17,17,44279,44104,45664,45740,40349,649,4781,89,11503,383,19,14,-766,919,268,280,-756,932,267,278
05-Jan-17,18,44286,44101,45688,45733,40348,682,4781,470,11503,362,18,20,-784,944,294,221,-783,947,295,219
05-Jan-17,19,44904,44773,46535,46394,40895,722,4781,1220,11503,271,10,6,-1021,986,297,166,-1008,986,297,166
05-Jan-17,20,44805,44605,46436,46229,40776,762,4781,2060,11503,210,9,11,-1022,958,275,166,-1008,960,269,166
