,,,2020,,2021,,2022,,2023,,2024,,2025,,2026,,2027,,2028,,2029,,2030,,2031,,2032,,2033,,2034,,2035,,2036,,2037,,2038,,2039,,2040,,2041,,2042,,2043,,2044,,2045,,2046,,2047,,2048,,2049,,2050,,,,,,
,Domestic 2019,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,,,,,
Stella West,145.95756,,262.35,2.0%,275.451,2.0%,295.33,2.1%,332.945,2.2%,379.388,2.3%,459.004,2.5%,538.532,2.7%,617.94,2.8%,702.138,2.9%,791.144,3.0%,890.89,3.1%,1000.412,3.2%,1112.784,3.3%,1219.387,3.3%,1336.431,3.4%,1432.994,3.4%,1502.824,3.4%,1566.246,3.5%,1635.981,3.5%,1727.782,3.5%,1821.878,3.6%,1915.723,3.6%,2009.407,3.6%,2102.934,3.6%,2190.027,3.6%,2277.002,3.7%,2363.827,3.7%,2450.523,3.7%,2537.077,3.7%,2623.473,3.7%,2709.73,3.7%,,,,,
Penwortham,103.36259,,251.335,1.9%,259.297,1.9%,273.946,1.9%,297.036,2.0%,324.817,2.0%,368.755,2.0%,412.593,2.1%,456.37,2.1%,504.036,2.1%,555.575,2.1%,615.941,2.2%,682.527,2.2%,751.483,2.2%,815.719,2.2%,888.465,2.2%,944.549,2.2%,978.805,2.2%,1007.831,2.2%,1042.056,2.2%,1094.253,2.2%,1147.413,2.2%,1200.443,2.2%,1253.304,2.2%,1306.055,2.3%,1353.573,2.3%,1400.973,2.3%,1448.265,2.3%,1495.443,2.3%,1542.484,2.3%,1589.444,2.3%,1636.264,2.2%,,,,,
Deeside,141.94391,,613.319,4.7%,633.12,4.7%,669.182,4.7%,713.765,4.7%,768.846,4.7%,863.277,4.8%,957.594,4.8%,1051.804,4.8%,1151.692,4.8%,1257.162,4.8%,1375.519,4.8%,1505.35,4.8%,1638.654,4.8%,1765.053,4.8%,1903.853,4.8%,2018.395,4.8%,2101.207,4.8%,2176.446,4.8%,2259.178,4.9%,2368.059,4.9%,2479.615,4.9%,2590.945,4.8%,2702.057,4.8%,2812.984,4.8%,2916.303,4.9%,3019.438,4.9%,3122.437,4.9%,3225.263,4.9%,3327.911,4.9%,3430.405,4.9%,3532.713,4.9%,,,,,
Daines,151.98015,,335.82,2.6%,349.174,2.6%,371.324,2.6%,399.487,2.6%,435.163,2.7%,500.587,2.8%,565.984,2.8%,631.288,2.9%,699.093,2.9%,769.36,3.0%,845.246,3.0%,928.096,3.0%,1012.455,3.0%,1093.784,3.0%,1180.544,3.0%,1256.714,3.0%,1318.974,3.0%,1377.923,3.1%,1440.164,3.1%,1513.832,3.1%,1589.648,3.1%,1665.357,3.1%,1740.984,3.1%,1816.489,3.1%,1888.707,3.1%,1960.844,3.2%,2032.899,3.2%,2104.897,3.2%,2176.803,3.2%,2248.65,3.2%,2320.406,3.2%,,,,,
Th. Marsh/Stocksbridge,161.59842,,333.472,2.6%,347.415,2.6%,370.05,2.6%,398.429,2.6%,434.595,2.7%,502.416,2.8%,570.318,2.9%,638.085,2.9%,707.926,3.0%,779.936,3.0%,856.607,3.0%,940.201,3.0%,1025.002,3.0%,1107.385,3.0%,1194.259,3.0%,1272.132,3.0%,1338.444,3.1%,1401.879,3.1%,1468.071,3.2%,1543.894,3.2%,1622.064,3.2%,1700.093,3.2%,1778.122,3.2%,1856.01,3.2%,1931.2,3.2%,2006.269,3.2%,2081.24,3.2%,2156.168,3.2%,2231.079,3.3%,2305.869,3.3%,2380.647,3.3%,,,,,
Thornton/Drax/Eggborough,69.22865,,294.069,2.3%,306.984,2.3%,327.551,2.3%,357.522,2.4%,395.263,2.4%,463.391,2.6%,531.467,2.7%,599.485,2.7%,670.402,2.8%,744.25,2.9%,824.687,2.9%,912.589,2.9%,1002.282,2.9%,1088.442,3.0%,1180.963,3.0%,1261.034,3.0%,1324.736,3.0%,1384.555,3.1%,1448.226,3.1%,1525.379,3.1%,1604.656,3.1%,1683.844,3.2%,1762.891,3.2%,1841.859,3.2%,1916.907,3.2%,1991.875,3.2%,2066.774,3.2%,2141.561,3.2%,2216.258,3.2%,2290.898,3.2%,2365.435,3.3%,,,,,
Keadby,86.03201,,296.804,2.3%,305.947,2.3%,322.966,2.3%,345.75,2.3%,373.502,2.3%,419.037,2.3%,464.493,2.3%,509.878,2.3%,558.694,2.3%,610.909,2.3%,670.885,2.4%,736.856,2.4%,804.967,2.4%,868.888,2.4%,940.289,2.4%,997.071,2.4%,1034.642,2.4%,1067.662,2.4%,1105.193,2.4%,1158.524,2.4%,1213.017,2.4%,1267.38,2.4%,1321.605,2.4%,1375.698,2.4%,1425.222,2.4%,1474.636,2.4%,1523.948,2.4%,1573.162,2.4%,1622.266,2.4%,1671.29,2.4%,1720.184,2.4%,,,,,
Ratcliffe,185.67518,,627.689,4.8%,645.354,4.8%,679.766,4.8%,720.916,4.8%,770.952,4.7%,852.712,4.7%,934.33,4.7%,1015.819,4.6%,1103.587,4.6%,1197.605,4.6%,1305.834,4.6%,1424.929,4.6%,1547.894,4.5%,1663.219,4.5%,1792.254,4.5%,1894.469,4.5%,1961.523,4.5%,2020.177,4.5%,2087.154,4.5%,2183.089,4.5%,2281.055,4.5%,2378.785,4.5%,2476.264,4.4%,2573.51,4.4%,2662.379,4.4%,2751.055,4.4%,2839.536,4.4%,2927.833,4.4%,3015.94,4.4%,3103.878,4.4%,3191.615,4.4%,,,,,
Feckenham,214.13411,,613.953,4.7%,637.545,4.7%,677.207,4.8%,730.854,4.8%,797.972,4.9%,917.039,5.1%,1036.025,5.2%,1154.873,5.3%,1279.481,5.4%,1409.849,5.4%,1553.276,5.5%,1710.246,5.5%,1870.736,5.5%,2024.198,5.5%,2190.298,5.5%,2331.688,5.5%,2440.778,5.6%,2542.168,5.6%,2651.177,5.7%,2786.841,5.7%,2926.075,5.7%,3065.133,5.7%,3203.97,5.7%,3342.586,5.8%,3473.503,5.8%,3604.201,5.8%,3734.765,5.8%,3865.133,5.8%,3995.351,5.8%,4125.387,5.8%,4255.263,5.9%,,,,,
Walpole,113.27725,,490.872,3.8%,503.971,3.7%,530.232,3.7%,570.256,3.8%,617.647,3.8%,688.435,3.8%,759.072,3.8%,829.53,3.8%,907.807,3.8%,993.805,3.8%,1097.483,3.9%,1212.203,3.9%,1331.712,3.9%,1441.752,3.9%,1568.801,3.9%,1662.54,3.9%,1712.611,3.9%,1752.28,3.9%,1802.25,3.9%,1888.179,3.9%,1975.424,3.9%,2062.36,3.9%,2149.016,3.9%,2235.361,3.9%,2311.286,3.8%,2386.982,3.8%,2462.447,3.8%,2537.682,3.8%,2612.678,3.8%,2687.454,3.8%,2761.989,3.8%,,,,,
