,,,2020,,2021,,2022,,2023,,2024,,2025,,2026,,2027,,2028,,2029,,2030,,2031,,2032,,2033,,2034,,2035,,2036,,2037,,2038,,2039,,2040,,2041,,2042,,2043,,2044,,2045,,2046,,2047,,2048,,2049,,2050,,,,,,
,Domestic 2019,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,,,,,
Stella West,145.95756,,262.35,2.0%,276.601,2.0%,300.98,2.0%,371.485,2.2%,453.978,2.4%,567.814,2.6%,681.392,2.7%,794.69,2.9%,907.718,3.0%,1020.474,3.0%,1134.89,3.1%,1262.952,3.2%,1397.074,3.2%,1525.267,3.3%,1655.741,3.3%,1759.234,3.3%,1837.504,3.4%,1899.766,3.4%,1977.911,3.4%,2076.462,3.4%,2194.458,3.5%,2311.793,3.5%,2436.817,3.5%,2547.574,3.5%,2636.277,3.5%,2709.372,3.5%,2776.227,3.5%,2843.023,3.6%,2909.797,3.6%,2976.623,3.6%,3043.36,3.6%,,,,,
Penwortham,103.36259,,251.335,1.9%,261.947,1.9%,287.126,1.9%,337.026,2.0%,394.197,2.1%,466.025,2.1%,537.593,2.2%,608.98,2.2%,680.116,2.2%,751.035,2.2%,823.301,2.3%,905.057,2.3%,991.723,2.3%,1073.549,2.3%,1157.205,2.3%,1218.939,2.3%,1260.085,2.3%,1288.221,2.3%,1329.246,2.3%,1386.923,2.3%,1459.593,2.3%,1531.723,2.3%,1610.154,2.3%,1676.955,2.3%,1725.763,2.3%,1761.853,2.3%,1792.855,2.3%,1823.843,2.3%,1854.794,2.3%,1885.744,2.3%,1916.674,2.3%,,,,,
Deeside,141.94391,,613.319,4.7%,639.46,4.7%,700.762,4.7%,784.335,4.6%,882.136,4.6%,1017.147,4.6%,1151.804,4.6%,1286.164,4.6%,1420.162,4.6%,1553.882,4.6%,1689.549,4.6%,1841.42,4.6%,2000.464,4.6%,2152.443,4.6%,2307.113,4.6%,2429.905,4.6%,2522.757,4.6%,2596.626,4.6%,2689.308,4.6%,2806.169,4.6%,2946.065,4.6%,3085.225,4.6%,3233.497,4.6%,3364.864,4.6%,3470.083,4.6%,3556.748,4.6%,3636.047,4.6%,3715.313,4.7%,3794.541,4.7%,3873.765,4.7%,3952.963,4.7%,,,,,
Daines,151.98015,,335.82,2.6%,351.774,2.6%,384.354,2.6%,429.597,2.5%,483.983,2.5%,567.147,2.6%,650.164,2.6%,733.038,2.6%,815.793,2.7%,898.4,2.7%,981.876,2.7%,1074.356,2.7%,1169.975,2.7%,1262.494,2.7%,1356.214,2.7%,1435.974,2.7%,1502.644,2.7%,1560.983,2.8%,1627.574,2.8%,1704.742,2.8%,1792.948,2.8%,1880.837,2.8%,1972.704,2.8%,2057.189,2.8%,2130.237,2.8%,2195.144,2.9%,2256.849,2.9%,2318.517,2.9%,2380.183,2.9%,2441.87,2.9%,2503.506,3.0%,,,,,
Th. Marsh/Stocksbridge,161.59842,,333.472,2.6%,349.785,2.6%,381.85,2.6%,424.569,2.5%,476.515,2.5%,559.346,2.5%,642.038,2.6%,724.665,2.6%,807.166,2.6%,889.456,2.6%,972.557,2.7%,1064.261,2.7%,1158.622,2.7%,1250.365,2.7%,1343.099,2.7%,1424.072,2.7%,1493.964,2.7%,1556.929,2.8%,1626.811,2.8%,1705.654,2.8%,1794.204,2.8%,1882.543,2.8%,1974.282,2.8%,2059.71,2.8%,2135.53,2.8%,2204.529,2.9%,2270.79,2.9%,2337.008,2.9%,2403.259,3.0%,2469.479,3.0%,2535.717,3.0%,,,,,
Thornton/Drax/Eggborough,69.22865,,294.069,2.3%,308.864,2.3%,336.901,2.3%,386.942,2.3%,446.663,2.3%,535.671,2.4%,624.507,2.5%,713.165,2.6%,801.682,2.6%,890.03,2.6%,979.377,2.7%,1078.629,2.7%,1181.572,2.7%,1280.902,2.7%,1381.593,2.7%,1465.874,2.8%,1534.746,2.8%,1593.875,2.8%,1662.666,2.9%,1743.919,2.9%,1837.786,2.9%,1931.284,2.9%,2029.461,2.9%,2118.939,2.9%,2194.987,2.9%,2261.465,2.9%,2324.144,3.0%,2386.831,3.0%,2449.488,3.0%,2512.148,3.0%,2574.785,3.1%,,,,,
Keadby,86.03201,,296.804,2.3%,309.157,2.3%,338.996,2.3%,385.34,2.3%,438.912,2.3%,508.927,2.3%,578.763,2.3%,648.428,2.3%,717.864,2.3%,787.119,2.3%,857.555,2.3%,936.876,2.3%,1020.517,2.3%,1099.888,2.3%,1180.899,2.3%,1242.621,2.3%,1286.282,2.3%,1318.472,2.3%,1362.013,2.3%,1420.194,2.3%,1491.787,2.3%,1562.94,2.3%,1639.615,2.3%,1706.088,2.3%,1756.742,2.3%,1796.206,2.3%,1831.198,2.3%,1866.192,2.3%,1901.156,2.3%,1936.11,2.3%,1971.044,2.3%,,,,,
Ratcliffe,185.67518,,627.689,4.8%,652.714,4.8%,716.466,4.8%,800.806,4.7%,898.142,4.7%,1024.802,4.6%,1151.09,4.6%,1277.029,4.6%,1402.617,4.6%,1527.835,4.5%,1655.244,4.5%,1798.759,4.5%,1950.224,4.5%,2093.869,4.5%,2240.504,4.5%,2351.799,4.4%,2429.973,4.4%,2487.157,4.4%,2565.124,4.4%,2669.909,4.4%,2799.245,4.4%,2927.755,4.4%,3066.384,4.4%,3186.28,4.4%,3277.239,4.4%,3347.675,4.4%,3409.926,4.4%,3472.143,4.4%,3534.33,4.3%,3596.498,4.3%,3658.645,4.3%,,,,,
Feckenham,214.13411,,613.953,4.7%,642.605,4.7%,702.487,4.7%,795.864,4.7%,906.392,4.7%,1066.809,4.8%,1226.835,4.9%,1386.543,5.0%,1545.911,5.0%,1704.999,5.1%,1866.066,5.1%,2045.446,5.1%,2232.146,5.1%,2411.658,5.2%,2593.888,5.2%,2743.688,5.2%,2862.988,5.2%,2963.008,5.3%,3082.127,5.3%,3225.901,5.3%,3394.015,5.3%,3561.383,5.3%,3738.04,5.3%,3897.456,5.3%,4030.263,5.4%,4144.231,5.4%,4250.685,5.4%,4357.063,5.5%,4463.481,5.5%,4569.817,5.5%,4676.143,5.5%,,,,,
Walpole,113.27725,,490.872,3.8%,509.961,3.7%,560.102,3.7%,653.766,3.9%,759.907,4.0%,886.475,4.0%,1012.582,4.1%,1138.24,4.1%,1263.467,4.1%,1388.245,4.1%,1515.733,4.1%,1660.783,4.2%,1815.682,4.2%,1960.892,4.2%,2109.791,4.2%,2214.81,4.2%,2278.691,4.2%,2316.51,4.1%,2380.15,4.1%,2477.079,4.1%,2603.284,4.1%,2728.46,4.1%,2866.206,4.1%,2980.671,4.1%,3059.206,4.1%,3112.242,4.1%,3155.127,4.0%,3197.982,4.0%,3240.788,4.0%,3283.574,4.0%,3326.319,3.9%,,,,,
