,Beauly,Peterhead,Errochty,Denny/Bonnybridge,Neilston,Strathaven,Torness,Eccles,Harker,Stella West,Penwortham,Deeside,Daines,Th. Marsh/Stocksbridge,Thornton/Drax/Eggborough,Keadby,Ratcliffe,Feckenham,Walpole,Bramford,Pelham,Sundon/East Claydon,Melksham,Bramley,London,Kemsley,Sellindge,Lovedean,S.W.Penisula,Netherlands,Belgium,France1,France2,Ireland,N. Ireland
0,160.88411,226.84631,79.98703,596.21545,704.2068,204.74405,181.56123,52.296215,246.68007,1493.8192,757.917,1623.468,1648.1681,1315.0548,1197.8,429.74634,1038.3375,2113.4775,579.4732,726.11975,441.9521,1486.0258,2177.8594,682.00836,4684.5938,817.094,418.75095,1130.1368,1372.2759,-0.0,-0.0,-0.0,1.0,272.0,187.5
1,159.93301,225.50528,79.514175,592.6908,700.04376,203.53368,180.4879,51.987057,245.22179,1484.9883,753.4364,1613.8706,1638.4247,1307.2806,1190.7191,427.20584,1032.1992,2100.9834,576.04755,721.82715,439.33942,1477.2408,2164.9846,677.97656,4656.9,812.2636,416.27542,1123.4558,1364.1635,-0.0,-0.0,-0.0,1.0,23.5,148.5
2,157.04596,221.43454,78.07881,581.99176,687.40686,199.85956,177.22981,51.048607,240.79514,1458.1818,739.83563,1584.7375,1608.8484,1283.6821,1169.2246,419.49408,1013.56635,2063.0571,565.6489,708.797,431.40863,1450.5743,2125.903,665.738,4572.8354,797.60095,408.761,1103.1757,1339.5381,-0.0,-0.0,-0.0,1.0,-0.0,59.5
3,149.7214,211.10693,74.43725,554.84796,655.3465,190.5382,168.96388,48.667725,229.56456,1390.1729,705.3301,1510.8262,1533.8125,1223.8118,1114.6925,399.92905,966.29407,1966.8372,539.26733,675.739,411.28793,1382.9202,2026.752,634.68823,4359.5605,760.4012,389.69656,1051.724,1277.0626,-0.0,-0.0,-0.0,1.0,64.0,74.0
4,145.86075,205.6634,72.517845,540.54083,638.448,185.62506,164.60706,47.412796,223.6451,1354.3264,687.1427,1471.8687,1494.2622,1192.255,1085.9496,389.61664,941.3776,1916.1211,525.362,658.3147,400.68262,1347.2607,1974.491,618.32245,4247.1465,740.7938,379.648,1024.6047,1244.1328,-0.0,-0.0,-0.0,1.0,-0.0,74.0
5,139.83058,197.16089,69.51981,518.19385,612.05334,177.95096,157.80188,45.45266,214.39917,1298.3359,658.7349,1411.0187,1432.4865,1142.9648,1041.0543,373.50916,902.4592,1836.9049,503.64255,631.0987,384.1176,1291.5624,1892.8617,592.75977,4071.5613,710.16797,363.9526,982.2456,1192.6979,-0.0,45.0,-0.0,1.0,-0.0,74.0
6,140.7423,198.44638,69.97308,521.5725,616.04395,179.1112,158.83075,45.749012,215.79706,1306.8011,663.02985,1420.2186,1441.8264,1150.4171,1047.842,375.94443,908.3433,1848.8816,506.9263,635.2135,386.6221,1299.9834,1905.2032,596.62463,4098.108,714.7983,366.3256,988.64984,1200.4744,-0.0,-0.0,-0.0,1.0,-0.0,69.5
7,146.50513,206.57199,72.83821,542.92883,641.26855,186.44511,165.33424,47.622257,224.6331,1360.3096,690.17834,1478.371,1500.8635,1197.5221,1090.7471,391.3379,945.5364,1924.586,527.6829,661.22296,402.45276,1353.2126,1983.2139,621.0541,4265.9097,744.06647,381.3252,1029.1312,1249.629,-0.0,-0.0,-0.0,1.0,-0.0,13.5
8,148.42984,209.28581,73.79512,550.0615,649.6931,188.89452,167.50632,48.24789,227.58421,1378.1805,699.2455,1497.793,1520.5809,1213.2545,1105.0767,396.47906,957.9583,1949.8702,534.61536,669.9097,407.73993,1370.9904,2009.2682,629.2131,4321.9526,753.8416,386.33484,1042.6514,1266.046,-0.0,-0.0,-0.0,1.0,-0.0,34.5
9,152.91518,215.61014,76.0251,566.6836,669.3259,194.60265,172.56812,49.70587,234.46149,1419.8271,720.37573,1543.0542,1566.5308,1249.9174,1138.4705,408.46008,986.90643,2008.7925,550.7706,690.1535,420.06125,1412.4198,2069.9854,648.22705,4452.5557,776.6216,398.0093,1074.1588,1304.3041,-0.0,-0.0,-0.0,1.0,-0.0,-0.0
10,167.6093,236.32883,83.330605,621.1381,733.64374,213.30266,189.15077,54.482277,256.99167,1556.2631,789.599,1691.3314,1717.064,1370.026,1247.8699,447.7104,1081.7416,2201.824,603.69604,756.4726,460.42636,1548.1439,2268.8972,710.51733,4880.417,851.24976,436.25537,1177.3783,1429.639,-0.0,-0.0,-0.0,1.0,-0.0,-0.0
11,182.68611,257.58713,90.82637,677.01086,799.63654,232.4897,206.16528,59.383076,280.1086,1696.2523,860.6252,1843.4703,1871.5176,1493.2628,1360.1185,487.9829,1179.0466,2399.8828,657.9998,824.519,501.84268,1687.4027,2472.9893,774.4299,5319.421,927.82153,475.49747,1283.286,1558.2382,-0.0,-0.0,-0.0,1.0,-0.0,-0.0
12,191.88191,270.55316,95.39826,711.08923,839.8875,244.19243,216.54294,62.37221,294.2083,1781.6357,903.94604,1936.2642,1965.7233,1568.4286,1428.5822,512.54626,1238.3958,2520.6848,691.1213,866.0224,527.1037,1772.3408,2597.4712,813.412,5587.182,974.52484,499.43237,1347.8822,1636.6744,-0.0,-0.0,-0.0,1.0,-0.0,-0.0
13,201.31407,283.85248,100.08766,746.0436,881.17303,256.19595,227.18733,65.43819,308.67044,1869.214,948.3805,2031.4434,2062.3506,1645.5262,1498.8057,537.741,1299.2704,2644.5916,725.09406,908.59265,553.01404,1859.462,2725.1526,853.3961,5861.8257,1022.42865,523.9825,1414.1387,1717.127,-0.0,-0.0,-0.0,1.0,-0.0,7.5
14,202.92642,286.12592,100.88928,752.01874,888.23047,258.24786,229.00691,65.96229,311.14264,1884.1848,955.9762,2047.7135,2078.8682,1658.7056,1510.8098,542.0479,1309.6764,2665.7727,730.9014,915.8697,557.44324,1874.3547,2746.9788,860.23114,5908.7744,1030.6174,528.17914,1425.4648,1730.8796,-0.0,-0.0,-0.0,1.0,-0.0,-0.0
15,203.11214,286.38776,100.98161,752.70703,889.0434,258.48422,229.21649,66.02266,311.4274,1885.9092,956.85114,2049.5876,2080.7708,1660.2236,1512.1925,542.54395,1310.875,2668.2124,731.5704,916.7079,557.9534,1876.0702,2749.4927,861.01843,5914.182,1031.5607,528.66254,1426.7694,1732.4637,-0.0,-0.0,-0.0,1.0,-0.0,-0.0
