,1,16
0,-277.5388175717897,-0.0
1,-277.5388175745789,-0.0
2,-277.5388175767161,-0.0
3,-277.5388175771613,-0.0
4,-277.5388175778413,-0.0
5,-277.5388175766932,-0.0
6,-277.5388175757619,-0.0
7,-277.5388175759639,-0.0
8,-277.5388175773584,-0.0
9,-277.53881757517934,-0.0
10,-277.5388175706271,-0.0
11,-277.53881757016364,-0.0
12,-277.53881756976693,-0.0
13,-277.538817574551,-0.0
14,-277.5388175741464,-0.0
15,-277.538817575046,-0.0
16,-277.5388175702105,-0.0
17,-277.5388175599872,-0.0
18,-277.5388175431793,-0.0
19,-277.5388174956302,-0.0
20,-277.5388172502341,-0.0
21,-128.4248809935503,-43.93153576576352
22,-128.4248809758745,-43.78598576208807
23,-113.44886996171834,-48.10370322580018
24,-113.24837848236582,-48.018692402124415
25,-113.24837847795413,-48.01869240189536
26,-113.2483784762595,-48.018692402012256
27,-113.24837847609446,-48.018692402306435
28,-113.2483784749043,-48.01869240242217
29,-113.24837847056995,-48.018692402722024
30,-113.24837846715847,-48.01869240261154
31,-113.24837846650101,-48.01869240372531
32,-113.39862766579563,-48.082399894442226
33,-113.6512477582166,-48.189513887376634
34,-128.42488055690987,-43.841994295819006
35,-128.42488092997047,-43.841994184627076
36,-128.42488094458525,-43.841994171120035
37,-128.4248809523054,-43.83498592697485
38,-128.4248809530503,-43.84199417528761
39,-128.42488093985693,-43.84199418304664
40,-128.4248809343483,-43.8419941859075
41,-128.42488095765316,-43.84199417818125
42,-128.4248810256455,-43.84199415685097
43,-171.63933383558052,-31.102496946305283
44,-171.63933386084645,-30.980532797353113
45,-128.42488115408136,-43.597698608238936
46,-136.5120598536489,-41.20282372071029
47,-277.1440772442309,-0.0
48,-278.83582814938023,-0.0
49,-278.83582810576144,-0.0
50,-278.83582826948634,-0.0
51,-278.83582829999375,-0.0
52,-278.8358283331108,-0.0
53,-278.83582832678115,-0.0
54,-278.83582830227766,-0.0
55,-278.83582832062467,-0.0
56,-278.83582834584934,-0.0
57,-278.8358283491305,-0.0
58,-278.83582835225434,-0.0
59,-278.83582835312865,-0.0
60,-278.83582835387887,-0.0
61,-278.83582835282317,-0.0
62,-278.83582835303474,-0.0
63,-278.8358283383322,-0.0
64,-278.83582832663626,-0.0
65,-278.8358283398309,-0.0
66,-278.8358283420418,-0.0
67,-278.83582830282717,-0.0
68,-278.8358282733158,-0.0
69,-140.38762662545608,-40.65408725824008
70,-140.38762655106007,-40.62632854542366
71,-113.93967256071194,-48.31180948312008
72,-113.65163421295229,-48.189677744875695
73,-113.65163419380502,-48.189677749698504
74,-113.65163418939055,-48.18967775041968
75,-113.65163418328355,-48.18967775084154
76,-113.65163417753303,-48.18967775058772
77,-113.65163417161065,-48.18967774930021
78,-113.65163413866627,-48.18967774612751
79,-0.0,-20.516546495174595
80,-0.0,-0.0
81,-0.0,-0.0
82,-0.0,-0.0
83,-0.0,-0.0
84,-0.0,-0.0
85,-0.0,-0.0
86,-0.0,-0.0
87,-0.0,-0.0
88,-1.1084006687392325e-06,-0.0
89,-278.13093382358,-0.0
90,-278.13093401418496,-0.0
91,-278.1309341795538,-0.0
92,-278.1309342377994,-0.0
93,-278.1309342660591,-0.0
94,-187.62749454252835,-26.55738701958566
95,-130.71407352542482,-43.19066904488546
96,-130.7140735005259,-42.9841450040127
97,-130.7140734865472,-42.98414500980078
98,-130.71407349890748,-42.9841450058542
99,-130.71407348638584,-42.9841450098145
100,-130.71407348053737,-42.98414501147528
101,-130.7140734591652,-42.984145018965066
102,-113.36359331453498,-48.06754485448257
103,-113.36359370067966,-48.06754474185285
104,-130.714073464461,-42.98414501820295
105,-130.71407347288581,-42.98414501604766
106,-174.69882982605043,-30.11494000545418
107,-130.7140735056064,-43.00926836990187
108,-130.714073544928,-43.009268359081545
109,-174.69882995396708,-30.114939977787945
110,-174.69883028097993,-30.114939879045664
111,-174.69883028406053,-30.11493988020864
112,-174.69883027479713,-30.164932733542543
113,-174.6988303019655,-30.283686045464364
114,-277.4260306766882,-0.0
115,-277.42603070326504,-0.0
116,-174.69883029471953,-30.27884468617843
117,-174.69883024890214,-30.14433605259647
118,-174.69883003366076,-30.114939955208722
119,-113.48851246793289,-48.03094563819318
120,-113.0755549470207,-47.94541312742093
121,-113.07555494530766,-47.94541312821507
122,-113.07555494467357,-47.94541312833829
123,-113.07555494836554,-47.94541312840872
124,-113.07555495073909,-47.945413128092376
125,-113.0755549504131,-47.94541312831144
126,-113.075554948754,-47.94541312846179
127,-113.11462972871847,-47.961981311141614
128,-113.4778094399897,-48.11597393013967
129,-113.4885124189073,-48.12051210959971
130,-113.48851246546911,-48.12051209629383
131,-113.48851246997118,-48.12051209432494
132,-113.48851247561198,-48.12051209213704
133,-113.48851249705153,-48.12051208249176
134,-113.48851257170504,-48.12051204534864
135,-113.48851250878994,-48.112819207870274
136,-113.48851250062465,-48.12051205866886
137,-151.67693781310592,-36.8626734152915
138,-276.7211395886655,-0.0
139,-276.7211396117591,-0.0
140,-276.7211396688117,-0.0
141,-276.72113967397524,-0.0
142,-276.72113957436346,-0.0
143,-151.67694141851956,-36.63585396258579
144,-151.67693773345903,-36.90020521018592
145,-113.48851257196425,-48.08877362699946
146,-113.48851258421553,-48.08877362449181
147,-113.48851247846034,-48.08877365826975
148,-113.44424651851551,-48.101742845081695
149,-113.44424651630449,-48.10174284686716
150,-113.44424651904929,-48.10174284707872
151,-113.48344869847641,-48.11836504903282
152,-113.85855042695954,-48.27741276082192
153,-113.85855043234602,-48.27741276103834
154,-113.85855043574144,-48.277412759271925
155,-113.8585504383391,-48.27741275839714
156,-113.85855044161474,-48.27741275743289
157,-113.85855044725965,-48.27741275617849
158,-113.85855045618987,-48.277412753852865
159,-113.85855046205563,-48.27741275210587
160,-113.85855045448925,-48.27741275452136
161,-113.85855059122244,-48.277412717927646
162,-151.67693771874943,-37.12866026329354
163,-113.85855047526853,-48.27741274890678
164,-113.85855042601919,-48.27741275480646
165,-113.54891623823163,-48.14612409157085
166,-113.44424653134884,-48.101742846714586
167,-113.44424651242217,-48.10174284644844
168,-112.90273142984499,-47.872133852386874
169,-112.90273144004453,-47.87213384808314
170,-112.90273144840282,-47.87213384520036
171,-112.90273148005767,-47.87213383429551
172,-112.90273153790585,-47.87213381614218
173,-113.48851238394774,-47.700509848679005
174,-113.48851251891008,-47.7005098114366
175,-113.48851258224447,-47.728389782303346
176,-249.46689087644543,-7.927757022493826
177,-276.29820189277376,-0.0
178,-276.29820196103157,-0.0
179,-276.2982019598976,-0.0
180,-276.2982019605148,-0.0
181,-276.29820196037497,-0.0
182,-276.2982019508294,-0.0
183,-276.2982019616779,-0.0
184,-276.2982019760527,-0.0
185,-276.29820203846293,-0.0
186,-285.7424107361855,-0.0
187,-285.74241070270045,-0.0
