,Dinorwig,Ffestiniog,Cruachan,Foyers
0,8.378037164684382e-06,7.992798888249323e-06,401.80972609498014,282.62182235331386
1,3.9625888593166145e-06,3.897949082316962e-06,382.5990613907214,263.46249065590155
2,2.867044625150141e-06,2.868693576959822e-06,373.8858991098866,261.0996354796686
3,2.3541826575058857e-06,2.3556934345021176e-06,362.1927628997532,261.1943739186267
4,2.0446132402838226e-06,2.041032470543445e-06,343.4701073696512,251.83370604378135
5,1.8289071626652452e-06,1.8221132382887872e-06,322.60293615197395,239.64321022936934
6,1.6621410575445769e-06,1.6595441134649188e-06,307.50291983049533,227.1727910701759
7,1.5321991349808167e-06,1.5327414415790093e-06,298.16834648738956,212.68955523521544
8,1.4277018988516321e-06,1.4291324942564866e-06,285.30951920275334,215.61817281133372
9,1.3441065499350324e-06,1.3439447117649242e-06,275.47790252652527,210.87681286836462
10,1.2727536723984964e-06,1.2734696347496254e-06,285.7737601662818,204.93095531778988
11,1.2082412441686686e-06,1.2116498604779718e-06,290.7714412738383,206.85064544576295
12,1.1521747921390606e-06,1.1552504550952786e-06,286.8086308822534,200.270096825971
13,1.0992861177526059e-06,1.1083382876204945e-06,311.9185691921121,194.17689486436606
14,1.0551199656498062e-06,1.0637974513075772e-06,314.96973081925137,186.70365636077418
15,1.0153183732530654e-06,1.0229168650079169e-06,313.0444148631903,186.63435098269431
16,9.789764982769801e-07,9.868819114632202e-07,308.0507123321018,178.60853088469446
17,9.440114847495627e-07,9.553518533702092e-07,286.9886776952936,173.77702071108774
18,9.094191713571213e-07,9.255105067851314e-07,242.3365929689931,171.39728513722994
19,8.783382448786035e-07,8.944985580756957e-07,119.2283282657833,169.12528008697998
20,8.404376410801362e-07,8.564283750313073e-07,28.453498689863082,163.35529657977423
21,2.301053386809742e-05,2.5414520466912865e-05,4.1844210103628883e-07,146.09641734268243
22,1.1732979479468496e-05,1.273020275650078e-05,4.1726816297890087e-07,125.12323771503172
23,0.00036250454981754136,0.00039855336194837216,3.130133839471232e-07,94.56495334000068
24,3.915641749169626e-05,4.6849788047347116e-05,3.096091662525056e-07,84.19921804582071
25,3.7206670338425524e-05,4.3233098844898084e-05,3.0801130015047177e-07,83.53319334254446
26,3.438903281962306e-05,4.004581606315005e-05,3.0824431300657974e-07,84.75442933604705
27,3.175696960128243e-05,3.724882273754826e-05,3.085608440823093e-07,84.24920170898992
28,2.9868122650878256e-05,3.496732058390318e-05,3.0875668333723686e-07,84.5369232135771
29,2.814139734346713e-05,3.2943181571749944e-05,3.090570008140961e-07,89.23381848140356
30,2.6902846167324855e-05,3.121283839053747e-05,3.091684860423823e-07,93.44735946100481
31,2.6000867721813844e-05,2.9960117199698288e-05,3.103806245021004e-07,103.24441584917301
32,4.073649613027091e-05,4.6377582096361245e-05,3.124809798651786e-07,113.96392869823367
33,0.00041958020330482276,0.00044532812291841074,3.1523113890974605e-07,120.15099889562957
34,8.725111399070167e-06,9.7822536155877e-06,4.319216868123899e-07,126.23372606712597
35,8.886304998785731e-06,9.760550317481243e-06,4.2894284144674054e-07,127.4295368927188
36,8.925746484399292e-06,9.725739084342114e-06,4.218728348109164e-07,126.49418342286361
37,8.799048171952384e-06,9.55257042203775e-06,4.1902969327271513e-07,126.35786440776702
38,8.83362159043181e-06,9.562183732630009e-06,4.1929362427339906e-07,123.43557946625016
39,8.746679092396873e-06,9.427950181526576e-06,4.2405428938755356e-07,119.90494559744887
40,8.695010678435699e-06,9.334187010835314e-06,4.255697226989223e-07,119.13433590884682
41,8.71199806162005e-06,9.323743196384417e-06,4.20094796779395e-07,124.47441639763595
42,8.603652503738228e-06,9.307052870117082e-06,4.219428205191025e-07,136.75255409123326
43,2.2467034235722676e-06,2.3336604144219198e-06,36.45525152887259,131.96057749800158
44,2.1621971456842963e-06,2.2397998302517125e-06,29.090950057525895,138.12297195212238
45,6.508800893679188e-06,6.9592938817181e-06,4.261849233063518e-07,132.37278446967028
