,Interconnector Sellindge,Interconnector Neilston,Interconnector Kemsley,Interconnector Deeside
0,0.7939062375,0.0,0.76772726,0.0
1,0.7990624803125,0.0,0.775,0.0
2,0.7990624803125,0.0,0.77454543,0.0
3,0.799218753125,0.0,0.77181816,0.0
4,0.7956249803125001,0.0,0.17590909,0.0
5,0.5324999859375,0.0,0.093636364,0.0
6,0.5887499946875,0.0,0.29636362,0.0
7,0.7895312415625,0.0,0.5386364,0.0
8,0.7992187287499999,0.0,0.71681815,0.0
9,0.7993749734375001,0.023333333,0.77454543,0.0
10,0.799218753125,0.0075,0.7763636,0.1075
11,0.8439062390625,0.1125,0.8190909,0.08416667
12,0.917187516875,0.123333335,0.88863635,0.215
13,0.9370312875,0.0,0.9086364,0.008333334
14,0.9373437428125,0.100833334,0.90818185,0.11333334
15,0.9373437428125,0.135,0.9086364,0.3975
16,0.928906251875,0.135,0.8681818,0.6983333
17,0.9431250296875,0.135,0.90818185,0.84
18,0.92468751125,0.135,0.89,0.84
19,0.6635937837500001,0.135,0.815,0.84
20,0.6650000340625,0.135,0.66,0.84
21,0.7307812575,0.135,0.7572727,0.84
22,0.5945312625,0.135,0.86136365,0.84
23,0.4415625178125,0.135,0.7754545,0.84
24,0.2232812553124999,0.135,0.37045455,0.84
25,0.3978125104375,0.135,0.11772727,0.84
26,0.11937499875,0.135,0.23727272,0.84
27,0.0,0.135,0.28272727,0.84
28,0.0,0.135,0.1181818199999999,0.84
29,0.0,0.135,0.0,0.84
30,0.0,0.135,0.0,0.84
31,0.0,0.135,0.0,0.84
32,0.0,0.135,0.0,0.84
33,0.0,0.135,0.0,0.84
34,0.0,0.135,0.0,0.84
35,0.0,0.135,0.0,0.84
36,0.0789062505,0.135,0.0,0.84
37,0.162656248125,0.135,0.0,0.84
38,0.003593750146875,0.135,0.0,0.84
39,0.0,0.135,0.16727273,0.84
40,0.0987499996875,0.13333334,0.0,0.8
41,0.7139062378125,0.071666665,0.24363637,0.45
42,0.922343746875,0.0,0.5804545,0.0475
43,0.613437493125,0.0,0.58363634,0.0
44,0.855625020625,0.0,0.7918182,0.0
45,0.8962500106250001,0.0,0.6981818,0.0
46,0.4384375028124999,0.0,0.8090909,0.06333333
47,0.03953125,0.105,0.73045456,0.21416667
48,0.0,0.13416667,0.59409094,0.52916664
49,0.0,0.135,0.40136364,0.5883333
50,0.0,0.025833333,0.09409091,0.5875
51,0.201718741875,0.0,0.0,0.59
52,0.326406241875,0.0,0.0,0.5908333
53,0.0364062496875,0.0,0.0,0.47
