,,,2020,,2021,,2022,,2023,,2024,,2025,,2026,,2027,,2028,,2029,,2030,,2031,,2032,,2033,,2034,,2035,,2036,,2037,,2038,,2039,,2040,,2041,,2042,,2043,,2044,,2045,,2046,,2047,,2048,,2049,,2050,,,,,,
,Domestic 2019,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,,,,,
Stella West,145.95756,,73.162,7.2%,77.052,7.4%,106.081,9.8%,106.773,8.6%,107.537,7.1%,108.475,6.8%,109.583,6.4%,110.928,5.9%,112.489,5.6%,114.228,5.5%,116.14,5.2%,118.269,5.2%,120.621,5.1%,123.164,5.0%,125.898,4.5%,128.823,4.0%,131.946,3.7%,135.249,3.5%,138.742,3.3%,142.425,3.2%,146.295,2.9%,150.382,2.8%,208.831,3.7%,213.275,3.6%,217.905,3.4%,222.725,3.3%,227.734,3.3%,232.934,3.2%,238.326,3.2%,243.905,3.2%,249.676,3.2%,,,,,
Penwortham,103.36259,,97.818,9.6%,99.194,9.6%,99.491,9.2%,109.815,8.8%,110.175,7.3%,110.616,7.0%,111.139,6.5%,111.771,6.0%,162.405,8.1%,163.223,7.9%,164.121,7.4%,185.123,8.1%,186.23,7.9%,187.426,7.5%,192.513,6.9%,214.786,6.7%,266.257,7.4%,267.81,6.9%,269.452,6.5%,271.186,6.1%,278.107,5.6%,280.029,5.3%,282.029,5.0%,284.117,4.8%,286.296,4.5%,338.464,5.1%,340.82,4.9%,343.265,4.7%,345.801,4.6%,348.425,4.5%,351.141,4.4%,,,,,
Deeside,141.94391,,39.547,3.9%,40.247,3.9%,40.993,3.8%,41.812,3.4%,42.722,2.8%,43.836,2.8%,45.152,2.6%,46.743,2.5%,48.595,2.4%,50.658,2.4%,52.927,2.4%,55.451,2.4%,58.244,2.5%,61.261,2.5%,64.503,2.3%,78.973,2.5%,110.68,3.1%,114.598,3.0%,138.74,3.3%,145.109,3.2%,149.703,3.0%,219.55,4.1%,235.592,4.2%,246.861,4.2%,252.356,4.0%,258.077,3.9%,264.019,3.8%,270.188,3.7%,276.584,3.7%,283.2,3.7%,290.047,3.7%,,,,,
Daines,151.98015,,63.621,6.2%,64.161,6.2%,64.738,6.0%,65.37,5.2%,84.072,5.6%,84.93,5.3%,85.945,5.0%,137.176,7.3%,153.605,7.6%,183.697,8.8%,185.448,8.3%,187.393,8.2%,195.249,8.3%,197.579,7.9%,210.081,7.5%,232.757,7.3%,235.617,6.6%,240.541,6.2%,243.738,5.8%,256.609,5.7%,260.154,5.2%,269.594,5.1%,273.486,4.8%,277.553,4.7%,329.193,5.2%,383.506,5.7%,388.09,5.6%,512.851,7.1%,517.785,7.0%,542.896,7.1%,548.175,6.9%,,,,,
Th. Marsh/Stocksbridge,161.59842,,98.253,9.6%,98.831,9.5%,99.448,9.2%,120.126,9.6%,171.677,11.4%,172.597,10.8%,173.685,10.2%,175.004,9.4%,176.535,8.8%,178.24,8.6%,180.117,8.1%,182.204,8.0%,184.512,7.9%,187.008,7.5%,189.691,6.8%,192.558,6.0%,202.623,5.7%,242.964,6.3%,266.388,6.4%,270.001,6.0%,273.798,5.5%,277.807,5.2%,311.977,5.5%,316.335,5.3%,360.878,5.7%,365.607,5.5%,370.521,5.3%,375.621,5.2%,380.911,5.1%,386.385,5.0%,392.043,5.0%,,,,,
Thornton/Drax/Eggborough,69.22865,,80.231,7.9%,80.778,7.8%,81.367,7.6%,82.009,6.6%,82.722,5.5%,83.596,5.3%,84.631,4.9%,85.882,4.6%,87.339,4.3%,88.956,4.3%,90.739,4.1%,92.722,4.0%,99.913,4.3%,102.284,4.1%,112.833,4.0%,165.455,5.2%,172.37,4.8%,180.445,4.6%,185.199,4.4%,238.628,5.3%,292.237,5.8%,296.744,5.6%,300.705,5.3%,304.844,5.1%,309.159,4.9%,313.651,4.7%,318.319,4.6%,323.164,4.5%,328.186,4.4%,333.385,4.3%,338.762,4.3%,,,,,
Keadby,86.03201,,10.743,1.1%,11.054,1.1%,11.386,1.1%,11.75,0.9%,12.154,0.8%,12.649,0.8%,13.234,0.8%,13.942,0.7%,14.766,0.7%,15.681,0.8%,16.691,0.7%,17.812,0.8%,19.053,0.8%,20.394,0.8%,98.035,3.5%,99.577,3.1%,101.224,2.8%,102.966,2.7%,104.807,2.5%,106.749,2.4%,108.79,2.2%,110.944,2.1%,113.185,2.0%,115.527,1.9%,117.969,1.9%,120.51,1.8%,123.153,1.8%,125.894,1.7%,128.736,1.7%,131.678,1.7%,134.72,1.7%,,,,,
Ratcliffe,185.67518,,19.433,1.9%,19.986,1.9%,20.578,1.9%,21.225,1.7%,21.944,1.5%,22.824,1.4%,23.866,1.4%,25.126,1.3%,26.592,1.3%,28.223,1.4%,30.018,1.3%,32.015,1.4%,34.224,1.5%,36.611,1.5%,45.176,1.6%,47.921,1.5%,50.855,1.4%,53.954,1.4%,57.231,1.4%,60.687,1.4%,114.22,2.3%,118.055,2.2%,128.545,2.3%,132.713,2.2%,137.06,2.2%,143.485,2.1%,148.187,2.1%,153.067,2.1%,158.126,2.1%,163.364,2.1%,168.777,2.1%,,,,,
Feckenham,214.13411,,45.731,4.5%,46.664,4.5%,47.665,4.4%,76.757,6.2%,77.972,5.2%,79.46,5.0%,81.218,4.7%,133.347,7.1%,135.824,6.7%,138.578,6.7%,141.61,6.4%,144.984,6.3%,148.713,6.3%,152.746,6.1%,157.078,5.6%,161.713,5.1%,206.666,5.8%,220.403,5.7%,225.939,5.4%,231.779,5.2%,292.914,5.9%,299.39,5.6%,310.129,5.5%,322.17,5.4%,329.511,5.2%,337.154,5.0%,345.095,5.0%,353.34,4.9%,361.883,4.9%,370.727,4.8%,379.875,4.8%,,,,,
Walpole,113.27725,,7.004,0.7%,7.394,0.7%,7.81,0.7%,8.265,0.7%,8.77,0.6%,9.39,0.6%,10.122,0.6%,11.009,0.6%,12.041,0.6%,13.188,0.6%,14.449,0.6%,15.854,0.7%,17.408,0.7%,19.087,0.8%,20.892,0.7%,38.022,1.2%,40.084,1.1%,63.665,1.6%,65.97,1.6%,68.402,1.5%,70.957,1.4%,76.655,1.4%,79.46,1.4%,82.394,1.4%,85.45,1.3%,88.632,1.3%,91.94,1.3%,95.372,1.3%,98.931,1.3%,102.614,1.3%,106.423,1.3%,,,,,
Bramford,119.24258,,20.53,2.0%,21.082,2.0%,21.672,2.0%,22.316,1.8%,23.032,1.5%,23.909,1.5%,24.947,1.5%,26.202,1.4%,27.661,1.4%,29.285,1.4%,31.073,1.4%,33.062,1.4%,35.263,1.5%,37.64,1.5%,40.195,1.4%,42.927,1.3%,45.849,1.3%,98.336,2.5%,101.6,2.4%,105.042,2.3%,108.661,2.2%,112.48,2.1%,133.554,2.4%,154.806,2.6%,159.135,2.5%,163.64,2.4%,168.324,2.4%,173.185,2.4%,178.223,2.4%,183.438,2.4%,188.832,2.4%,,,,,
