,,,2020,,2021,,2022,,2023,,2024,,2025,,2026,,2027,,2028,,2029,,2030,,2031,,2032,,2033,,2034,,2035,,2036,,2037,,2038,,2039,,2040,,2041,,2042,,2043,,2044,,2045,,2046,,2047,,2048,,2049,,2050,,,,,,
,Domestic 2019,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,,,,,
Stella West,145.95756,,73.162,7.2%,77.661,7.1%,107.435,7.8%,109.096,6.6%,111.111,6.0%,114.019,5.8%,118.071,5.4%,122.817,5.4%,128.304,5.1%,134.511,4.5%,141.445,4.1%,149.296,4.0%,158.054,3.8%,167.603,3.6%,177.939,3.2%,189.064,3.0%,200.999,2.8%,213.805,2.7%,227.319,2.6%,241.595,2.6%,256.856,2.6%,374.123,3.4%,444.056,3.8%,461.894,3.7%,480.514,3.7%,499.951,3.7%,522.029,3.7%,543.1,3.7%,564.992,3.7%,637.696,4.0%,661.22,4.0%,,,,,
Penwortham,103.36259,,97.818,9.6%,98.383,9.0%,109.027,7.9%,182.809,11.0%,183.757,9.9%,204.126,10.4%,206.03,9.4%,208.263,9.1%,260.744,10.4%,263.663,8.8%,316.825,9.1%,320.518,8.5%,328.438,7.9%,332.929,7.1%,337.792,6.0%,348.124,5.5%,353.74,5.0%,359.761,4.6%,366.12,4.2%,372.833,4.0%,380.012,3.8%,387.618,3.5%,395.629,3.4%,504.02,4.1%,512.778,4.0%,521.921,3.9%,532.305,3.8%,542.218,3.7%,552.514,3.6%,563.194,3.6%,574.259,3.5%,,,,,
Deeside,141.94391,,39.547,3.9%,40.968,3.7%,42.6,3.1%,44.57,2.7%,46.961,2.5%,50.411,2.6%,55.217,2.5%,60.848,2.7%,67.359,2.7%,74.721,2.5%,82.948,2.4%,92.262,2.4%,105.653,2.5%,147.978,3.1%,160.241,2.9%,183.437,2.9%,197.598,2.8%,348.792,4.5%,466.822,5.4%,488.758,5.3%,512.861,5.1%,582.043,5.2%,602.249,5.1%,623.411,5.1%,645.501,5.0%,668.557,5.0%,694.751,5.0%,719.749,4.9%,745.716,4.9%,772.652,4.9%,800.558,4.9%,,,,,
Daines,151.98015,,63.621,6.2%,64.72,5.9%,65.977,4.8%,117.397,7.1%,137.243,7.4%,159.905,8.1%,198.615,9.1%,202.96,8.9%,207.984,8.3%,261.065,8.8%,323.113,9.3%,330.301,8.7%,366.818,8.8%,385.56,8.2%,395.021,7.1%,407.105,6.4%,523.735,7.4%,535.455,6.8%,557.327,6.4%,570.397,6.2%,584.368,5.8%,619.168,5.6%,634.762,5.4%,651.091,5.3%,668.136,5.2%,685.93,5.1%,706.143,5.0%,825.433,5.7%,845.471,5.6%,866.258,5.5%,887.794,5.4%,,,,,
Th. Marsh/Stocksbridge,161.59842,,98.253,9.6%,150.228,13.7%,171.575,12.4%,173.206,10.4%,175.184,9.5%,178.035,9.1%,182.009,8.3%,186.665,8.2%,192.049,7.6%,198.137,6.6%,204.94,5.9%,212.64,5.6%,221.235,5.3%,230.601,4.9%,247.74,4.4%,345.653,5.4%,377.363,5.3%,389.923,5.0%,453.079,5.2%,597.086,6.4%,652.053,6.5%,667.915,6.0%,684.623,5.8%,702.124,5.7%,720.387,5.6%,739.456,5.5%,811.114,5.8%,831.786,5.7%,853.258,5.6%,875.532,5.5%,898.609,5.5%,,,,,
Thornton/Drax/Eggborough,69.22865,,80.231,7.9%,81.345,7.4%,82.627,6.0%,84.174,5.1%,86.054,4.6%,88.762,4.5%,92.538,4.2%,96.96,4.2%,102.074,4.1%,107.857,3.6%,119.317,3.4%,126.632,3.4%,247.695,6.0%,260.591,5.5%,270.221,4.8%,280.587,4.4%,292.41,4.1%,355.84,4.6%,368.432,4.3%,381.735,4.1%,395.954,3.9%,411.019,3.7%,426.889,3.6%,443.511,3.6%,460.859,3.6%,478.971,3.6%,499.543,3.6%,519.177,3.6%,539.573,3.5%,560.73,3.5%,582.649,3.5%,,,,,
Keadby,86.03201,,10.743,1.1%,11.375,1.0%,12.1,0.9%,12.976,0.8%,14.039,0.8%,15.572,0.8%,17.708,0.8%,20.21,0.9%,23.103,0.9%,26.375,0.9%,106.032,3.1%,110.172,2.9%,114.989,2.8%,120.023,2.6%,125.473,2.2%,131.337,2.1%,137.632,1.9%,144.383,1.8%,151.509,1.8%,159.037,1.7%,167.082,1.7%,175.606,1.6%,184.586,1.6%,193.992,1.6%,203.808,1.6%,214.058,1.6%,225.698,1.6%,236.808,1.6%,248.348,1.6%,260.322,1.6%,272.725,1.7%,,,,,
Ratcliffe,185.67518,,19.433,1.9%,20.558,1.9%,21.848,1.6%,23.406,1.4%,25.299,1.4%,28.027,1.4%,31.83,1.5%,36.284,1.6%,41.436,1.6%,97.159,3.3%,103.667,3.0%,111.036,2.9%,125.256,3.0%,134.218,2.9%,143.917,2.6%,154.359,2.4%,165.562,2.3%,177.581,2.3%,190.264,2.2%,255.562,2.8%,276.384,2.7%,331.557,3.0%,347.543,3.0%,364.285,3.0%,381.759,3.0%,400.002,3.0%,420.724,3.0%,440.5,3.0%,461.045,3.0%,482.353,3.0%,504.431,3.1%,,,,,
Feckenham,214.13411,,45.731,4.5%,47.63,4.3%,99.81,7.2%,130.444,7.8%,133.638,7.2%,138.248,7.0%,144.671,6.6%,152.193,6.7%,160.893,6.4%,170.73,5.7%,181.725,5.2%,234.167,6.2%,248.056,6.0%,271.69,5.8%,288.073,5.1%,405.71,6.4%,424.634,6.0%,444.933,5.7%,471.349,5.5%,493.983,5.3%,568.173,5.6%,602.803,5.4%,729.802,6.2%,758.079,6.1%,787.598,6.1%,818.408,6.1%,853.407,6.1%,886.81,6.1%,921.506,6.1%,957.5,6.1%,1044.793,6.3%,,,,,
Walpole,113.27725,,7.004,0.7%,7.795,0.7%,8.703,0.6%,9.799,0.6%,11.13,0.6%,13.049,0.7%,15.725,0.7%,18.857,0.8%,22.48,0.9%,26.577,0.9%,31.155,0.9%,36.337,1.0%,52.12,1.3%,69.823,1.5%,94.846,1.7%,102.19,1.6%,110.07,1.6%,118.522,1.5%,127.443,1.5%,136.868,1.5%,146.942,1.5%,157.615,1.4%,168.859,1.4%,180.635,1.5%,192.926,1.5%,205.758,1.5%,220.331,1.6%,234.243,1.6%,248.692,1.6%,263.681,1.7%,279.211,1.7%,,,,,
Bramford,119.24258,,20.53,2.0%,21.652,2.0%,22.936,1.7%,24.488,1.5%,26.373,1.4%,29.091,1.5%,32.878,1.5%,37.315,1.6%,42.444,1.7%,48.245,1.6%,54.727,1.6%,62.064,1.6%,70.253,1.7%,126.677,2.7%,183.839,3.3%,194.237,3.0%,205.395,2.9%,257.264,3.3%,286.995,3.3%,300.34,3.2%,479.204,4.8%,494.317,4.4%,510.238,4.3%,526.912,4.3%,544.316,4.2%,562.485,4.2%,583.122,4.2%,602.818,4.1%,623.278,4.1%,644.502,4.1%,666.491,4.0%,,,,,
Pelham,75.1926,,70.989,7.0%,71.477,6.5%,84.638,6.1%,85.316,5.1%,86.14,4.7%,87.326,4.4%,145.981,6.7%,147.917,6.5%,150.159,6.0%,152.691,5.1%,155.521,4.5%,158.726,4.2%,162.302,3.9%,185.198,3.9%,290.118,5.2%,327.959,5.1%,427.831,6.0%,480.558,6.1%,555.375,6.4%,570.702,6.2%,652.832,6.5%,668.93,6.0%,675.883,5.8%,683.164,5.5%,690.766,5.4%,698.699,5.2%,707.711,5.0%,716.311,4.9%,725.248,4.8%,734.516,4.6%,744.118,4.5%,,,,,
Sundon/East Claydon,106.11918,,66.512,6.5%,67.847,6.2%,74.372,5.4%,76.218,4.6%,125.458,6.8%,128.688,6.5%,180.192,8.2%,185.464,8.1%,257.163,10.2%,363.459,12.2%,411.165,11.9%,422.389,11.2%,437.123,10.5%,483.733,10.3%,592.421,10.6%,661.282,10.4%,724.447,10.2%,738.676,9.4%,853.592,9.9%,924.558,10.0%,960.116,9.5%,1079.381,9.7%,1098.31,9.4%,1168.133,9.5%,1188.825,9.2%,1210.422,9.0%,1234.956,8.8%,1258.374,8.6%,1382.698,9.1%,1407.929,8.9%,1434.07,8.7%,,,,,
Melksham,233.18009,,40.5,4.0%,42.585,3.9%,44.972,3.3%,97.759,5.9%,181.261,9.8%,186.313,9.5%,193.357,8.8%,201.601,8.8%,211.138,8.4%,274.523,9.2%,287.972,8.3%,301.614,8.0%,333.835,8.0%,370.425,7.9%,544.488,9.7%,638.517,10.0%,669.258,9.4%,691.508,8.8%,776.191,9.0%,802.003,8.7%,855.02,8.5%,888.112,8.0%,917.712,7.8%,948.708,7.7%,1031.06,8.0%,1064.838,7.9%,1103.201,7.9%,1139.817,7.8%,1177.855,7.7%,1217.311,7.7%,1278.737,7.8%,,,,,
Bramley,76.73228,,1.482,0.1%,1.957,0.2%,2.501,0.2%,3.159,0.2%,3.956,0.2%,5.107,0.3%,6.711,0.3%,8.59,0.4%,10.762,0.4%,13.219,0.4%,45.963,1.3%,98.97,2.6%,102.438,2.5%,106.217,2.3%,130.309,2.3%,134.711,2.1%,187.437,2.6%,192.506,2.5%,197.855,2.3%,203.506,2.2%,209.546,2.1%,240.946,2.2%,247.687,2.1%,254.749,2.1%,262.118,2.0%,269.812,2.0%,278.552,2.0%,286.892,2.0%,295.557,1.9%,304.544,1.9%,313.855,1.9%,,,,,
London,142.44145,,26.41,2.6%,27.737,2.5%,123.264,8.9%,125.106,7.5%,127.336,6.9%,130.561,6.6%,135.051,6.2%,140.31,6.1%,146.389,5.8%,153.266,5.1%,160.954,4.6%,169.653,4.5%,179.362,4.3%,195.942,4.2%,254.9,4.6%,267.225,4.2%,302.854,4.3%,412.045,5.3%,476.521,5.5%,499.545,5.4%,554.454,5.5%,719.774,6.5%,738.65,6.3%,758.417,6.1%,779.051,6.1%,800.595,6.0%,825.06,5.9%,848.415,5.8%,872.67,5.7%,897.835,5.7%,923.904,5.6%,,,,,
Kemsley,65.51442,,37.321,3.7%,37.895,3.5%,71.852,5.2%,90.748,5.5%,91.712,5.0%,93.103,4.7%,95.041,4.3%,97.312,4.3%,99.938,4.0%,197.907,6.6%,201.227,5.8%,251.582,6.7%,255.776,6.1%,268.943,5.7%,406.889,7.3%,427.312,6.7%,489.523,6.9%,495.652,6.3%,502.118,5.8%,542.249,5.9%,549.551,5.5%,601.488,5.4%,609.639,5.2%,618.174,5.0%,727.084,5.6%,736.386,5.5%,746.95,5.3%,757.033,5.2%,767.506,5.0%,778.371,4.9%,789.629,4.8%,,,,,
Sellindge,47.47516,,47.643,4.7%,48.273,4.4%,48.997,3.6%,49.872,3.0%,50.933,2.8%,52.464,2.7%,54.598,2.5%,57.096,2.5%,59.984,2.4%,63.251,2.1%,66.902,1.9%,71.034,1.9%,75.646,1.8%,80.674,1.7%,86.115,1.5%,91.971,1.4%,98.254,1.4%,151.597,1.9%,208.611,2.4%,216.126,2.3%,224.161,2.2%,327.572,2.9%,340.539,2.9%,349.93,2.8%,359.733,2.8%,369.965,2.8%,381.589,2.7%,392.682,2.7%,404.206,2.7%,416.159,2.6%,428.543,2.6%,,,,,
Lovedean,122.52657,,9.872,1.0%,10.838,1.0%,11.946,0.9%,45.585,2.7%,47.21,2.6%,49.555,2.5%,52.822,2.4%,56.648,2.5%,61.072,2.4%,66.075,2.2%,110.868,3.2%,124.995,3.3%,141.558,3.4%,149.257,3.2%,182.59,3.3%,191.559,3.0%,201.183,2.8%,218.407,2.8%,229.301,2.7%,246.013,2.7%,304.915,3.0%,365.35,3.3%,379.084,3.2%,443.365,3.6%,458.377,3.6%,474.048,3.5%,491.85,3.5%,508.837,3.5%,526.486,3.5%,544.793,3.4%,563.758,3.4%,,,,,
S.W.Penisula,299.57007,,35.112,3.4%,37.751,3.4%,40.773,3.0%,44.428,2.7%,48.864,2.6%,55.259,2.8%,64.173,2.9%,74.612,3.3%,86.685,3.5%,100.336,3.4%,135.593,3.9%,152.862,4.0%,172.133,4.1%,255.134,5.4%,277.873,5.0%,380.844,6.0%,410.104,5.8%,438.275,5.6%,471.499,5.5%,522.907,5.6%,556.475,5.5%,592.041,5.3%,660.513,5.6%,705.754,5.7%,746.713,5.8%,939.472,7.0%,988.039,7.0%,1034.394,7.1%,1082.547,7.1%,1132.497,7.2%,1284.245,7.8%,,,,,
," 2,900.02 ",," 1,019.24 ",100%," 1,097.88 ",100%," 1,379.31 ",100%," 1,664.52 ",100%," 1,850.77 ",100%," 1,965.28 ",100%," 2,187.23 ",100%," 2,284.37 ",100%," 2,512.20 ",100%," 2,983.53 ",100%," 3,467.69 ",100%," 3,775.28 ",100%," 4,160.49 ",100%," 4,699.72 ",100%," 5,599.20 ",100%," 6,378.71 ",100%," 7,095.46 ",100%," 7,820.17 ",100%," 8,643.47 ",100%," 9,259.92 ",100%," 10,064.98 ",100%," 11,114.52 ",100%," 11,729.97 ",100%," 12,340.92 ",100%," 12,872.05 ",100%," 13,419.92 ",100%," 14,021.85 ",100%," 14,603.18 ",100%," 15,201.24 ",100%," 15,816.01 ",100%," 16,477.16 ",100%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
