,,,2020,,2021,,2022,,2023,,2024,,2025,,2026,,2027,,2028,,2029,,2030,,2031,,2032,,2033,,2034,,2035,,2036,,2037,,2038,,2039,,2040,,2041,,2042,,2043,,2044,,2045,,2046,,2047,,2048,,2049,,2050,,,,,,
,Domestic 2019,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,,,,,
Stella West,145.95756,,73.162,7.2%,77.047,6.6%,77.645,6.3%,78.26,6.3%,107.289,7.2%,107.93,6.3%,108.632,5.2%,109.451,4.8%,110.323,4.6%,111.264,4.3%,112.303,4.2%,113.469,4.1%,114.687,3.6%,215.789,6.1%,217.152,5.6%,218.586,5.3%,220.096,4.9%,221.675,4.5%,223.33,4.1%,226.906,4.0%,228.777,3.9%,230.651,3.8%,232.621,3.6%,234.663,3.6%,236.816,3.5%,238.982,3.4%,241.219,3.4%,243.574,3.3%,245.957,3.3%,298.417,4.0%,300.946,3.9%,,,,,
Penwortham,103.36259,,97.818,9.6%,98.091,8.4%,99.474,8.1%,99.764,8.0%,110.058,7.4%,160.263,9.4%,162.491,7.8%,182.877,8.0%,233.286,9.8%,252.729,9.8%,253.218,9.4%,253.768,9.1%,254.34,8.1%,304.851,8.6%,305.491,7.9%,306.167,7.4%,306.877,6.8%,307.619,6.2%,308.398,5.7%,310.078,5.5%,310.96,5.3%,311.841,5.1%,312.768,4.9%,413.729,6.3%,414.741,6.1%,415.761,6.0%,416.813,5.8%,417.919,5.7%,419.042,5.6%,420.199,5.6%,421.387,5.5%,,,,,
Deeside,141.94391,,39.547,3.9%,40.241,3.5%,40.951,3.3%,41.68,3.3%,42.428,2.9%,43.189,2.5%,44.021,2.1%,44.993,2.0%,46.027,1.9%,47.144,1.8%,48.377,1.8%,49.76,1.8%,51.205,1.6%,52.747,1.5%,54.362,1.4%,56.067,1.4%,57.857,1.3%,59.729,1.2%,61.69,1.1%,65.935,1.2%,68.157,1.2%,70.376,1.1%,72.716,1.1%,75.14,1.1%,77.693,1.1%,80.262,1.1%,82.916,1.2%,85.709,1.2%,88.539,1.2%,91.453,1.2%,94.453,1.2%,,,,,
Daines,151.98015,,63.621,6.2%,64.158,5.5%,64.705,5.3%,65.268,5.2%,115.845,7.8%,149.434,8.8%,197.476,9.5%,198.225,8.7%,219.022,9.2%,219.886,8.5%,249.335,9.3%,270.404,9.7%,271.518,8.6%,322.608,9.1%,323.855,8.4%,325.17,7.8%,326.549,7.2%,327.999,6.6%,329.51,6.1%,332.785,5.9%,334.499,5.7%,336.214,5.5%,338.019,5.3%,339.889,5.2%,341.86,5.0%,343.843,4.9%,345.891,4.8%,348.044,4.8%,350.227,4.7%,352.478,4.7%,354.792,4.7%,,,,,
Th. Marsh/Stocksbridge,161.59842,,98.253,9.6%,149.625,12.8%,150.215,12.2%,150.817,12.1%,171.434,11.6%,172.064,10.1%,172.753,8.3%,173.555,7.6%,174.411,7.3%,175.334,6.8%,176.353,6.6%,177.499,6.4%,178.691,5.7%,279.968,7.9%,281.304,7.3%,332.611,8.0%,334.091,7.4%,335.642,6.8%,387.165,7.1%,390.671,6.9%,392.509,6.7%,394.348,6.4%,396.28,6.2%,398.283,6.0%,400.397,5.9%,402.519,5.8%,454.715,6.4%,457.025,6.2%,459.364,6.2%,461.773,6.1%,464.255,6.1%,,,,,
Thornton/Drax/Eggborough,69.22865,,80.231,7.9%,80.773,6.9%,81.334,6.6%,81.906,6.6%,82.492,5.6%,83.091,4.9%,83.745,4.0%,84.506,3.7%,85.317,3.6%,86.197,3.3%,87.164,3.3%,88.252,3.2%,139.385,4.4%,190.599,5.4%,191.868,5.0%,243.103,5.9%,244.51,5.4%,245.983,5.0%,247.523,4.6%,250.855,4.4%,252.601,4.3%,254.345,4.1%,256.181,4.0%,258.085,3.9%,260.091,3.8%,262.106,3.8%,264.194,3.7%,266.388,3.6%,268.608,3.6%,270.897,3.6%,273.256,3.6%,,,,,
Keadby,86.03201,,10.743,1.1%,11.051,0.9%,11.367,0.9%,11.692,0.9%,12.022,0.8%,12.363,0.7%,12.733,0.6%,89.162,3.9%,89.623,3.8%,90.12,3.5%,90.666,3.4%,91.282,3.3%,91.924,2.9%,92.61,2.6%,93.328,2.4%,94.085,2.3%,94.879,2.1%,95.713,1.9%,96.585,1.8%,98.471,1.7%,99.458,1.7%,100.445,1.6%,101.485,1.6%,102.562,1.6%,103.697,1.5%,104.838,1.5%,106.019,1.5%,107.261,1.5%,108.517,1.5%,109.813,1.5%,111.146,1.5%,,,,,
Ratcliffe,185.67518,,19.433,1.9%,19.981,1.7%,20.544,1.7%,21.121,1.7%,21.711,1.5%,22.314,1.3%,22.973,1.1%,23.741,1.0%,24.559,1.0%,75.344,2.9%,76.317,2.8%,127.412,4.6%,128.555,4.1%,129.777,3.7%,131.054,3.4%,132.401,3.2%,133.816,3.0%,135.301,2.7%,136.852,2.5%,140.208,2.5%,141.967,2.4%,143.724,2.3%,145.574,2.3%,147.491,2.2%,149.512,2.2%,151.543,2.2%,153.645,2.1%,195.853,2.7%,198.091,2.7%,200.397,2.7%,202.771,2.7%,,,,,
Feckenham,214.13411,,45.731,4.5%,96.657,8.3%,97.608,7.9%,98.58,7.9%,99.577,6.7%,128.597,7.6%,129.709,6.3%,131.008,5.7%,132.389,5.6%,133.883,5.2%,135.527,5.1%,137.377,5.0%,139.307,4.4%,141.371,4.0%,243.529,6.3%,245.803,5.9%,288.194,6.4%,290.701,5.9%,293.323,5.4%,298.994,5.3%,301.96,5.1%,304.93,5.0%,408.052,6.4%,411.292,6.2%,414.703,6.1%,418.135,6.0%,421.682,5.9%,425.416,5.8%,429.194,5.8%,433.089,5.8%,487.101,6.4%,,,,,
Walpole,113.27725,,7.004,0.7%,7.39,0.6%,7.785,0.6%,8.191,0.7%,8.607,0.6%,9.031,0.5%,9.495,0.5%,10.035,0.4%,10.61,0.4%,11.232,0.4%,11.917,0.4%,12.687,0.5%,13.491,0.4%,14.35,0.4%,15.249,0.4%,16.195,0.4%,17.192,0.4%,18.235,0.4%,19.328,0.4%,21.688,0.4%,22.925,0.4%,24.161,0.4%,25.462,0.4%,26.811,0.4%,28.231,0.4%,29.661,0.4%,31.138,0.4%,32.693,0.4%,34.266,0.5%,35.888,0.5%,37.558,0.5%,,,,,
