,carrier,type,p_nom,bus,marginal_cost,ramp_limit_up,ramp_limit_down,p_max_pu
Lincoln EFW,Waste,Waste,10.824,Keadby,0.0,0.0,0.0,0.0
North East Energy Recovery Centre (adjacent to Teesside EfW),Waste,Waste,13.86,Stella West,0.0,0.0,0.0,0.0
Wilton 11 EfW,Waste,Waste,32.34,Stella West,0.0,0.0,0.0,0.0
Runcorn EfW,Waste,Waste,66.0,Deeside,0.0,0.0,0.0,0.0
Cross Green ERF,Waste,Waste,7.656,Thornton/Drax/Eggborough,0.0,0.0,0.0,0.0
Exeter EfW,Waste,Waste,8.58,S.W.Penisula,0.0,0.0,0.0,0.0
North Yard EfW,Waste,Waste,14.85,S.W.Penisula,0.0,0.0,0.0,0.0
Beddington EfW,Waste,Waste,17.16,London,0.0,0.0,0.0,0.0
K3 CHP Facility (Kemsley EfW),Waste,Waste,32.934,Kemsley,0.0,0.0,0.0,0.0
Allerton Waste Recovery Park (EfW),Waste,Waste,17.82,Thornton/Drax/Eggborough,0.0,0.0,0.0,0.0
Ardley EfW,Waste,Waste,15.84,Sundon/East Claydon,0.0,0.0,0.0,0.0
Greatmoor EfW,Waste,Waste,14.52,Sundon/East Claydon,0.0,0.0,0.0,0.0
Twinwoods Heat & Power CHP,Waste,Waste,2.244,Sundon/East Claydon,0.0,0.0,0.0,0.0
Dunbar EfW (previously Oxwellmains EfW),Waste,Waste,16.896,Torness,0.0,0.0,0.0,0.0
Great Blakenham EfW,Waste,Waste,13.2,Bramford,0.0,0.0,0.0,0.0
Javelin Park EfW,Waste,Waste,9.57,Melksham,0.0,0.0,0.0,0.0
Parc Adfer EfW,Waste,Waste,10.56,Deeside,0.0,0.0,0.0,0.0
EnviRecover,Waste,Waste,10.23,Feckenham,0.0,0.0,0.0,0.0
Avonmouth Resource Recovery Centre (formerly Severn Road),Waste,Waste,22.44,Melksham,0.0,0.0,0.0,0.0
Fawley Waste to Energy Plant,Waste,Waste,5.676,Lovedean,0.0,0.0,0.0,0.0
Portsmouth ERF,Waste,Waste,9.24,Lovedean,0.0,0.0,0.0,0.0
Edmonton EcoPark EfW,Waste,Waste,36.3,London,0.0,0.0,0.0,0.0
Teesside EfW,Waste,Waste,12.672,Stella West,0.0,0.0,0.0,0.0
Teesside EfW (extension),Waste,Waste,6.6,Stella West,0.0,0.0,0.0,0.0
SELCHP ERF,Waste,Waste,23.1,London,0.0,0.0,0.0,0.0
Millerhill EfW (resubmission),Waste,Waste,8.25,Torness,0.0,0.0,0.0,0.0
Eastcroft EfW (Lines 1 & 2),Waste,Waste,5.94,Ratcliffe,0.0,0.0,0.0,0.0
Sutton Bridge Hydrogen,Hydrogen,Hydrogen,486.56063630744336,Walpole,80.0,1.0,1.0,1.0
Baglan Bay Hydrogen,Hydrogen,Hydrogen,308.9273881317101,Melksham,80.0,1.0,1.0,1.0
Severn Power Hydrogen,Hydrogen,Hydrogen,504.9774613691415,Melksham,80.0,1.0,1.0,1.0
Blackburn Hydrogen,Hydrogen,Hydrogen,35.645467861351165,Penwortham,80.0,1.0,1.0,1.0
Damhead Creek Hydrogen,Hydrogen,Hydrogen,478.2433604731281,Kemsley,80.0,1.0,1.0,1.0
Rye House Hydrogen,Hydrogen,Hydrogen,424.7751586811014,Pelham,80.0,1.0,1.0,1.0
Shoreham Hydrogen,Hydrogen,Hydrogen,249.51827502945807,Lovedean,80.0,1.0,1.0,1.0
Castleford Hydrogen,Hydrogen,Hydrogen,33.269103337261086,Thornton/Drax/Eggborough,80.0,1.0,1.0,1.0
Sandbach Hydrogen,Hydrogen,Hydrogen,33.269103337261086,Daines,80.0,1.0,1.0,1.0
Thornhill Hydrogen,Hydrogen,Hydrogen,29.704556551125968,Th. Marsh/Stocksbridge,80.0,1.0,1.0,1.0
West Burton CCGT Hydrogen,Hydrogen,Hydrogen,791.3293865219958,Keadby,80.0,1.0,1.0,1.0
South Humber Bank Hydrogen,Hydrogen,Hydrogen,810.934393845739,Keadby,80.0,1.0,1.0,1.0
Langage Hydrogen,Hydrogen,Hydrogen,537.6524735753801,S.W.Penisula,80.0,1.0,1.0,1.0
Corby Hydrogen,Hydrogen,Hydrogen,241.7950903261654,Ratcliffe,80.0,1.0,1.0,1.0
Carrington Hydrogen,Hydrogen,Hydrogen,540.6229292304927,Daines,80.0,1.0,1.0,1.0
Fellside CHP* Hydrogen,Hydrogen,Hydrogen,92.08412530849051,Harker,80.0,1.0,1.0,1.0
Rocksavage Hydrogen,Hydrogen,Hydrogen,481.2138161282407,Deeside,80.0,1.0,1.0,1.0
Coryton Hydrogen,Hydrogen,Hydrogen,475.2729048180155,Kemsley,80.0,1.0,1.0,1.0
Spalding Hydrogen,Hydrogen,Hydrogen,564.3865744713934,Walpole,80.0,1.0,1.0,1.0
Marchwood Hydrogen,Hydrogen,Hydrogen,533.4938356582225,Lovedean,80.0,1.0,1.0,1.0
Didcot B Hydrogen,Hydrogen,Hydrogen,861.4321399826531,Bramley,80.0,1.0,1.0,1.0
Great Yarmouth Hydrogen,Hydrogen,Hydrogen,249.51827502945807,Bramford,80.0,1.0,1.0,1.0
Little Barford Hydrogen,Hydrogen,Hydrogen,429.52788772928153,Sundon/East Claydon,80.0,1.0,1.0,1.0
Pembroke Hydrogen,Hydrogen,Hydrogen,1306.4063971185203,Melksham,80.0,1.0,1.0,1.0
Staythorpe C Hydrogen,Hydrogen,Hydrogen,1052.7294841719045,Ratcliffe,80.0,1.0,1.0,1.0
Seabank Hydrogen,Hydrogen,Hydrogen,733.1084556817889,Melksham,80.0,1.0,1.0,1.0
Peterhead Hydrogen,Hydrogen,Hydrogen,720.1923394980159,Peterhead,80.0,1.0,1.0,1.0
Keadby Hydrogen,Hydrogen,Hydrogen,436.65698130155175,Keadby,80.0,1.0,1.0,1.0
Medway Hydrogen,Hydrogen,Hydrogen,448.5388039220021,Kemsley,80.0,1.0,1.0,1.0
Saltend* Hydrogen,Hydrogen,Hydrogen,712.9093572270233,Keadby,80.0,1.0,1.0,1.0
Cottam Development Centre Hydrogen,Hydrogen,Hydrogen,264.37055330502113,Keadby,80.0,1.0,1.0,1.0
Enfield Hydrogen,Hydrogen,Hydrogen,242.3891814571879,London,80.0,1.0,1.0,1.0
Grain CHP* Hydrogen,Hydrogen,Hydrogen,901.236245761162,Kemsley,80.0,1.0,1.0,1.0
VPI Immingham* Hydrogen,Hydrogen,Hydrogen,743.8020960401942,Keadby,80.0,1.0,1.0,1.0
Connahs Quay Hydrogen,Hydrogen,Hydrogen,819.8457608110768,Deeside,80.0,1.0,1.0,1.0
Unmet Load Beauly,Unmet Load,Unmet Load,999999999.0,Beauly,999999999.0,1.0,1.0,1.0
Unmet Load Peterhead,Unmet Load,Unmet Load,999999999.0,Peterhead,999999999.0,1.0,1.0,1.0
Unmet Load Errochty,Unmet Load,Unmet Load,999999999.0,Errochty,999999999.0,1.0,1.0,1.0
Unmet Load Denny/Bonnybridge,Unmet Load,Unmet Load,999999999.0,Denny/Bonnybridge,999999999.0,1.0,1.0,1.0
Unmet Load Neilston,Unmet Load,Unmet Load,999999999.0,Neilston,999999999.0,1.0,1.0,1.0
Unmet Load Strathaven,Unmet Load,Unmet Load,999999999.0,Strathaven,999999999.0,1.0,1.0,1.0
Unmet Load Torness,Unmet Load,Unmet Load,999999999.0,Torness,999999999.0,1.0,1.0,1.0
Unmet Load Eccles,Unmet Load,Unmet Load,999999999.0,Eccles,999999999.0,1.0,1.0,1.0
Unmet Load Harker,Unmet Load,Unmet Load,999999999.0,Harker,999999999.0,1.0,1.0,1.0
Unmet Load Stella West,Unmet Load,Unmet Load,999999999.0,Stella West,999999999.0,1.0,1.0,1.0
Unmet Load Penwortham,Unmet Load,Unmet Load,999999999.0,Penwortham,999999999.0,1.0,1.0,1.0
Unmet Load Deeside,Unmet Load,Unmet Load,999999999.0,Deeside,999999999.0,1.0,1.0,1.0
Unmet Load Daines,Unmet Load,Unmet Load,999999999.0,Daines,999999999.0,1.0,1.0,1.0
Unmet Load Th. Marsh/Stocksbridge,Unmet Load,Unmet Load,999999999.0,Th. Marsh/Stocksbridge,999999999.0,1.0,1.0,1.0
Unmet Load Thornton/Drax/Eggborough,Unmet Load,Unmet Load,999999999.0,Thornton/Drax/Eggborough,999999999.0,1.0,1.0,1.0
Unmet Load Keadby,Unmet Load,Unmet Load,999999999.0,Keadby,999999999.0,1.0,1.0,1.0
Unmet Load Ratcliffe,Unmet Load,Unmet Load,999999999.0,Ratcliffe,999999999.0,1.0,1.0,1.0
Unmet Load Feckenham,Unmet Load,Unmet Load,999999999.0,Feckenham,999999999.0,1.0,1.0,1.0
Unmet Load Walpole,Unmet Load,Unmet Load,999999999.0,Walpole,999999999.0,1.0,1.0,1.0
Unmet Load Bramford,Unmet Load,Unmet Load,999999999.0,Bramford,999999999.0,1.0,1.0,1.0
Unmet Load Pelham,Unmet Load,Unmet Load,999999999.0,Pelham,999999999.0,1.0,1.0,1.0
Unmet Load Sundon/East Claydon,Unmet Load,Unmet Load,999999999.0,Sundon/East Claydon,999999999.0,1.0,1.0,1.0
Unmet Load Melksham,Unmet Load,Unmet Load,999999999.0,Melksham,999999999.0,1.0,1.0,1.0
Unmet Load Bramley,Unmet Load,Unmet Load,999999999.0,Bramley,999999999.0,1.0,1.0,1.0
Unmet Load London,Unmet Load,Unmet Load,999999999.0,London,999999999.0,1.0,1.0,1.0
Unmet Load Kemsley,Unmet Load,Unmet Load,999999999.0,Kemsley,999999999.0,1.0,1.0,1.0
Unmet Load Sellindge,Unmet Load,Unmet Load,999999999.0,Sellindge,999999999.0,1.0,1.0,1.0
Unmet Load Lovedean,Unmet Load,Unmet Load,999999999.0,Lovedean,999999999.0,1.0,1.0,1.0
Unmet Load S.W.Penisula,Unmet Load,Unmet Load,999999999.0,S.W.Penisula,999999999.0,1.0,1.0,1.0
Wind Offshore Keadby,Wind Offshore,Wind Offshore,3127.0806845965767,Keadby,-1.0,1.0,1.0,1.0
Wind Offshore Peterhead,Wind Offshore,Wind Offshore,3108.545783106353,Peterhead,-1.0,1.0,1.0,1.0
Wind Offshore Deeside,Wind Offshore,Wind Offshore,2398.91761089766,Deeside,-1.0,1.0,1.0,1.0
Wind Offshore Bramford,Wind Offshore,Wind Offshore,16631.155258120853,Bramford,-1.0,1.0,1.0,1.0
Wind Offshore Walpole,Wind Offshore,Wind Offshore,14836.6576709745,Walpole,-1.0,1.0,1.0,1.0
Wind Offshore Kemsley,Wind Offshore,Wind Offshore,311.5912539294445,Kemsley,-1.0,1.0,1.0,1.0
Wind Offshore Harker,Wind Offshore,Wind Offshore,388.65145651414593,Harker,-1.0,1.0,1.0,1.0
Wind Offshore Sellindge,Wind Offshore,Wind Offshore,670.0887181278379,Sellindge,-1.0,1.0,1.0,1.0
Wind Offshore Penwortham,Wind Offshore,Wind Offshore,3699.3364498777496,Penwortham,-1.0,1.0,1.0,1.0
Wind Offshore Stella West,Wind Offshore,Wind Offshore,11399.549272790777,Stella West,-1.0,1.0,1.0,1.0
Wind Offshore Lovedean,Wind Offshore,Wind Offshore,893.4516241704505,Lovedean,-1.0,1.0,1.0,1.0
Wind Offshore Torness,Wind Offshore,Wind Offshore,2051.5351212261867,Torness,-1.0,1.0,1.0,1.0
Wind Offshore Beauly,Wind Offshore,Wind Offshore,4409.446833305352,Beauly,-1.0,1.0,1.0,1.0
Wind Offshore Neilston,Wind Offshore,Wind Offshore,2284.687478396555,Neilston,-1.0,1.0,1.0,1.0
Wind Onshore Keadby,Wind Onshore,Wind Onshore,1369.0428956420865,Keadby,-1.0,1.0,1.0,1.0
Wind Onshore Peterhead,Wind Onshore,Wind Onshore,2802.312037067373,Peterhead,-1.0,1.0,1.0,1.0
Wind Onshore Deeside,Wind Onshore,Wind Onshore,1805.8742709854316,Deeside,-1.0,1.0,1.0,1.0
Wind Onshore Bramford,Wind Onshore,Wind Onshore,154.4688950164718,Bramford,-1.0,1.0,1.0,1.0
Wind Onshore Walpole,Wind Onshore,Wind Onshore,1316.722774062971,Walpole,-1.0,1.0,1.0,1.0
Wind Onshore Kemsley,Wind Onshore,Wind Onshore,381.18937000018127,Kemsley,-1.0,1.0,1.0,1.0
Wind Onshore Harker,Wind Onshore,Wind Onshore,1821.653364194762,Harker,-1.0,1.0,1.0,1.0
Wind Onshore Sellindge,Wind Onshore,Wind Onshore,279.4558244186451,Sellindge,-1.0,1.0,1.0,1.0
Wind Onshore Penwortham,Wind Onshore,Wind Onshore,969.1677559165728,Penwortham,-1.0,1.0,1.0,1.0
Wind Onshore Stella West,Wind Onshore,Wind Onshore,1600.7462134827567,Stella West,-1.0,1.0,1.0,1.0
Wind Onshore Torness,Wind Onshore,Wind Onshore,2788.6438644798764,Torness,-1.0,1.0,1.0,1.0
Wind Onshore Beauly,Wind Onshore,Wind Onshore,7339.453732008876,Beauly,-1.0,1.0,1.0,1.0
Wind Onshore Neilston,Wind Onshore,Wind Onshore,6571.98733201515,Neilston,-1.0,1.0,1.0,1.0
Wind Onshore Melksham,Wind Onshore,Wind Onshore,3064.463555717444,Melksham,-1.0,1.0,1.0,1.0
Wind Onshore Pelham,Wind Onshore,Wind Onshore,191.00992712283147,Pelham,-1.0,1.0,1.0,1.0
Wind Onshore Thornton/Drax/Eggborough,Wind Onshore,Wind Onshore,1158.9319685602825,Thornton/Drax/Eggborough,-1.0,1.0,1.0,1.0
Wind Onshore Daines,Wind Onshore,Wind Onshore,230.0423933959937,Daines,-1.0,1.0,1.0,1.0
Wind Onshore Th. Marsh/Stocksbridge,Wind Onshore,Wind Onshore,331.3606991193795,Th. Marsh/Stocksbridge,-1.0,1.0,1.0,1.0
Wind Onshore S.W.Penisula,Wind Onshore,Wind Onshore,988.6839765979056,S.W.Penisula,-1.0,1.0,1.0,1.0
Wind Onshore Ratcliffe,Wind Onshore,Wind Onshore,601.266022652702,Ratcliffe,-1.0,1.0,1.0,1.0
Wind Onshore Bramley,Wind Onshore,Wind Onshore,8.304779046281269,Bramley,-1.0,1.0,1.0,1.0
Wind Onshore Sundon/East Claydon,Wind Onshore,Wind Onshore,663.1366243961363,Sundon/East Claydon,-1.0,1.0,1.0,1.0
Wind Onshore London,Wind Onshore,Wind Onshore,56.47249955284416,London,-1.0,1.0,1.0,1.0
Wind Onshore Denny/Bonnybridge,Wind Onshore,Wind Onshore,1140.606938590449,Denny/Bonnybridge,-1.0,1.0,1.0,1.0
Wind Onshore Errochty,Wind Onshore,Wind Onshore,894.9219876123666,Errochty,-1.0,1.0,1.0,1.0
Wind Onshore Feckenham,Wind Onshore,Wind Onshore,257.4481545109824,Feckenham,-1.0,1.0,1.0,1.0
Wind Onshore Strathaven,Wind Onshore,Wind Onshore,5630.935191780585,Strathaven,-1.0,1.0,1.0,1.0
Wind Onshore Eccles,Wind Onshore,Wind Onshore,356.39695205264223,Eccles,-1.0,1.0,1.0,1.0
Solar Photovoltaics Keadby,Solar Photovoltaics,Solar Photovoltaics,2861.817541877051,Keadby,-1.0,1.0,1.0,1.0
Solar Photovoltaics Peterhead,Solar Photovoltaics,Solar Photovoltaics,1079.3481475719334,Peterhead,-1.0,1.0,1.0,1.0
Solar Photovoltaics Deeside,Solar Photovoltaics,Solar Photovoltaics,2950.253150981347,Deeside,-1.0,1.0,1.0,1.0
Solar Photovoltaics Bramford,Solar Photovoltaics,Solar Photovoltaics,3418.139193081587,Bramford,-1.0,1.0,1.0,1.0
Solar Photovoltaics Walpole,Solar Photovoltaics,Solar Photovoltaics,5002.78197613583,Walpole,-1.0,1.0,1.0,1.0
Solar Photovoltaics Kemsley,Solar Photovoltaics,Solar Photovoltaics,2718.880952009522,Kemsley,-1.0,1.0,1.0,1.0
Solar Photovoltaics Harker,Solar Photovoltaics,Solar Photovoltaics,576.888118508193,Harker,-1.0,1.0,1.0,1.0
Solar Photovoltaics Sellindge,Solar Photovoltaics,Solar Photovoltaics,1750.2024717617917,Sellindge,-1.0,1.0,1.0,1.0
Solar Photovoltaics Penwortham,Solar Photovoltaics,Solar Photovoltaics,1046.830849214953,Penwortham,-1.0,1.0,1.0,1.0
Solar Photovoltaics Stella West,Solar Photovoltaics,Solar Photovoltaics,615.9643280063211,Stella West,-1.0,1.0,1.0,1.0
Solar Photovoltaics Lovedean,Solar Photovoltaics,Solar Photovoltaics,4528.726043132357,Lovedean,-1.0,1.0,1.0,1.0
Solar Photovoltaics Torness,Solar Photovoltaics,Solar Photovoltaics,2498.4911938924943,Torness,-1.0,1.0,1.0,1.0
Solar Photovoltaics Beauly,Solar Photovoltaics,Solar Photovoltaics,19.987928758784403,Beauly,-1.0,1.0,1.0,1.0
Solar Photovoltaics Neilston,Solar Photovoltaics,Solar Photovoltaics,499.6982369776908,Neilston,-1.0,1.0,1.0,1.0
Solar Photovoltaics Melksham,Solar Photovoltaics,Solar Photovoltaics,15737.425598859172,Melksham,-1.0,1.0,1.0,1.0
Solar Photovoltaics Pelham,Solar Photovoltaics,Solar Photovoltaics,5161.143387853377,Pelham,-1.0,1.0,1.0,1.0
Solar Photovoltaics Thornton/Drax/Eggborough,Solar Photovoltaics,Solar Photovoltaics,1110.586744989797,Thornton/Drax/Eggborough,-1.0,1.0,1.0,1.0
Solar Photovoltaics Daines,Solar Photovoltaics,Solar Photovoltaics,666.3520558879286,Daines,-1.0,1.0,1.0,1.0
Solar Photovoltaics Th. Marsh/Stocksbridge,Solar Photovoltaics,Solar Photovoltaics,1414.9698108917692,Th. Marsh/Stocksbridge,-1.0,1.0,1.0,1.0
Solar Photovoltaics S.W.Penisula,Solar Photovoltaics,Solar Photovoltaics,16439.768861074932,S.W.Penisula,-1.0,1.0,1.0,1.0
Solar Photovoltaics Ratcliffe,Solar Photovoltaics,Solar Photovoltaics,5319.504884620281,Ratcliffe,-1.0,1.0,1.0,1.0
Solar Photovoltaics Bramley,Solar Photovoltaics,Solar Photovoltaics,3632.0300059282895,Bramley,-1.0,1.0,1.0,1.0
Solar Photovoltaics Sundon/East Claydon,Solar Photovoltaics,Solar Photovoltaics,5182.73817361196,Sundon/East Claydon,-1.0,1.0,1.0,1.0
Solar Photovoltaics London,Solar Photovoltaics,Solar Photovoltaics,498.7357208205994,London,-1.0,1.0,1.0,1.0
Solar Photovoltaics Denny/Bonnybridge,Solar Photovoltaics,Solar Photovoltaics,3248.0384413105457,Denny/Bonnybridge,-1.0,1.0,1.0,1.0
Solar Photovoltaics Errochty,Solar Photovoltaics,Solar Photovoltaics,29.98189313817661,Errochty,-1.0,1.0,1.0,1.0
Solar Photovoltaics Feckenham,Solar Photovoltaics,Solar Photovoltaics,3647.45481981072,Feckenham,-1.0,1.0,1.0,1.0
Solar Photovoltaics Strathaven,Solar Photovoltaics,Solar Photovoltaics,149.90946929249915,Strathaven,-1.0,1.0,1.0,1.0
Large Hydro Deeside,Large Hydro,Large Hydro,192.33312,Deeside,-1.0,1.0,1.0,1.0
Large Hydro Harker,Large Hydro,Large Hydro,45.821575,Harker,-1.0,1.0,1.0,1.0
Large Hydro Beauly,Large Hydro,Large Hydro,816.6814488,Beauly,-1.0,1.0,1.0,1.0
Large Hydro Neilston,Large Hydro,Large Hydro,267.292512,Neilston,-1.0,1.0,1.0,1.0
Large Hydro Errochty,Large Hydro,Large Hydro,522.013474,Errochty,-1.0,1.0,1.0,1.0
Large Hydro Strathaven,Large Hydro,Large Hydro,106.917005,Strathaven,-1.0,1.0,1.0,1.0
Small Hydro Deeside,Small Hydro,Small Hydro,12.454068645,Deeside,-1.0,1.0,1.0,1.0
Small Hydro Stella West,Small Hydro,Small Hydro,0.9399297,Stella West,-1.0,1.0,1.0,1.0
Small Hydro Beauly,Small Hydro,Small Hydro,101.747391195,Beauly,-1.0,1.0,1.0,1.0
Small Hydro Neilston,Small Hydro,Small Hydro,38.53711846,Neilston,-1.0,1.0,1.0,1.0
Small Hydro Ratcliffe,Small Hydro,Small Hydro,1.9973507,Ratcliffe,-1.0,1.0,1.0,1.0
Small Hydro Denny/Bonnybridge,Small Hydro,Small Hydro,8.459367349999999,Denny/Bonnybridge,-1.0,1.0,1.0,1.0
Small Hydro Errochty,Small Hydro,Small Hydro,85.06363814,Errochty,-1.0,1.0,1.0,1.0
Small Hydro Feckenham,Small Hydro,Small Hydro,6.4620167,Feckenham,-1.0,1.0,1.0,1.0
Tidal lagoon Melksham,Tidal lagoon,Tidal lagoon,220.0,Melksham,-1.0,1.0,1.0,
Tidal stream Beauly,Tidal stream,Tidal stream,43.4,Beauly,-1.0,1.0,1.0,
Tidal stream Neilston,Tidal stream,Tidal stream,10.0,Neilston,-1.0,1.0,1.0,
Wave power Peterhead,Wave power,Wave power,56.0,Peterhead,-1.0,1.0,1.0,
Wave power S.W.Penisula,Wave power,Wave power,301.0,S.W.Penisula,-1.0,1.0,1.0,
