,carrier,type,p_nom,bus,marginal_cost,ramp_limit_up,ramp_limit_down,p_max_pu
Wilton International,Biomass (dedicated),Biomass (dedicated),33.47626380633366,Stella West,44.0,1.0,1.0,0.73
South View Farm,Biomass (dedicated),Biomass (dedicated),1.9020604435416857,Thornton/Drax/Eggborough,44.0,1.0,1.0,0.73
Cowie Biomass Facility,Biomass (dedicated),Biomass (dedicated),3.369936351782352,Denny/Bonnybridge,44.0,1.0,1.0,0.73
Thornton Power Station,Biomass (dedicated),Biomass (dedicated),8.559271995937584,Penwortham,44.0,1.0,1.0,0.73
Iggesund Paperboard CHP Plant,Biomass (dedicated),Biomass (dedicated),46.60048086677129,Harker,44.0,1.0,1.0,0.73
Goosey Lodge Industrial Estate,Biomass (dedicated),Biomass (dedicated),15.216483548333484,Sundon/East Claydon,44.0,1.0,1.0,0.73
Western Wood Energy Plant,Biomass (dedicated),Biomass (dedicated),13.3144231047918,Melksham,44.0,1.0,1.0,0.73
Eccleshall Biomass,Biomass (dedicated),Biomass (dedicated),2.472678576604191,Daines,44.0,1.0,1.0,0.73
Westfield Biomass Power Station,Biomass (dedicated),Biomass (dedicated),2.80828029315196,Denny/Bonnybridge,44.0,1.0,1.0,0.73
Derriford Hospital,Biomass (dedicated),Biomass (dedicated),1.426545332656264,S.W.Penisula,44.0,1.0,1.0,0.73
Rampton Hospital Energy Centre,Biomass (dedicated),Biomass (dedicated),1.1412362661250113,Keadby,44.0,1.0,1.0,0.73
Elean Business Park Biomass Plant,Biomass (dedicated),Biomass (dedicated),38.041208870833714,Walpole,44.0,1.0,1.0,0.73
Eye Biomass Plant,Biomass (dedicated),Biomass (dedicated),13.599732171323051,Bramford,44.0,1.0,1.0,0.73
King's Yard,Biomass (dedicated),Biomass (dedicated),2.853090665312528,London,44.0,1.0,1.0,0.73
Ridham CHP Plant,Biomass (dedicated),Biomass (dedicated),23.77575554427107,Kemsley,44.0,1.0,1.0,0.73
Margam Green Energy Plant,Biomass (dedicated),Biomass (dedicated),38.041208870833714,Melksham,44.0,1.0,1.0,0.73
Lynemouth Power Station,Biomass (dedicated),Biomass (dedicated),399.432693143754,Stella West,44.0,1.0,1.0,0.73
Holbrook Community Renewable Energy Centre,Biomass (dedicated),Biomass (dedicated),6.181696441510479,Th. Marsh/Stocksbridge,44.0,1.0,1.0,0.73
Cramlington CHP,Biomass (dedicated),Biomass (dedicated),26.343537143052348,Stella West,44.0,1.0,1.0,0.73
Markley Group (Premiere Kitckens) Biomass,Biomass (dedicated),Biomass (dedicated),1.99716346571877,Melksham,44.0,1.0,1.0,0.73
Heathrow Airport Biomass CHP,Biomass (dedicated),Biomass (dedicated),1.7118543991875168,London,44.0,1.0,1.0,0.73
Bentwaters CHP,Biomass (dedicated),Biomass (dedicated),4.374739020145877,Bramford,44.0,1.0,1.0,0.73
SAICA Paper Mill,Biomass (dedicated),Biomass (dedicated),39.56285722566706,Daines,44.0,1.0,1.0,0.73
Eco Composting,Biomass (dedicated),Biomass (dedicated),3.0432967096666967,S.W.Penisula,44.0,1.0,1.0,0.73
Rothes Bio-Plant,Biomass (dedicated),Biomass (dedicated),1.8646981146529007,Beauly,44.0,1.0,1.0,0.73
Beckton Gas Pressure Reduction Station,Biomass (dedicated),Biomass (dedicated),18.06957421364601,London,44.0,1.0,1.0,0.73
Brigg Renewable Energy Plant (Re-submission),Biomass (dedicated),Biomass (dedicated),38.041208870833714,Keadby,44.0,1.0,1.0,0.73
Tilbury Green Power,Biomass (dedicated),Biomass (dedicated),40.89429953614624,Kemsley,44.0,1.0,1.0,0.73
Markinch Biomass CHP Plant,Biomass (dedicated),Biomass (dedicated),14.603057524390191,Denny/Bonnybridge,44.0,1.0,1.0,0.73
Templeborough Biomass Power Plant- Rotherham,Biomass (dedicated),Biomass (dedicated),39.94326931437539,Th. Marsh/Stocksbridge,44.0,1.0,1.0,0.73
Blackburn Meadows Biomass Plant,Biomass (dedicated),Biomass (dedicated),28.53090665312528,Th. Marsh/Stocksbridge,44.0,1.0,1.0,0.73
Diageo Biomass Energy Project,Biomass (dedicated),Biomass (dedicated),1.2356433289868625,Denny/Bonnybridge,44.0,1.0,1.0,0.73
Discovery Park,Biomass (dedicated),Biomass (dedicated),15.216483548333484,Sellindge,44.0,1.0,1.0,0.73
Drax Biomass Power Station - Unit 3,Biomass (dedicated),Biomass (dedicated),613.4144930421936,Thornton/Drax/Eggborough,44.0,1.0,1.0,0.73
King George Dock,Biomass (dedicated),Biomass (dedicated),8.559271995937584,Keadby,44.0,1.0,1.0,0.73
Northampton General Hospital,Biomass (dedicated),Biomass (dedicated),1.8069574213646007,Sundon/East Claydon,44.0,1.0,1.0,0.73
Snetterton Biomass Plant,Biomass (dedicated),Biomass (dedicated),42.03553580227125,Bramford,44.0,1.0,1.0,0.73
Speyside Biomass CHP Plant,Biomass (dedicated),Biomass (dedicated),2.80828029315196,Beauly,44.0,1.0,1.0,0.73
Widnes 3MG Biomass/Mersey Bioenergy (CHP) Plant,Biomass (dedicated),Biomass (dedicated),19.020604435416857,Deeside,44.0,1.0,1.0,0.73
Drax Biomass Power Station - Unit 2,Biomass (dedicated),Biomass (dedicated),613.4144930421936,Thornton/Drax/Eggborough,44.0,1.0,1.0,0.73
Stevens Croft,Biomass (dedicated),Biomass (dedicated),47.93192317725048,Harker,44.0,1.0,1.0,0.73
Macphie of Glenbervie,Biomass (dedicated),Biomass (dedicated),0.2695949081425881,Peterhead,44.0,1.0,1.0,0.73
Sleaford Renewable Energy Plant,Biomass (dedicated),Biomass (dedicated),38.041208870833714,Ratcliffe,44.0,1.0,1.0,0.73
Sustainable Power and Research Campus,Biomass (dedicated),Biomass (dedicated),1.4603057524390193,Torness,44.0,1.0,1.0,0.73
Whitemoor,Biomass (dedicated),Biomass (dedicated),17.118543991875168,Thornton/Drax/Eggborough,44.0,1.0,1.0,0.73
Daventry,Biomass (dedicated),Biomass (dedicated),0.9510302217708428,Sundon/East Claydon,44.0,1.0,1.0,0.73
The Sawmill,Biomass (dedicated),Biomass (dedicated),6.467005508041732,Ratcliffe,44.0,1.0,1.0,0.73
Felinfach,Biomass (dedicated),Biomass (dedicated),3.0432967096666967,Deeside,44.0,1.0,1.0,0.73
Acharn Forest Killin Biomass Plant,Biomass (dedicated),Biomass (dedicated),1.258109571332078,Errochty,44.0,1.0,1.0,0.73
Hull Biomass Plant (Tansterne power station),Biomass (dedicated),Biomass (dedicated),20.922664878958543,Keadby,44.0,1.0,1.0,0.73
Pulteney Distillery,Biomass (dedicated),Biomass (dedicated),0.7863184820825488,Peterhead,44.0,1.0,1.0,0.73
Harbour Road,Biomass (dedicated),Biomass (dedicated),0.5841223009756076,Neilston,44.0,1.0,1.0,0.73
Barnsley 1.5,Biomass (dedicated),Biomass (dedicated),8.559271995937584,Th. Marsh/Stocksbridge,44.0,1.0,1.0,0.73
Spalding.1,Biomass (dedicated),Biomass (dedicated),13.78993821567722,Walpole,44.0,1.0,1.0,0.73
Balderton,Biomass (dedicated),Biomass (dedicated),19.30591350194811,Ratcliffe,44.0,1.0,1.0,0.73
Liberty Steel Power Station,Biomass (dedicated),Biomass (dedicated),8.559271995937584,Melksham,44.0,1.0,1.0,0.73
JG Pears' animal rendering facility,Biomass (dedicated),Biomass (dedicated),11.412362661250112,Keadby,44.0,1.0,1.0,0.73
Blazer Fuels,Biomass (dedicated),Biomass (dedicated),2.853090665312528,Deeside,44.0,1.0,1.0,0.73
Loicher Lane,Biomass (dedicated),Biomass (dedicated),7.608241774166743,Th. Marsh/Stocksbridge,44.0,1.0,1.0,0.73
Safran Landing Systems Service,Biomass (dedicated),Biomass (dedicated),3.4237087983750336,Feckenham,44.0,1.0,1.0,0.73
ABP Ellesmere Abbatoir,Biomass (dedicated),Biomass (dedicated),1.046133243947927,Deeside,44.0,1.0,1.0,0.73
Alscot,Biomass (dedicated),Biomass (dedicated),1.5216483548333484,Feckenham,44.0,1.0,1.0,0.73
Ipswich Hospital Energy Centre,Biomass (dedicated),Biomass (dedicated),2.472678576604191,Bramford,44.0,1.0,1.0,0.73
Drax Biomass Power Station - Unit 4,Biomass (dedicated),Biomass (dedicated),613.4144930421936,Thornton/Drax/Eggborough,44.0,1.0,1.0,0.73
Liberty Steel Dalzell,Biomass (dedicated),Biomass (dedicated),3.819261198686666,Strathaven,44.0,1.0,1.0,0.73
Sutton Bridge CCS Biomass,CCS Biomass,CCS Biomass,77.59618,Walpole,120.0,1.0,1.0,1.0
Baglan Bay CCS Biomass,CCS Biomass,CCS Biomass,49.267418,Melksham,120.0,1.0,1.0,1.0
Severn Power CCS Biomass,CCS Biomass,CCS Biomass,80.53328,Melksham,120.0,1.0,1.0,1.0
Blackburn CCS Biomass,CCS Biomass,CCS Biomass,5.684702,Penwortham,120.0,1.0,1.0,1.0
Damhead Creek CCS Biomass,CCS Biomass,CCS Biomass,76.26975,Kemsley,120.0,1.0,1.0,1.0
Rye House CCS Biomass,CCS Biomass,CCS Biomass,67.7427,Pelham,120.0,1.0,1.0,1.0
Shoreham CCS Biomass,CCS Biomass,CCS Biomass,39.792915,Lovedean,120.0,1.0,1.0,1.0
Castleford CCS Biomass,CCS Biomass,CCS Biomass,5.3057218,Thornton/Drax/Eggborough,120.0,1.0,1.0,1.0
Sandbach CCS Biomass,CCS Biomass,CCS Biomass,5.3057218,Daines,120.0,1.0,1.0,1.0
Thornhill CCS Biomass,CCS Biomass,CCS Biomass,4.7372518,Th. Marsh/Stocksbridge,120.0,1.0,1.0,1.0
West Burton CCGT CCS Biomass,CCS Biomass,CCS Biomass,126.200386,Keadby,120.0,1.0,1.0,1.0
South Humber Bank CCS Biomass,CCS Biomass,CCS Biomass,129.32697,Keadby,120.0,1.0,1.0,1.0
Langage CCS Biomass,CCS Biomass,CCS Biomass,85.744255,S.W.Penisula,120.0,1.0,1.0,1.0
Corby CCS Biomass,CCS Biomass,CCS Biomass,38.56123,Ratcliffe,120.0,1.0,1.0,1.0
Carrington CCS Biomass,CCS Biomass,CCS Biomass,86.21798,Daines,120.0,1.0,1.0,1.0
Fellside CHP* CCS Biomass,CCS Biomass,CCS Biomass,14.68548,Harker,120.0,1.0,1.0,1.0
Rocksavage CCS Biomass,CCS Biomass,CCS Biomass,76.74348,Deeside,120.0,1.0,1.0,1.0
Coryton CCS Biomass,CCS Biomass,CCS Biomass,75.79603,Kemsley,120.0,1.0,1.0,1.0
Spalding CCS Biomass,CCS Biomass,CCS Biomass,90.00778,Walpole,120.0,1.0,1.0,1.0
Marchwood CCS Biomass,CCS Biomass,CCS Biomass,85.08104,Lovedean,120.0,1.0,1.0,1.0
Didcot B CCS Biomass,CCS Biomass,CCS Biomass,137.3803,Bramley,120.0,1.0,1.0,1.0
Great Yarmouth CCS Biomass,CCS Biomass,CCS Biomass,39.792915,Bramford,120.0,1.0,1.0,1.0
Little Barford CCS Biomass,CCS Biomass,CCS Biomass,68.500656,Sundon/East Claydon,120.0,1.0,1.0,1.0
Pembroke CCS Biomass,CCS Biomass,CCS Biomass,208.34433,Melksham,120.0,1.0,1.0,1.0
Staythorpe C CCS Biomass,CCS Biomass,CCS Biomass,167.8882,Ratcliffe,120.0,1.0,1.0,1.0
Seabank CCS Biomass,CCS Biomass,CCS Biomass,116.915375,Melksham,120.0,1.0,1.0,1.0
Peterhead CCS Biomass,CCS Biomass,CCS Biomass,111.79914,Peterhead,120.0,1.0,1.0,1.0
Keadby CCS Biomass,CCS Biomass,CCS Biomass,69.6376,Keadby,120.0,1.0,1.0,1.0
Medway CCS Biomass,CCS Biomass,CCS Biomass,71.5325,Kemsley,120.0,1.0,1.0,1.0
Saltend* CCS Biomass,CCS Biomass,CCS Biomass,113.69404,Keadby,120.0,1.0,1.0,1.0
