,carrier,p_nom,type,bus,marginal_cost,ramp_limit_up,ramp_limit_down,p_max_pu
Meece Landfill,Landfill Gas,1.3,Landfill Gas,Daines,0.0,1.0,1.0,1.0
Granville Landfill Site,Landfill Gas,1.4,Landfill Gas,Feckenham,0.0,1.0,1.0,1.0
PG1-Coxhoe Waste Disposal Site,Landfill Gas,3.8,Landfill Gas,Stella West,0.0,1.0,1.0,1.0
PG2 Bolam Power Generation,Landfill Gas,1.0,Landfill Gas,Stella West,0.0,1.0,1.0,1.0
Kibblesworth Landfill Site,Landfill Gas,2.3,Landfill Gas,Stella West,0.0,1.0,1.0,1.0
PG4 St Bedes Power Generation,Landfill Gas,2.0,Landfill Gas,Stella West,0.0,1.0,1.0,1.0
Seghill Village Waste Disposal Site phase 1 and 2,Landfill Gas,4.1,Landfill Gas,Stella West,0.0,1.0,1.0,1.0
Distington Landfill,Landfill Gas,1.8,Landfill Gas,Harker,0.0,1.0,1.0,1.0
Shearman Field,Landfill Gas,1.9,Landfill Gas,Harker,0.0,1.0,1.0,1.0
Danes Moss Landfill Site,Landfill Gas,1.6,Landfill Gas,Daines,0.0,1.0,1.0,1.0
Pilsworth Quarry Landfill Scheme,Landfill Gas,4.1,Landfill Gas,Daines,0.0,1.0,1.0,1.0
Risley '4' Landfill Scheme,Landfill Gas,5.9,Landfill Gas,Daines,0.0,1.0,1.0,1.0
Billinge Hill Quarry Landfill Scheme,Landfill Gas,1.0,Landfill Gas,Penwortham,0.0,1.0,1.0,1.0
Whinney Hill II Energy,Landfill Gas,1.8,Landfill Gas,Penwortham,0.0,1.0,1.0,1.0
Deerplay Landfill Site,Landfill Gas,2.0,Landfill Gas,Penwortham,0.0,1.0,1.0,1.0
Butchersfield Landfill Site,Landfill Gas,3.0,Landfill Gas,Daines,0.0,1.0,1.0,1.0
Shelford Landfill Scheme,Landfill Gas,1.9,Landfill Gas,Sellindge,0.0,1.0,1.0,1.0
Beddingham 'B' Landfill Scheme,Landfill Gas,7.5,Landfill Gas,Lovedean,0.0,1.0,1.0,1.0
Stangate Landfill Site,Landfill Gas,4.5,Landfill Gas,Kemsley,0.0,1.0,1.0,1.0
Offham Landfill Site Phase II,Landfill Gas,1.2,Landfill Gas,Kemsley,0.0,1.0,1.0,1.0
Shelford Generation Plant II,Landfill Gas,8.0,Landfill Gas,Sellindge,0.0,1.0,1.0,1.0
Brookhurst Wood Gas to Energy,Landfill Gas,5.1,Landfill Gas,London,0.0,1.0,1.0,1.0
Horton Landfill Site,Landfill Gas,2.0,Landfill Gas,Lovedean,0.0,1.0,1.0,1.0
Whites Landfill Site (Canford),Landfill Gas,6.0,Landfill Gas,S.W.Penisula,0.0,1.0,1.0,1.0
Ardley Fields Farm Landfill Site,Landfill Gas,1.8,Landfill Gas,Sundon/East Claydon,0.0,1.0,1.0,1.0
Compton Bassett Landfill,Landfill Gas,2.0,Landfill Gas,Melksham,0.0,1.0,1.0,1.0
Sutton Courtenay Landfill Scheme,Landfill Gas,5.6,Landfill Gas,Bramley,0.0,1.0,1.0,1.0
Chapel Farm Landfill,Landfill Gas,3.0,Landfill Gas,Melksham,0.0,1.0,1.0,1.0
Dimmer Landfill Gas Scheme,Landfill Gas,2.3,Landfill Gas,S.W.Penisula,0.0,1.0,1.0,1.0
Dimmer Landfill Site,Landfill Gas,1.9,Landfill Gas,S.W.Penisula,0.0,1.0,1.0,1.0
Farnham Landfill,Landfill Gas,2.4,Landfill Gas,Bramley,0.0,1.0,1.0,1.0
Sutton Courtney,Landfill Gas,6.0,Landfill Gas,Bramley,0.0,1.0,1.0,1.0
Lidsey Landfill,Landfill Gas,1.4,Landfill Gas,Lovedean,0.0,1.0,1.0,1.0
Norlands Lane Landfill Site,Landfill Gas,2.7,Landfill Gas,London,0.0,1.0,1.0,1.0
Westbury Landfill Scheme,Landfill Gas,1.1,Landfill Gas,Melksham,0.0,1.0,1.0,1.0
Paulsgrove Landfill Site,Landfill Gas,2.4,Landfill Gas,Lovedean,0.0,1.0,1.0,1.0
Wapsey's Wood II Landfill Site,Landfill Gas,1.0,Landfill Gas,London,0.0,1.0,1.0,1.0
Silent Valley Landfill Scheme,Landfill Gas,2.7,Landfill Gas,Melksham,0.0,1.0,1.0,1.0
Briton Ferry,Landfill Gas,2.0,Landfill Gas,Melksham,0.0,1.0,1.0,1.0
Withyhedge Generation Plant,Landfill Gas,2.4,Landfill Gas,Melksham,0.0,1.0,1.0,1.0
Tythegston Landfill Site,Landfill Gas,1.2,Landfill Gas,Melksham,0.0,1.0,1.0,1.0
Briton / Neath,Landfill Gas,2.2,Landfill Gas,Melksham,0.0,1.0,1.0,1.0
Lamby Way Landfill Site,Landfill Gas,4.0,Landfill Gas,Melksham,0.0,1.0,1.0,1.0
Nant y Caws Landfill Site,Landfill Gas,1.4,Landfill Gas,Melksham,0.0,1.0,1.0,1.0
Deep Moor Gas to Energy,Landfill Gas,2.0,Landfill Gas,S.W.Penisula,0.0,1.0,1.0,1.0
Chelson Meadow Gas to Energy Scheme,Landfill Gas,1.8,Landfill Gas,S.W.Penisula,0.0,1.0,1.0,1.0
United Mines Landfill Scheme,Landfill Gas,3.0,Landfill Gas,S.W.Penisula,0.0,1.0,1.0,1.0
Poole Generation Plant,Landfill Gas,2.4,Landfill Gas,S.W.Penisula,0.0,1.0,1.0,1.0
Walpole Landfill,Landfill Gas,1.6,Landfill Gas,S.W.Penisula,0.0,1.0,1.0,1.0
Bootham Lane,Landfill Gas,1.2,Landfill Gas,Keadby,0.0,1.0,1.0,1.0
Parkwood Landfill Scheme,Landfill Gas,1.2,Landfill Gas,Th. Marsh/Stocksbridge,0.0,1.0,1.0,1.0
Immingham Landfill Scheme,Landfill Gas,1.0,Landfill Gas,Keadby,0.0,1.0,1.0,1.0
Immingham,Landfill Gas,2.0,Landfill Gas,Keadby,0.0,1.0,1.0,1.0
Skelbrooke Landfill Gas Project,Landfill Gas,2.1,Landfill Gas,Th. Marsh/Stocksbridge,0.0,1.0,1.0,1.0
Soothills Landfill,Landfill Gas,1.0,Landfill Gas,Th. Marsh/Stocksbridge,0.0,1.0,1.0,1.0
Roxby Gas to Energy,Landfill Gas,8.5,Landfill Gas,Keadby,0.0,1.0,1.0,1.0
Winterton Landfill Site,Landfill Gas,3.8,Landfill Gas,Keadby,0.0,1.0,1.0,1.0
Pitsea Tipp,Landfill Gas,14.0,Landfill Gas,Kemsley,0.0,1.0,1.0,1.0
Queens Park Energy,Landfill Gas,1.9,Landfill Gas,Penwortham,0.0,1.0,1.0,1.0
Highfields South Landfill Gas,Landfill Gas,1.0,Landfill Gas,Feckenham,0.0,1.0,1.0,1.0
Black Dog,Landfill Gas,2.2,Landfill Gas,Peterhead,0.0,1.0,1.0,1.0
Bootham Lane Phase 2,Landfill Gas,1.4,Landfill Gas,Keadby,0.0,1.0,1.0,1.0
Westmill Qaurry,Landfill Gas,2.6,Landfill Gas,Pelham,0.0,1.0,1.0,1.0
St Day II,Landfill Gas,2.0,Landfill Gas,S.W.Penisula,0.0,1.0,1.0,1.0
Connon Bridge Landfill,Landfill Gas,1.0,Landfill Gas,S.W.Penisula,0.0,1.0,1.0,1.0
Rowley,Landfill Gas,1.9,Landfill Gas,Penwortham,0.0,1.0,1.0,1.0
Withnell LFS,Landfill Gas,2.3,Landfill Gas,Penwortham,0.0,1.0,1.0,1.0
Lune Power,Landfill Gas,2.0,Landfill Gas,Penwortham,0.0,1.0,1.0,1.0
Rossendale Power,Landfill Gas,1.6,Landfill Gas,Penwortham,0.0,1.0,1.0,1.0
Dogsthorpe South Landfill Site 2,Landfill Gas,1.4,Landfill Gas,Walpole,0.0,1.0,1.0,1.0
Avondale,Landfill Gas,4.0,Landfill Gas,Strathaven,0.0,1.0,1.0,1.0
Springfield Farm,Landfill Gas,1.4,Landfill Gas,London,0.0,1.0,1.0,1.0
Danes Moss Landfill Site (Extension),Landfill Gas,2.0,Landfill Gas,Daines,0.0,1.0,1.0,1.0
Sands Farm Quarry Landfill Site,Landfill Gas,3.5,Landfill Gas,Melksham,0.0,1.0,1.0,1.0
Squabb Wood,Landfill Gas,1.0,Landfill Gas,Lovedean,0.0,1.0,1.0,1.0
Wooton,Landfill Gas,2.0,Landfill Gas,Sundon/East Claydon,0.0,1.0,1.0,1.0
Clifton Hall,Landfill Gas,1.0,Landfill Gas,Daines,0.0,1.0,1.0,1.0
Chapman's Well,Landfill Gas,1.0,Landfill Gas,Stella West,0.0,1.0,1.0,1.0
Mark's Quarry,Landfill Gas,1.0,Landfill Gas,Stella West,0.0,1.0,1.0,1.0
Former Pluckley Landfill Site,Landfill Gas,1.0,Landfill Gas,Kemsley,0.0,1.0,1.0,1.0
Horncliffe Quarry (Extension),Landfill Gas,1.0,Landfill Gas,Penwortham,0.0,1.0,1.0,1.0
Skibeden,Landfill Gas,2.0,Landfill Gas,Penwortham,0.0,1.0,1.0,1.0
Ugley,Landfill Gas,1.1,Landfill Gas,Pelham,0.0,1.0,1.0,1.0
Waresley Landfill Site,Landfill Gas,1.6,Landfill Gas,Feckenham,0.0,1.0,1.0,1.0
Whiteparish,Landfill Gas,1.1,Landfill Gas,S.W.Penisula,0.0,1.0,1.0,1.0
Broockhurst Wood,Landfill Gas,2.0,Landfill Gas,Bramley,0.0,1.0,1.0,1.0
Bromborough Dock,Landfill Gas,3.7,Landfill Gas,Deeside,0.0,1.0,1.0,1.0
"Maw Green Landfill Site, Cheshire (Extension)",Landfill Gas,2.0,Landfill Gas,Daines,0.0,1.0,1.0,1.0
"Gowy Landfill Site, Cheshire (Extension)",Landfill Gas,6.0,Landfill Gas,Deeside,0.0,1.0,1.0,1.0
PG4 St Bedes Power Generation (Extension),Landfill Gas,2.0,Landfill Gas,Stella West,0.0,1.0,1.0,1.0
Sutton Landfill Site,Landfill Gas,3.0,Landfill Gas,Ratcliffe,0.0,1.0,1.0,1.0
PG4 St Bedes Power Generation (Extension 2),Landfill Gas,1.0,Landfill Gas,Stella West,0.0,1.0,1.0,1.0
Arlesey Landfill Site,Landfill Gas,1.1,Landfill Gas,Sundon/East Claydon,0.0,1.0,1.0,1.0
Brynpica Landfill Site,Landfill Gas,2.7,Landfill Gas,Melksham,0.0,1.0,1.0,1.0
Southleigh Landfill,Landfill Gas,3.5,Landfill Gas,Lovedean,0.0,1.0,1.0,1.0
Heathfield 'A' Landfill,Landfill Gas,2.0,Landfill Gas,S.W.Penisula,0.0,1.0,1.0,1.0
Ongar Landfill Scheme,Landfill Gas,1.0,Landfill Gas,Pelham,0.0,1.0,1.0,1.0
PG2 Bolam Power Generator (Extension),Landfill Gas,1.1,Landfill Gas,Stella West,0.0,1.0,1.0,1.0
Garlaff Landfill (Extension),Landfill Gas,3.0,Landfill Gas,Neilston,0.0,1.0,1.0,1.0
Milton Landfill Site,Landfill Gas,2.0,Landfill Gas,Pelham,0.0,1.0,1.0,1.0
Risley Sets 13 & 14,Landfill Gas,2.1,Landfill Gas,Daines,0.0,1.0,1.0,1.0
Path Head,Landfill Gas,1.0,Landfill Gas,Stella West,0.0,1.0,1.0,1.0
Oatslie Landfill Gas,Landfill Gas,2.0,Landfill Gas,Torness,0.0,1.0,1.0,1.0
Weston Landfill Site,Landfill Gas,2.0,Landfill Gas,Sundon/East Claydon,0.0,1.0,1.0,1.0
West Mill,Landfill Gas,2.5,Landfill Gas,Pelham,0.0,1.0,1.0,1.0
Skelton Grange Landfill,Landfill Gas,5.2,Landfill Gas,Thornton/Drax/Eggborough,0.0,1.0,1.0,1.0
Houghton-le-Spring Landfill Site,Landfill Gas,3.0,Landfill Gas,Stella West,0.0,1.0,1.0,1.0
Barkip Landfill Site,Landfill Gas,1.2,Landfill Gas,Neilston,0.0,1.0,1.0,1.0
Lochhead,Landfill Gas,2.0,Landfill Gas,Denny/Bonnybridge,0.0,1.0,1.0,1.0
Kaimes Landfill Site,Landfill Gas,2.4,Landfill Gas,Denny/Bonnybridge,0.0,1.0,1.0,1.0
Greengairs Landfill Scheme Phase VI,Landfill Gas,2.2,Landfill Gas,Strathaven,0.0,1.0,1.0,1.0
Auchencarroch Landfill,Landfill Gas,2.1,Landfill Gas,Neilston,0.0,1.0,1.0,1.0
Greenoakhill,Landfill Gas,3.9,Landfill Gas,Neilston,0.0,1.0,1.0,1.0
Garlaff Landfill,Landfill Gas,1.3,Landfill Gas,Neilston,0.0,1.0,1.0,1.0
Tarbothill Landfill Site,Landfill Gas,2.2,Landfill Gas,Peterhead,0.0,1.0,1.0,1.0
Greengairs Landfill Scheme Phase III,Landfill Gas,2.0,Landfill Gas,Strathaven,0.0,1.0,1.0,1.0
Greengairs Landfill Scheme Phase IV,Landfill Gas,2.0,Landfill Gas,Strathaven,0.0,1.0,1.0,1.0
Greengairs Landfill Scheme Phase I,Landfill Gas,1.9,Landfill Gas,Strathaven,0.0,1.0,1.0,1.0
Greengairs Landfill Scheme Phase II,Landfill Gas,1.9,Landfill Gas,Strathaven,0.0,1.0,1.0,1.0
West Quarry,Landfill Gas,4.5,Landfill Gas,Penwortham,0.0,1.0,1.0,1.0
Lower Melville Wood,Landfill Gas,1.0,Landfill Gas,Denny/Bonnybridge,0.0,1.0,1.0,1.0
Bennett Bank Landfill Site (lfg),Landfill Gas,2.2,Landfill Gas,Penwortham,0.0,1.0,1.0,1.0
Efford Landfill (Newmilton),Landfill Gas,2.8,Landfill Gas,S.W.Penisula,0.0,1.0,1.0,1.0
Betton Abbots,Landfill Gas,1.3,Landfill Gas,Deeside,0.0,1.0,1.0,1.0
Burnhills Landfill Scheme (L4),Landfill Gas,1.5,Landfill Gas,Stella West,0.0,1.0,1.0,1.0
Brenkley Landfill,Landfill Gas,1.9,Landfill Gas,Stella West,0.0,1.0,1.0,1.0
Burnhills Landfill (L5),Landfill Gas,3.8,Landfill Gas,Stella West,0.0,1.0,1.0,1.0
Clifton Marsh Energy,Landfill Gas,3.3,Landfill Gas,Penwortham,0.0,1.0,1.0,1.0
Ulnes Walton Energy,Landfill Gas,1.3,Landfill Gas,Penwortham,0.0,1.0,1.0,1.0
Jameson Road,Landfill Gas,4.3,Landfill Gas,Penwortham,0.0,1.0,1.0,1.0
Scouthead Power Plant,Landfill Gas,2.9,Landfill Gas,Daines,0.0,1.0,1.0,1.0
Runfold Landfill,Landfill Gas,1.2,Landfill Gas,Bramley,0.0,1.0,1.0,1.0
Narborough Landfill,Landfill Gas,2.7,Landfill Gas,Ratcliffe,0.0,1.0,1.0,1.0
Lount/Smoile,Landfill Gas,1.1,Landfill Gas,Ratcliffe,0.0,1.0,1.0,1.0
Sidegate Lane,Landfill Gas,2.4,Landfill Gas,Sundon/East Claydon,0.0,1.0,1.0,1.0
Godmanchester,Landfill Gas,3.0,Landfill Gas,Pelham,0.0,1.0,1.0,1.0
Binn Landfill,Landfill Gas,1.9,Landfill Gas,Denny/Bonnybridge,0.0,1.0,1.0,1.0
Auchinlea Landfill Site,Landfill Gas,2.3,Landfill Gas,Strathaven,0.0,1.0,1.0,1.0
Ufton,Landfill Gas,1.0,Landfill Gas,Feckenham,0.0,1.0,1.0,1.0
Wilnecote Landfill Site,Landfill Gas,1.0,Landfill Gas,Feckenham,0.0,1.0,1.0,1.0
Pebsham,Landfill Gas,3.0,Landfill Gas,Sellindge,0.0,1.0,1.0,1.0
Redhill 2,Landfill Gas,3.0,Landfill Gas,London,0.0,1.0,1.0,1.0
Shakespeare Farm Landfill Site,Landfill Gas,1.0,Landfill Gas,Kemsley,0.0,1.0,1.0,1.0
Harn Hill Quarry Landfill Site,Landfill Gas,2.6,Landfill Gas,Melksham,0.0,1.0,1.0,1.0
Beacon Hill,Landfill Gas,3.0,Landfill Gas,S.W.Penisula,0.0,1.0,1.0,1.0
Patteson Court Landfill Site,Landfill Gas,1.8,Landfill Gas,London,0.0,1.0,1.0,1.0
"Rainham Landfill Scheme, Phase I",Landfill Gas,3.9,Landfill Gas,London,0.0,1.0,1.0,1.0
South Cathkin Landfill Site,Landfill Gas,7.4,Landfill Gas,Neilston,0.0,1.0,1.0,1.0
Connon Bridge Landfill Gas Project,Landfill Gas,5.2,Landfill Gas,S.W.Penisula,0.0,1.0,1.0,1.0
Mayton Wood Landfill Site,Landfill Gas,1.5,Landfill Gas,Walpole,0.0,1.0,1.0,1.0
Blackborough End Landfill Site,Landfill Gas,1.5,Landfill Gas,Walpole,0.0,1.0,1.0,1.0
Whinney Hill Waste Disposal Site,Landfill Gas,1.2,Landfill Gas,Penwortham,0.0,1.0,1.0,1.0
Queen's Park Road Energy,Landfill Gas,1.8,Landfill Gas,Penwortham,0.0,1.0,1.0,1.0
Chelson Meadow 2,Landfill Gas,1.4,Landfill Gas,S.W.Penisula,0.0,1.0,1.0,1.0
Costessey Landfill Gas Project 2,Landfill Gas,2.0,Landfill Gas,Bramford,0.0,1.0,1.0,1.0
Summerston Landfill,Landfill Gas,2.8,Landfill Gas,Neilston,0.0,1.0,1.0,1.0
Barling Hall Farm,Landfill Gas,2.4,Landfill Gas,Kemsley,0.0,1.0,1.0,1.0
Bellhouse South,Landfill Gas,3.9,Landfill Gas,Bramford,0.0,1.0,1.0,1.0
Mucking Gas 3 Landfill Scheme,Landfill Gas,3.9,Landfill Gas,Kemsley,0.0,1.0,1.0,1.0
Sidegate Lane Landfill Site,Landfill Gas,1.3,Landfill Gas,Sundon/East Claydon,0.0,1.0,1.0,1.0
Mucking Gas 2 Landfill Scheme,Landfill Gas,3.8,Landfill Gas,Kemsley,0.0,1.0,1.0,1.0
Heathfield 'C' Landfill Scheme,Landfill Gas,2.2,Landfill Gas,S.W.Penisula,0.0,1.0,1.0,1.0
Lincoln Landfill Scheme,Landfill Gas,2.0,Landfill Gas,Keadby,0.0,1.0,1.0,1.0
Bretby Power,Landfill Gas,1.6,Landfill Gas,Ratcliffe,0.0,1.0,1.0,1.0
Bootham Lane Landfill,Landfill Gas,2.7,Landfill Gas,Keadby,0.0,1.0,1.0,1.0
Peckfield Quarry Landfill Scheme,Landfill Gas,3.9,Landfill Gas,Thornton/Drax/Eggborough,0.0,1.0,1.0,1.0
Horncliffe Quarry,Landfill Gas,1.0,Landfill Gas,Penwortham,0.0,1.0,1.0,1.0
Dunlop Landfill Gas Scheme,Landfill Gas,2.4,Landfill Gas,Neilston,0.0,1.0,1.0,1.0
Bonnyrigg,Landfill Gas,2.2,Landfill Gas,Torness,0.0,1.0,1.0,1.0
Salt Ayre,Landfill Gas,4.0,Landfill Gas,Penwortham,0.0,1.0,1.0,1.0
Mountsorrel Landfill Site,Landfill Gas,1.6,Landfill Gas,Ratcliffe,0.0,1.0,1.0,1.0
Fairoak Landfill,Landfill Gas,1.5,Landfill Gas,Lovedean,0.0,1.0,1.0,1.0
Boston Landfill Scheme,Landfill Gas,1.3,Landfill Gas,Walpole,0.0,1.0,1.0,1.0
Trumps Farm Landfill Scheme,Landfill Gas,2.9,Landfill Gas,Bramley,0.0,1.0,1.0,1.0
High Heavens Landfill,Landfill Gas,1.9,Landfill Gas,Bramley,0.0,1.0,1.0,1.0
Docksway Landfill Scheme,Landfill Gas,2.0,Landfill Gas,Melksham,0.0,1.0,1.0,1.0
Cranford,Landfill Gas,1.1,Landfill Gas,Sundon/East Claydon,0.0,1.0,1.0,1.0
Ling Hall 1,Landfill Gas,3.0,Landfill Gas,Feckenham,0.0,1.0,1.0,1.0
Wapsey's Wood III,Landfill Gas,1.0,Landfill Gas,London,0.0,1.0,1.0,1.0
Greengairs Landfill Scheme Phase V,Landfill Gas,2.2,Landfill Gas,Strathaven,0.0,1.0,1.0,1.0
Seamer Carr,Landfill Gas,1.3,Landfill Gas,Thornton/Drax/Eggborough,0.0,1.0,1.0,1.0
Harewood Whin Landfill Site,Landfill Gas,2.4,Landfill Gas,Thornton/Drax/Eggborough,0.0,1.0,1.0,1.0
Lochhead Landfill Scheme,Landfill Gas,2.0,Landfill Gas,Errochty,0.0,1.0,1.0,1.0
Staveley Power,Landfill Gas,2.1,Landfill Gas,Th. Marsh/Stocksbridge,0.0,1.0,1.0,1.0
Albury Landfill,Landfill Gas,1.5,Landfill Gas,Bramley,0.0,1.0,1.0,1.0
Trecatti,Landfill Gas,7.0,Landfill Gas,Melksham,0.0,1.0,1.0,1.0
Gallymoor Landfill,Landfill Gas,2.9,Landfill Gas,Thornton/Drax/Eggborough,0.0,1.0,1.0,1.0
Meadow Hall Power,Landfill Gas,1.1,Landfill Gas,Th. Marsh/Stocksbridge,0.0,1.0,1.0,1.0
Arlesey Landfill Gas (Extension),Landfill Gas,2.3,Landfill Gas,Sundon/East Claydon,0.0,1.0,1.0,1.0
Wapsey's Wood,Landfill Gas,7.5,Landfill Gas,London,0.0,1.0,1.0,1.0
Standen Heath,Landfill Gas,1.5,Landfill Gas,Lovedean,0.0,1.0,1.0,1.0
Risley,Landfill Gas,2.0,Landfill Gas,Daines,0.0,1.0,1.0,1.0
Hitchin,Landfill Gas,1.5,Landfill Gas,Sundon/East Claydon,0.0,1.0,1.0,1.0
Pebsham (Extension),Landfill Gas,1.0,Landfill Gas,Sellindge,0.0,1.0,1.0,1.0
Arden Quarry Landfill,Landfill Gas,3.1,Landfill Gas,Daines,0.0,1.0,1.0,1.0
Capel Landfill,Landfill Gas,1.0,Landfill Gas,London,0.0,1.0,1.0,1.0
Folly Lane,Landfill Gas,1.0,Landfill Gas,Walpole,0.0,1.0,1.0,1.0
Auchencarroch Landfill Extension,Landfill Gas,2.0,Landfill Gas,Neilston,0.0,1.0,1.0,1.0
Rigby Landfill,Landfill Gas,3.0,Landfill Gas,Penwortham,0.0,1.0,1.0,1.0
Stoneyhill Landfill Site,Landfill Gas,4.3,Landfill Gas,Peterhead,0.0,1.0,1.0,1.0
Norlands Lane Landfill Site (Extension),Landfill Gas,4.0,Landfill Gas,London,0.0,1.0,1.0,1.0
Roxwell Landfill Scheme,Landfill Gas,1.3,Landfill Gas,Pelham,0.0,1.0,1.0,1.0
Kirkless Power,Landfill Gas,2.1,Landfill Gas,Penwortham,0.0,1.0,1.0,1.0
Dunbar Power Plant,Landfill Gas,14.0,Landfill Gas,Torness,0.0,1.0,1.0,1.0
Dunbar,Landfill Gas,2.2,Landfill Gas,Torness,0.0,1.0,1.0,1.0
Whitehead Landfill,Landfill Gas,5.3,Landfill Gas,Daines,0.0,1.0,1.0,1.0
Colnbrook Landfill,Landfill Gas,1.9,Landfill Gas,London,0.0,1.0,1.0,1.0
Dorket Head,Landfill Gas,2.8,Landfill Gas,Ratcliffe,0.0,1.0,1.0,1.0
Drummond Moor Landfill,Landfill Gas,2.0,Landfill Gas,Torness,0.0,1.0,1.0,1.0
"Netley Landfill Site, Hampshire (Extension)",Landfill Gas,1.2,Landfill Gas,Lovedean,0.0,1.0,1.0,1.0
Pitsea Landfill Scheme,Landfill Gas,11.6,Landfill Gas,Kemsley,0.0,1.0,1.0,1.0
PwllfaWatkin Landfill Gas Site,Landfill Gas,3.2,Landfill Gas,Melksham,0.0,1.0,1.0,1.0
Scorton,Landfill Gas,1.0,Landfill Gas,Stella West,0.0,1.0,1.0,1.0
Colchester STW,Sewage Sludge Digestion,1.2,Sewage Sludge Digestion,Bramford,0.0,1.0,1.0,1.0
Cardiff Waste Water Treatment,Sewage Sludge Digestion,5.5,Sewage Sludge Digestion,Melksham,0.0,1.0,1.0,1.0
Longreach STW - extension,Sewage Sludge Digestion,1.1,Sewage Sludge Digestion,London,0.0,1.0,1.0,1.0
Riverside Sewage Treatment Works Digestion Plant,Sewage Sludge Digestion,4.0,Sewage Sludge Digestion,London,0.0,1.0,1.0,1.0
Howdon STW,Sewage Sludge Digestion,6.0,Sewage Sludge Digestion,Stella West,0.0,1.0,1.0,1.0
Esholt WWTW,Sewage Sludge Digestion,3.0,Sewage Sludge Digestion,Th. Marsh/Stocksbridge,0.0,1.0,1.0,1.0
Trowbridge Sewage Treatment Works,Sewage Sludge Digestion,1.2,Sewage Sludge Digestion,Melksham,0.0,1.0,1.0,1.0
Crossness Sewage Works,Sewage Sludge Digestion,5.7,Sewage Sludge Digestion,London,0.0,1.0,1.0,1.0
Beckton STW Enhanced Sludge Digestion,Sewage Sludge Digestion,5.8,Sewage Sludge Digestion,London,0.0,1.0,1.0,1.0
Minsworth Sewage Treatment Works,Sewage Sludge Digestion,9.7,Sewage Sludge Digestion,Feckenham,0.0,1.0,1.0,1.0
Slough Sewage Treatment Works,Sewage Sludge Digestion,1.2,Sewage Sludge Digestion,Bramley,0.0,1.0,1.0,1.0
Mogden STW,Sewage Sludge Digestion,5.8,Sewage Sludge Digestion,London,0.0,1.0,1.0,1.0
Wello Penguin Device (Billia Croo - EMEC),Shoreline Wave,1.0,Shoreline Wave,Beauly,0.0,1.0,1.0,1.0
Hayle Wave Hub (Test Site),Shoreline Wave,23.0,Shoreline Wave,S.W.Penisula,0.0,1.0,1.0,1.0
SR-2000 (FoW - EMEC),Tidal Barrage and Tidal Stream,2.0,Tidal Barrage and Tidal Stream,Peterhead,0.0,1.0,1.0,1.0
Inner Sound Phase 1A (MeyGen),Tidal Barrage and Tidal Stream,6.0,Tidal Barrage and Tidal Stream,Peterhead,0.0,1.0,1.0,1.0
Aberthaw Power Station Biomass,Biomass (co-firing),35.0,Biomass (co-firing),Melksham,44.0,1.0,1.0,0.73
Drax Biomass Power Station - Unit 1,Biomass (co-firing),645.0,Biomass (co-firing),Thornton/Drax/Eggborough,44.0,1.0,1.0,0.73
Uskmouth Power Station,Biomass (co-firing),18.0,Biomass (co-firing),Melksham,44.0,1.0,1.0,0.73
Thetford Biomass Power Station,Biomass (dedicated),38.5,Biomass (dedicated),Walpole,44.0,1.0,1.0,0.73
Chilton Energy Plant,Biomass (dedicated),18.0,Biomass (dedicated),Stella West,44.0,1.0,1.0,0.73
Double H Nurseries Biomass Plant,Biomass (dedicated),1.5,Biomass (dedicated),S.W.Penisula,44.0,1.0,1.0,0.73
Beckton STW Biodiesel Power Plant,Biomass (dedicated),8.0,Biomass (dedicated),London,44.0,1.0,1.0,0.73
Buslingthorpe Power Station (Leeds North),Biomass (dedicated),2.0,Biomass (dedicated),Thornton/Drax/Eggborough,44.0,1.0,1.0,0.73
Invergordon Pellet Mill,Biomass (dedicated),5.0,Biomass (dedicated),Beauly,44.0,1.0,1.0,0.73
Caledonian Papermill,Biomass (dedicated),26.0,Biomass (dedicated),Neilston,44.0,1.0,1.0,0.73
Wilton International,Biomass (dedicated),35.2,Biomass (dedicated),Stella West,44.0,1.0,1.0,0.73
South View Farm,Biomass (dedicated),2.0,Biomass (dedicated),Thornton/Drax/Eggborough,44.0,1.0,1.0,0.73
Cowie Biomass Facility,Biomass (dedicated),15.0,Biomass (dedicated),Denny/Bonnybridge,44.0,1.0,1.0,0.73
Thornton Power Station,Biomass (dedicated),9.0,Biomass (dedicated),Penwortham,44.0,1.0,1.0,0.73
Iggesund Paperboard CHP Plant,Biomass (dedicated),49.0,Biomass (dedicated),Harker,44.0,1.0,1.0,0.73
Goosey Lodge Industrial Estate,Biomass (dedicated),16.0,Biomass (dedicated),Sundon/East Claydon,44.0,1.0,1.0,0.73
Western Wood Energy Plant,Biomass (dedicated),14.0,Biomass (dedicated),Melksham,44.0,1.0,1.0,0.73
Eccleshall Biomass,Biomass (dedicated),2.6,Biomass (dedicated),Daines,44.0,1.0,1.0,0.73
Westfield Biomass Power Station,Biomass (dedicated),12.5,Biomass (dedicated),Denny/Bonnybridge,44.0,1.0,1.0,0.73
Derriford Hospital,Biomass (dedicated),1.5,Biomass (dedicated),S.W.Penisula,44.0,1.0,1.0,0.73
Rampton Hospital Energy Centre,Biomass (dedicated),1.2,Biomass (dedicated),Keadby,44.0,1.0,1.0,0.73
Elean Business Park Biomass Plant,Biomass (dedicated),40.0,Biomass (dedicated),Walpole,44.0,1.0,1.0,0.73
