name,p_nom,carrier,marginal_cost,max_hours,efficiency_store,efficiency_dispatch,state_of_charge_initial,bus
Dinorwig,1741.1586206896552,Pumped Storage Hydroelectric,0,10.290562131603604,0.865,0.865,17917.50096718413,Deeside
Ffestiniog,362.7413793103448,Pumped Storage Hydroelectric,0,7.599695429131487,0.85,0.85,2756.7240023016793,Deeside
Cruachan,1196.3243243243244,Pumped Storage Hydroelectric,0,31.532189623159084,0.865,0.865,37722.725445392265,Errochty
Foyers,815.6756756756757,Pumped Storage Hydroelectric,0,41.03718282637214,0.865,0.865,33473.031829727326,Beauly
Beauly Battery,263.89160296032406,Battery,0,1.4507312899351896,0.95,0.95,382.83580556569586,Beauly
Peterhead Battery,263.89160296032406,Battery,0,1.4507312899351896,0.95,0.95,382.83580556569586,Peterhead
Errochty Battery,263.89160296032406,Battery,0,1.4507312899351896,0.95,0.95,382.83580556569586,Errochty
Denny/Bonnybridge Battery,263.89160296032406,Battery,0,1.4507312899351896,0.95,0.95,382.83580556569586,Denny/Bonnybridge
Neilston Battery,263.89160296032406,Battery,0,1.4507312899351896,0.95,0.95,382.83580556569586,Neilston
Strathaven Battery,263.89160296032406,Battery,0,1.4507312899351896,0.95,0.95,382.83580556569586,Strathaven
Torness Battery,263.89160296032406,Battery,0,1.4507312899351896,0.95,0.95,382.83580556569586,Torness
Eccles Battery,263.89160296032406,Battery,0,1.4507312899351896,0.95,0.95,382.83580556569586,Eccles
Harker Battery,751.7631041871621,Battery,0,1.4507312899351896,0.95,0.95,1090.6062578631243,Harker
Stella West Battery,751.7631041871621,Battery,0,1.4507312899351896,0.95,0.95,1090.6062578631243,Stella West
Penwortham Battery,751.7631041871621,Battery,0,1.4507312899351896,0.95,0.95,1090.6062578631243,Penwortham
Deeside Battery,751.7631041871621,Battery,0,1.4507312899351896,0.95,0.95,1090.6062578631243,Deeside
Daines Battery,751.7631041871621,Battery,0,1.4507312899351896,0.95,0.95,1090.6062578631243,Daines
