name,East Anglia 3 (EA 3),Hornsea 3,The East Anglia Array - Norfolk Vanguard,Hornsea 2 - Optimus and Breesea,Dogger Bank C (was Teesside A),Inch Cape,Triton Knoll ,MacColl Offshore Windfarm (Moray East),Telford Offshore Windfarm (Moray East),Stevenson Offshore Windfarm (Moray East),Seagreen Phase 1 (Alpha),Dogger Bank A & B (was Creyke Beck A & B),Forth of Firth (Methil),Kincardine Offshore Windfarm,Moray Firth 2 (West),Dounreay Trì Floating Wind Demonstration,Neart na Gaoithe (Resubmission),The East Anglia Array - Norfolk Boreas,Sofia (Teesside B)
2018-07-13 10:00:00,5.30889368057251,0.26664161682128906,1.246985639844622,0.17304635047912595,11.847772325788226,6.7542902374267575,0.0,3.196447547333581,1.8613754980904713,0.7439252740996224,15.947752475738525,107.477993283953,0.0,1.5376105489730836,1.9576980897358485,0.0,4.382633890424456,0.0,13.822401046752928
2018-07-13 11:00:00,3.1403684616088867,0.4561897005353655,1.0883542810167586,0.2888522148132324,0.6646227836608888,35.40604587554932,0.0,4.213939821890421,4.0006474603925435,3.434437096118927,50.39594078063965,34.93930353437151,0.0,4.053328806400299,9.037992358207703,0.0,16.48799969468798,0.0,0.7753932476043701
2018-07-13 12:00:00,4.970823764801025,0.7605992725917271,1.2653549398694721,0.4963388442993164,0.0770890372140067,70.81004150390626,0.0,8.454082619803293,8.16292514204979,6.889086247171674,91.10546350479126,16.007155282156805,0.0,7.90976750946045,18.1291743346623,0.0,32.81099387577602,0.0,0.08993721008300781
2018-07-13 13:00:00,7.109600067138672,1.5405897412981306,6.68346895490374,1.3817105293273928,0.48797668729509625,92.55187316894532,0.0,12.189227810076305,9.160178282260896,11.704513833863395,132.0540726184845,10.034656252179827,0.0,12.66288631772995,30.801352194377355,0.0,39.675777707781116,23.967697666168213,0.5693061351776123
2018-07-13 14:00:00,10.513366222381592,1.4664876120431083,13.58441264288766,3.6205439567565922,8.065294810703822,106.03058700561525,0.0,22.070501959664483,15.550606710740498,20.952637568541938,160.62822461128235,5.311001096452985,0.5615227978458405,16.410757022380828,55.13851991721562,0.14039930343627932,40.99055671691895,38.499186332702635,9.409510612487793
2018-07-13 15:00:00,26.14028882980347,0.9270118985857283,20.03100790296282,0.9746882915496826,15.379842485700335,123.68396301269532,0.5077340916224888,31.41417667252677,24.848862668446134,26.888581044333325,172.61979103088376,8.845145906720841,0.8870815329551698,17.583461760997775,70.75942380087717,0.0,40.42323793683733,52.07394805526734,17.94314956665039
2018-07-13 16:00:00,70.0455446243286,0.0,60.30647788728986,0.2599437236785889,16.61304923466274,176.1587715148926,7.866776187079295,31.188822408403666,24.950926547731672,24.922241306304933,201.33422434329987,7.784668513706753,1.3151278640308381,18.645617376327515,65.58484554290771,0.0,54.481689180646626,90.33537857437133,19.381890773773193
2018-07-13 17:00:00,95.13969802856445,0.0,101.07869972501483,0.0,9.949114118303573,216.40798110961916,16.92246539252145,26.97031048229762,21.086236696243283,22.512185113089423,248.696494102478,1.4477699824741908,0.8772346228160859,20.872371469497683,59.24259240286691,0.0,63.66781609398979,125.23770273971557,11.607299804687502
2018-07-13 18:00:00,125.17405700683595,0.0,148.14657374790738,0.0,0.6368504251752581,203.6267272949219,39.892373666422706,36.158474497113914,25.214138975143435,25.70809952054705,262.57032215595245,0.18655708857945033,0.37458506058692936,22.762429200172427,67.65289347512382,0.0,70.3466023717608,168.66587281036374,0.7429921627044678
2018-07-13 19:00:00,116.72654342651367,0.0,123.89200319562639,0.0,0.0,217.48930358886722,59.273432031358986,53.820076469012676,32.00508913585118,29.92321706226894,264.26197886466986,0.0,0.5950774855537415,22.705513535499577,78.74530805860248,0.0,83.7349023137774,143.94858130645753,0.0
2018-07-13 20:00:00,83.22855615615845,0.0,72.66214145932878,0.0,0.0,183.4576141357422,73.21706014088223,56.105590418406905,36.88234625816346,25.05427292142596,245.644993185997,0.0,0.8017861142005921,22.102032123565674,65.93229716164726,0.0,57.08169569287981,100.91222874069213,0.0
2018-07-13 21:00:00,53.97167110443115,0.8300726754324776,31.75950479507446,0.08934640884399414,0.0,115.2752098083496,106.69167746952603,53.827805021830976,41.37882554871696,18.776520586354394,204.98845517635345,0.0,1.5002104523086548,22.325795374870303,49.411896279879976,0.15695566368103028,35.46818814958845,65.89850186920167,0.0
2018-07-13 22:00:00,15.098008155822754,0.9266824722290038,9.04187740598406,0.4789495468139649,0.0,79.89335327148439,85.87448630741666,19.326175499643597,20.026970728806088,0.21640333584376745,156.68634295463562,0.0,2.1801295266189573,21.49826556301117,0.5694824627467564,0.7949952251434325,28.026288117681233,28.93396591186524,0.0
2018-07-13 23:00:00,0.8988521099090575,1.2357309886387415,1.0582353728158134,0.8003876209259033,0.3779848643711635,72.9788623046875,68.53350550515312,5.529412654127393,8.977250975540706,0.17311822414398192,107.85252571105957,0.889375959123884,3.273136163684845,18.141631446838378,0.45557427406311035,1.1743860825538635,41.63221958705358,0.0,0.4409823417663574
2018-07-14 00:00:00,0.5381743907928467,12.151991435459683,1.0494273049490792,8.3727445602417,9.974149703979492,108.36024780273438,98.42189703805106,12.259505319765639,5.687303208283016,14.925579116344453,99.55725073814394,11.645578111921036,4.342820434619904,17.103362022876738,39.27783977985383,1.4330206402778627,75.53236382348197,0.0,11.636507987976074
2018-07-14 01:00:00,0.0,61.11756624494279,0.7189954008374896,26.73437595367432,43.37291254316057,134.8989486694336,126.9519471577236,37.95266390664238,14.965571385792323,39.13335644858224,81.21928095817567,57.135841369628906,4.635408059204102,12.657111778736116,102.98251696995327,1.705767840576172,95.2721347127642,0.0,50.60173130035399
2018-07-14 02:00:00,0.0,192.04773167201452,0.0,99.68053817749022,85.58605630057198,153.5967971801758,100.09331996917724,54.10243025166648,32.75898244857788,53.809752382550926,77.04078912734987,155.972378049578,4.613461018478394,9.891845275878909,141.60461153302876,1.9548582015991212,104.78885752814158,0.0,99.85039901733397
2018-07-14 03:00:00,0.0,283.3756517682757,0.0,180.93994140625003,103.74169594900948,181.51698226928713,85.90623486655099,51.98773675305503,50.70512585980552,66.87496401241847,90.20696997642519,193.19522748674666,5.221193665573121,8.617760078430178,175.98674740110124,2.264438854980469,111.21936321258546,0.0,121.03197860717773
2018-07-14 04:00:00,0.3845369815826416,274.8863263811384,0.08012723922729494,192.69007682800293,131.50095912388394,258.03291244506835,89.27797808238441,61.64458592278617,77.36408222743444,78.9330471106938,129.1486930847168,221.1575971330915,6.29176541482544,9.332467216491699,207.71854502814156,3.1422137768745424,148.40923649924142,0.0,153.41778564453125
2018-07-14 05:00:00,0.8950862884521484,214.43979753766743,0.8974530356270927,140.16515731811526,154.13353729248047,302.88306579589846,101.58265104293825,61.27759178025382,83.06662023067474,83.22239800180708,172.59825825691223,303.1606031145369,5.798965313674927,11.450682228088379,219.00631053107128,3.50138063583374,161.93701897348677,0.0,179.82246017456055
2018-07-14 06:00:00,9.005102157592773,184.63274492536272,8.467017173767088,109.03005981445312,177.48820986066548,302.52442207336424,91.61987098966328,57.552743247577126,90.62484377452306,72.48078719547819,198.21551978588104,508.3318274361747,4.116324191473961,14.120322604179385,190.73891367231099,4.274494449806213,151.3407836641584,27.723254837036134,207.0695781707764
2018-07-14 07:00:00,13.285864830017092,194.2405766078404,17.646903582981654,116.21377182006836,215.76760973249165,244.60013504028322,61.49565136500768,47.56912727696556,112.2295006462506,67.85254961422513,173.3778476715088,740.0956453595843,3.1394503698825833,13.688382075786592,178.5593410900661,4.5409045288085945,117.74129697254726,47.053675209045416,251.7288780212403
2018-07-14 08:00:00,17.00326919555664,250.5903756277902,32.84408712387086,147.76248550415042,244.74771227155415,207.94836425781253,54.68574830668314,54.5166926418032,134.2461071082524,90.04591707502094,151.91060543060306,930.9501538957869,3.492396889470101,12.168138628959657,236.96293967110773,4.54766540260315,94.28289311272758,66.82672832107544,285.53899765014654
2018-07-14 09:00:00,25.57109022140503,387.2368567330497,72.40126705169678,222.82320976257327,262.3514148167202,225.53479080200196,78.50776744025096,35.69663121495929,101.70921580450876,86.34166669164385,185.78445911407468,992.0786557878766,8.16014161492443,17.16847175979614,227.2149123464312,4.428379180145264,79.18145554406303,100.68891854095457,306.07665061950684
2018-07-14 10:00:00,57.86399126052856,430.60012272426064,133.55220304216658,269.11545753479004,377.66414369855613,234.36772994995115,66.01265449796405,27.601834259033208,95.42890708105905,67.47845431736538,235.09735107421872,847.8571047101702,6.558137541687012,21.906755219459537,177.57487978254048,3.6493502971649168,56.078940664018916,153.37687566947935,440.60816764831543
