,Grid
731,-14.600000000000001
732,-12.200000000000003
733,-12.200000000000003
734,-5.399999999999999
735,1.4499999999999957
736,-4.75
737,-4.850000000000001
738,-9.600000000000001
739,-10.350000000000001
740,-8.0
741,-10.950000000000003
742,-11.150000000000006
743,-11.200000000000003
744,-10.099999999999994
745,-9.149999999999999
746,-12.200000000000003
747,-12.200000000000003
748,-10.099999999999994
749,-15.25
750,-10.75
751,-5.899999999999999
752,-7.654761900000004
753,4.745238100000002
754,0.7452380999999946
755,1.3952381000000003
756,1.3952381000000003
757,-0.7047619000000012
758,-65.7047619
759,-5.899999999999999
760,-9.050000000000004
761,-12.200000000000003
762,-13.25
763,-15.350000000000001
764,-18.5
765,-24.8
766,-24.8
767,-26.9
768,-29.0
769,-23.2
770,-24.8
771,-23.95
772,-25.65
773,-25.85
774,-24.4
775,-25.85
776,-25.85
777,-21.65
778,-16.1
779,-14.300000000000004
780,-12.200000000000003
781,-13.25
782,-12.149999999999999
783,-7.599999999999994
784,-5.399999999999999
785,-4.850000000000001
786,-3.799999999999997
787,-5.899999999999999
788,-4.299999999999997
789,-11.700000000000003
790,-13.25
791,-14.100000000000001
792,-12.850000000000001
793,-14.100000000000001
794,-14.100000000000001
795,-14.100000000000001
796,-14.100000000000001
797,-14.300000000000004
798,-14.100000000000001
799,-9.600000000000001
800,-4.904761899999997
801,8.745238100000002
802,5.595238100000003
803,9.795238099999999
804,6.445238099999997
805,-2.8047619000000026
806,-68.8547619
807,-10.099999999999994
808,-10.099999999999994
809,-10.099999999999994
810,-7.599999999999994
811,-13.25
812,-11.150000000000006
813,-16.4
814,-15.350000000000001
815,-27.75
816,-26.8
817,-23.75
818,-20.6
819,-25.299999999999997
820,-20.6
821,-24.8
822,-18.5
823,-24.8
824,-22.7
825,-22.799999999999997
826,-25.299999999999997
827,-25.299999999999997
828,-24.8
829,-19.55
830,-14.799999999999997
831,-13.25
832,-16.299999999999997
833,-13.25
834,-12.700000000000003
835,-11.150000000000006
836,-12.200000000000003
837,-10.099999999999994
838,-12.200000000000003
839,-12.200000000000003
840,-10.099999999999994
841,-10.099999999999994
842,-15.450000000000003
843,-16.4
844,-15.899999999999999
845,-15.899999999999999
846,-18.5
847,-14.300000000000004
848,-9.6047619
849,9.795238099999999
850,11.8952381
851,13.995238099999995
852,9.795238099999999
853,3.4952381000000017
854,-61.5047619
855,-8.0
856,-2.75
857,-12.200000000000003
858,-8.75
859,-13.25
860,-12.200000000000003
861,-13.25
862,-10.099999999999994
863,-16.6
864,-18.5
865,-8.949999999999996
866,-11.800000000000004
867,-22.5
868,-19.0
869,-22.3
870,-20.6
871,-20.6
872,-27.95
873,-27.95
874,-24.8
875,-22.7
876,-22.7
877,-21.65
878,-20.099999999999998
879,-19.0
880,-13.25
881,-13.549999999999997
882,-10.600000000000001
883,-10.5
884,-8.0
885,-10.099999999999994
886,-11.349999999999994
887,-10.5
888,-12.200000000000003
889,-12.350000000000001
890,-10.099999999999994
891,-12.200000000000003
892,-12.0
893,-14.300000000000004
894,-17.35
895,-15.25
896,-8.054761900000003
897,2.9952381000000017
898,9.795238099999999
899,10.845238100000003
900,6.6452381
901,-1.654761899999997
902,-63.6047619
903,-6.950000000000003
904,-4.450000000000003
905,-9.050000000000004
906,-8.0
907,-12.700000000000003
908,-12.200000000000003
909,-21.65
910,-16.800000000000004
911,-22.05
912,-20.099999999999998
913,-12.950000000000003
914,-10.099999999999994
915,-16.700000000000003
916,-12.200000000000003
917,-19.55
918,-13.25
919,-19.55
920,-16.800000000000004
921,-19.25
922,-8.399999999999999
923,-10.75
924,0.3999999999999986
925,-8.0
926,-0.09999999999999432
927,7.100000000000001
928,-1.7000000000000028
929,-0.09999999999999432
930,-4.200000000000003
931,-4.850000000000001
932,-3.799999999999997
933,-13.25
934,-13.25
935,-15.450000000000003
936,-12.899999999999999
937,-12.200000000000003
938,-13.25
939,-15.350000000000001
940,-16.800000000000004
941,-16.4
942,-15.550000000000004
943,-5.149999999999999
944,-4.904761899999997
945,7.045238100000006
946,9.795238099999999
947,8.095238100000003
948,5.095238100000003
949,0.24523809999999457
950,-63.6047619
951,-3.799999999999997
952,-1.7000000000000028
953,-9.699999999999996
954,-8.0
955,-15.25
956,-12.200000000000003
957,-18.1
958,-18.5
959,-18.5
960,-22.400000000000002
961,-17.450000000000003
962,-13.25
963,-16.4
964,-17.450000000000003
965,-18.5
966,-17.65
967,-18.5
968,-16.6
969,-16.6
970,35.05
971,33.5
972,46.2
973,39.900000000000006
974,51.449999999999996
975,62.15
976,57.75
977,60.05
978,56.7
979,53.949999999999996
980,52.800000000000004
981,50.0
982,47.25
983,46.2
984,46.2
985,44.1
986,46.2
987,44.1
988,44.5
989,45.7
990,45.15
991,51.449999999999996
992,50.345238099999996
993,63.4952381
994,60.8452381
995,62.745238099999995
996,57.6952381
997,53.4952381
998,-11.9047619
999,42.75
1000,52.5
1001,44.1
1002,39.900000000000006
1003,39.900000000000006
1004,38.45
1005,34.75
1006,34.75
1007,33.6
1008,32.75
1009,34.1
1010,34.75
1011,34.75
1012,34.75
1013,34.75
1014,32.75
1015,31.7
1016,33.199999999999996
1017,32.15
1018,34.75
1019,31.9
1020,46.2
1021,45.7
1022,50.9
1023,59.85
1024,56.8
1025,57.0
1026,56.8
1027,55.099999999999994
1028,55.0
1029,50.199999999999996
1030,48.4
1031,50.300000000000004
1032,50.4
1033,49.15
1034,46.2
1035,46.0
1036,48.3
1037,47.25
1038,48.3
1039,53.550000000000004
1040,53.4952381
1041,66.7452381
1042,63.995238099999995
1043,65.8952381
1044,62.945238100000005
1045,55.5952381
1046,-5.954761899999999
1047,48.5
1048,53.550000000000004
1049,42.0
1050,-9.050000000000004
1051,-13.25
1052,-8.0
1053,-15.25
1054,-15.049999999999997
1055,-15.450000000000003
1056,-16.0
1057,-15.049999999999997
1058,-16.200000000000003
1059,-17.85
1060,-18.5
1061,-18.5
1062,-18.1
1063,-18.5
1064,-18.5
1065,-18.5
1066,-15.350000000000001
1067,-16.9
1068,-9.699999999999996
1069,-11.899999999999999
1070,0.8999999999999986
1071,17.400000000000006
1072,0.8999999999999986
1073,5.450000000000003
1074,0.8999999999999986
1075,3.4499999999999957
1076,0.3999999999999986
1077,-3.799999999999997
1078,0.3999999999999986
1079,0.7999999999999972
1080,0.3999999999999986
1081,-0.9499999999999957
1082,-3.799999999999997
1083,-5.899999999999999
1084,-1.0500000000000043
1085,-1.7000000000000028
1086,-2.75
1087,7.950000000000003
1088,3.095238100000003
1089,28.695238099999997
1090,13.995238099999995
1091,16.095238100000003
1092,11.8952381
1093,5.595238100000003
1094,-50.6047619
1095,2.5
1096,6.050000000000004
1097,-6.950000000000003
1098,-6.950000000000003
1099,-11.150000000000006
1100,-12.200000000000003
1101,-15.049999999999997
1102,-15.350000000000001
1103,-18.5
1104,-18.5
1105,-15.350000000000001
1106,-15.350000000000001
1107,-18.5
1108,-18.5
1109,-18.5
1110,-18.5
1111,-21.099999999999998
1112,-18.5
1113,-18.5
1114,-16.0
1115,-13.549999999999997
1116,44.1
1117,42.0
1118,50.0
1119,65.95
1120,59.45
1121,59.85
1122,56.7
1123,58.8
1124,56.449999999999996
1125,53.849999999999994
1126,54.25
1127,54.6
1128,51.75
1129,51.349999999999994
1130,49.25
1131,48.5
1132,50.099999999999994
1133,49.15
1134,46.4
1135,52.5
1136,54.545238100000006
1137,76.7952381
1138,69.4452381
1139,69.8952381
1140,71.7452381
1141,57.6952381
1142,-2.0547619
1143,47.05
1144,53.849999999999994
1145,38.0
1146,48.3
1147,37.05
1148,38.849999999999994
1149,32.15
1150,-9.050000000000004
1151,-11.150000000000006
1152,-15.75
1153,-7.149999999999999
1154,-6.950000000000003
1155,-18.0
1156,-17.75
1157,-18.5
1158,-18.1
1159,-20.6
1160,-18.5
1161,-20.4
1162,-18.5
1163,-18.5
1164,-18.5
1165,-18.5
1166,-14.100000000000001
1167,-12.200000000000003
1168,-11.150000000000006
1169,-3.3999999999999986
1170,-10.099999999999994
1171,-4.450000000000003
1172,-8.0
1173,-9.050000000000004
1174,-9.25
1175,-10.600000000000001
1176,-11.150000000000006
1177,-11.450000000000003
1178,-16.0
1179,-16.1
1180,-16.0
1181,-16.0
1182,-15.649999999999999
1183,-10.099999999999994
1184,-10.154761899999997
1185,4.745238100000002
1186,3.1952380999999974
1187,9.795238099999999
1188,6.6452381
1189,-3.7547618999999983
1190,-70.5547619
1191,-13.149999999999999
1192,-12.0
1193,-13.799999999999997
1194,-12.200000000000003
1195,-15.350000000000001
1196,-12.200000000000003
1197,-18.5
1198,-14.300000000000004
1199,-16.4
1200,-18.5
1201,-8.200000000000003
1202,-22.7
1203,-28.35
1204,-14.300000000000004
1205,-25.85
1206,-14.300000000000004
1207,-25.85
1208,-20.6
1209,-25.85
1210,-24.8
1211,-24.8
1212,-24.8
1213,-24.8
1214,-21.0
1215,-23.95
1216,-29.0
1217,-16.4
1218,-21.65
1219,-8.0
1220,-14.799999999999997
1221,-11.150000000000006
1222,-12.200000000000003
1223,-14.5
1224,-8.0
1225,-3.3999999999999986
1226,-3.799999999999997
1227,-4.850000000000001
1228,-4.850000000000001
1229,-11.150000000000006
1230,-14.399999999999999
1231,-4.850000000000001
1232,-3.8547618999999997
1233,10.845238100000003
1234,10.845238100000003
1235,10.945238099999997
1236,10.845238100000003
1237,4.545238100000006
1238,-9.4047619
1239,45.7
1240,47.25
1241,34.35
1242,40.300000000000004
1243,37.8
1244,-12.200000000000003
1245,-21.65
1246,-20.6
1247,-24.8
1248,-24.8
1249,-23.75
1250,-19.75
1251,-29.0
1252,-26.9
1253,-30.049999999999997
1254,-26.9
1255,-29.0
1256,-23.75
1257,-25.299999999999997
1258,-26.05
1259,-21.65
1260,-16.4
1261,-10.099999999999994
1262,-11.150000000000006
1263,-6.950000000000003
1264,-8.0
1265,-11.450000000000003
1266,-10.0
1267,-7.599999999999994
1268,-10.099999999999994
1269,-11.150000000000006
1270,-11.25
1271,-11.25
1272,-9.050000000000004
1273,-11.549999999999997
1274,-10.75
1275,-11.150000000000006
1276,-8.5
1277,-8.650000000000006
1278,-10.950000000000003
1279,-4.649999999999999
1280,-7.004761899999998
1281,6.6452381
1282,10.945238099999997
1283,13.995238099999995
1284,11.8952381
1285,6.6452381
1286,-59.4047619
1287,0.3999999999999986
1288,-5.899999999999999
1289,-8.399999999999999
1290,-12.200000000000003
1291,-13.25
1292,39.900000000000006
1293,34.1
1294,39.900000000000006
1295,41.900000000000006
1296,37.8
1297,47.15
1298,43.05
1299,34.65
1300,-17.75
1301,-24.3
1302,-24.3
1303,-29.0
1304,-24.3
1305,-27.95
1306,-26.9
1307,-22.7
1308,-10.099999999999994
1309,-8.0
1310,-13.25
1311,-4.649999999999999
1312,-2.1000000000000014
1313,-1.5
1314,1.4499999999999957
1315,-3.5
1316,-8.0
1317,-12.200000000000003
1318,-11.349999999999994
1319,-14.300000000000004
1320,-10.099999999999994
1321,-14.5
1322,-14.399999999999999
1323,-16.4
1324,-16.299999999999997
1325,-17.25
1326,-20.6
1327,-14.700000000000003
1328,-9.954761899999994
1329,5.295238099999999
1330,2.4452380999999974
1331,5.295238099999999
1332,1.3952381000000003
1333,-4.054761900000003
1334,-66.7547619
1335,-8.0
1336,-9.800000000000004
1337,-13.25
1338,-8.0
1339,-18.2
1340,-11.150000000000006
1341,-23.95
1342,-16.4
1343,-23.95
1344,-27.349999999999998
1345,-23.75
1346,-24.8
1347,-27.549999999999997
1348,-25.65
1349,-29.849999999999998
1350,-28.599999999999998
1351,-33.2
1352,-27.3
1353,-29.0
1354,-26.9
1355,-25.2
1356,-10.099999999999994
1357,-12.200000000000003
1358,-11.800000000000004
1359,-8.0
1360,-5.799999999999997
1361,-5.5
1362,-4.649999999999999
1363,-9.050000000000004
1364,-9.050000000000004
1365,-13.25
1366,-12.200000000000003
1367,-14.200000000000003
1368,-15.649999999999999
1369,-16.4
1370,-15.350000000000001
1371,-16.299999999999997
1372,-13.25
1373,-14.100000000000001
1374,-15.350000000000001
1375,-4.450000000000003
1376,-6.6047619
1377,3.4952381000000017
1378,3.795238100000006
1379,9.795238099999999
1380,6.6452381
1381,2.2452381000000017
1382,-67.8047619
1383,-10.099999999999994
1384,-9.050000000000004
1385,-13.75
1386,-3.799999999999997
1387,-15.350000000000001
1388,-15.25
1389,-21.65
1390,-14.200000000000003
1391,-25.55
1392,-28.799999999999997
1393,-20.2
1394,-20.8
1395,-28.5
1396,-25.0
1397,-26.5
1398,-24.6
1399,-29.0
1400,-26.9
1401,-24.8
1402,-22.599999999999998
1403,-16.4
1404,-8.0
1405,-10.099999999999994
1406,-11.0
1407,-3.799999999999997
1408,-2.950000000000003
1409,-3.799999999999997
1410,-1.7000000000000028
1411,-6.299999999999997
1412,-4.450000000000003
1413,-6.299999999999997
1414,-5.899999999999999
1415,-8.099999999999994
1416,-8.0
1417,-12.700000000000003
1418,-12.700000000000003
1419,-13.899999999999999
1420,-17.25
1421,-18.5
1422,-19.75
1423,-12.700000000000003
1424,-10.804761900000003
1425,1.3952381000000003
1426,-2.6047618999999997
1427,4.545238100000006
1428,1.295238100000006
1429,-2.8047619000000026
1430,-69.8047619
1431,-13.149999999999999
1432,-10.099999999999994
1433,-13.899999999999999
1434,-3.799999999999997
1435,-14.799999999999997
1436,-16.4
1437,-20.6
1438,-23.650000000000002
1439,-32.55
1440,-39.1
1441,-31.75
1442,-29.0
1443,-29.3
1444,-29.0
1445,-37.2
1446,-29.0
1447,-39.5
1448,-32.8
1449,-36.55
1450,-26.9
1451,-16.4
1452,-12.200000000000003
1453,-10.850000000000001
1454,-12.200000000000003
1455,-9.050000000000004
1456,-10.5
1457,-10.399999999999999
1458,-8.849999999999994
1459,-9.050000000000004
1460,-9.050000000000004
1461,-10.0
1462,-9.050000000000004
1463,-10.0
1464,-8.099999999999994
1465,-9.349999999999994
1466,-12.200000000000003
1467,-17.65
1468,-16.6
1469,-18.599999999999998
1470,-18.599999999999998
1471,-12.400000000000006
1472,-15.504761899999998
1473,1.3952381000000003
1474,-5.954761900000001
1475,-0.8047618999999955
1476,-4.904761899999997
1477,-8.754761899999998
1478,-74.1047619
1479,-16.4
1480,-9.050000000000004
1481,-14.300000000000004
1482,-15.350000000000001
1483,-21.349999999999998
1484,-22.7
1485,-32.55
1486,-39.5
1487,-48.95
1488,-41.6
1489,-35.3
1490,-37.0
1491,-40.75
1492,-46.65
1493,-47.4
1494,-48.95
1495,-50.35
1496,-47.4
1497,-48.95
1498,-47.4
