,Heat_Demand,Elec_Demand
277,1.548,0.4335
278,1.568,0.439
279,1.3355,0.443
280,1.103,0.447
281,1.0025,0.4485
282,0.902,0.45
283,0.8411000000000001,0.4455
284,0.7802,0.441
285,0.7022,0.427
286,0.6242000000000001,0.413
287,0.561,0.3895
288,0.4978,0.366
289,0.44065,0.341
290,0.3835,0.316
291,0.32775,0.292
292,0.272,0.268
293,0.27595,0.247
294,0.2799,0.226
295,0.28945,0.2085
296,0.299,0.191
297,0.3143,0.1785
298,0.3296,0.166
299,0.35370000000000007,0.1635
300,0.3778,0.161
301,0.6266,0.169
302,0.8754,0.177
303,1.0002,0.1885
304,1.125,0.2
305,1.11,0.212
306,1.095,0.224
307,1.074,0.2355
308,1.053,0.247
309,0.8132,0.258
310,0.5734,0.269
311,0.46044999999999997,0.2795
312,0.3475,0.29
313,0.37495,0.296
314,0.4024,0.302
315,0.42604999999999993,0.302
316,0.4497,0.302
317,0.46545,0.3025
318,0.48119999999999996,0.303
319,0.7166,0.308
320,0.952,0.313
321,1.0535,0.326
322,1.155,0.339
323,1.218,0.3535
324,1.281,0.368
325,1.3055,0.3795
326,1.33,0.391
327,1.1114000000000002,0.4
328,0.8927999999999999,0.409
329,0.79725,0.416
330,0.7017,0.423
331,0.64365,0.4235
332,0.5856,0.424
333,0.5327000000000001,0.414
334,0.4798,0.404
335,0.44120000000000004,0.3825
336,0.4026,0.361
337,0.3753,0.3365
338,0.348,0.312
339,0.33455,0.289
340,0.3211,0.266
341,0.35205000000000003,0.246
342,0.383,0.226
343,0.4264,0.2085
344,0.4698,0.191
345,0.5176000000000001,0.1785
346,0.5654,0.166
347,0.6120999999999999,0.1635
348,0.6587999999999999,0.161
349,0.9329,0.169
350,1.207,0.177
351,1.3385,0.1885
352,1.47,0.2
353,1.4215,0.212
354,1.373,0.224
355,1.333,0.2355
356,1.293,0.247
357,1.0266,0.258
358,0.7602000000000001,0.269
359,0.6406000000000001,0.2795
360,0.521,0.29
361,0.58025,0.296
362,0.6395,0.302
363,0.6794,0.302
364,0.7192999999999999,0.302
365,0.7445499999999999,0.3025
366,0.7697999999999999,0.303
367,1.0174,0.308
368,1.265,0.313
369,1.3635,0.326
370,1.462,0.339
371,1.5195,0.3535
372,1.577,0.368
373,1.5975,0.3795
374,1.618,0.391
375,1.3845,0.4
376,1.151,0.409
377,1.0507,0.416
378,0.9504,0.423
379,0.8898499999999999,0.4235
380,0.8292999999999999,0.424
381,0.74475,0.414
382,0.6602,0.404
383,0.5918,0.3825
384,0.5234,0.361
385,0.4774,0.3365
386,0.43139999999999995,0.312
387,0.40335000000000004,0.289
388,0.3753,0.266
389,0.42965,0.246
390,0.484,0.226
391,0.5551,0.2085
392,0.6262000000000001,0.191
393,0.692,0.1785
394,0.7577999999999999,0.166
395,0.8152,0.1635
396,0.8726,0.161
397,1.1498,0.169
398,1.427,0.177
399,1.552,0.1885
400,1.677,0.2
401,1.6245,0.212
402,1.572,0.224
403,1.515,0.2355
404,1.458,0.247
405,1.1789,0.258
406,0.8997999999999999,0.269
407,0.7677999999999999,0.2795
408,0.6357999999999999,0.29
409,0.681,0.296
410,0.7262000000000001,0.302
411,0.778,0.302
412,0.8298,0.302
413,0.8657999999999999,0.3025
414,0.9017999999999999,0.303
415,1.1659000000000002,0.308
416,1.43,0.313
417,1.5565,0.326
418,1.683,0.339
419,1.754,0.3535
420,1.825,0.368
421,1.8475,0.3795
422,1.87,0.391
423,1.6335,0.4
424,1.397,0.409
425,1.279,0.416
426,1.161,0.423
427,1.082,0.4235
428,1.003,0.424
429,0.89195,0.414
430,0.7808999999999999,0.404
431,0.6883499999999999,0.3825
432,0.5958,0.361
433,0.5172,0.3365
434,0.43860000000000005,0.312
435,0.3768,0.289
436,0.315,0.266
437,0.34305,0.246
438,0.37110000000000004,0.226
439,0.41025,0.2085
440,0.44939999999999997,0.191
441,0.49305,0.1785
442,0.5367000000000001,0.166
443,0.58035,0.1635
444,0.624,0.161
445,0.895,0.169
446,1.166,0.177
447,1.296,0.1885
448,1.426,0.2
449,1.3805,0.212
450,1.335,0.224
451,1.296,0.2355
452,1.257,0.247
453,0.99215,0.258
454,0.7273,0.269
455,0.6068,0.2795
456,0.4863,0.29
457,0.54055,0.296
458,0.5948,0.302
459,0.6316499999999999,0.302
460,0.6685,0.302
461,0.69235,0.3025
462,0.7162000000000001,0.303
463,0.9636,0.308
464,1.211,0.313
465,1.3105,0.326
466,1.41,0.339
467,1.469,0.3535
468,1.528,0.368
469,1.548,0.3795
470,1.568,0.391
471,1.3355,0.4
472,1.103,0.409
473,1.0025,0.416
474,0.902,0.423
475,0.8411000000000001,0.4235
476,0.7802,0.424
477,0.7022,0.414
478,0.6242000000000001,0.404
479,0.561,0.3825
