Site Name,Turbine Capacity (MW),No. of Turbines,x,y
Loch Sminig Wind Project,0.9,3.0,-6.493031337616529,58.38352438640814
Burton Pidsea (Wadworth Hill) Wind Farm,3.4,3.0,-0.11349034018052026,53.749217442618274
Camster,2,25.0,-3.271521222783636,58.40863675667811
Bu Farm,0.9,3.0,-2.6600831048620663,59.09724704006008
Drumderg,2.3,16.0,-3.232014276024338,56.62223532086843
Clyde Wind Farm,2.3,152.0,-3.5427297843953744,55.441635578792564
Novar Wind Farm (Extension),2.3,16.0,-4.426955442227026,57.70996997120584
Hill of Towie (Drummuir),2.3,21.0,-3.3410432838453388,57.62282583483168
Ewe Hill,2.3,6.0,-3.3338686984068273,55.10709697198864
Middlemoor,3,18.0,-1.7678529339627551,55.4986396762927
Baillie Wind Farm,2.5,21.0,-3.6770293346553924,58.56790726746553
Braich Ddu,1.3,3.0,-3.957592921642238,52.59510957286483
Drone Hill,1.3,22.0,-2.2619352670734214,55.897884083361674
Tangy Wind Farm Extension/Tangy 2,0.85,7.0,-5.530423254953915,55.4786148058351
Calliachar,2.3,14.0,-3.8760737872575297,56.6276679801753
Griffin Wind farm,3,52.0,-3.733748909945373,56.58121219440534
High Pow Farm (Resubmission),1.3,3.0,-3.1912014188894164,54.78954325179735
St. Johns Hill,2.8,9.0,-2.272428595686363,56.888559322498836
Fullabrook Down Wind Farm,3,22.0,-4.102679633105165,51.15694437586106
Little Raith Farm,2.8,9.0,-3.25215919128441,56.11934776244197
Pant y wal,2.5,10.0,-3.50504737727578,51.61286484950123
Green Rigg,2,18.0,-2.1270184939122876,55.13230658658985
Rosehall Hill Forest Windfarm,1.3,19.0,-4.546952730018734,57.995606770815186
Bankend Rig,1.3,11.0,-4.134208500547761,55.5782712242107
Hill of Easterton Extension,1,2.0,-2.3932853565758934,57.376090690166286
Batsworthy Cross,2,9.0,-3.6891308346784397,50.97168292102173
Fallago Rig,3,48.0,-2.6880320563497904,55.831304905907885
Cathkin Braes Wind Farm (Castlemilk),3,1.0,-4.215297278817208,55.797123026788896
Mynydd y Betws,2.3,15.0,-3.9290551419242594,51.77283130300956
Ark Hill,0.8,8.0,-3.048061360176951,56.5709140937503
Pentland Road Wind Farm,2.3,6.0,-6.510780318886591,58.25716480600332
Turncole Wind Farm,2,7.0,0.867790247651379,51.65150936791388
Derby Sewage Treatment Works,3.4,2.0,-1.4131228091160792,52.908164899456104
Grange Resubmission,2.05,6.0,-0.7001265225782194,53.63793963732123
Goole Fields ll Wind Farm,2.05,17.0,-0.88680718021165,53.676799044836564
Edintore Wind Farm,3,6.0,-2.9625348842042794,57.50565973250575
Gremista Wind Farm,3,1.0,-1.1671249562398216,60.1924368032572
Clentrie Wind Farm (Gevens),2.3,3.0,-3.2526366752171127,56.11770763967781
Kelmarsh Wind Farm (Resubmission),2.5,5.0,-0.9597514018605268,52.40285452309896
Torrance Farm Wind Park Extension,3,2.0,-3.745230444113142,55.876560702442156
Goathill Quarry Turbine,2,1.0,-3.3202558606531687,56.0863547629746
Skeddoway Farm Wind Turbine (Resubmission),2.5,1.0,-3.1593410459761833,56.16649966215489
Middle Balbeggie Wind Turbines,3.2,2.0,-3.164493126307203,56.153692709048705
Upper Holton Wind Farm,2.3,5.0,1.531162281093715,52.36651331489353
Tallentire Hill,2,6.0,-3.3595015836047497,54.70688732890436
Meikle Carewe (Re-Submission),0.85,12.0,-2.2783202701623773,57.018803670713545
Andershaw,2.5,14.0,-3.8462550584203705,55.50932735939186
East Midlands Airport,0.25,4.0,-1.342645400097387,52.826216326308966
Kildrummy Windfarm,2.3,8.0,-2.7029345998631498,57.2252832499055
Dunmaglass Wind Farm,3,33.0,-4.255799446243075,57.25146437890239
Harestanes,2,68.0,-3.574192545100632,55.239033218395356
Hill of Stroupster Windfarm,2.5,12.0,-3.1323828663202025,58.57925146706622
Burn of Whilk,2.5,9.0,-3.203860167449844,58.35674490552354
Lochluichart,3,17.0,-4.816696585338802,57.65457638356896
Burnhead,2,13.0,-3.774825818139629,55.912073903661344
Easter Tolmauds,0.8,2.0,-2.621909577834045,57.15702554569572
Maerdy,3,8.0,-3.5179476231741513,51.69777824042331
Woodlands Barton Wind Project,2.3,2.0,-4.8141550265810285,50.425307028862626
Westnewton,2.05,3.0,-3.346310617355818,54.77950860428859
Hare Hill Extension,0.85,35.0,-4.126272406969973,55.36280783534688
Avonmouth Port - extension,3,3.0,-2.698803364468496,51.50290721337467
Barmoor South Wind Farm (Resubmission),2.3,6.0,-2.0250978440442884,55.637290638094235
Winwick,2.3,6.0,-1.0622245899246214,52.36576345460692
Sisters,2.05,4.0,-1.6182612235342282,55.24987743074009
East Youlstone Wind Farm,2,2.0,-4.446530066685149,50.91726528327371
Hill of Skilmafilly Cloffrickford (Denmore) Wind Farm,2.3,3.0,-2.1647484403830646,57.453435009605464
Heysham South Wind Farm,2.5,3.0,-2.864978849142448,54.03425533866204
Woolley Hill Wind Farm,2.3,4.0,-0.30793909393829394,52.33986454949581
Furness Wind Farm/High Winds (Harlock Repowering) ,2.3,5.0,-3.1475848040573506,54.209149245311046
Longlands Lane,1.5,1.0,-3.747902719665179,51.563311342594076
Ryder Point Quarry Wind Turbines,2.5,2.0,-1.6213544981838974,53.09162622341173
Burton Wold Wind Farm - Northern Extension (resubmission),1.6,9.0,-0.6518235522584185,52.36156861600042
Pearie Law Wind Farm,3.2,6.0,-3.5624011949589764,55.82051871099093
Crystal Rig Wind Farm Phase III,2.3,6.0,-2.5344850638074514,55.92640909061802
Rhodders Wind Farm,2,6.0,-3.782386745800705,56.20420269116992
Harburnhead Wind Farm,3,22.0,-3.532167413071732,55.808678242710556
Potato Pot Wind Farm,2,3.0,-3.5030990265274875,54.60273263600189
Millour Hill Community Windfarm (Extension) resubmission,3.2,2.0,-4.780885063804234,55.73581677599883
Blantyre Muir Wind Farm extension,2.5,3.0,-4.089987914091935,55.74160265640468
Earlsburn North (Kingsburn) Wind Farm,2.5,9.0,-4.123047794588959,56.08900395016352
Wryde Croft,2,13.0,-0.03230209086103804,52.64221161687963
Wandylaw,1.95,10.0,-1.7641821103051814,55.519613272755244
Black Law Extension - 1a,1.67,29.0,-3.762557455370644,55.76218684984043
Keadby Wind Farm,2,34.0,-0.7636897348450662,53.61181721249235
Berry Burn,2.3,29.0,-3.4753913348160155,57.44659634593086
Den Brook,2,9.0,-3.8666271478561662,50.78011574739477
Dersalloch,3,23.0,-4.488201418640579,55.30426196376168
Point Wind / Beinn Ghrideag Farm,3,3.0,-6.4806818101624035,58.20791487550756
Muirhall South,3.2,3.0,-3.6055405529815956,55.75838993639949
Double Arches Quarry Wind Turbine,1.5,1.0,-0.6343042527100026,51.95191762817446
KELLAS WIND FARM,2.3,8.0,-3.3959926446909505,57.56771013513632
Coal Clough Wind Farm Repowering,2,8.0,-2.149984552779485,53.74967609613866
Sober Hill Wind Farm (Resubmission),2.5,6.0,-0.5967476212406004,53.834966496822744
Srondoire Community Wind Farm,2,3.0,-5.4804915210556056,55.9340920372297
A'Chruach (Phase 1),2.3,21.0,-5.310192030752836,56.15275729199738
Boardinghouse Wind Farm,2.05,5.0,0.060620762489886855,52.53509112109722
Bogenlea Farm,2.3,1.0,-2.2999542924390357,57.56624905232558
Crook Hill (Revised Application - Calderdale MBC) 1 of 2,3.4,4.0,-2.1116591500547712,53.66816130502825
Dungavel Hill,2.3,13.0,-4.0977336025084545,55.60858592423919
Earlseat,2.3,8.0,-3.081326247723817,56.173649661089954
Easter Tulloch Wind Farm (Tullo Extension),2.5,10.0,-2.3957050007269385,56.83637826350407
Gayton Le Marsh Wind Farm,2.05,8.0,0.16599866458475973,53.36266385026965
GlaxoSmithKline Wind Project (Turbine 4),2.5,1.0,-4.618168990450866,55.59286552034733
Goole Fields,2.05,16.0,-0.8892880523574728,53.66594579909973
Greenvale AP Wind Turbine - resubmission,1.5,1.0,-0.004569077042429239,52.52068923697533
Hill of Glaschyle Wind Farm,2.3,12.0,-3.615585771518973,57.51050551477431
Lochluichart (Extension),3,6.0,-4.841359765497916,57.68009544544355
M1 Wind Farm,0.8,9.0,-0.8616389795127417,52.161734659667765
Noble Foods,1.5,1.0,-3.1592676951654273,56.1640654655451
Park Spring Wind Farm,2.85,3.0,-1.4021135549418429,53.57399039057843
Ramsey Wind Farm Extension,2,4.0,-0.12236865565153116,52.468157168654834
Todmorden Moor  - Resubmission,3,5.0,-2.1590035103548213,53.70064435205554
Tullo Wind Farm South (Ext.),2.5,4.0,-2.4049007230717474,56.82741029271486
Watford Lodge,2,5.0,-1.1069274292465774,52.32653372445612
West Browncastle,2.5,12.0,-4.209121867479361,55.65898986623129
Barlockhart Moor,2.03,4.0,-4.787888714883081,54.86570968829964
Balmurrie Fell Wind Farm,1.3,7.0,-4.516452481834656,54.87250389071371
Burnfoot Hill Extension,2,2.0,-3.7689085151658763,56.215386060845034
Plascow wind cluster (resubmission),0.8,3.0,-3.760210027352178,54.956264303502714
Maesgwyn Wind Farm - extension,2.5,1.0,-3.644247756154499,51.7405621687591
Halifax Farm,1.6,1.0,-1.3252082504680627,52.63982362719578
Norton Fields Farm,1.3,1.0,-2.1427250075436475,52.16432278394288
Carscreugh Renewable Energy Park,0.85,18.0,-4.727950437159601,54.85910672859274
North Rhins,2,11.0,-5.0880716875565355,54.877089998106584
Jacksbank Wind Farm (Glenbervie),2.26,3.0,-2.3866272108217355,56.939876676561546
New Albion Wind Farm,2.05,7.0,-0.75539372397211,52.45021137318704
Sunnyside wind cluster,0.5,2.0,-3.94890111191934,55.37902133051927
Minsca,2.3,16.0,-3.352855544206438,55.12207516294124
Artfield Fell,1.3,15.0,-4.774561367174687,54.9704209653735
Wether Hill,1.3,14.0,-4.0452270500058045,55.22305698062408
Dalswinton,2,15.0,-3.650557966227364,55.18410124752446
Craig Wind Farm,2.5,4.0,-3.0689942728072928,55.164122164151344
Beinn an Tuirc Phase 2,2.3,16.0,-5.587316336093409,55.573168314504635
Aikengall,3,16.0,-2.490072719601858,55.917205079666886
Brochloch Rig 1 (formerly Windy Standard),0.6,36.0,-4.182928593260195,55.297068454352015
Black Law Extension - 1b,3,5.0,-3.762557455370644,55.76218684984043
M1 J18 Wind Turbines,2,2.0,-1.157672664539671,52.349517460347656
Penmanshiel Wind Farm,2,14.0,-2.321303361284179,55.896862529787285
St. Breock Re-Power (Resubmission),2.5,5.0,-4.8213045565521355,50.495566425893955
Carraig Gheal,2.3,20.0,-5.2945168006593555,56.33899768522796
Langhope Rig,1.6,10.0,-2.9398911530730336,55.470665392779885
Clashindarroch 2 (Revised),2.05,18.0,-2.8661491217997397,57.36646734395893
Galsworthy Wind Park,2.3,4.0,-4.271478428736751,50.91867992739132
Strathy North,2.05,33.0,-4.033595594825627,58.489989385847664
Mid Hill - Phase II,2.3,8.0,-2.4861693307733224,56.96876182770768
Monan Hill Wind Turbines,0.5,3.0,-6.831794615905799,57.94164315845016
French Farm (resubmission),2.5,2.0,-0.10432280394266064,52.66356201320176
Glenchamber Wind Farm,2.5,11.0,-4.754314769913307,54.963429055967126
Assel Valley Wind Farm,2.3,11.0,-4.778684589060698,55.22648347684781
Fraisthorpe Wind Farm,3.3,9.0,-0.2307295688797066,54.0478961755841
Jack's Lane Wind Farm,2.3,6.0,0.6874055152955811,52.88410884764681
Denzell Downs Wind Farm - resubmission,2,5.0,-4.961558143344429,50.465939608373006
Reaps Moss Wind Farm (resubmitted),3.4,3.0,-2.1671049557936732,53.70018391403881
Chiplow,2,5.0,0.6907749726044039,52.856903454577264
Hook Moor,2.05,3.0,-1.335524625035236,53.81191953446637
Crook Hill (Revised Application - Rochdale MBC) 2 of 2,3.4,7.0,-2.1147682529945153,53.67049523970215
Wear Point,2.05,4.0,-4.996501550771568,51.70215090130572
Middlewick wind farm,2.3,9.0,0.8925035393273225,51.663143823211364
Blyth Harbour Wind Farm (re-power),3.4,1.0,-1.4906414918204884,55.12052798358727
Corriegarth,3,23.0,-4.359634246842432,57.19006874161938
Carsington Pasture,2,4.0,-1.6335847301671689,53.08447318113108
Langford Wind Farm,2,10.0,-0.2452542118259567,52.0589977479728
Mid Hill I,2.3,25.0,-2.4861693307733224,56.96876182770768
Ardrossan Extension,2,3.0,-4.806119204502039,55.64389748659588
Beinn Tharsuinn Windfarm Project,1.75,17.0,-4.3289954491283575,57.805258678181566
Blaengwen (Re-Submission),2.3,10.0,-4.238002551244994,51.97781762906
Boyndie Airfield,2,8.0,-2.6389658276039425,57.66531366878952
Burton Wold Windfarm,2,10.0,-0.6430656874697979,52.360776122136066
Edinbane Wind Farm,2.3,18.0,-6.432192127551619,57.46910001092711
Fairburn,2.15,20.0,-4.631526902102448,57.53289205621456
Farr Wind Farm,2.3,40.0,-4.103011060417868,57.33390516895826
Ffynnon Oer Wind Farm,2,16.0,-3.628678079142658,51.682959867284275
Flotta,1.75,1.0,-3.0972583176673463,58.84123664542929
Forss Wind Farm (Extension),1.3,4.0,-3.688144262286459,58.60234524430336
Michelin Tyre Co Ltd - Dundee,2,2.0,-2.893831386746109,56.48362339775357
Millennium Windfarm,2.5,16.0,-4.883633893715725,57.15520879293474
Muirhall,3,6.0,-3.5857598245537003,55.76693209324065
Mynydd Clogau Wind Farm,0.85,17.0,-3.4284817934175456,52.578400533728036
New Barn Farm,1.5,3.0,-2.3034198323681174,53.773168187284035
North Pickenham,1.8,8.0,0.7320735383550053,52.629243111647384
Paul's Hill and Extension,2.3,28.0,-3.476206020818586,57.44613761558595
Tir Mostyn And Foel Goch Wind Farm,0.85,25.0,-3.4911023484370625,53.11704155246746
Trimdon Grange,1.3,4.0,-1.4426496192257616,54.720426320649594
Wardlaw Wood,3,6.0,-4.789460107769722,55.72248058614582
Southrigg,1.5,1.0,-3.729528785414176,55.871058169204815
Quarrendon Fields,1.5,1.0,-0.8359683427800823,51.84240959692508
Newstead and Annesley Wind Turbine ,1.5,1.0,-1.2178087140919032,53.07527677767867
Beckton Sewage Treatment Works,1,2.0,0.07993719768597238,51.52563570906634
ANP Newport Wind Turbine,2.3,2.0,-2.9738215323778587,51.555915494223136
Marshill Farm,1.5,1.0,-3.93335291829686,55.68710248380095
Woodlands Wind Farm,0.85,3.0,-3.9104462766137136,55.63329731208189
Ferneylea Farm,0.75,2.0,-2.41782654833698,55.91483872378607
Forss Wind Farm,1.3,2.0,-3.688144262286459,58.60234524430336
