,,,2020,,2021,,2022,,2023,,2024,,2025,,2026,,2027,,2028,,2029,,2030,,2031,,2032,,2033,,2034,,2035,,2036,,2037,,2038,,2039,,2040,,2041,,2042,,2043,,2044,,2045,,2046,,2047,,2048,,2049,,2050,,,,,,
,Domestic 2019,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,,,,,
Stella West,145.95756,,262.35,2.0%,269.127,2.0%,279.763,2.0%,305.211,2.1%,334.139,2.2%,372.4,2.3%,415.437,2.4%,463.219,2.5%,515.793,2.6%,573.174,2.7%,641.298,2.8%,716.762,2.8%,795.076,2.9%,867.623,2.9%,950.606,3.0%,1013.11,3.0%,1048.887,3.1%,1078.252,3.1%,1113.925,3.1%,1171.671,3.1%,1229.277,3.2%,1286.63,3.2%,1343.826,3.2%,1400.861,3.2%,1451.464,3.2%,1501.948,3.2%,1552.285,3.3%,1602.49,3.3%,1652.554,3.3%,1702.46,3.3%,1752.225,3.3%,,,,,
Penwortham,103.36259,,251.335,1.9%,256.322,1.9%,266.624,1.9%,283.99,1.9%,303.534,2.0%,328.018,2.0%,354.69,2.0%,383.592,2.1%,416.384,2.1%,453.045,2.1%,498.538,2.1%,549.104,2.2%,602.039,2.2%,650.254,2.2%,706.979,2.2%,747.045,2.2%,765.281,2.2%,778.287,2.2%,796.493,2.2%,832.668,2.2%,868.664,2.2%,904.531,2.2%,940.226,2.2%,975.812,2.2%,1006.168,2.2%,1036.405,2.2%,1066.529,2.2%,1096.545,2.2%,1126.42,2.2%,1156.217,2.2%,1185.872,2.2%,,,,,
Deeside,141.94391,,613.319,4.7%,625.615,4.7%,650.711,4.7%,680.865,4.7%,715.167,4.7%,760.534,4.6%,811.566,4.6%,868.257,4.7%,930.628,4.6%,998.581,4.6%,1079.421,4.6%,1168.848,4.6%,1261.745,4.6%,1347.745,4.6%,1446.141,4.5%,1520.278,4.5%,1562.686,4.5%,1597.523,4.6%,1639.85,4.6%,1708.328,4.6%,1776.595,4.6%,1844.634,4.6%,1912.459,4.5%,1980.098,4.5%,2040.126,4.5%,2099.971,4.5%,2159.679,4.5%,2219.219,4.5%,2278.574,4.5%,2337.783,4.5%,2396.802,4.5%,,,,,
Daines,151.98015,,335.82,2.6%,343.385,2.6%,357.073,2.6%,374.099,2.6%,393.739,2.6%,421.307,2.6%,453.296,2.6%,489.65,2.6%,528.505,2.6%,569.817,2.6%,616.752,2.6%,668.424,2.6%,721.606,2.6%,771.754,2.6%,827.338,2.6%,872.328,2.6%,903.412,2.6%,931.182,2.7%,962.241,2.7%,1004.736,2.7%,1047.146,2.7%,1089.448,2.7%,1131.669,2.7%,1173.771,2.7%,1212.582,2.7%,1251.313,2.7%,1289.965,2.7%,1328.554,2.7%,1367.057,2.7%,1405.499,2.7%,1443.848,2.7%,,,,,
Th. Marsh/Stocksbridge,161.59842,,333.472,2.6%,341.213,2.6%,354.777,2.6%,371.223,2.5%,390.207,2.5%,417.46,2.6%,449.564,2.6%,486.31,2.6%,525.125,2.6%,566.115,2.6%,611.76,2.6%,661.944,2.6%,713.338,2.6%,762.313,2.6%,815.774,2.6%,860.236,2.6%,893.141,2.6%,923.164,2.6%,955.947,2.7%,998.361,2.7%,1040.734,2.7%,1082.969,2.7%,1125.201,2.7%,1167.295,2.7%,1206.687,2.7%,1245.961,2.7%,1285.133,2.7%,1324.267,2.7%,1363.38,2.7%,1402.375,2.7%,1441.357,2.7%,,,,,
Thornton/Drax/Eggborough,69.22865,,294.069,2.3%,301.09,2.3%,313.044,2.3%,331.681,2.3%,353.1,2.3%,382.694,2.3%,416.771,2.4%,455.321,2.4%,496.772,2.5%,541.154,2.5%,592.124,2.5%,648.292,2.6%,706.248,2.6%,760.676,2.6%,821.463,2.6%,869.798,2.6%,901.766,2.6%,929.854,2.7%,961.791,2.7%,1007.208,2.7%,1052.486,2.7%,1097.672,2.7%,1142.721,2.7%,1187.688,2.7%,1228.735,2.7%,1269.703,2.7%,1310.597,2.8%,1351.386,2.8%,1392.084,2.8%,1432.72,2.8%,1473.256,2.8%,,,,,
Keadby,86.03201,,296.804,2.3%,302.611,2.3%,314.756,2.3%,331.127,2.3%,349.644,2.3%,373.375,2.3%,399.591,2.3%,428.302,2.3%,460.444,2.3%,495.985,2.3%,539.287,2.3%,587.302,2.3%,637.455,2.3%,683.419,2.3%,736.864,2.3%,775.688,2.3%,795.301,2.3%,810.366,2.3%,829.941,2.3%,865.314,2.3%,900.569,2.3%,935.692,2.3%,970.677,2.3%,1005.531,2.3%,1035.815,2.3%,1065.989,2.3%,1096.064,2.3%,1126.038,2.3%,1155.901,2.3%,1185.686,2.3%,1215.341,2.3%,,,,,
Ratcliffe,185.67518,,627.689,4.8%,639.419,4.8%,665.155,4.8%,694.887,4.8%,728.486,4.7%,771.432,4.7%,818.803,4.7%,870.61,4.7%,928.699,4.6%,993.036,4.6%,1071.583,4.6%,1158.716,4.6%,1249.717,4.5%,1333.077,4.5%,1430.147,4.5%,1500.4,4.5%,1535.489,4.5%,1562.18,4.5%,1597.19,4.5%,1661.161,4.4%,1724.883,4.4%,1788.365,4.4%,1851.595,4.4%,1914.595,4.4%,1969.215,4.4%,2023.647,4.4%,2077.878,4.4%,2131.928,4.4%,2185.789,4.3%,2239.482,4.3%,2292.972,4.3%,,,,,
Feckenham,214.13411,,613.953,4.7%,627.516,4.7%,652.53,4.7%,686.892,4.7%,726.243,4.7%,779.756,4.8%,840.897,4.8%,909.614,4.9%,984.086,4.9%,1064.323,4.9%,1157.619,5.0%,1260.602,5.0%,1367.104,5.0%,1466.574,5.0%,1578.688,5.0%,1666.09,5.0%,1721.191,5.0%,1768.593,5.1%,1823.615,5.1%,1905.286,5.1%,1986.678,5.1%,2067.893,5.1%,2148.883,5.1%,2229.657,5.1%,2302.727,5.1%,2375.579,5.1%,2448.301,5.1%,2520.822,5.1%,2593.195,5.2%,2665.387,5.2%,2737.421,5.2%,,,,,
Walpole,113.27725,,490.872,3.8%,499.796,3.8%,519.955,3.7%,551.948,3.8%,587.777,3.8%,631.264,3.9%,677.813,3.9%,727.394,3.9%,784.795,3.9%,849.916,3.9%,932.717,4.0%,1024.953,4.0%,1121.98,4.1%,1209.537,4.1%,1314.104,4.1%,1385.361,4.1%,1412.947,4.1%,1430.135,4.1%,1457.621,4.1%,1521.067,4.1%,1584.225,4.1%,1647.071,4.1%,1709.639,4.1%,1771.895,4.1%,1823.732,4.1%,1875.339,4.1%,1926.715,4.0%,1977.862,4.0%,2028.769,4.0%,2079.456,4.0%,2129.903,4.0%,,,,,
