name,N1,N2,N3,N4,NE1,NE2,NE3,NE4,NE6,NE7,NE8,E1,E2,E3,W1
2010-10-09 09:00:00,1945.2620479038783,504.5602662222726,1.6087055206298826,38.45149040222167,961.3437720707484,703.8804394858223,709.4040836606708,765.6991141183034,1330.3096566881452,1691.2589754377093,595.8144119807652,1324.1643292563303,1186.5830421447754,313.4227888924735,1995.5828366960798
2010-10-09 10:00:00,1979.739052908761,852.5128432682582,0.4644659587315151,11.427503653935021,897.9160853794642,622.3507983343942,600.1792703356061,671.5417861938475,1189.2410755157468,1376.0446889059886,491.0754953111921,1355.803738321577,925.2054282597134,320.5688680921282,1903.7493297031947
2010-10-09 11:00:00,1995.9407860892159,1287.9451002393448,1.0957087789263045,25.58619158608573,928.6621161869593,740.9492220197405,724.4627816336496,752.5277818952288,1217.527539389474,1267.0618874686106,538.1966488701956,1290.8000809805733,805.8679171970913,318.6255999973842,1938.0347224644254
2010-10-09 12:00:00,1994.9857766287669,1457.2982788085938,13.369342940194265,44.80852944510323,711.2511089869909,799.591064453125,768.8243048531667,769.5616313389369,1111.6884095328194,1180.9165579932078,491.5684972490583,1182.5783116476875,791.1129065922329,283.0752645220075,1945.4221888950892
2010-10-09 13:00:00,1983.0218287876673,1636.3075801304406,75.72658198220388,88.44935825892857,458.1375122070313,693.7635149274553,675.9533711842128,716.7186737060547,970.8773681095669,1120.1711756842478,431.0704503740583,1089.0274388449532,951.0407992771693,255.76951844351635,1936.9952937534877
2010-10-09 14:00:00,1970.779778616769,1772.5374766758512,150.6178229195731,142.89308956691198,208.51779392787387,571.3664804186138,588.2928133010863,630.902988570077,950.0411101749964,1230.2459580557688,412.2636113848005,1612.3825039182389,1210.0050721849711,308.7319578443255,1908.753640311105
2010-10-09 15:00:00,1935.9775325230191,1761.0376902988976,150.9628677368164,183.47073963710238,65.73959895542689,498.6671243395124,510.6019769396101,551.0862520762852,944.312674658639,1411.2309081213814,416.8349776949201,1913.1668942315239,1388.1012984684535,379.0005002702986,1916.583764212472
2010-10-09 16:00:00,1932.2762080601283,1788.8128825596402,152.37265995570593,207.62106350490026,71.4275074005127,514.2105375017438,523.9610944475445,561.5078551428658,1028.4648009708949,1680.22905758449,458.2084212984358,2070.7311936787196,1448.531559535435,407.28769642966137,1951.4073726109098
2010-10-09 17:00:00,1957.9217311314173,1938.8883754185267,192.63781956263955,303.04886272975375,100.18495627811977,603.0671153749738,590.8007655824933,609.6015487398421,1073.7119879041397,1670.4988002777102,532.4147054127284,2121.257451602391,1420.0254917144773,404.81100422995434,1942.076394217355
2010-10-09 18:00:00,1992.6995631626676,1995.1354925973073,345.2940259660993,624.0168026515415,77.07384381975446,745.2602386474609,715.8576420375279,684.9644899368285,1162.537063871111,1880.7535478046964,640.3023379189627,2026.6782249723162,1453.8492475237163,412.1596370424543,1931.5403529575892
