,Moyle,IFA2,GridLink,NorthConnect
0,-0.0,-0.0028826509957251556,-0.0,-0.0
1,-0.0,-0.002061195025762297,-0.0,-0.0
2,-0.0,-0.0021523903358824925,-0.0,-0.0
3,-0.0,-0.0036110589541921145,-0.0,-0.0
4,-0.0,-0.00445510323693854,-0.0,-0.0
5,-0.0,-0.004423503457244071,-0.0,-0.0
6,-0.0,-0.004504456624136954,-0.0,-0.0
7,-0.0,-0.005333425970170169,-0.0,-0.0
8,-0.0,-0.0026914797577832217,-0.0,-0.0
9,-0.0,-0.001760570144005602,-0.0,-0.0
10,-0.0,-0.0024286060816441912,-0.0,-0.0
11,-0.0,-0.001385551039095878,-0.0,-0.0
12,-0.0,-0.0,-0.0,-0.0
13,-0.0,-0.0,-0.0,-0.0
14,-0.0,-0.0,-0.0,-0.0
15,-0.0,-0.0,-0.0,-0.0
16,-0.0,-0.0,-0.0,-0.0
17,-0.0,-0.0,-0.0,-0.0
18,-0.0,-0.0,-0.0,-0.0
19,-0.0,-0.0,-0.0,-0.0
20,-0.0,-0.0,-0.0,-0.0
21,-0.0,-0.0,-0.0,-0.0
22,-0.0,-0.0,-0.0,-0.0
23,-0.0,-0.0,-0.0,-0.0
24,-0.0,-0.0014271230383827715,-0.0,-0.0
25,-0.0,-0.0007278614301065023,-0.0,-0.0
26,-0.0,-0.0,-0.0,-0.0
27,-0.0,-0.0,-0.0,-0.0
28,-0.0,-0.0,-0.0,-0.0
29,-0.0,-0.0,-0.0,-0.0
30,-0.0,-0.0,-0.0,-0.0
31,-0.0,-0.0,-0.0,-0.0
32,-0.0,-0.0,-0.0,-0.0
33,-0.0,-0.0,-0.0,-0.0
34,-0.0,-0.0,-0.0,-0.0
35,-0.0,-0.0,-0.0,-0.0
36,-0.0,-0.0,-0.0,-0.0
37,-0.0,-0.0,-0.0,-0.0
38,-0.0,-0.0,-0.0,-0.0
39,-0.0,-0.0,-0.0,-0.0
40,-0.0,-0.0,-0.0,-0.0
41,-0.0,-0.0,-0.0,-0.0
42,-0.0,-0.0,-0.0,-0.0
43,-0.0,-0.0,-0.0,-0.0
44,-0.0,-0.0,-0.0,-0.0
45,-0.0,-0.0,-0.0,-0.0
