,IFA,IFA2,NSL,ElecLink,GridLink,NorthConnect,FAB Link
149,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
150,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
151,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
152,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
153,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
154,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
155,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
156,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
157,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
158,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
159,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
160,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
161,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
162,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
163,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
164,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
165,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
166,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
167,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
168,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
169,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
170,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
171,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
172,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
173,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
174,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
175,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
176,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
177,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
178,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
179,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
180,1980.0,-990.0,1386.0,-594.0,-1386.0,-1386.0,990.0
181,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
182,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
183,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
184,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
185,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
186,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
187,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
188,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
189,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
190,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
191,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
192,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
193,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
194,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
195,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
196,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
197,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
198,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
199,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
200,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
201,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
202,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
203,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
204,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
205,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
206,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
207,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
208,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
209,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
210,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
211,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
212,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
213,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
214,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
215,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
216,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
217,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
218,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
219,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
220,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
221,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
222,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
223,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
224,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
225,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
226,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
227,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
228,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
229,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
230,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
231,1980.0,-990.0,1386.0,-594.0,-1386.0,-1386.0,990.0
232,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
233,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
234,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
235,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
236,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
237,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
238,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
239,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
240,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
241,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
242,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
243,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
244,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
245,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
246,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
247,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
248,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
249,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
250,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
251,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
252,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
253,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
254,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
255,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
256,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
257,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
258,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
259,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
260,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
261,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
262,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
263,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
264,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
265,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
266,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
267,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
268,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
269,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
270,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
271,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
272,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
273,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
274,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
275,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
276,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
277,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
278,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
279,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
280,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
281,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
282,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
283,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
284,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
285,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
286,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
287,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
288,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
289,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
290,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
291,1980.0,-990.0,1386.0,-594.0,-1386.0,-1386.0,990.0
292,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
293,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
294,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
295,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
296,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
297,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
298,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
299,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
300,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
301,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
302,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
303,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
304,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
305,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
306,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
307,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
308,396.0,-990.0,1197.9183484561609,990.0,-1386.0,-1197.9183484561609,990.0
309,396.0,-990.0,848.9852703491772,990.0,-1386.0,-848.9852703491772,990.0
310,396.0,-990.0,476.6945930867253,990.0,-1386.0,-476.6945930867253,990.0
