Company Name,Station Name,Fuel,Type,Installed Capacity (MW),Year of commission or year generation began,"Location:
Scotland, Wales, Northern Ireland or English region",Geolocation
,Ratcliffe GT,Diesel/Gas oil,Gas oil,34,1966,East Midlands,"52.865297, -1.255"
,Taylor's Lane GT,Diesel/Gas oil,Gas oil,144,1979,London,"50.695, -0.264"
,West Burton GT,Diesel/Gas oil,Gas oil,40,1967,East Midlands,"53.3622, -0.8076"
,Rugeley GT,Diesel/Gas oil,Gas oil,50,1972,West Midlands,"52.756961, -1.916389"
,Indian Queens,Diesel/Gas oil,Gas oil / kerosene,140,1996,South West,"50.39522228510114, -4.898354354518207"
,Aberthaw GT,Diesel/Gas oil,Gas oil,51,1971,Wales,"51.387222, -3.405"
,Cowes,Diesel/Gas oil,Gas oil,140,1982,South East,"50.74938354111807, -1.2867715871780612"
,Didcot GT,Diesel/Gas oil,Gas oil,100,1972,South East,"52.204758, -0.267244"
,Little Barford GT,Diesel/Gas oil,Gas oil,17,2006,East,"52.204758, -0.267244"
,Littlebrook GT,Diesel/Gas oil,Gas oil,105,1982,South East,"51.465333, 0.241644"
,Ferrybridge GT,Diesel/Gas oil,Gas oil,34,1966,Yorkshire and the Humber,"53.717506, -1.280564"
,Keadby GT,Diesel/Gas oil,Gas oil,25,1994,Yorkshire and the Humber,"53.594447, -0.750578"
,Burghfield,Diesel/Gas oil,Gas / oil,45,1998,South East,"51.429559, -1.003935"
,Chickerell,Diesel/Gas oil,Gas / oil,45,1998,South West,"50.623407, -2.489755"
,Arnish,Diesel/Gas oil,Diesel,10,2001,Scotland,"58.186843, -6.387746"
,Barra,Diesel/Gas oil,Diesel,3,1990,Scotland,"57.003755, -7.407943"
,Bowmore,Diesel/Gas oil,Diesel,6,1946,Scotland,"55.760696, -6.273632"
,Kirkwall,Diesel/Gas oil,Diesel,16,1953,Scotland,"58.982276, -2.964641"
,Lerwick,Diesel/Gas oil,Diesel,67,1953,Scotland,"60.166115, -1.163945"
,"Loch Carnan, South Uist",Diesel/Gas oil,Diesel,9,1971,Scotland,"57.364156, -7.271151"
,Stornoway,Diesel/Gas oil,Diesel,24,1950,Scotland,"58.202592, -6.37436"
,Tiree,Diesel/Gas oil,Diesel,3,1945,Scotland,"56.49734, -6.881577"
,Five Oaks,Diesel/Gas oil,Light oil,9,1995,South East,"51.05927408138078, -0.44588198458103634"
,Thatcham,Diesel/Gas oil,Light oil,9,1994,South East,"51.39907324121987, -1.2497789439609956"
,Littlebrook D,Diesel/Gas oil,Oil,1370,1982,South East,"51.465333, 0.241644"
,Dungeness B,Nuclear,Nuclear,1050,1983,South East,"50.913958, 0.96385"
,Hartlepool,Nuclear,Nuclear,1180,1984,North East,"54.634983, -1.180856"
