Station Name,Company Name,Fuel,Installed Capacity (MW),Year of commission or year generation began,Location,Technology,Geolocation,x,y
Drax - coal units,Drax Power Ltd,Coal,1980,1974,Yorkshire and the Humber,,"53.735281, -0.991970",-0.99197,53.735281
Cottam,,Coal,2008,1969,West Midlands,,"53.303906, -0.781406",-0.781406,53.303906
West Burton,,Coal,2012,1967,West Midlands,,"53.3622, -0.8076",-0.8076,53.3622
Eggborough,Eggborough Power Ltd,Coal,1960,1967,Yorkshire & Humber,,"53.711667, -1.126956",-1.126956,53.711667
Aberthaw B,RWE Generation SE,Coal,1610,1971,Wales,,"51.387222, -3.405",-3.405,51.387222
Uskmouth power,SIMEC,Coal,363,1966,Wales,,"51.549071, -2.970539",-2.970539,51.549071
Fiddler`s Ferry,,Coal,1961,1971,North West,,"53.372, -2.687",-2.687,53.372
Ratcliffe,,Coal,2021,1968,East Midlands,,"52.865297, -1.255",-1.255,52.865297
Dungeness B,EDF Energy,Nuclear,1120,1983,South East,,"50.913958, 0.96385",0.96385,50.913958
Hartlepool,,Nuclear,1207,1984,North East,,"54.634983, -1.180856",-1.180856,54.634983
Heysham 1,,Nuclear,1179,1984,North West,,"54.028886, -2.916089",-2.916089,54.028886
Heysham 2,,Nuclear,1254,1988,North West,,"54.028886, -2.916089",-2.916089,54.028886
Hinkley Point B,,Nuclear,1061,1976,South West,,"51.209217, -3.127464",-3.127464,51.209217
Sizewell B,,Nuclear,1216,1995,East England,,"52.215036, 1.619667",1.619667,52.215036
Hunterston B,,Nuclear,1074,1976,Scotland,,"55.721849, -4.894551",-4.894551,55.721849
Torness,,Nuclear,1250,1988,Scotland,,"55.967327, -2.408485",-2.408485,55.967327
Sutton Bridge,Calon energy (formerly MPF operations),Natural Gas,819,1999,East Midlands,CCGT,"52.757244, 0.193014",0.193014,52.757244
Baglan Bay CCGT,,Natural Gas,520,2002,Wales,CCGT,"51.619722, -3.829722",-3.829722,51.619722
Severn Power,,Natural Gas,850,2010,Wales,CCGT,"51.547778, -2.976389",-2.976389,51.547778
Peterborough,Centrica,Natural Gas,360,1993,East England,CCGT,"52.576975, -0.203917",-0.203917,52.576975
Glanford Brigg,,Natural Gas,150,1993,Yorkshire & Humber,CCGT,"53.540577, -0.503635",-0.503635,53.540577
Barry,,Natural Gas,235,1998,Wales,CCGT,"51.408134, -3.228712",-3.228712,51.408134
Corby,Corby Power Ltd,Natural Gas,401,1993,East Midlands,CCGT,"52.503642, -0.704175",-0.704175,52.503642
Castleford,,Natural Gas,56,2002,Yorkshire & Humber,CCGT,"53.7320, -1.3428",-1.3428,53.732
Sandbach,,Natural Gas,56,1999,North West,CCGT,"53.1654, -2.4061",-2.4061,53.1654
Thornhill,,Natural Gas,50,1998,Yorkshire & Humber,CCGT,"53.6771, -1.6550",-1.655,53.6771
West Burton CCGT,,Natural Gas,1332,2012,West Midlands,CCGT,"53.3622, -0.8076",-0.8076,53.3622
South Humber Bank,EPUKi,Natural Gas,1365,1996,Yorkshire & Humber,CCGT,"53.601392, -0.146419",-0.146419,53.601392
Langage,,Natural Gas,905,2010,South West,CCGT,"50.3884, -4.011611",-4.011611,50.3884
Carrington,,Natural Gas,910,2016,North West,CCGT,"53.435771, -2.410892",-2.410892,53.435771
Rocksavage,Intergen,Natural Gas,810,1998,North West,CCGT,"53.315561, -2.725253",-2.725253,53.315561
Coryton,,Natural Gas,800,2001,East England,CCGT,"51.512, 0.508019",0.508019,51.512
Spalding,,Natural Gas,880,2004,East Midlands,CCGT,"52.807803, -0.132253",-0.132253,52.807803
Marchwood,Marchwood Power Limited,Natural Gas,920,2009,South East,CCGT,"50.898308, -1.437031",-1.437031,50.898308
Didcot B,,Natural Gas,1550,1998,South East,CCGT,"51.623661, -1.2675",-1.2675,51.623661
Great Yarmouth,,Natural Gas,420,2001,East England,CCGT,"52.583919, 1.733272",1.733272,52.583919
Little Barford,,Natural Gas,740,1995,East England,CCGT,"52.204758, -0.267244",-0.267244,52.204758
