Station Name,Company Name,Fuel,Technology,Installed Capacity (MW),Year of commission or year generation began,Location,Geolocation,x,y
Thatcham,,Oil,Diesel/Gas oil,9,1994,South East,"51.39907324121987, -1.2497789439609956",-1.249778944,51.39907324
Arnish,,Oil,Diesel/Gas oil,10,2000,Scotland,"58.186843, -6.387746",-6.387746,58.186843
Barra,,Oil,Diesel/Gas oil,2.5,1986,Scotland,"57.003755, -7.407943",-7.407943,57.003755
Bowmore,,Oil,Diesel/Gas oil,6,1946,Scotland,"55.760696, -6.273632",-6.273632,55.760696
Kirkwall,,Oil,Diesel/Gas oil,16,1952,Scotland,"58.982276, -2.964641",-2.964641,58.982276
"Loch Carnan, South Uist",,Oil,Diesel/Gas oil,11,1972,Scotland,"57.364156, -7.271151",-7.271151,57.364156
Stornoway,,Oil,Diesel/Gas oil,23,1952,Scotland,"58.202592, -6.37436",-6.37436,58.202592
Tiree,,Oil,Diesel/Gas oil,2.5,1953,Scotland,"56.49734, -6.881577",-6.881577,56.49734
Indian Queens,Triton Power,Oil,Diesel/Gas oil,140,1996,South West,"50.39522228510114, -4.898354354518207",-4.898354355,50.39522229
Grain (OCGT),,Oil,Diesel/Gas oil,50,2011,South East,"51.445181, 0.715028",0.715028,51.445181
Ratcliffe GT,,Oil,Diesel/Gas oil,34,1967,East Midlands,"52.865297, -1.255",-1.255,52.865297
Taylor's Lane GT,,Oil,Diesel/Gas oil,144,1979,London,"50.695, -0.264",-0.264,50.695
