Station Name,Company Name,Fuel,Installed Capacity (MW),Year of commission or year generation began,Location,Technology,Geolocation,x,y
Kingsnorth,E.On UK,Coal,1940,1970,South East,coal/oil,"51.418947, 0.602702",0.602702,51.418947
Uskmouth,,Coal,363,2000,Wales,coal/biomass,"51.549071, -2.970539",-2.970539,51.549071
Drax,Drax Power Ltd,Coal,3870,1974,Yorkshire and,coal,"53.735281, -0.991969",-0.991969,53.735281
Cottam,,Coal,2008,1969,East Midlands,coal,"53.303906, -0.781406",-0.781406,53.303906
West Burton,,Coal,2012,1967,East Midlands,coal,"53.3622, -0.8076",-0.8076,53.3622
Eggborough,Eggborough Power Ltd,Coal,1960,1967,Yorkshire and,coal,"53.711667, -1.126956",-1.126956,53.711667
Ironbridge,,Coal,940,1970,West Midlands,coal,"52.63005, -2.511999",-2.511999,52.63005
Ratcliffe,,Coal,1960,1968,East Midlands,coal,"52.865297, -1.255",-1.255,52.865297
Rugeley ,,Coal,1006,1972,West Midlands,coal,"52.756882, -1.918463",-1.918463,52.756882
Aberthaw B,RWE Npower Plc,Coal,1586,1971,Wales,coal,"51.387222, -3.405",-3.405,51.387222
Cockenzie,  Thermal:,Coal,1152,1967,Scotland,coal,"55.968333, -2.971667",-2.971667,55.968333
Longannet,,Coal,2304,1970,Scotland,coal,"56.048176, -3.682464",-3.682464,56.048176
Didcot A,,Coal,1958,1972,South East,coal/gas,"51.62363, -1.26757",-1.26757,51.62363
Dungeness B,British Energy (5),Nuclear,1040,1983,South East,nuclear,"50.913958, 0.96385",0.96385,50.913958
Hartlepool,,Nuclear,1190,1984,North East,nuclear,"54.634983, -1.180856",-1.180856,54.634983
Heysham1,,Nuclear,1160,1984,North West,nuclear,"54.028889, -2.916111",-2.916111,54.028889
Heysham 2,,Nuclear,1210,1988,North West,nuclear,"54.028886, -2.916089",-2.916089,54.028886
Hinkley Point B,,Nuclear,870,1976,South West,nuclear,"51.209217, -3.127464",-3.127464,51.209217
Sizewell B,,Nuclear,1191,1995,East,nuclear,"52.215036, 1.619667",1.619667,52.215036
Hunterston B,,Nuclear,890,1976,Scotland,nuclear,"55.721849, -4.894551",-4.894551,55.721849
Torness,,Nuclear,1205,1988,Scotland,nuclear,"55.967327, -2.408485",-2.408485,55.967327
Oldbury,Magnox Ltd (10),Nuclear,434,1967,South West,nuclear,"51.6489, -2.5708",-2.5708,51.6489
Wylfa,,Nuclear,980,1971,Wales,nuclear,"53.416667, -4.483333",-4.483333,53.416667
Barking,Barking Power (2),Natural Gas,1000,1994,London,CCGT,"51.521, 0.147",0.147,51.521
Barry,Centrica,Natural Gas,230,1998,Wales,CCGT,"51.408134, -3.228712",-3.228712,51.408134
Glanford Brigg,,Natural Gas,260,1993,Yorkshire and,CCGT,"53.540577, -0.503635",-0.503635,53.540577
Killingholme,,Natural Gas,665,1994,  the Humber,CCGT,"53.65952, -0.25511",-0.25511,53.65952
Kings Lynn,,Natural Gas,340,1996,East,CCGT,"52.727256, 0.380117",0.380117,52.727256
Peterborough ,,Natural Gas,405,1993,East,CCGT,"52.57684904233475, -0.2040108460278363",-0.2040108460278363,52.57684904233475
Roosecote,,Natural Gas,229,1991,North West,CCGT,"54.10499, -3.187732",-3.187732,54.10499
South Humber Bank ,,Natural Gas,1285,1996,Yorkshire and,CCGT,"53.603, -0.146",-0.146,53.603
Langage,,Natural Gas,905,2010,South West,CCGT,"50.3884, -4.011611",-4.011611,50.3884
Corby,Corby Power Ltd,Natural Gas,401,1993,East Midlands,CCGT,"52.503642, -0.704175",-0.704175,52.503642
Severn,,Natural Gas,848,2010,Wales,CCGT,"51.549071, -2.970539",-2.970539,51.549071
Sutton Bridge,EDF Energy,Natural Gas,819,1999,East,CCGT,"52.757244, 0.193014",0.193014,52.757244
Connahs Quay,,Natural Gas,1380,1996,Wales,CCGT,"53.232222, -3.081389",-3.081389,53.232222
Cottam Development Centre,,Natural Gas,390,1999,East Midlands,CCGT,"53.303906, -0.781406",-0.781406,53.303906
Enfield,,Natural Gas,408,1999,London,CCGT,"51.662831, -0.022797",-0.022797,51.662831
Sandbach,,Natural Gas,50,1999,North West,CCGT,"53.1654, -2.4061",-2.4061,53.1654
Castleford,,Natural Gas,56,2002,Yorkshire and,CCGT,"53.7320, -1.3428",-1.3428,53.732
Thornhill,,Natural Gas,50,1998,Yorkshire and,CCGT,"53.6771, -1.6550",-1.655,53.6771
Grain,,Natural Gas,1320,2010,South East,CCGT,"51.445181, 0.715028",0.715028,51.445181
Teesside Power Station (17),,Natural Gas,45,1992,North East,CCGT,"54.576838, -1.120417",-1.120417,54.576838
