name,p_nom,carrier,max_hours,efficiency_store,efficiency_dispatch,state_of_charge_initial,bus,build_year,p_nom_opt
Beauly Battery,57.9967365226142,Battery,1.2368416711450545,0.95,0.95,71.73278052158955,Beauly,0,57.9967365226142
Peterhead Battery,251.496309875692,Battery,1.2368416711450545,0.95,0.95,311.0611161934653,Peterhead,0,251.496309875692
Errochty Battery,23.14059491103292,Battery,1.2368416711450545,0.95,0.95,28.62125208105269,Errochty,0,23.14059491103292
Denny/Bonnybridge Battery,677.6189842405056,Battery,1.2368416711450545,0.95,0.95,838.107396867641,Denny/Bonnybridge,0,677.6189842405056
Neilston Battery,467.82207787524,Battery,1.2368416711450545,0.95,0.95,578.6218405977635,Neilston,0,467.82207787524
Strathaven Battery,44.27344076415641,Battery,1.2368416711450545,0.95,0.95,54.75923646208078,Strathaven,0,44.27344076415641
Torness Battery,52.42210727025032,Battery,1.2368416711450545,0.95,0.95,64.83784676108169,Torness,0,52.42210727025032
Eccles Battery,31.4198018778517,Battery,1.2368416711450545,0.95,0.95,38.86132026164861,Eccles,0,31.4198018778517
Harker Battery,216.4930804210404,Battery,1.2368416711450545,0.95,0.95,267.7676633793002,Harker,0,216.4930804210404
Stella West Battery,746.4799965718988,Battery,1.2368416711450545,0.95,0.95,923.2775664363415,Stella West,0,746.4799965718988
Penwortham Battery,737.7374628994088,Battery,1.2368416711450545,0.95,0.95,912.4644364788172,Penwortham,0,737.7374628994088
Deeside Battery,1041.4260552905537,Battery,1.2368416711450545,0.95,0.95,1288.07914259957,Deeside,0,1041.4260552905537
Daines Battery,1187.182753381055,Battery,1.2368416711450545,0.95,0.95,1468.3571006464103,Daines,0,1187.182753381055
Th. Marsh/Stocksbridge Battery,1280.3003896327766,Battery,1.2368416711450545,0.95,0.95,1583.5288734810674,Th. Marsh/Stocksbridge,0,1280.3003896327766
Thornton/Drax/Eggborough Battery,805.3482285647045,Battery,1.2368416711450545,0.95,0.95,996.0882488716782,Thornton/Drax/Eggborough,0,805.3482285647045
Keadby Battery,350.9626251539353,Battery,1.2368416711450545,0.95,0.95,434.0851998048485,Keadby,0,350.9626251539353
Ratcliffe Battery,659.6117550526257,Battery,1.2368416711450545,0.95,0.95,815.8353054262117,Ratcliffe,0,659.6117550526257
Feckenham Battery,1192.7812844079176,Battery,1.2368416711450545,0.95,0.95,1475.2815971176328,Feckenham,0,1192.7812844079176
Walpole Battery,324.9648488912621,Battery,1.2368416711450545,0.95,0.95,401.9300667660686,Walpole,0,324.9648488912621
Bramford Battery,958.6578873968648,Battery,1.2368416711450545,0.95,0.95,1185.7080235043254,Bramford,0,958.6578873968648
Pelham Battery,1251.6458392046463,Battery,1.2368416711450545,0.95,0.95,1548.0877314436286,Pelham,0,1251.6458392046463
Sundon/East Claydon Battery,2043.7635162851784,Battery,1.2368416711450545,0.95,0.95,2527.8118829074524,Sundon/East Claydon,0,2043.7635162851784
Melksham Battery,1725.4764554693077,Battery,1.2368416711450545,0.95,0.95,2134.141182704103,Melksham,0,1725.4764554693077
Bramley Battery,464.0934010534082,Battery,1.2368416711450545,0.95,0.95,574.0100577262892,Bramley,0,464.0934010534082
London Battery,1198.5618366405797,Battery,1.2368416711450545,0.95,0.95,1482.43122500122,London,0,1198.5618366405797
Kemsley Battery,1131.3923345044948,Battery,1.2368416711450545,0.95,0.95,1399.3531857292437,Kemsley,0,1131.3923345044948
Sellindge Battery,637.6809576508458,Battery,1.2368416711450545,0.95,0.95,788.7103813182506,Sellindge,0,637.6809576508458
Lovedean Battery,806.4421943975399,Battery,1.2368416711450545,0.95,0.95,997.441311400538,Lovedean,0,806.4421943975399
S.W.Penisula Battery,1273.7770437926094,Battery,1.2368416711450545,0.95,0.95,1575.4605275106578,S.W.Penisula,0,1273.7770437926094
Beauly Compressed Air,2.688778634817186,Compressed Air,5.000000000000001,0.69,0.69,13.44389317408593,Beauly,0,2.688778634817186
Peterhead Compressed Air,11.6595854400437,Compressed Air,5.000000000000001,0.69,0.69,58.2979272002185,Peterhead,0,11.6595854400437
Errochty Compressed Air,1.072817901908734,Compressed Air,5.000000000000001,0.69,0.69,5.36408950954367,Errochty,0,1.072817901908734
Denny/Bonnybridge Compressed Air,31.414999474357835,Compressed Air,5.000000000000001,0.69,0.69,157.0749973717892,Denny/Bonnybridge,0,31.414999474357835
Neilston Compressed Air,21.68863428024534,Compressed Air,5.000000000000001,0.69,0.69,108.4431714012267,Neilston,0,21.68863428024534
Strathaven Compressed Air,2.0525548290133733,Compressed Air,5.000000000000001,0.69,0.69,10.262774145066867,Strathaven,0,2.0525548290133733
Torness Compressed Air,2.430334023456366,Compressed Air,5.000000000000001,0.69,0.69,12.151670117281832,Torness,0,2.430334023456366
Eccles Compressed Air,1.456649064493751,Compressed Air,5.000000000000001,0.69,0.69,7.283245322468757,Eccles,0,1.456649064493751
Harker Compressed Air,10.03680558810198,Compressed Air,5.000000000000001,0.69,0.69,50.1840279405099,Harker,0,10.03680558810198
Stella West Compressed Air,34.60745528876971,Compressed Air,5.000000000000001,0.69,0.69,173.03727644384855,Stella West,0,34.60745528876971
Penwortham Compressed Air,34.2021439012299,Compressed Air,5.000000000000001,0.69,0.69,171.0107195061495,Penwortham,0,34.2021439012299
Deeside Compressed Air,48.28140849124048,Compressed Air,5.000000000000001,0.69,0.69,241.40704245620248,Deeside,0,48.28140849124048
Daines Compressed Air,55.03881449725644,Compressed Air,5.000000000000001,0.69,0.69,275.1940724862822,Daines,0,55.03881449725644
Th. Marsh/Stocksbridge Compressed Air,59.35582827924196,Compressed Air,5.000000000000001,0.69,0.69,296.7791413962098,Th. Marsh/Stocksbridge,0,59.35582827924196
Thornton/Drax/Eggborough Compressed Air,37.336637203859,Compressed Air,5.000000000000001,0.69,0.69,186.68318601929505,Thornton/Drax/Eggborough,0,37.336637203859
