dataset,settlementDate,settlement_period,timeFrom,level_from,timeTo,level_to,pair_id,offer_price,bid_price,nationalGridBmUnit,bmu_id
BOD,2020-11-21,2,2020-11-21T00:30:00Z,-50,2020-11-21T01:00:00Z,-50,-1,66.75,20.0,AG-BSMA01,2__BSMAR002
BOD,2020-11-21,2,2020-11-21T00:30:00Z,50,2020-11-21T01:00:00Z,50,1,66.75,20.0,AG-BSMA01,2__BSMAR002
BOD,2020-11-21,2,2020-11-21T00:30:00Z,-60,2020-11-21T01:00:00Z,-60,-1,74.0,35.25,AG-BUKP01,2__BUKPR001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,60,2020-11-21T01:00:00Z,60,1,74.0,35.25,AG-BUKP01,2__BUKPR001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,-1,0.0,0.0,AG-DEDF01,2__DLOND001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,1,0.0,0.0,AG-DEDF01,2__DLOND001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,-1,0.0,0.0,AG-DLIM01,2__DANGE001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,1,0.0,0.0,AG-DLIM01,2__DANGE001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,-50,2020-11-21T01:00:00Z,-50,-1,74.0,20.0,AG-DSMA01,2__DSMAE001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,50,2020-11-21T01:00:00Z,50,1,74.0,20.0,AG-DSMA01,2__DSMAE001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,-20,2020-11-21T01:00:00Z,-20,-1,49.1,24.1,AG-DSTK01,2__DSTAT001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,20,2020-11-21T01:00:00Z,20,1,66.79,39.1,AG-DSTK01,2__DSTAT001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,-1,0.0,0.0,AG-DUKP01,2__DUKPR001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,1,0.0,0.0,AG-DUKP01,2__DUKPR001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,-1,-9000.0,-9999.0,AG-EFLX01,2__EFLEX001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,1,9999.0,9000.0,AG-EFLX01,2__EFLEX001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,-1,-9000.0,-9999.0,AG-EFLX02,2__EFLEX002
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,1,9999.0,9000.0,AG-EFLX02,2__EFLEX002
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,-1,0.0,0.0,AG-EFLX03,2__EFLEX003
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,1,0.0,0.0,AG-EFLX03,2__EFLEX003
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,-1,0.0,0.0,AG-EFLX04,2__EFLEX004
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,1,0.0,0.0,AG-EFLX04,2__EFLEX004
BOD,2020-11-21,2,2020-11-21T00:30:00Z,-50,2020-11-21T01:00:00Z,-50,-1,9999.0,-9999.0,AG-ELIM02,2__EANGE001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,50,2020-11-21T01:00:00Z,50,1,9999.0,-9999.0,AG-ELIM02,2__EANGE001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,-20,2020-11-21T01:00:00Z,-20,-1,9999.0,-9999.0,AG-ELIM03,2__EANGE002
BOD,2020-11-21,2,2020-11-21T00:30:00Z,20,2020-11-21T01:00:00Z,20,1,9999.0,-9999.0,AG-ELIM03,2__EANGE002
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,-1,0.0,0.0,AG-ESMA01,2__ESMAR001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,1,0.0,0.0,AG-ESMA01,2__ESMAR001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,-20,2020-11-21T01:00:00Z,-20,-1,48.6,23.6,AG-ESTK01,2__ESTAT001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,20,2020-11-21T01:00:00Z,20,1,66.79,38.6,AG-ESTK01,2__ESTAT001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,-20,2020-11-21T01:00:00Z,-20,-1,69.0,27.5,AG-EUKP01,2__EUKPR001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,20,2020-11-21T01:00:00Z,20,1,69.0,27.5,AG-EUKP01,2__EUKPR001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,-1,0.0,0.0,AG-FEDF01,2__FLOND001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,1,0.0,0.0,AG-FEDF01,2__FLOND001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,-1,0.0,0.0,AG-FEDF02,2__FLOND002
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,1,0.0,0.0,AG-FEDF02,2__FLOND002
BOD,2020-11-21,2,2020-11-21T00:30:00Z,-1,2020-11-21T01:00:00Z,-1,-1,-27.0,-52.0,AG-FFLX01,2__FFLEX001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,2,2020-11-21T01:00:00Z,2,1,66.21,44.21,AG-FFLX01,2__FFLEX001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,-7,2020-11-21T01:00:00Z,-7,-1,9999.0,-9999.0,AG-FLIM01,2__FANGE001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,7,2020-11-21T01:00:00Z,7,1,9999.0,-9999.0,AG-FLIM01,2__FANGE001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,-1,0.0,0.0,AG-FLIM02,2__FANGE002
