,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,,,,2025,,,,2026,,,,2027,,,,2028,,,,2029,,,,2030,,,,2031,,,,2032,,,,2033,,,,2034,,,,2035,,,,2036,,,,2037,,,,2038,,,,2039,,,,2040,,,,2041,,,,2042,,,,2043,,,,2044,,,,2045,,,,2046,,,,2047,,,,2048,,,,2049,,,,2050,,,,,,,,
,Domestic 2019,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,,,,,
Stella West,145.95756,,262.35,2.0%,149.7816481,5.0%,276.601,2.0%,159.0156904,5.0%,300.98,2.0%,174.8529869,5.0%,371.485,2.2%,201.423751,5.0%,453.978,2.4%,232.5913087,5.0%,567.814,2.6%,272.9078966,5.0%,681.392,2.7%,314.670992,5.0%,794.69,2.9%,357.9159238,5.0%,907.718,3.0%,402.6642838,5.0%,1020.474,3.0%,449.0042372,5.0%,1134.89,3.1%,496.9521065,5.0%,1262.952,3.2%,552.7816823,5.0%,1397.074,3.2%,613.3672466,5.0%,1525.267,3.3%,673.5838702,5.0%,1655.741,3.3%,737.0773999,5.0%,1759.234,3.3%,790.354021,5.0%,1837.504,3.4%,833.6366863,5.0%,1899.766,3.4%,870.1217465,5.0%,1977.911,3.4%,915.7812076,5.0%,2076.462,3.4%,973.3060647,5.0%,2194.458,3.5%,1042.458969,5.0%,2311.793,3.5%,1113.708696,5.0%,2436.817,3.5%,1191.654851,5.0%,2547.574,3.5%,1264.41101,5.0%,2636.277,3.5%,1327.09237,5.0%,2709.372,3.5%,1382.681428,5.0%,2776.227,3.5%,1436.213383,5.0%,2843.023,3.6%,1491.256832,5.0%,2909.797,3.6%,1547.857509,5.0%,2976.623,3.6%,1606.042866,5.0%,3043.36,3.6%,1665.855921,5.0%,,,,,
Penwortham,103.36259,,251.335,1.9%,106.0706899,3.6%,261.947,1.9%,112.6099505,3.6%,287.126,1.9%,123.8254298,3.6%,337.026,2.0%,142.6420159,3.6%,394.197,2.1%,164.7139078,3.6%,466.025,2.1%,193.2648574,3.6%,537.593,2.2%,222.8401785,3.6%,608.98,2.2%,253.46489,3.6%,680.116,2.2%,285.1542823,3.6%,751.035,2.2%,317.9707915,3.6%,823.301,2.3%,351.9259765,3.6%,905.057,2.3%,391.4627402,3.6%,991.723,2.3%,434.3675465,3.6%,1073.549,2.3%,477.0110805,3.6%,1157.205,2.3%,521.9752172,3.6%,1218.939,2.3%,559.704058,3.6%,1260.085,2.3%,590.3554911,3.6%,1288.221,2.3%,616.1930724,3.6%,1329.246,2.3%,648.5276781,3.6%,1386.923,2.3%,689.2649871,3.6%,1459.593,2.3%,738.2369163,3.6%,1531.723,2.3%,788.6937501,3.6%,1610.154,2.3%,843.8927847,3.6%,1676.955,2.3%,895.4164264,3.6%,1725.763,2.3%,939.8054104,3.6%,1761.853,2.3%,979.1718464,3.6%,1792.855,2.3%,1017.081507,3.6%,1823.843,2.3%,1056.06156,3.6%,1854.794,2.3%,1096.144394,3.6%,1885.744,2.3%,1137.349448,3.6%,1916.674,2.3%,1179.707187,3.6%,,,,,
Deeside,141.94391,,613.319,4.7%,145.6628404,4.9%,639.46,4.7%,154.6429582,4.9%,700.762,4.7%,170.0447489,4.9%,784.335,4.6%,195.8848503,4.9%,882.136,4.6%,226.1953391,4.9%,1017.147,4.6%,265.4032714,4.9%,1151.804,4.6%,306.017934,4.9%,1286.164,4.6%,348.0736844,4.9%,1420.162,4.6%,391.5915205,4.9%,1553.882,4.6%,436.6571833,4.9%,1689.549,4.6%,483.2865463,4.9%,1841.42,4.6%,537.5808787,4.9%,2000.464,4.6%,596.5004159,4.9%,2152.443,4.6%,655.0611578,4.9%,2307.113,4.6%,716.808695,4.9%,2429.905,4.6%,768.6202758,4.9%,2522.757,4.6%,810.7127221,4.9%,2596.626,4.6%,846.1944889,4.9%,2689.308,4.6%,890.5983719,4.9%,2806.169,4.6%,946.5413675,4.9%,2946.065,4.6%,1013.792654,4.9%,3085.225,4.6%,1083.083103,4.9%,3233.497,4.6%,1158.885836,4.9%,3364.864,4.6%,1229.641291,4.9%,3470.083,4.6%,1290.598993,4.9%,3556.748,4.6%,1344.659421,4.9%,3636.047,4.6%,1396.719315,4.9%,3715.313,4.7%,1450.249138,4.9%,3794.541,4.7%,1505.293367,4.9%,3873.765,4.7%,1561.8787,4.9%,3952.963,4.7%,1620.04697,4.9%,,,,,
Daines,151.98015,,335.82,2.6%,155.9620299,5.2%,351.774,2.6%,165.577093,5.2%,384.354,2.6%,182.0678776,5.2%,429.597,2.5%,209.7350209,5.2%,483.983,2.5%,242.1886333,5.2%,567.147,2.6%,284.1687889,5.2%,650.164,2.6%,327.6551387,5.2%,733.038,2.6%,372.6844693,5.2%,815.793,2.7%,419.2792634,5.2%,898.4,2.7%,467.5313243,5.2%,981.876,2.7%,517.4576479,5.2%,1074.356,2.7%,575.5908978,5.2%,1169.975,2.7%,638.6763806,5.2%,1262.494,2.7%,701.3776993,5.2%,1356.214,2.7%,767.4911378,5.2%,1435.974,2.7%,822.9660914,5.2%,1502.644,2.7%,868.0347125,5.2%,1560.983,2.8%,906.0252416,5.2%,1627.574,2.8%,953.5687312,5.2%,1704.742,2.8%,1013.467214,5.2%,1792.948,2.8%,1085.473548,5.2%,1880.837,2.8%,1159.663225,5.2%,1972.704,2.8%,1240.825641,5.2%,2057.189,2.8%,1316.583909,5.2%,2130.237,2.8%,1381.851666,5.2%,2195.144,2.9%,1439.734473,5.2%,2256.849,2.9%,1495.475297,5.2%,2318.517,2.9%,1552.789982,5.2%,2380.183,2.9%,1611.726151,5.2%,2441.87,2.9%,1672.312388,5.2%,2503.506,3.0%,1734.593485,5.2%,,,,,
Th. Marsh/Stocksbridge,161.59842,,333.472,2.6%,165.8322986,5.6%,349.785,2.6%,176.055864,5.6%,381.85,2.6%,193.5902903,5.6%,424.569,2.5%,223.0083862,5.6%,476.515,2.5%,257.5158696,5.6%,559.346,2.5%,302.1527963,5.6%,642.038,2.6%,348.3912387,5.6%,724.665,2.6%,396.2703116,5.6%,807.166,2.6%,445.8139205,5.6%,889.456,2.6%,497.1196785,5.6%,972.557,2.7%,550.2056572,5.6%,1064.261,2.7%,612.0179487,5.6%,1158.622,2.7%,679.0958819,5.6%,1250.365,2.7%,745.7653387,5.6%,1343.099,2.7%,816.0628558,5.6%,1424.072,2.7%,875.0486171,5.6%,1493.964,2.7%,922.9694671,5.6%,1556.929,2.8%,963.3642783,5.6%,1626.811,2.8%,1013.916622,5.6%,1705.654,2.8%,1077.605862,5.6%,1794.204,2.8%,1154.169214,5.6%,1882.543,2.8%,1233.054085,5.6%,1974.282,2.8%,1319.352975,5.6%,2059.71,2.8%,1399.905708,5.6%,2135.53,2.8%,1469.304024,5.6%,2204.529,2.9%,1530.850023,5.6%,2270.79,2.9%,1590.118481,5.6%,2337.008,2.9%,1651.060403,5.6%,2403.259,3.0%,1713.726428,5.6%,2469.479,3.0%,1778.146946,5.6%,2535.717,3.0%,1844.369587,5.6%,,,,,
Thornton/Drax/Eggborough,69.22865,,294.069,2.3%,71.04244063,2.4%,308.864,2.3%,75.42220887,2.4%,336.901,2.3%,82.93394484,2.4%,386.942,2.3%,95.53663655,2.4%,446.663,2.3%,110.3196183,2.4%,535.671,2.4%,129.4420464,2.4%,624.507,2.5%,149.2505628,2.4%,713.165,2.6%,169.7619241,2.4%,801.682,2.6%,190.9863714,2.4%,890.03,2.6%,212.9657223,2.4%,979.377,2.7%,235.7077184,2.4%,1078.629,2.7%,262.1880608,2.4%,1181.572,2.7%,290.9242004,2.4%,1280.902,2.7%,319.485349,2.4%,1381.593,2.7%,349.6007561,2.4%,1465.874,2.8%,374.870215,2.4%,1534.746,2.8%,395.3994736,2.4%,1593.875,2.8%,412.7045824,2.4%,1662.666,2.9%,434.3611711,2.4%,1743.919,2.9%,461.6455968,2.4%,1837.786,2.9%,494.4452833,2.4%,1931.284,2.9%,528.239507,2.4%,2029.461,2.9%,565.209891,2.4%,2118.939,2.9%,599.7186254,2.4%,2194.987,2.9%,629.4488153,2.4%,2261.465,2.9%,655.8150782,2.4%,2324.144,3.0%,681.2056439,2.4%,2386.831,3.0%,707.3131208,2.4%,2449.488,3.0%,734.1592019,2.4%,2512.148,3.0%,761.7569069,2.4%,2574.785,3.1%,790.12664,2.4%,,,,,
Keadby,86.03201,,296.804,2.3%,88.28604866,3.0%,309.157,2.3%,93.72888576,3.0%,338.996,2.3%,103.0638901,3.0%,385.34,2.3%,118.7255402,3.0%,438.912,2.3%,137.0966861,3.0%,508.927,2.3%,160.8605603,3.0%,578.763,2.3%,185.4770519,3.0%,648.428,2.3%,210.9669847,3.0%,717.864,2.3%,237.3430858,3.0%,787.119,2.3%,264.6573225,3.0%,857.555,2.3%,292.9193157,3.0%,936.876,2.3%,325.8270364,3.0%,1020.517,2.3%,361.5380875,3.0%,1099.888,2.3%,397.0316732,3.0%,1180.899,2.3%,434.4567711,3.0%,1242.621,2.3%,465.8596995,3.0%,1286.282,2.3%,491.3718737,3.0%,1318.472,2.3%,512.8773241,3.0%,1362.013,2.3%,539.7904569,3.0%,1420.194,2.3%,573.6974302,3.0%,1491.787,2.3%,614.4583428,3.0%,1562.94,2.3%,656.4551894,3.0%,1639.615,2.3%,702.3991222,3.0%,1706.088,2.3%,745.2839074,3.0%,1756.742,2.3%,782.2302872,3.0%,1796.206,2.3%,814.9962388,3.0%,1831.198,2.3%,846.5496694,3.0%,1866.192,2.3%,878.9940217,3.0%,1901.156,2.3%,912.3562542,3.0%,1936.11,2.3%,946.6525468,3.0%,1971.044,2.3%,981.9082562,3.0%,,,,,
Ratcliffe,185.67518,,627.689,4.8%,190.5398697,6.4%,652.714,4.8%,202.2866574,6.4%,716.466,4.8%,222.4335609,6.4%,800.806,4.7%,256.2346974,6.4%,898.142,4.7%,295.8834959,6.4%,1024.802,4.6%,347.1709367,6.4%,1151.09,4.6%,400.2985051,6.4%,1277.029,4.6%,455.3111437,6.4%,1402.617,4.6%,512.2363197,6.4%,1527.835,4.5%,571.1861897,6.4%,1655.244,4.5%,632.1815178,6.4%,1798.759,4.5%,703.2033035,6.4%,1950.224,4.5%,780.2752657,6.4%,2093.869,4.5%,856.8778921,6.4%,2240.504,4.5%,937.6491283,6.4%,2351.799,4.4%,1005.423255,6.4%,2429.973,4.4%,1060.483895,6.4%,2487.157,4.4%,1106.897182,6.4%,2565.124,4.4%,1164.981386,6.4%,2669.909,4.4%,1238.159769,6.4%,2799.245,4.4%,1326.130395,6.4%,2927.755,4.4%,1416.768427,6.4%,3066.384,4.4%,1515.925101,6.4%,3186.28,4.4%,1608.479491,6.4%,3277.239,4.4%,1688.217553,6.4%,3347.675,4.4%,1758.933371,6.4%,3409.926,4.4%,1827.032313,6.4%,3472.143,4.4%,1897.054052,6.4%,3534.33,4.3%,1969.05677,6.4%,3596.498,4.3%,2043.075386,6.4%,3658.645,4.3%,2119.164625,6.4%,,,,,
Feckenham,214.13411,,613.953,4.7%,219.7444237,7.4%,642.605,4.7%,233.2916729,7.4%,702.487,4.7%,256.526546,7.4%,795.864,4.7%,295.5084729,7.4%,906.392,4.7%,341.2343484,7.4%,1066.809,4.8%,400.382752,7.4%,1226.835,4.9%,461.6533245,7.4%,1386.543,5.0%,525.0978969,7.4%,1545.911,5.0%,590.7481464,7.4%,1704.999,5.1%,658.7334203,7.4%,1866.066,5.1%,729.077665,7.4%,2045.446,5.1%,810.9851491,7.4%,2232.146,5.1%,899.8701366,7.4%,2411.658,5.2%,988.2138517,7.4%,2593.888,5.2%,1081.365111,7.4%,2743.688,5.2%,1159.527159,7.4%,2862.988,5.2%,1223.02709,7.4%,2963.008,5.3%,1276.554265,7.4%,3082.127,5.3%,1343.54119,7.4%,3225.901,5.3%,1427.935819,7.4%,3394.015,5.3%,1529.389937,7.4%,3561.383,5.3%,1633.920302,7.4%,3738.04,5.3%,1748.274984,7.4%,3897.456,5.3%,1855.015432,7.4%,4030.263,5.4%,1946.975159,7.4%,4144.231,5.4%,2028.529779,7.4%,4250.685,5.4%,2107.066428,7.4%,4357.063,5.5%,2187.820586,7.4%,4463.481,5.5%,2270.859352,7.4%,4569.817,5.5%,2356.222999,7.4%,4676.143,5.5%,2443.974638,7.4%,,,,,
Walpole,113.27725,,490.872,3.8%,116.245114,3.9%,509.961,3.7%,123.4116281,3.9%,560.102,3.7%,135.7029092,3.9%,653.766,3.9%,156.3244042,3.9%,759.907,4.0%,180.5134576,3.9%,886.475,4.0%,211.8030476,3.9%,1012.582,4.1%,244.215268,3.9%,1138.24,4.1%,277.7775374,3.9%,1263.467,4.1%,312.5066131,3.9%,1388.245,4.1%,348.4709201,3.9%,1515.733,4.1%,385.683126,3.9%,1660.783,4.2%,429.0123021,3.9%,1815.682,4.2%,476.0325874,3.9%,1960.892,4.2%,522.7665389,3.9%,2109.791,4.2%,572.0436879,3.9%,2214.81,4.2%,613.391523,3.9%,2278.691,4.2%,646.9830773,3.9%,2316.51,4.1%,675.2990295,3.9%,2380.15,4.1%,710.7352082,3.9%,2477.079,4.1%,755.3800873,3.9%,2603.284,4.1%,809.049461,3.9%,2728.46,4.1%,864.346173,3.9%,2866.206,4.1%,924.8399633,3.9%,2980.671,4.1%,981.3058128,3.9%,3059.206,4.1%,1029.95264,3.9%,3112.242,4.1%,1073.09515,3.9%,3155.127,4.0%,1114.64115,3.9%,3197.982,4.0%,1157.360214,3.9%,3240.788,4.0%,1201.28784,3.9%,3283.574,4.0%,1246.445331,3.9%,3326.319,3.9%,1292.866074,3.9%,,,,,
