,,,2020,,2021,,2022,,2023,,2024,,2025,,2026,,2027,,2028,,2029,,2030,,2031,,2032,,2033,,2034,,2035,,2036,,2037,,2038,,2039,,2040,,2041,,2042,,2043,,2044,,2045,,2046,,2047,,2048,,2049,,2050,,,,,,
,Domestic 2019,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,,,,,
Stella West,145.95756,,576.139,8.9%,577.324,8.9%,578.505,8.9%,579.694,8.9%,582.083,8.9%,584.454,8.9%,586.857,8.9%,589.263,8.9%,591.707,8.9%,594.161,8.9%,596.605,8.9%,599.091,8.9%,601.556,8.9%,604.049,8.9%,606.563,8.9%,609.075,8.9%,611.626,8.9%,614.194,8.9%,616.755,8.9%,619.365,8.9%,621.942,8.9%,624.571,8.9%,627.199,8.9%,629.839,8.9%,632.488,8.9%,635.146,8.8%,637.855,8.8%,640.525,8.8%,643.252,8.8%,645.965,8.8%,648.701,8.8%,,,,,
Penwortham,103.36259,,137.942,2.1%,138.279,2.1%,138.639,2.1%,138.991,2.1%,139.683,2.1%,140.365,2.1%,141.072,2.1%,141.78,2.1%,142.487,2.1%,143.194,2.1%,143.924,2.1%,144.639,2.1%,145.357,2.1%,146.086,2.1%,146.823,2.2%,147.56,2.2%,148.326,2.2%,149.077,2.2%,149.831,2.2%,150.614,2.2%,151.368,2.2%,152.142,2.2%,152.904,2.2%,153.699,2.2%,154.462,2.2%,155.265,2.2%,156.047,2.2%,156.841,2.2%,157.636,2.2%,158.43,2.2%,159.251,2.2%,,,,,
Deeside,141.94391,,792.27,12.3%,793.637,12.3%,795.036,12.3%,796.456,12.2%,799.206,12.2%,801.967,12.2%,804.785,12.2%,807.629,12.2%,810.474,12.2%,813.329,12.2%,816.194,12.2%,819.099,12.2%,821.985,12.1%,824.899,12.1%,827.814,12.1%,830.78,12.1%,833.77,12.1%,836.789,12.1%,839.811,12.1%,842.862,12.1%,845.91,12.1%,848.989,12.0%,852.072,12.0%,855.181,12.0%,858.301,12.0%,861.423,12.0%,864.572,12.0%,867.722,12.0%,870.911,12.0%,874.102,12.0%,877.291,11.9%,,,,,
Daines,151.98015,,138.422,2.1%,138.761,2.1%,139.12,2.1%,139.47,2.1%,140.159,2.1%,140.858,2.1%,141.558,2.1%,142.267,2.1%,142.985,2.2%,143.706,2.2%,144.424,2.2%,145.144,2.2%,145.874,2.2%,146.602,2.2%,147.332,2.2%,148.071,2.2%,148.82,2.2%,149.578,2.2%,150.339,2.2%,151.096,2.2%,151.865,2.2%,152.633,2.2%,153.403,2.2%,154.181,2.2%,154.961,2.2%,155.739,2.2%,156.529,2.2%,157.316,2.2%,158.115,2.2%,158.904,2.2%,159.714,2.2%,,,,,
Th. Marsh/Stocksbridge,161.59842,,203.337,3.1%,203.826,3.1%,204.363,3.1%,204.888,3.2%,205.896,3.2%,206.883,3.2%,207.939,3.2%,208.985,3.2%,210.05,3.2%,211.074,3.2%,212.139,3.2%,213.214,3.2%,214.278,3.2%,215.356,3.2%,216.43,3.2%,217.515,3.2%,218.659,3.2%,219.792,3.2%,220.926,3.2%,222.07,3.2%,223.214,3.2%,224.367,3.2%,225.52,3.2%,226.695,3.2%,227.848,3.2%,229.02,3.2%,230.215,3.2%,231.388,3.2%,232.571,3.2%,233.765,3.2%,234.959,3.2%,,,,,
Thornton/Drax/Eggborough,69.22865,,315.989,4.9%,316.747,4.9%,317.584,4.9%,318.428,4.9%,319.964,4.9%,321.508,4.9%,323.121,4.9%,324.755,4.9%,326.387,4.9%,328.029,4.9%,329.684,4.9%,331.335,4.9%,332.999,4.9%,334.662,4.9%,336.344,4.9%,338.058,4.9%,339.787,4.9%,341.567,4.9%,343.349,4.9%,345.119,4.9%,346.921,4.9%,348.721,4.9%,350.532,5.0%,352.353,5.0%,354.153,5.0%,355.992,5.0%,357.825,5.0%,359.674,5.0%,361.513,5.0%,363.386,5.0%,365.256,5.0%,,,,,
Keadby,86.03201,,237.158,3.7%,237.745,3.7%,238.35,3.7%,238.974,3.7%,240.147,3.7%,241.312,3.7%,242.532,3.7%,243.743,3.7%,244.973,3.7%,246.204,3.7%,247.434,3.7%,248.675,3.7%,249.926,3.7%,251.177,3.7%,252.428,3.7%,253.689,3.7%,254.997,3.7%,256.294,3.7%,257.612,3.7%,258.919,3.7%,260.247,3.7%,261.565,3.7%,262.901,3.7%,264.24,3.7%,265.578,3.7%,266.936,3.7%,268.303,3.7%,269.66,3.7%,271.028,3.7%,272.395,3.7%,273.784,3.7%,,,,,
Ratcliffe,185.67518,,61.874,1.0%,62.014,1.0%,62.174,1.0%,62.361,1.0%,62.642,1.0%,62.951,1.0%,63.261,1.0%,63.57,1.0%,63.919,1.0%,64.238,1.0%,64.557,1.0%,64.886,1.0%,65.206,1.0%,65.535,1.0%,65.864,1.0%,66.213,1.0%,66.56,1.0%,66.929,1.0%,67.297,1.0%,67.647,1.0%,68.016,1.0%,68.385,1.0%,68.745,1.0%,69.133,1.0%,69.503,1.0%,69.891,1.0%,70.248,1.0%,70.637,1.0%,71.007,1.0%,71.375,1.0%,71.765,1.0%,,,,,
Feckenham,214.13411,,101.721,1.6%,101.963,1.6%,102.236,1.6%,102.501,1.6%,103.003,1.6%,103.498,1.6%,104.012,1.6%,104.548,1.6%,105.073,1.6%,105.588,1.6%,106.123,1.6%,106.659,1.6%,107.182,1.6%,107.738,1.6%,108.285,1.6%,108.81,1.6%,109.386,1.6%,109.954,1.6%,110.511,1.6%,111.099,1.6%,111.679,1.6%,112.254,1.6%,112.83,1.6%,113.428,1.6%,114.006,1.6%,114.602,1.6%,115.178,1.6%,115.786,1.6%,116.382,1.6%,116.979,1.6%,117.577,1.6%,,,,,
Walpole,113.27725,,443.376,6.9%,443.982,6.9%,444.623,6.9%,445.254,6.8%,446.506,6.8%,447.747,6.8%,449.024,6.8%,450.29,6.8%,451.577,6.8%,452.865,6.8%,454.161,6.8%,455.458,6.8%,456.765,6.8%,458.082,6.7%,459.399,6.7%,460.726,6.7%,462.078,6.7%,463.421,6.7%,464.783,6.7%,466.155,6.7%,467.528,6.7%,468.91,6.7%,470.302,6.6%,471.686,6.6%,473.088,6.6%,474.5,6.6%,475.913,6.6%,477.335,6.6%,478.758,6.6%,480.201,6.6%,481.633,6.6%,,,,,
Bramford,119.24258,,117.062,1.8%,117.171,1.8%,117.295,1.8%,117.411,1.8%,117.637,1.8%,117.862,1.8%,118.076,1.8%,118.31,1.8%,118.543,1.8%,118.776,1.8%,119.009,1.8%,119.253,1.8%,119.496,1.8%,119.729,1.8%,119.973,1.8%,120.207,1.8%,120.457,1.7%,120.709,1.7%,120.96,1.7%,121.212,1.7%,121.462,1.7%,121.724,1.7%,121.975,1.7%,122.236,1.7%,122.487,1.7%,122.749,1.7%,123.01,1.7%,123.271,1.7%,123.532,1.7%,123.794,1.7%,124.064,1.7%,,,,,
Pelham,75.1926,,48.179,0.7%,48.3,0.7%,48.414,0.7%,48.548,0.7%,48.781,0.7%,49.034,0.7%,49.268,0.7%,49.514,0.7%,49.769,0.7%,50.013,0.7%,50.259,0.7%,50.514,0.7%,50.769,0.8%,51.023,0.8%,51.278,0.8%,51.533,0.8%,51.79,0.8%,52.046,0.8%,52.323,0.8%,52.579,0.8%,52.836,0.8%,53.113,0.8%,53.38,0.8%,53.646,0.8%,53.913,0.8%,54.189,0.8%,54.457,0.8%,54.732,0.8%,54.999,0.8%,55.285,0.8%,55.563,0.8%,,,,,
Sundon/East Claydon,106.11918,,273.362,4.2%,274.047,4.2%,274.739,4.2%,275.45,4.2%,276.812,4.2%,278.173,4.2%,279.569,4.2%,280.979,4.2%,282.376,4.2%,283.802,4.3%,285.22,4.3%,286.656,4.3%,288.073,4.3%,289.519,4.3%,290.977,4.3%,292.424,4.3%,293.926,4.3%,295.409,4.3%,296.912,4.3%,298.435,4.3%,299.957,4.3%,301.48,4.3%,303.002,4.3%,304.534,4.3%,306.076,4.3%,307.639,4.3%,309.195,4.3%,310.776,4.3%,312.339,4.3%,313.921,4.3%,315.513,4.3%,,,,,
Melksham,233.18009,,629.166,9.7%,630.692,9.7%,632.325,9.7%,633.986,9.7%,637.068,9.8%,640.192,9.8%,643.392,9.8%,646.651,9.8%,649.911,9.8%,653.15,9.8%,656.419,9.8%,659.717,9.8%,663.017,9.8%,666.346,9.8%,669.696,9.8%,673.053,9.8%,676.508,9.8%,680.004,9.8%,683.49,9.8%,686.984,9.8%,690.543,9.8%,694.097,9.8%,697.633,9.9%,701.208,9.9%,704.803,9.9%,708.42,9.9%,712.034,9.9%,715.669,9.9%,719.336,9.9%,723.008,9.9%,726.715,9.9%,,,,,
Bramley,76.73228,,2.616,0.0%,2.627,0.0%,2.629,0.0%,2.641,0.0%,2.653,0.0%,2.665,0.0%,2.678,0.0%,2.691,0.0%,2.705,0.0%,2.718,0.0%,2.731,0.0%,2.744,0.0%,2.757,0.0%,2.77,0.0%,2.784,0.0%,2.797,0.0%,2.821,0.0%,2.835,0.0%,2.849,0.0%,2.864,0.0%,2.879,0.0%,2.893,0.0%,2.907,0.0%,2.921,0.0%,2.936,0.0%,2.96,0.0%,2.974,0.0%,2.988,0.0%,3.002,0.0%,3.017,0.0%,3.031,0.0%,,,,,
