,,,2020,,2021,,2022,,2023,,2024,,2025,,2026,,2027,,2028,,2029,,2030,,2031,,2032,,2033,,2034,,2035,,2036,,2037,,2038,,2039,,2040,,2041,,2042,,2043,,2044,,2045,,2046,,2047,,2048,,2049,,2050,,,,,,
,Domestic 2019,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,,,,,
Stella West,145.95756,,576.139,8.9%,579.419,8.9%,582.869,8.9%,590.26,8.9%,609.407,8.9%,637.555,8.9%,660.891,8.9%,685.875,8.9%,712.23,8.9%,740.006,8.9%,770.089,8.9%,801.786,8.9%,835.258,8.9%,870.527,8.9%,907.727,8.9%,946.954,8.9%,988.362,8.9%,1031.99,8.9%,1078.062,8.8%,1126.665,8.8%,1177.936,8.8%,1227.729,8.8%,1277.779,8.8%,1327.865,8.8%,1377.744,8.8%,1427.197,8.8%,1473.257,8.8%,1520.997,8.8%,1570.487,8.8%,1621.741,8.8%,1674.886,8.8%,,,,,
Penwortham,103.36259,,137.942,2.1%,138.896,2.1%,139.899,2.1%,142.028,2.1%,147.467,2.2%,153.184,2.1%,159.814,2.2%,166.91,2.2%,174.424,2.2%,182.333,2.2%,190.906,2.2%,199.938,2.2%,209.473,2.2%,219.505,2.2%,230.123,2.2%,241.319,2.3%,253.106,2.3%,265.572,2.3%,278.694,2.3%,292.551,2.3%,307.185,2.3%,321.403,2.3%,335.688,2.3%,349.999,2.3%,364.276,2.3%,378.439,2.3%,391.636,2.3%,405.34,2.3%,419.51,2.3%,434.217,2.3%,449.438,2.4%,,,,,
Deeside,141.94391,,792.27,12.3%,796.121,12.2%,800.143,12.2%,808.718,12.2%,830.804,12.1%,872.644,12.2%,899.58,12.2%,928.44,12.1%,958.875,12.0%,990.985,11.9%,1025.722,11.9%,1062.37,11.8%,1101.048,11.7%,1141.808,11.6%,1184.835,11.6%,1230.194,11.5%,1278.03,11.5%,1328.522,11.4%,1381.758,11.3%,1437.949,11.3%,1497.216,11.2%,1554.815,11.2%,1612.732,11.1%,1670.704,11.1%,1728.481,11.0%,1785.732,11.0%,1839.139,11.0%,1894.451,10.9%,1951.806,10.9%,2011.218,10.9%,2072.814,10.9%,,,,,
Daines,151.98015,,138.422,2.1%,139.389,2.1%,140.399,2.1%,142.557,2.2%,148.115,2.2%,153.964,2.2%,160.743,2.2%,168.011,2.2%,175.667,2.2%,183.754,2.2%,192.502,2.2%,201.739,2.2%,211.465,2.3%,221.731,2.3%,232.556,2.3%,243.973,2.3%,256.017,2.3%,268.722,2.3%,282.128,2.3%,296.261,2.3%,311.187,2.3%,325.68,2.3%,340.253,2.3%,354.836,2.4%,369.369,2.4%,383.783,2.4%,397.206,2.4%,411.116,2.4%,425.538,2.4%,440.481,2.4%,455.962,2.4%,,,,,
Th. Marsh/Stocksbridge,161.59842,,203.337,3.1%,204.751,3.2%,206.246,3.2%,209.328,3.2%,217.06,3.2%,225.209,3.2%,234.677,3.2%,244.815,3.2%,255.541,3.2%,266.845,3.2%,279.098,3.2%,292.027,3.2%,305.697,3.3%,320.095,3.3%,335.291,3.3%,351.315,3.3%,368.225,3.3%,386.078,3.3%,404.906,3.3%,424.756,3.3%,445.703,3.3%,466.107,3.4%,486.638,3.4%,507.21,3.4%,527.73,3.4%,548.088,3.4%,567.156,3.4%,586.901,3.4%,607.373,3.4%,628.584,3.4%,650.565,3.4%,,,,,
Thornton/Drax/Eggborough,69.22865,,315.989,4.9%,318.19,4.9%,320.522,4.9%,325.24,4.9%,337.127,4.9%,349.664,4.9%,364.206,4.9%,379.798,4.9%,396.266,5.0%,413.672,5.0%,432.516,5.0%,452.428,5.0%,473.407,5.0%,495.564,5.1%,518.938,5.1%,543.62,5.1%,569.651,5.1%,597.097,5.1%,626.062,5.1%,656.636,5.2%,688.877,5.2%,720.284,5.2%,751.879,5.2%,783.573,5.2%,815.183,5.2%,846.572,5.2%,875.969,5.2%,906.433,5.2%,938.024,5.2%,970.722,5.3%,1004.62,5.3%,,,,,
Keadby,86.03201,,237.158,3.7%,238.817,3.7%,240.544,3.7%,244.189,3.7%,253.543,3.7%,263.384,3.7%,274.782,3.7%,287.009,3.7%,299.921,3.8%,313.53,3.8%,328.257,3.8%,343.799,3.8%,360.198,3.8%,377.506,3.9%,395.74,3.9%,415.001,3.9%,435.298,3.9%,456.713,3.9%,479.314,3.9%,503.152,3.9%,528.308,4.0%,552.76,4.0%,577.359,4.0%,601.975,4.0%,626.519,4.0%,650.869,4.0%,673.584,4.0%,697.128,4.0%,721.519,4.0%,746.807,4.0%,773.02,4.0%,,,,,
Ratcliffe,185.67518,,61.874,1.0%,62.314,1.0%,62.762,1.0%,63.629,1.0%,65.659,1.0%,67.807,1.0%,70.325,1.0%,73.013,1.0%,75.879,1.0%,78.907,1.0%,82.183,1.0%,85.66,1.0%,89.335,1.0%,93.202,1.0%,97.305,1.0%,101.622,1.0%,106.197,1.0%,111.013,1.0%,116.086,1.0%,121.449,1.0%,127.103,1.0%,132.638,1.0%,138.231,1.0%,143.863,1.0%,149.477,1.0%,155.089,1.0%,160.389,1.0%,165.872,1.0%,171.573,1.0%,177.474,1.0%,183.595,1.0%,,,,,
Feckenham,214.13411,,101.721,1.6%,102.429,1.6%,103.165,1.6%,104.704,1.6%,108.533,1.6%,112.553,1.6%,117.235,1.6%,122.26,1.6%,127.565,1.6%,133.165,1.6%,139.234,1.6%,145.635,1.6%,152.397,1.6%,159.533,1.6%,167.049,1.6%,174.996,1.6%,183.366,1.6%,192.22,1.6%,201.534,1.7%,211.38,1.7%,221.757,1.7%,231.866,1.7%,242.035,1.7%,252.239,1.7%,262.412,1.7%,272.519,1.7%,281.977,1.7%,291.787,1.7%,301.95,1.7%,312.492,1.7%,323.397,1.7%,,,,,
Walpole,113.27725,,443.376,6.9%,445.109,6.8%,446.922,6.8%,450.799,6.8%,460.847,6.7%,486.491,6.8%,498.73,6.7%,511.836,6.7%,525.656,6.6%,540.242,6.5%,556.034,6.4%,572.671,6.4%,590.224,6.3%,608.734,6.2%,628.258,6.1%,648.858,6.1%,670.573,6.0%,693.495,5.9%,717.671,5.9%,743.174,5.8%,770.081,5.8%,796.224,5.7%,822.504,5.7%,848.799,5.6%,875.01,5.6%,900.976,5.6%,925.177,5.5%,950.254,5.5%,976.238,5.5%,1003.176,5.4%,1031.081,5.4%,,,,,
