,snapshot,objective,stores,generators
151,2045-01-07 07:00:00,1,1,1
152,2045-01-07 08:00:00,1,1,1
153,2045-01-07 09:00:00,1,1,1
154,2045-01-07 10:00:00,1,1,1
155,2045-01-07 11:00:00,1,1,1
156,2045-01-07 12:00:00,1,1,1
157,2045-01-07 13:00:00,1,1,1
158,2045-01-07 14:00:00,1,1,1
159,2045-01-07 15:00:00,1,1,1
160,2045-01-07 16:00:00,1,1,1
161,2045-01-07 17:00:00,1,1,1
162,2045-01-07 18:00:00,1,1,1
163,2045-01-07 19:00:00,1,1,1
164,2045-01-07 20:00:00,1,1,1
165,2045-01-07 21:00:00,1,1,1
166,2045-01-07 22:00:00,1,1,1
167,2045-01-07 23:00:00,1,1,1
168,2045-01-08 00:00:00,1,1,1
169,2045-01-08 01:00:00,1,1,1
170,2045-01-08 02:00:00,1,1,1
171,2045-01-08 03:00:00,1,1,1
172,2045-01-08 04:00:00,1,1,1
173,2045-01-08 05:00:00,1,1,1
174,2045-01-08 06:00:00,1,1,1
175,2045-01-08 07:00:00,1,1,1
176,2045-01-08 08:00:00,1,1,1
177,2045-01-08 09:00:00,1,1,1
178,2045-01-08 10:00:00,1,1,1
179,2045-01-08 11:00:00,1,1,1
180,2045-01-08 12:00:00,1,1,1
181,2045-01-08 13:00:00,1,1,1
182,2045-01-08 14:00:00,1,1,1
183,2045-01-08 15:00:00,1,1,1
184,2045-01-08 16:00:00,1,1,1
185,2045-01-08 17:00:00,1,1,1
186,2045-01-08 18:00:00,1,1,1
187,2045-01-08 19:00:00,1,1,1
188,2045-01-08 20:00:00,1,1,1
189,2045-01-08 21:00:00,1,1,1
190,2045-01-08 22:00:00,1,1,1
191,2045-01-08 23:00:00,1,1,1
192,2045-01-09 00:00:00,1,1,1
193,2045-01-09 01:00:00,1,1,1
194,2045-01-09 02:00:00,1,1,1
195,2045-01-09 03:00:00,1,1,1
196,2045-01-09 04:00:00,1,1,1
197,2045-01-09 05:00:00,1,1,1
198,2045-01-09 06:00:00,1,1,1
199,2045-01-09 07:00:00,1,1,1
200,2045-01-09 08:00:00,1,1,1
201,2045-01-09 09:00:00,1,1,1
202,2045-01-09 10:00:00,1,1,1
203,2045-01-09 11:00:00,1,1,1
204,2045-01-09 12:00:00,1,1,1
205,2045-01-09 13:00:00,1,1,1
206,2045-01-09 14:00:00,1,1,1
207,2045-01-09 15:00:00,1,1,1
208,2045-01-09 16:00:00,1,1,1
209,2045-01-09 17:00:00,1,1,1
210,2045-01-09 18:00:00,1,1,1
211,2045-01-09 19:00:00,1,1,1
212,2045-01-09 20:00:00,1,1,1
213,2045-01-09 21:00:00,1,1,1
214,2045-01-09 22:00:00,1,1,1
215,2045-01-09 23:00:00,1,1,1
216,2045-01-10 00:00:00,1,1,1
217,2045-01-10 01:00:00,1,1,1
218,2045-01-10 02:00:00,1,1,1
219,2045-01-10 03:00:00,1,1,1
220,2045-01-10 04:00:00,1,1,1
221,2045-01-10 05:00:00,1,1,1
222,2045-01-10 06:00:00,1,1,1
223,2045-01-10 07:00:00,1,1,1
224,2045-01-10 08:00:00,1,1,1
225,2045-01-10 09:00:00,1,1,1
226,2045-01-10 10:00:00,1,1,1
227,2045-01-10 11:00:00,1,1,1
228,2045-01-10 12:00:00,1,1,1
229,2045-01-10 13:00:00,1,1,1
230,2045-01-10 14:00:00,1,1,1
231,2045-01-10 15:00:00,1,1,1
232,2045-01-10 16:00:00,1,1,1
233,2045-01-10 17:00:00,1,1,1
234,2045-01-10 18:00:00,1,1,1
235,2045-01-10 19:00:00,1,1,1
236,2045-01-10 20:00:00,1,1,1
237,2045-01-10 21:00:00,1,1,1
238,2045-01-10 22:00:00,1,1,1
239,2045-01-10 23:00:00,1,1,1
240,2045-01-11 00:00:00,1,1,1
241,2045-01-11 01:00:00,1,1,1
242,2045-01-11 02:00:00,1,1,1
243,2045-01-11 03:00:00,1,1,1
244,2045-01-11 04:00:00,1,1,1
245,2045-01-11 05:00:00,1,1,1
246,2045-01-11 06:00:00,1,1,1
247,2045-01-11 07:00:00,1,1,1
248,2045-01-11 08:00:00,1,1,1
249,2045-01-11 09:00:00,1,1,1
250,2045-01-11 10:00:00,1,1,1
251,2045-01-11 11:00:00,1,1,1
252,2045-01-11 12:00:00,1,1,1
253,2045-01-11 13:00:00,1,1,1
254,2045-01-11 14:00:00,1,1,1
255,2045-01-11 15:00:00,1,1,1
256,2045-01-11 16:00:00,1,1,1
257,2045-01-11 17:00:00,1,1,1
258,2045-01-11 18:00:00,1,1,1
259,2045-01-11 19:00:00,1,1,1
260,2045-01-11 20:00:00,1,1,1
261,2045-01-11 21:00:00,1,1,1
262,2045-01-11 22:00:00,1,1,1
263,2045-01-11 23:00:00,1,1,1
264,2045-01-12 00:00:00,1,1,1
265,2045-01-12 01:00:00,1,1,1
266,2045-01-12 02:00:00,1,1,1
267,2045-01-12 03:00:00,1,1,1
268,2045-01-12 04:00:00,1,1,1
269,2045-01-12 05:00:00,1,1,1
270,2045-01-12 06:00:00,1,1,1
271,2045-01-12 07:00:00,1,1,1
272,2045-01-12 08:00:00,1,1,1
273,2045-01-12 09:00:00,1,1,1
274,2045-01-12 10:00:00,1,1,1
275,2045-01-12 11:00:00,1,1,1
276,2045-01-12 12:00:00,1,1,1
277,2045-01-12 13:00:00,1,1,1
278,2045-01-12 14:00:00,1,1,1
279,2045-01-12 15:00:00,1,1,1
280,2045-01-12 16:00:00,1,1,1
281,2045-01-12 17:00:00,1,1,1
282,2045-01-12 18:00:00,1,1,1
283,2045-01-12 19:00:00,1,1,1
284,2045-01-12 20:00:00,1,1,1
285,2045-01-12 21:00:00,1,1,1
286,2045-01-12 22:00:00,1,1,1
287,2045-01-12 23:00:00,1,1,1
288,2045-01-13 00:00:00,1,1,1
289,2045-01-13 01:00:00,1,1,1
290,2045-01-13 02:00:00,1,1,1
291,2045-01-13 03:00:00,1,1,1
292,2045-01-13 04:00:00,1,1,1
293,2045-01-13 05:00:00,1,1,1
294,2045-01-13 06:00:00,1,1,1
295,2045-01-13 07:00:00,1,1,1
296,2045-01-13 08:00:00,1,1,1
297,2045-01-13 09:00:00,1,1,1
298,2045-01-13 10:00:00,1,1,1
299,2045-01-13 11:00:00,1,1,1
300,2045-01-13 12:00:00,1,1,1
301,2045-01-13 13:00:00,1,1,1
302,2045-01-13 14:00:00,1,1,1
303,2045-01-13 15:00:00,1,1,1
304,2045-01-13 16:00:00,1,1,1
305,2045-01-13 17:00:00,1,1,1
306,2045-01-13 18:00:00,1,1,1
307,2045-01-13 19:00:00,1,1,1
308,2045-01-13 20:00:00,1,1,1
309,2045-01-13 21:00:00,1,1,1
310,2045-01-13 22:00:00,1,1,1
311,2045-01-13 23:00:00,1,1,1
312,2045-01-14 00:00:00,1,1,1
313,2045-01-14 01:00:00,1,1,1
314,2045-01-14 02:00:00,1,1,1
315,2045-01-14 03:00:00,1,1,1
316,2045-01-14 04:00:00,1,1,1
317,2045-01-14 05:00:00,1,1,1
318,2045-01-14 06:00:00,1,1,1
319,2045-01-14 07:00:00,1,1,1
320,2045-01-14 08:00:00,1,1,1
321,2045-01-14 09:00:00,1,1,1
322,2045-01-14 10:00:00,1,1,1
323,2045-01-14 11:00:00,1,1,1
324,2045-01-14 12:00:00,1,1,1
325,2045-01-14 13:00:00,1,1,1
326,2045-01-14 14:00:00,1,1,1
327,2045-01-14 15:00:00,1,1,1
328,2045-01-14 16:00:00,1,1,1
329,2045-01-14 17:00:00,1,1,1
330,2045-01-14 18:00:00,1,1,1
331,2045-01-14 19:00:00,1,1,1
332,2045-01-14 20:00:00,1,1,1
333,2045-01-14 21:00:00,1,1,1
334,2045-01-14 22:00:00,1,1,1
335,2045-01-14 23:00:00,1,1,1
336,2045-01-15 00:00:00,1,1,1
337,2045-01-15 01:00:00,1,1,1
338,2045-01-15 02:00:00,1,1,1
339,2045-01-15 03:00:00,1,1,1
340,2045-01-15 04:00:00,1,1,1
341,2045-01-15 05:00:00,1,1,1
342,2045-01-15 06:00:00,1,1,1
343,2045-01-15 07:00:00,1,1,1
344,2045-01-15 08:00:00,1,1,1
345,2045-01-15 09:00:00,1,1,1
346,2045-01-15 10:00:00,1,1,1
347,2045-01-15 11:00:00,1,1,1
348,2045-01-15 12:00:00,1,1,1
349,2045-01-15 13:00:00,1,1,1
350,2045-01-15 14:00:00,1,1,1
351,2045-01-15 15:00:00,1,1,1
352,2045-01-15 16:00:00,1,1,1
353,2045-01-15 17:00:00,1,1,1
354,2045-01-15 18:00:00,1,1,1
355,2045-01-15 19:00:00,1,1,1
356,2045-01-15 20:00:00,1,1,1
357,2045-01-15 21:00:00,1,1,1
358,2045-01-15 22:00:00,1,1,1
359,2045-01-15 23:00:00,1,1,1
360,2045-01-16 00:00:00,1,1,1
361,2045-01-16 01:00:00,1,1,1
362,2045-01-16 02:00:00,1,1,1
363,2045-01-16 03:00:00,1,1,1
364,2045-01-16 04:00:00,1,1,1
365,2045-01-16 05:00:00,1,1,1
366,2045-01-16 06:00:00,1,1,1
367,2045-01-16 07:00:00,1,1,1
368,2045-01-16 08:00:00,1,1,1
369,2045-01-16 09:00:00,1,1,1
370,2045-01-16 10:00:00,1,1,1
371,2045-01-16 11:00:00,1,1,1
372,2045-01-16 12:00:00,1,1,1
373,2045-01-16 13:00:00,1,1,1
374,2045-01-16 14:00:00,1,1,1
375,2045-01-16 15:00:00,1,1,1
376,2045-01-16 16:00:00,1,1,1
377,2045-01-16 17:00:00,1,1,1
378,2045-01-16 18:00:00,1,1,1
379,2045-01-16 19:00:00,1,1,1
380,2045-01-16 20:00:00,1,1,1
381,2045-01-16 21:00:00,1,1,1
382,2045-01-16 22:00:00,1,1,1
383,2045-01-16 23:00:00,1,1,1
384,2045-01-17 00:00:00,1,1,1
385,2045-01-17 01:00:00,1,1,1
386,2045-01-17 02:00:00,1,1,1
387,2045-01-17 03:00:00,1,1,1
388,2045-01-17 04:00:00,1,1,1
389,2045-01-17 05:00:00,1,1,1
390,2045-01-17 06:00:00,1,1,1
391,2045-01-17 07:00:00,1,1,1
392,2045-01-17 08:00:00,1,1,1
393,2045-01-17 09:00:00,1,1,1
394,2045-01-17 10:00:00,1,1,1
395,2045-01-17 11:00:00,1,1,1
396,2045-01-17 12:00:00,1,1,1
397,2045-01-17 13:00:00,1,1,1
398,2045-01-17 14:00:00,1,1,1
399,2045-01-17 15:00:00,1,1,1
400,2045-01-17 16:00:00,1,1,1
401,2045-01-17 17:00:00,1,1,1
402,2045-01-17 18:00:00,1,1,1
403,2045-01-17 19:00:00,1,1,1
404,2045-01-17 20:00:00,1,1,1
405,2045-01-17 21:00:00,1,1,1
406,2045-01-17 22:00:00,1,1,1
