,Beauly,Peterhead,Errochty,Denny/Bonnybridge,Neilston,Strathaven,Torness,Eccles,Harker,Stella West,Penwortham,Deeside,Daines,Th. Marsh/Stocksbridge,Thornton/Drax/Eggborough,Keadby,Ratcliffe,Feckenham,Walpole,Bramford,Pelham,Sundon/East Claydon,Melksham,Bramley,London,Kemsley,Sellindge,Lovedean,S.W.Penisula,Netherlands,Belgium,France1,France2,Ireland,N. Ireland,Ireland2,Denmark,Germany,Norway
10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9999999999999997,-0.9999999999999989,-0.9999999999999989,-1.0,-0.9999999999999998,-0.9999999999999998,-0.9999999999999996,-0.9999999999999964,-0.9999999999999964,-0.9999999999999964,-0.9999999999999987,-1.0,-0.9999999999999933,-0.9999999999999933,-0.9999999999999964,-0.9999999999999933,-0.9999999999999933,-0.9999999999999933,-20.999999999999996,-20.999999999999993,-15.999999999999993,-15.999999999999993,-8.0,-8.0,-8.0,-7.9999999999999964,-20.999999999999996,-2.0
11,-1.0,-1.0,-1.0,-1.0,-1.0000000000000002,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0,-1.0000000000000002,-1.0000000000000002,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9999999999999982,-0.9999999999999998,-0.9999999999999998,-1.0,-0.9999999999999998,-0.9999999999999998,-0.9999999999999998,-21.0,-21.0,-16.0,-16.0,-8.0,-8.0,-7.999999999999998,-8.0,-21.0,-2.0
12,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9999999999999998,-0.9999999999999998,-1.0000000000000018,-1.0000000000000007,-1.0000000000000007,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0000000000000004,-0.9999999999999998,-0.9999999999999998,-1.0,-0.9999999999999998,-0.9999999999999998,-0.9999999999999998,-21.0,-21.0,-16.0,-16.0,-8.0,-8.0,-8.0,-8.0,-21.0,-2.0
13,-1.0,-1.0,-1.0,-1.0,-0.9999999999999998,-0.9999999999999999,-1.0,-1.0,-0.9999999999999999,-1.0,-0.9999999999999999,-1.0,-0.9999999999999997,-0.9999999999999997,-0.9999999999999999,-0.9999999999999998,-0.9999999999999998,-0.9999999999999999,-1.0,-1.0,-1.0,-0.9999999999999998,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-21.0,-21.0,-16.0,-16.0,-8.0,-8.0,-8.0,-8.0,-21.0,-2.0
14,-1.0,-1.0,-1.0,-1.0,-1.0000000000000002,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0,-1.0000000000000002,-1.0000000000000002,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9999999999999982,-0.9999999999999998,-0.9999999999999998,-1.0,-0.9999999999999998,-0.9999999999999998,-0.9999999999999998,-21.0,-21.0,-16.0,-16.0,-8.0,-8.0,-7.999999999999998,-8.0,-21.0,-2.0
15,-1.0,-1.0,-0.9999999999999998,-0.9999999999999998,-0.9999999999999998,-0.9999999999999996,-0.9999999999999998,-0.9999999999999996,-0.9999999999999996,-0.9999999999999996,-0.9999999999999996,-0.9999999999999998,-0.9999999999999997,-0.9999999999999997,-0.9999999999999996,-0.9999999999999996,-0.9999999999999996,-1.0,-0.9999999999999987,-0.9999999999999987,-0.9999999999999987,-0.9999999999999991,-0.9999999999999987,-0.9999999999999987,-0.9999999999999987,-0.9999999999999987,-0.9999999999999987,-0.9999999999999987,-0.9999999999999987,-21.0,-21.0,-15.999999999999998,-15.999999999999998,-8.0,-8.0,-7.999999999999998,-7.999999999999998,-21.0,-1.9999999999999996
16,-1.0,-1.0,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0,-1.0000000000000002,-1.0000000000000002,-1.0,-1.0000000000000002,-1.0,-0.9999999999999982,-1.0000000000000013,-1.0000000000000013,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-0.9999999999999998,-0.9999999999999998,-0.9999999999999998,-1.0000000000000002,-0.9999999999999998,-0.9999999999999998,-0.9999999999999998,-0.9999999999999998,-0.9999999999999998,-0.9999999999999998,-0.9999999999999998,-21.0,-21.0,-16.0,-16.0,-7.999999999999998,-8.0,-8.0,-8.0,-21.0,-2.0
17,-1.0,-1.0,-0.9620741275641737,-0.9767436326054345,-1.0,-0.9780981334511418,-0.96286726408544,-0.9628106150525406,-0.9643225025403264,-0.9529752639120821,-0.9444351031918627,-0.936400595291841,-0.9428002681729808,-0.9454907806352102,-0.9460896043294172,-0.9447799132274357,-0.9426401349380087,-0.9421605904007577,-0.9433693621984371,-0.943326745638212,-0.9433840537576865,-0.9432882206304481,-0.9430864743901732,-0.9431061348310742,-0.9432731428577484,-0.94329356904664,-0.9432390063854418,-0.9431618828274376,-0.9431389374466798,-20.94329356904664,-20.943239006385443,-15.943239006385442,-15.94313893744668,-7.9364005952918415,-8.0,-7.9430864743901735,-7.943369362198437,-20.94329356904664,-1.952975263912082
18,-1.0,-1.0,-0.9005687709288085,-0.9390281872174301,-1.0,-0.9425793167028381,-0.9026481572175269,-0.9024996390001441,-0.9064633930675644,-0.8767140475441455,-0.8543240899152559,-0.8332598152085072,-0.8500380011632801,-0.8570917864493909,-0.8586617378331775,-0.8552280871981406,-0.8496181757684813,-0.8483609415990129,-0.851530009514675,-0.8514182805895418,-0.8515685267510441,-0.8513172785920685,-0.8507883553177272,-0.850839899598117,-0.8512777488100253,-0.8513313006714931,-0.8511882523481219,-0.8509860555449854,-0.8509258990538167,-20.851331300671493,-20.851188252348123,-15.851188252348122,-15.850925899053816,-7.833259815208507,-8.0,-7.850788355317727,-7.851530009514675,-20.851331300671493,-1.8767140475441455
19,-1.0,-1.0,-0.9005687709288086,-0.9390281872174302,-1.0,-0.9425793167028372,-0.9026481572175277,-0.9024996390001452,-0.9064633930675627,-0.8767140475441472,-0.8543240899152508,-0.8332598152084947,-0.8500380011632842,-0.8570917864493933,-0.85866173783318,-0.8552280871981421,-0.8496181757684805,-0.8483609415990115,-0.8515300095146742,-0.851418280589541,-0.8515685267510436,-0.8513172785920681,-0.850788355317726,-0.8508398995981159,-0.8512777488100246,-0.8513313006714923,-0.8511882523481211,-0.8509860555449844,-0.8509258990538155,-20.851331300671493,-20.85118825234812,-15.851188252348122,-15.850925899053816,-7.8332598152084945,-8.0,-7.850788355317726,-7.851530009514674,-20.851331300671493,-1.876714047544147
20,-1.0,-1.0,-0.9005687709288072,-0.9390281872174293,-1.0,-0.9425793167028365,-0.9026481572175261,-0.9024996390001436,-0.9064633930675614,-0.8767140475441453,-0.8543240899152487,-0.8332598152085078,-0.8500380011632798,-0.857091786449391,-0.8586617378331778,-0.855228087198141,-0.8496181757684813,-0.8483609415990128,-0.8515300095146738,-0.8514182805895408,-0.8515685267510431,-0.8513172785920681,-0.8507883553177262,-0.850839899598116,-0.8512777488100247,-0.8513313006714922,-0.8511882523481211,-0.8509860555449845,-0.8509258990538158,-20.851331300671493,-20.85118825234812,-15.851188252348122,-15.850925899053816,-7.833259815208508,-8.0,-7.850788355317726,-7.851530009514674,-20.851331300671493,-1.8767140475441453
21,-1.0,-1.0,-0.9005687709288088,-0.9390281872174303,-1.0,-0.9425793167028373,-0.9026481572175278,-0.9024996390001451,-0.906463393067563,-0.8767140475441471,-0.8543240899152511,-0.8332598152084948,-0.8500380011632842,-0.8570917864493933,-0.8586617378331799,-0.8552280871981419,-0.8496181757684806,-0.8483609415990117,-0.8515300095146745,-0.8514182805895414,-0.8515685267510438,-0.8513172785920683,-0.8507883553177261,-0.850839899598116,-0.851277748810025,-0.8513313006714927,-0.8511882523481215,-0.8509860555449846,-0.8509258990538158,-20.851331300671493,-20.85118825234812,-15.851188252348122,-15.850925899053816,-7.8332598152084945,-8.0,-7.850788355317726,-7.851530009514675,-20.851331300671493,-1.876714047544147
22,-1.0,-1.0,-0.999999999999994,-0.999999999999994,-1.0,-0.9999999999999888,-0.999999999999994,-0.9999999999999932,-0.9999999999999888,-0.9999999999999932,-0.9999999999999888,-0.9999999999997834,-1.0000000000001634,-1.000000000000025,-0.999999999999999,-1.0000000000000022,-1.0000000000000022,-0.9999999999999971,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-0.9999999999999997,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-21.0,-21.0,-16.0,-16.0,-7.999999999999783,-8.0,-8.0,-8.0,-21.0,-1.9999999999999933
23,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9999999999999997,-0.9999999999999996,-0.9999999999999996,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-0.9999999999999997,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-21.0,-21.0,-16.0,-16.0,-8.0,-8.0,-8.0,-8.0,-21.0,-2.0
24,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9999999999999964,-1.0,-0.9999999999999997,-0.9999999999999929,-0.9999999999999997,-0.9999999999999929,-0.9999999999999971,-1.0000000000000016,-1.0000000000000016,-0.9999999999999997,-0.9999999999999996,-0.9999999999999996,-0.9999999999999997,-0.9999999999999996,-0.9999999999999996,-0.9999999999999996,-0.9999999999999996,-0.9999999999999996,-0.9999999999999996,-0.9999999999999996,-0.9999999999999996,-0.9999999999999996,-0.9999999999999996,-0.9999999999999996,-21.0,-21.0,-16.0,-16.0,-7.999999999999997,-8.0,-8.0,-8.0,-21.0,-1.9999999999999996
25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9999999999999998,-0.9999999999999998,-1.0000000000000004,-1.0000000000000002,-1.0000000000000002,-1.0,-0.9999999999999994,-0.9999999999999994,-0.9999999999999994,-1.0,-0.9999999999999994,-0.9999999999999994,-0.9999999999999994,-0.9999999999999994,-0.9999999999999994,-0.9999999999999994,-0.9999999999999994,-21.0,-21.0,-16.0,-16.0,-8.0,-8.0,-7.999999999999999,-7.999999999999999,-21.0,-2.0
26,-1.0,-1.0,-0.9999999999999998,-0.9999999999999998,-0.9999999999999998,-0.9999999999999996,-0.9999999999999998,-0.9999999999999996,-0.9999999999999996,-0.9999999999999996,-0.9999999999999996,-0.9999999999999998,-0.9999999999999997,-0.9999999999999997,-0.9999999999999996,-0.9999999999999997,-0.9999999999999997,-1.0000000000000004,-0.9999999999999984,-0.9999999999999984,-0.9999999999999984,-0.9999999999999991,-0.9999999999999984,-0.9999999999999984,-0.9999999999999984,-0.9999999999999984,-0.9999999999999984,-0.9999999999999984,-0.9999999999999984,-21.0,-21.0,-15.999999999999998,-15.999999999999998,-8.0,-8.0,-7.999999999999998,-7.999999999999998,-21.0,-1.9999999999999996
