,IFA,IFA2,NSL,ElecLink,GridLink,NorthConnect,FAB Link
86,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
87,-396.0,-990.0,1386.0,-990.0,1386.0,-1386.0,990.0
88,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
89,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
90,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
91,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
92,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
93,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
94,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
95,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
96,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
97,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
98,-1980.0,990.0,1386.0,594.0,1386.0,-1386.0,-990.0
99,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
100,-396.0,-990.0,1386.0,-990.0,1386.0,-1386.0,990.0
101,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
102,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
103,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
104,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
105,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
106,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
107,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
108,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
109,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
110,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
111,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
112,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
113,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
114,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
115,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
116,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
117,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
118,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
