name,bus0,bus1,r,x,b,s_nom,build_year,carrier,x_pu_eff,r_pu_eff,s_nom_opt,v_nom
40,Deeside,Daines,0.00096,0.01078,0.385,12400.0,0,AC,6.737499999999999e-08,6e-09,12400.0,400.0
41,Daines,Feckenham,0.00049,0.007,0.1943,9600.0,0,AC,4.375e-08,3.0624999999999997e-09,9600.0,400.0
42,Daines,Feckenham,0.00084,0.007,0.7759,9600.0,0,AC,4.375e-08,5.25e-09,9600.0,400.0
43,Daines,Thornton/Drax/Eggborough,0.00137,0.023,0.6643,4960.0,0,AC,1.4375e-07,8.5625e-09,4960.0,400.0
44,Daines,Thornton/Drax/Eggborough,0.00164,0.023,0.1104,3820.0,0,AC,1.4375e-07,1.0249999999999999e-08,3820.0,400.0
45,Daines,Th. Marsh/Stocksbridge,0.00107,0.01163,1.1745,4160.0,0,AC,7.26875e-08,6.6875e-09,4160.0,400.0
46,Daines,Th. Marsh/Stocksbridge,0.00082,0.01201,1.2125,4160.0,0,AC,7.50625e-08,5.1249999999999996e-09,4160.0,400.0
47,Th. Marsh/Stocksbridge,Keadby,0.0005,0.016,0.2795,10320.0,0,AC,1e-07,3.125e-09,10320.0,400.0
48,Th. Marsh/Stocksbridge,Keadby,0.005,0.018,0.1466,2500.0,0,AC,1.125e-07,3.125e-08,2500.0,400.0
49,Thornton/Drax/Eggborough,Keadby,0.00033,0.0052,0.3534,11080.0,0,AC,3.25e-08,2.0625e-09,11080.0,400.0
50,Thornton/Drax/Eggborough,Keadby,0.00016,0.00172,0.3992,22160.0,0,AC,1.075e-08,1e-09,22160.0,400.0
51,Thornton/Drax/Eggborough,Th. Marsh/Stocksbridge,0.00019,0.00222,0.7592,20000.0,0,AC,1.3875000000000002e-08,1.1875e-09,20000.0,400.0
52,Thornton/Drax/Eggborough,Th. Marsh/Stocksbridge,0.00018,0.00222,0.5573,20000.0,0,AC,1.3875000000000002e-08,1.1250000000000001e-09,20000.0,400.0
53,Keadby,Feckenham,0.00056,0.0141,0.4496,11120.0,0,AC,8.8125e-08,3.4999999999999995e-09,11120.0,400.0
54,Keadby,Feckenham,0.00056,0.0141,0.4496,15280.0,0,AC,8.8125e-08,3.4999999999999995e-09,15280.0,400.0
55,Ratcliffe,Keadby,0.001,0.01072,0.2651,8600.0,0,AC,6.7e-08,6.25e-09,8600.0,400.0
56,Ratcliffe,Keadby,0.001,0.01072,0.4573,7560.0,0,AC,6.7e-08,6.25e-09,7560.0,400.0
57,Ratcliffe,Sundon/East Claydon,0.00068,0.0097,0.4566,8400.0,0,AC,6.0625e-08,4.25e-09,8400.0,400.0
58,Ratcliffe,Sundon/East Claydon,0.00069,0.0097,0.4574,8400.0,0,AC,6.0625e-08,4.3125e-09,8400.0,400.0
59,Feckenham,Ratcliffe,0.00042,0.0018,0.2349,12400.0,0,AC,1.125e-08,2.625e-09,12400.0,400.0
60,Feckenham,Ratcliffe,0.00042,0.0018,0.2349,13840.0,0,AC,1.125e-08,2.625e-09,13840.0,400.0
61,Feckenham,Melksham,0.00138,0.0096,0.4829,7880.0,0,AC,6e-08,8.625e-09,7880.0,400.0
62,Feckenham,Melksham,0.00117,0.0096,0.4122,7880.0,0,AC,6e-08,7.3125e-09,7880.0,400.0
63,Bramford,Kemsley,0.00035,0.0023,0.2249,11120.0,0,AC,1.4375e-08,2.1875e-09,11120.0,400.0
64,Bramford,Kemsley,0.00035,0.0023,0.2249,11120.0,0,AC,1.4375e-08,2.1875e-09,11120.0,400.0
65,Bramford,Walpole,0.00178,0.0213,0.6682,6360.0,0,AC,1.33125e-07,1.1124999999999999e-08,6360.0,400.0
66,Bramford,Walpole,0.00132,0.0143,0.3656,6360.0,0,AC,8.9375e-08,8.25e-09,6360.0,400.0
67,Pelham,Keadby,0.00145,0.01824,0.9169,11120.0,0,AC,1.14e-07,9.0625e-09,11120.0,400.0
68,Pelham,Keadby,0.00145,0.01824,0.9169,11120.0,0,AC,1.14e-07,9.0625e-09,11120.0,400.0
69,Pelham,London,0.00025,0.01,0.1586,11120.0,0,AC,6.25e-08,1.5625e-09,11120.0,400.0
70,Pelham,London,0.00025,0.01,0.1586,11120.0,0,AC,6.25e-08,1.5625e-09,11120.0,400.0
71,Pelham,Bramford,0.0012,0.0048,0.4446,11120.0,0,AC,3e-08,7.5e-09,11120.0,400.0
72,Pelham,Bramford,0.0012,0.0048,0.7,11120.0,0,AC,3e-08,7.5e-09,11120.0,400.0
73,Pelham,Walpole,0.00037,0.0059,0.294,12120.0,0,AC,3.6875e-08,2.3125e-09,12120.0,400.0
74,Pelham,Walpole,0.00037,0.0059,0.2955,11120.0,0,AC,3.6875e-08,2.3125e-09,11120.0,400.0
