name,v_nom,carrier,x,y
Norway,400,DC,6.652802576,60.15460686
Denmark,400,DC,8.691235999,55.60016536
Ireland2,400,DC,-7.161616438,52.1711231
Germany,400,DC,8.089971372,53.40380708
Netherlands,400,DC,4.0242,51.9605
Belgium,400,DC,3.18378,51.32593
France1,400,DC,1.78443,50.90301
France2,400,DC,-0.26217,49.11079
Ireland,400,DC,-6.5698,53.47463
N. Ireland,400,DC,-5.77047,54.8432
