,Interconnector Deeside,Interconnector Sellindge,Interconnector Neilston,Interconnector Kemsley
1869,0.0,0.858125015625,0.0,0.9613636
1870,0.0,0.858125015625,0.0,0.9104546
1871,0.0,0.8432812574999999,0.0,0.76045454
1872,0.0,0.8123437687499999,0.0,0.84
1873,0.0,0.8525000084375001,0.0,0.84272724
1874,0.0,0.84015625,0.0,0.84090906
1875,0.0,0.8243750175,0.0,0.8218182
1876,0.0,0.8243750175,0.1166666699999999,0.8213636
1877,0.0,0.8242187381249999,0.06,0.82045454
1878,0.0,0.7829687600000002,0.21333334,0.8631818
1879,0.0,0.806093759375,0.27,0.90818185
1880,0.008333334,0.85718750625,0.2191666699999999,0.9095455
1881,0.0,0.858125015625,0.0,0.96
1882,0.0,0.858125015625,0.0,0.96181816
1883,0.0,0.860468771875,0.0,0.9622727
1884,0.0,0.8629687625,0.0,0.96181816
1885,0.06666667,0.858125015625,0.0,0.9104546
1886,0.2675,0.858125015625,0.0,0.90909094
1887,0.24416667,0.858125015625,0.065,0.9095455
1888,0.17666666,0.8579687640625001,0.0625,0.90909094
1889,0.08833333,0.858125015625,0.07833333,0.9086364
1890,0.19333333,0.8503125234375,0.09916667,0.96090907
1891,0.14083333,0.8578125125,0.15333334,0.96181816
1892,0.005,0.858125015625,0.094166666,0.9613636
1893,0.23666666,0.869375004375,0.0075,0.96090907
1894,0.62,0.8603125187499999,0.041666668,0.91
1895,0.665,0.85109378125,0.105,0.9095455
1896,0.36833334,0.78046879375,0.0,0.7790909
1897,0.0033333334,0.789218746875,0.0,0.7763636
1898,0.14916667,0.735000004375,0.0425,0.7340909
1899,0.32166666,0.7471874887500001,0.025,0.73318183
1900,0.3875,0.7348437493750001,0.0,0.7327273
1901,0.295,0.73468750125,0.05666667,0.7309091
1902,0.4625,0.7342187565624999,0.039166667,0.7409091
1903,0.2625,0.7585937515625,0.0,0.82272726
1904,0.0,0.7559375112500001,0.0,0.7040909
1905,0.0,0.8560937625,0.0,0.9559091
1906,0.0,0.858125015625,0.0,0.96181816
1907,0.0,0.858125015625,0.0,0.96181816
1908,0.0,0.858125015625,0.0,0.96181816
1909,0.0,0.858125015625,0.0,0.9104546
1910,0.0,0.858125015625,0.0,0.90909094
1911,0.0,0.858125015625,0.0,0.90909094
1912,0.0,0.858125015625,0.0,0.90909094
1913,0.0,0.858125015625,0.0,0.90909094
1914,0.0,0.858125015625,0.0,0.96
1915,0.15416667,0.858125015625,0.0,0.9622727
1916,0.013333334,0.8579687625,0.0,0.96181816
1917,0.1975,0.8579687640625001,0.0,0.96181816
1918,0.68083334,0.8578124896875,0.0,0.91
1919,0.84,0.8579687625,0.0,0.90909094
1920,0.67833334,0.7948437634375,0.0,0.8222727
1921,0.8308333,0.73281252625,0.135,0.7340909
1922,0.84,0.7170312612500002,0.135,0.73136365
1923,0.84,0.6845312674999999,0.135,0.2840909
1924,0.84,0.46046876425,0.135,0.22909091
1925,0.84,0.3450000093749999,0.135,0.22818182
1926,0.84,0.3515624896875,0.135,0.5163636
1927,0.84,0.5606249990437501,0.135,0.45818183
