,Beauly,Peterhead,Errochty,Denny/Bonnybridge,Neilston,Strathaven,Torness,Eccles,Harker,Stella West,Penwortham,Deeside,Daines,Th. Marsh/Stocksbridge,Thornton/Drax/Eggborough,Keadby,Ratcliffe,Feckenham,Walpole,Bramford,Pelham,Sundon/East Claydon,Melksham,Bramley,London,Kemsley,Sellindge,Lovedean,S.W.Penisula,Netherlands,Belgium,France1,France2,Ireland,N. Ireland
16,192.83018,271.89023,95.86972,714.60345,844.0382,245.39922,217.61308,62.680458,295.6623,1790.4407,908.4133,1945.8333,1975.4379,1576.1797,1435.6422,515.0793,1244.5159,2533.1418,694.53674,870.3023,529.7087,1781.0997,2610.3079,817.4319,5614.794,979.34094,501.90057,1354.5435,1644.763,-0.0,-0.0,-0.0,1.0,535.5,455.0
17,209.51936,295.42194,104.16711,776.45135,917.0885,266.63818,236.44719,68.10536,321.25143,1945.4008,987.0352,2114.2422,2146.4092,1712.5958,1559.895,559.6586,1352.2269,2752.3818,754.64795,945.62573,575.5542,1935.2513,2836.2263,888.17944,6100.7466,1064.1016,545.33936,1471.7772,1787.1147,-0.0,-0.0,-0.0,1.0,535.5,454.5
18,217.90195,307.24136,108.33469,807.51605,953.7799,277.306,245.9071,70.83016,334.10428,2023.2334,1026.5251,2198.83,2232.284,1781.1144,1622.3042,582.0498,1406.3276,2862.5007,784.84033,983.45886,598.5813,2012.678,2949.6997,923.7143,6344.8286,1106.6747,567.1576,1530.6609,1858.6147,-0.0,-0.0,-0.0,1.0,535.5,454.5
19,213.0536,300.4052,105.92423,789.54877,932.5583,271.13593,240.43567,69.25418,326.67044,1978.2164,1003.6849,2149.906,2182.6155,1741.4845,1586.2079,569.0992,1375.0367,2798.8098,767.37756,961.57684,585.2628,1967.8958,2884.0686,903.16156,6203.656,1082.0511,554.5383,1496.6036,1817.2605,-0.0,-0.0,-0.0,1.0,535.5,454.5
20,205.00026,289.05002,101.920334,759.70416,897.3079,260.8871,231.34727,66.6364,314.3224,1903.4406,965.746,2068.6404,2100.1135,1675.657,1526.2498,547.5874,1323.0609,2693.0159,738.371,925.22955,563.14014,1893.51,2775.0518,869.0224,5969.1597,1041.15,533.57697,1440.0326,1748.5686,-0.0,-0.0,-0.0,1.0,535.5,454.5
21,194.33562,274.01288,96.61818,720.1824,850.6276,247.31506,219.312,63.169804,297.97055,1804.4187,915.5054,1961.0244,1990.8602,1588.485,1446.8503,519.1005,1254.2318,2552.9182,699.95905,877.09674,533.8441,1795.0048,2630.6865,823.8136,5658.629,986.9867,505.81894,1365.1184,1657.6036,-0.0,-0.0,-0.0,1.0,535.5,454.5
22,181.28198,255.6073,90.12828,671.8073,793.49054,230.70277,204.58069,58.926655,277.9557,1683.2148,854.0104,1829.3013,1857.133,1481.7855,1349.6646,484.23224,1169.9844,2381.4373,652.9424,818.1817,497.9855,1674.4333,2453.982,768.4776,5278.5356,920.69025,471.84277,1273.4226,1546.2615,-0.0,-0.0,-0.0,1.0,535.5,454.5
23,165.73524,233.68642,82.39888,614.1932,725.4408,210.91771,187.03586,53.873108,254.11823,1538.8624,780.77045,1672.4205,1697.8654,1354.7076,1233.9174,442.7045,1069.6466,2177.2053,596.9461,748.01447,455.2783,1530.834,2243.5286,702.573,4825.8486,841.7319,431.37756,1164.214,1413.6542,-0.0,-0.0,-0.0,1.0,535.5,454.5
24,152.3946,214.87613,75.76629,564.75446,667.04736,193.94016,171.98065,49.53666,233.6633,1414.9937,717.92334,1537.8011,1561.1979,1245.6622,1134.5947,407.06958,983.54675,2001.954,548.8957,687.80396,418.63126,1407.6115,2062.9385,646.02026,4437.398,773.9778,396.6544,1070.502,1299.8639,-0.0,-0.0,-0.0,1.0,535.5,454.5
25,151.54199,213.67395,75.34239,561.5948,663.3154,192.85512,171.01846,49.259514,232.35602,1407.0771,713.90674,1529.1975,1552.4634,1238.6931,1128.2471,404.7921,978.04407,1990.7535,545.82477,683.9559,416.28912,1399.7362,2051.397,642.40594,4412.572,769.6475,394.4352,1064.5128,1292.5914,-0.0,-0.0,-0.0,1.0,535.5,454.5
26,152.0485,214.38812,75.594215,563.4718,665.5324,193.4997,171.59006,49.424156,233.13263,1411.78,716.29285,1534.3086,1557.6521,1242.8331,1132.018,406.14505,981.313,1997.4072,547.64905,686.2419,417.68048,1404.4146,2058.2534,644.55304,4427.3203,772.22,395.7535,1068.0708,1296.9117,-0.0,-0.0,-0.0,1.0,535.5,454.5
27,150.01968,211.5275,74.58554,555.9533,656.6521,190.91779,169.30049,48.76468,230.02188,1392.9424,706.7352,1513.8359,1536.868,1226.2498,1116.9132,400.7258,968.2191,1970.7555,540.3417,677.0852,412.10727,1385.6752,2030.7897,635.95264,4368.2456,761.9161,390.4729,1053.8192,1279.6067,-0.0,-0.0,-0.0,1.0,535.5,454.5
28,147.61943,208.14314,73.39221,547.0583,646.14594,187.86319,166.59177,47.984467,226.34164,1370.6559,695.42773,1489.6154,1512.2789,1206.6304,1099.0431,394.31436,952.728,1939.2242,531.6964,666.25214,405.51376,1363.505,1998.2979,625.7777,4298.3555,749.72577,384.22552,1036.9586,1259.1337,-0.0,-0.0,-0.0,1.0,536.0,455.0
29,145.78197,205.55232,72.47867,540.2489,638.10315,185.5248,164.51814,47.387188,223.52429,1353.5948,686.77155,1471.0736,1493.4551,1191.611,1085.3629,389.4062,940.8691,1915.086,525.07825,657.9591,400.4662,1346.533,1973.4244,617.98846,4244.8525,740.3937,379.44293,1024.0513,1243.4607,-0.0,-0.0,-0.0,1.0,535.5,454.5
