name,bus0,bus1,carrier,p_nom
BritNed,Netherlands,Z15,DC,1100
EastWest,Ireland,Z9,DC,600
Moyle,N. Ireland,Z5,DC,600
Nemo,Belgium,Z15,DC,1100
IFA,France1,Z15,DC,2100
IFA2,France2,Z16,DC,1100
