,Moyle,IFA,IFA2,NSL,ElecLink,GridLink,NorthConnect,FAB Link
0,-346.5322314675818,-3500.0,1749.9986356381455,-2449.9999996392853,1050.0005762235069,2449.999423776493,2449.9999996392853,-1749.9986356381455
1,-290.2249664896709,-699.9994235296836,1749.998637712363,-2449.9999996641845,-1750.0,2449.9994235296836,2449.9999996641845,-1749.998637712363
2,-252.62985150118817,-699.999423473841,1749.9986386371793,-2449.999999662654,-1750.0,2449.999423473841,2449.999999662654,-1749.9986386371793
3,-271.0230815030985,-3500.0,1749.9986371030457,-2449.99999965968,1050.0005775577852,2449.999422442215,2449.99999965968,-1749.9986371030457
4,-351.83476349952593,-699.9994183356825,1749.998632819334,-2449.9999996571187,-1750.0,2449.9994183356825,2449.9999996571187,-1749.998632819334
5,-469.9117184911943,-3500.0,1749.9986520126738,-2449.9999996571255,1050.0005596603478,2449.999440339652,2449.9999996571255,-1749.9986520126738
6,-560.145493495909,-699.9994144729962,1749.998626814311,-2449.999999652526,-1750.0,2449.9994144729962,2449.999999652526,-1749.998626814311
7,-477.6767135054161,-699.9994155609065,1749.9986273781471,-2449.99999964744,-1750.0,2449.9994155609065,2449.99999964744,-1749.9986273781471
8,-457.9844215054759,-3500.0,1749.9986273008044,-2449.999999647625,1050.0005847535112,2449.9994152464888,2449.999999647625,-1749.9986273008044
9,-425.6558235060705,-3500.0,1749.9986272423246,-2449.9999996457327,1050.0005850134385,2449.9994149865615,2449.9999996457327,-1749.9986272423246
10,-448.23578950919455,-3500.0,1749.9986276584254,-2449.9999996448896,1050.0005849054423,2449.9994150945577,2449.9999996448896,-1749.9986276584254
11,-496.30721450811774,-3500.0,1749.9986275853628,-2449.9999996459296,1050.0005847435323,2449.9994152564677,2449.9999996459296,-1749.9986275853628
12,-661.548938496223,-3500.0,1749.9986266868107,-2449.9999996472384,1050.0005853829457,2449.9994146170543,2449.9999996472384,-1749.9986266868107
13,-636.0928154922773,-3500.0,1749.998626318243,-2449.999999646696,1050.000585394373,2449.999414605627,2449.999999646696,-1749.998626318243
14,-669.5243034943649,-3500.0,1749.9986269299425,-2449.999999646499,1050.0005852882082,2449.999414711792,2449.999999646499,-1749.9986269299425
15,-674.5484584929235,-699.9994147628431,1749.9986273220175,-2449.999999645494,-1750.0,2449.999414762843,2449.999999645494,-1749.9986273220175
16,-828.3255744930361,-699.9994177830217,1749.9986296614197,-2449.9999996480587,-1750.0,2449.9994177830217,2449.9999996480587,-1749.9986296614197
17,-1049.9999994835969,-3500.0,1749.998635652579,-2449.9999996510405,1050.0005793929904,2449.9994206070096,2449.9999996510405,-1749.998635652579
18,-1049.9999994834204,-3500.0,1749.9986356487354,-2449.9999996514107,1050.0005796649352,2449.9994203350648,2449.9999996514107,-1749.9986356487354
19,-1049.999999479679,-3500.0,1749.9986301847566,-2449.9999996492443,1050.0005841109455,2449.9994158890545,2449.9999996492443,-1749.9986301847566
20,-1049.9999994600153,-3500.0,1749.9986286555463,-2449.9999996494703,1050.0005846841568,2449.999415315843,2449.9999996494703,-1749.9986286555463
21,-1049.9999994527145,-3500.0,1749.9986236859731,-2449.999999648482,1050.0005870788336,2449.9994129211664,2449.999999648482,-1749.9986236859731
22,-1049.9999990332049,-699.9993654774166,1749.998555417097,-2449.9999996597985,-1750.0,2449.9993654774166,2449.9999996597985,-1749.998555417097
23,-847.2424368711161,-2038.207086927765,67.01009506348123,-2433.3521541195146,1750.0,288.207086927765,2433.3521541195146,-67.01009506348123
24,-900.7296823077714,-1889.6635850925245,28.06307852442137,-2388.9440924734345,1750.0,139.6635850925245,2388.9440924734345,-28.06307852442137
25,-814.5562310432218,-1883.744140648631,25.854758005213625,-2369.1060468544993,1750.0,133.74414064863095,2369.1060468544993,-25.854758005213625
26,-710.3574643413514,-1884.2265830169517,26.18784791537587,-2357.807513938263,1750.0,134.22658301695174,2357.807513938263,-26.18784791537587
27,-607.3982583626901,-1887.3070185106835,26.98548434232339,-2350.626404584128,1750.0,137.30701851068352,2350.626404584128,-26.98548434232339
28,-566.2608661810268,-1898.264805016814,27.749013391687868,-2344.1472944419766,1750.0,148.26480501681408,2344.1472944419766,-27.749013391687868
29,-545.5516517388858,-1896.2531695370549,30.21116240864103,-2341.445792062069,1750.0,146.25316953705487,2341.445792062069,-30.21116240864103
30,-593.7215461789455,-1903.2958238205356,31.77668006720114,-2340.9813444945944,1750.0,153.2958238205356,2340.9813444945944,-31.77668006720114
31,-731.5987572919034,-1905.5155621232716,31.350345671029572,-2346.1992142438885,1750.0,155.5155621232716,2346.1992142438885,-31.350345671029572
32,-870.1472720958109,-1915.8314571199921,31.75417559522407,-2353.280720447214,1750.0,165.83145711999214,2353.280720447214,-31.75417559522407
33,-936.9504696252891,-1911.190309706616,35.07354639120172,-2361.051516409846,1750.0,161.19030970661606,2361.051516409846,-35.07354639120172
34,-973.5934647958168,-1904.6597533415452,35.22810460396636,-2367.7042223665603,1750.0,154.65975334154518,2367.7042223665603,-35.22810460396636
35,-980.4282645959371,-1895.1383392004554,33.945997286814645,-2367.064683108079,1750.0,145.13833920045545,2367.064683108079,-33.945997286814645
