,IFA2,GridLink,NorthConnect
0,-219991.5000934525,-523125.8704313373,-841088123.7855974
1,-219991.51904058058,-523125.9172245726,-841088156.2731009
2,-219991.52570154815,-523125.93524233735,-841088145.003984
3,-219991.59939758352,-523126.11395416857,-841088008.0005505
4,-219991.67301929128,-523126.2912238612,-841088048.3712991
5,-219991.3236168458,-523125.46338490176,-841087682.6782526
6,-219991.7621139031,-523126.5137632321,-841088149.8655636
7,-219991.79458943132,-523126.5922234002,-841088180.4602963
8,-219991.801740494,-523126.6117623381,-841088189.7679219
9,-219991.81051900156,-523126.6363759694,-841088201.4295021
10,-219991.80114983363,-523126.6225148961,-841088207.198152
11,-219991.78800478618,-523126.6015630665,-841088213.6069525
12,-219991.79218894106,-523126.6270061036,-841088204.7763838
13,-219991.7866774445,-523126.62855302775,-841088205.2739147
14,-219991.7907362013,-523126.62651559775,-841088208.4006758
15,-219991.80274581022,-523126.64136908896,-841088205.2974741
16,-219991.72633780658,-523126.4900611407,-841088251.7085125
17,-219991.71655406346,-523126.43782731856,-841088272.1353236
18,-219991.722935834,-523126.45295217395,-841088268.7232306
19,-219991.8115073264,-523126.65480943857,-841088208.5612977
20,-219991.82183720864,-523126.6736071288,-841088201.6729012
21,-219991.87179341266,-523126.7850872288,-841088167.3618798
22,-219993.74256453535,-523131.235157196,-841086812.9981055
23,-0.14547116141250194,-0.37100031493231,-271.07501579507135
24,-0.059670091401669456,-0.1741475333942084,-106.92075386635395
25,-0.05631710280459856,-0.16932906188377883,-84.18358575532912
26,-0.05550027006253355,-0.16867038507358023,-74.32819381145258
27,-0.055834759006222257,-0.17121690456895822,-67.85723751377967
28,-0.06078974185258379,-0.1785202989289476,-63.6768751009322
29,-0.06757179382697331,-0.18866353705275962,-60.267645626275645
30,-0.07221709525837428,-0.1990997990731318,-60.0654438711092
31,-0.062188692331702766,-0.18934431233254734,-64.90275387667737
32,-0.06327478263546737,-0.1914850852190335,-71.44779636077527
33,-0.05763232015685782,-0.1785490060878292,-77.47258642595959
34,-0.053572195178839266,-0.1677528595926283,-83.39124659563834
35,-0.04842205634474106,-0.15425065550477068,-83.25261546366531
36,-0.050361307130601274,-0.15692651720103745,-83.1513229678823
37,-0.05853808829325646,-0.16319031479970358,-83.89580434757123
38,-0.06337399757389028,-0.1715725677616715,-84.79915244334641
39,-0.05128984062526021,-0.15860868595592237,-88.97226535294256
40,-0.046918954545665637,-0.15151054534186725,-93.91786034379959
41,-0.04853223684771035,-0.15302943379061684,-99.50913484944755
42,-0.04716568388390385,-0.15374965838518495,-101.80315092542494
43,-0.050688953023533045,-0.15498822865404227,-98.24104217283161
44,-0.05336938406690339,-0.1560274653130207,-92.31988441351449
45,-0.05754062801461912,-0.15876874112660122,-85.36514390489134
46,-0.06072693769061632,-0.16022431554765149,-80.2328935668509
47,-0.06658528888801052,-0.16531536087977083,-75.28043288020186
48,-0.08082738401500289,-0.18514732970371117,-71.34621966067692
49,-0.08084270958377826,-0.1838319281519274,-71.51668114037643
50,-0.07395051937734909,-0.1704835315730331,-74.14708148999615
51,-0.07175550256203445,-0.16248863071188024,-75.56450814015771
52,-0.06393487382545593,-0.13976890444693568,-76.74377058179671
53,-0.05248654116004703,-0.11226494785599184,-78.07442292035105
54,-0.0424381323798535,-0.09764591868299322,-80.73306379780591
55,-0.039333783377034415,-0.09638050625013861,-88.16970859714073
56,-0.05090691845485451,-0.12895359998524425,-96.19525580234001
57,-0.06439894149382996,-0.15925201402071343,-107.65611105480296
58,-0.05694046118589435,-0.156306767427268,-114.27924794397562
59,-0.0444295446474503,-0.13962913963315637,-113.11368903863224
60,-0.01753325247373616,-0.11242235006901091,-105.14551556684998
61,-0.0,-0.08983389695358746,-96.5293620643202
62,-0.0,-0.0754707463059725,-91.66253464019536
63,-0.023499734043229026,-0.10957633056948501,-90.80694199383427
64,-0.0,-0.07666789813204322,-130.1636284545405
65,-0.03985149413467681,-0.12214292493375223,-203.35769484762582
66,-0.03193346988730106,-0.12315383261544555,-210.6492629455878
67,-0.04246406103204281,-0.13603451900639074,-207.31912597036953
68,-0.054079008167583265,-0.15153010871535688,-197.2240819164468
