,Moyle,IFA2,GridLink,NorthConnect
0,-0.0,-0.0,-0.0,-0.0
1,-0.0,-0.0,-0.0,-0.0
2,-0.0,-0.0,-0.0,-0.0
3,-0.0,-0.0,-0.0,-0.0
4,-0.0,-0.0,-0.0,-0.0
5,-0.0,-0.0,-0.0,-0.0
6,-0.0,-0.0,-0.0,-0.0
7,-0.0,-0.0,-0.0,-0.0
8,-0.0,-0.0,-0.0,-0.0
9,-0.0,-0.0,-0.0,-0.0
10,-0.0,-0.0,-0.0,-0.0
11,-0.0,-0.0,-0.0,-0.0
12,-0.0,-0.0,-0.0,-0.0
13,-0.0,-0.0,-0.0,-0.0
14,-0.0,-0.0,-0.0,-0.0
15,-0.0,-0.0,-0.0,-0.0
16,-0.0,-0.0,-0.0,-0.0
17,-390232673.1915817,-0.0,-0.0,-0.0
18,-390232659.9940077,-0.0,-0.0,-0.0
19,-390232429.58756673,-0.0,-0.0,-0.0
20,-390232403.93435395,-0.0,-0.0,-0.0
21,-390232277.1400185,-0.0,-0.0,-0.0
22,-390227084.31697094,-0.0,-0.0,-0.0
23,-10.60777536588001,-0.0,-0.0,-0.0
24,-25.452063619006754,-0.0,-0.0,-0.0
25,-10.960404381977842,-0.0,-0.0,-0.0
26,-5.322703071850789,-0.0,-0.0,-0.0
27,-2.280303000078823,-0.0,-0.0,-0.0
28,-1.4216959370745066,-0.0,-0.0,-0.0
29,-1.5281676755906703,-0.0,-0.0,-0.0
30,-3.1766512639358133,-0.0,-0.0,-0.0
31,-8.397262313265609,-0.0,-0.0,-0.0
32,-20.03851641544423,-0.0,-0.0,-0.0
33,-36.76669749543073,-0.0,-0.0,-0.0
34,-54.636136710544896,-0.0,-0.0,-0.0
35,-61.172278781906165,-0.0,-0.0,-0.0
36,-64.12905593612192,-0.0,-0.0,-0.0
37,-67.10329580829345,-0.0,-0.0,-0.0
38,-69.35268167901594,-0.0,-0.0,-0.0
39,-72.8853798230027,-0.0,-0.0,-0.0
40,-77.55805894997488,-0.0,-0.0,-0.0
41,-83.21916170063064,-0.0,-0.0,-0.0
42,-85.57445730231728,-0.0,-0.0,-0.0
43,-81.10916179460413,-0.0,-0.0,-0.0
44,-74.88574252266048,-0.0,-0.0,-0.0
45,-67.769436024285,-0.0,-0.0,-0.0
46,-67.13147185847633,-0.0,-0.0,-0.0
47,-64.12046468902952,-0.0,-0.0,-0.0
48,-60.90144801952725,-0.0,-0.0,-0.0
49,-61.66769261472559,-0.0,-0.0,-0.0
50,-64.50042735656483,-0.0,-0.0,-0.0
51,-65.9475383616745,-0.0,-0.0,-0.0
52,-67.27020528968671,-0.0,-0.0,-0.0
53,-68.70317992108188,-0.0,-0.0,-0.0
54,-71.12731386617426,-0.0,-0.0,-0.0
55,-78.62969437604384,-0.0,-0.0,-0.0
