name,p_nom,carrier,max_hours,efficiency_store,efficiency_dispatch,state_of_charge_initial,bus,build_year,p_nom_opt
Beauly Battery,101.3842375248533,Battery,1.480197172269694,0.95,0.95,150.06866169700692,Beauly,0,101.3842375248533
Peterhead Battery,365.9402827466605,Battery,1.480197172269694,0.95,0.95,541.6637717411793,Peterhead,0,365.9402827466605
Errochty Battery,42.96456625096619,Battery,1.480197172269694,0.95,0.95,63.59602947247411,Errochty,0,42.96456625096619
Denny/Bonnybridge Battery,788.8532760236653,Battery,1.480197172269694,0.95,0.95,1167.6583885059142,Denny/Bonnybridge,0,788.8532760236653
Neilston Battery,825.0366803035423,Battery,1.480197172269694,0.95,0.95,1221.216961204079,Neilston,0,825.0366803035423
Strathaven Battery,72.9471571390558,Battery,1.480197172269694,0.95,0.95,107.97617572234346,Strathaven,0,72.9471571390558
Torness Battery,97.31866890596956,Battery,1.480197172269694,0.95,0.95,144.05081852366678,Torness,0,97.31866890596956
Eccles Battery,58.3320714883321,Battery,1.480197172269694,0.95,0.95,86.34296726966284,Eccles,0,58.3320714883321
Harker Battery,256.9489424154848,Battery,1.480197172269694,0.95,0.95,380.3350979810892,Harker,0,256.9489424154848
Stella West Battery,1156.9022107511855,Battery,1.480197172269694,0.95,0.95,1712.4433809464635,Stella West,0,1156.9022107511855
Penwortham Battery,955.9592526611704,Battery,1.480197172269694,0.95,0.95,1415.0081825941147,Penwortham,0,955.9592526611704
Deeside Battery,1397.7093283962738,Battery,1.480197172269694,0.95,0.95,2068.885395547138,Deeside,0,1397.7093283962738
Daines Battery,1500.9675756192505,Battery,1.480197172269694,0.95,0.95,2221.7279611001136,Daines,0,1500.9675756192505
Th. Marsh/Stocksbridge Battery,1525.9147431198114,Battery,1.480197172269694,0.95,0.95,2258.6546878905824,Th. Marsh/Stocksbridge,0,1525.9147431198114
Thornton/Drax/Eggborough Battery,1025.6323678151075,Battery,1.480197172269694,0.95,0.95,1518.1381306281933,Thornton/Drax/Eggborough,0,1025.6323678151075
Keadby Battery,491.2423902918033,Battery,1.480197172269694,0.95,0.95,727.1355970089329,Keadby,0,491.2423902918033
Ratcliffe Battery,904.1080010220248,Battery,1.480197172269694,0.95,0.95,1338.2581065392071,Ratcliffe,0,904.1080010220248
Feckenham Battery,1828.6455234609875,Battery,1.480197172269694,0.95,0.95,2706.755932910589,Feckenham,0,1828.6455234609875
Walpole Battery,517.6771898649148,Battery,1.480197172269694,0.95,0.95,766.2643125865686,Walpole,0,517.6771898649148
Bramford Battery,1157.1493672890017,Battery,1.480197172269694,0.95,0.95,1712.8092213548466,Bramford,0,1157.1493672890017
Pelham Battery,1214.040735161331,Battery,1.480197172269694,0.95,0.95,1797.019663206023,Pelham,0,1214.040735161331
Sundon/East Claydon Battery,2379.493310695441,Battery,1.480197172269694,0.95,0.95,3522.119269926045,Sundon/East Claydon,0,2379.493310695441
Melksham Battery,2220.430871510148,Battery,1.480197172269694,0.95,0.95,3286.675497229654,Melksham,0,2220.430871510148
Bramley Battery,539.4738936492649,Battery,1.480197172269694,0.95,0.95,798.5277318929639,Bramley,0,539.4738936492649
London Battery,1581.076015227429,Battery,1.480197172269694,0.95,0.95,2340.304246883077,London,0,1581.076015227429
Kemsley Battery,1293.8519612113762,Battery,1.480197172269694,0.95,0.95,1915.1560143206773,Kemsley,0,1293.8519612113762
Sellindge Battery,734.8886795580049,Battery,1.480197172269694,0.95,0.95,1087.7801454147684,Sellindge,0,734.8886795580049
Lovedean Battery,980.6983706710382,Battery,1.480197172269694,0.95,0.95,1451.6269551167677,Lovedean,0,980.6983706710382
S.W.Penisula Battery,2278.553329225902,Battery,1.480197172269694,0.95,0.95,3372.7081947858783,S.W.Penisula,0,2278.553329225902
Beauly Compressed Air,21.5111455346012,Compressed Air,5.0,0.69,0.69,107.555727673006,Beauly,0,21.5111455346012
Peterhead Compressed Air,77.6431807479623,Compressed Air,5.0,0.69,0.69,388.2159037398115,Peterhead,0,77.6431807479623
Errochty Compressed Air,9.115983510049938,Compressed Air,5.0,0.69,0.69,45.5799175502497,Errochty,0,9.115983510049938
Denny/Bonnybridge Compressed Air,167.37451541056555,Compressed Air,5.0,0.69,0.69,836.8725770528278,Denny/Bonnybridge,0,167.37451541056555
Neilston Compressed Air,175.05170956227914,Compressed Air,5.0,0.69,0.69,875.2585478113958,Neilston,0,175.05170956227914
Strathaven Compressed Air,15.477523448050638,Compressed Air,5.0,0.69,0.69,77.38761724025319,Strathaven,0,15.477523448050638
Torness Compressed Air,20.648535720918108,Compressed Air,5.0,0.69,0.69,103.24267860459057,Torness,0,20.648535720918108
Eccles Compressed Air,12.376575587626965,Compressed Air,5.0,0.69,0.69,61.882877938134826,Eccles,0,12.376575587626965
Harker Compressed Air,54.51800230688133,Compressed Air,5.0,0.69,0.69,272.59001153440664,Harker,0,54.51800230688133
Stella West Compressed Air,245.4650982473485,Compressed Air,5.0,0.69,0.69,1227.3254912367424,Stella West,0,245.4650982473485
Penwortham Compressed Air,202.83013524762208,Compressed Air,5.0,0.69,0.69,1014.1506762381103,Penwortham,0,202.83013524762208
Deeside Compressed Air,296.5582176502684,Compressed Air,5.0,0.69,0.69,1482.7910882513418,Deeside,0,296.5582176502684
Daines Compressed Air,318.4669801747858,Compressed Air,5.0,0.69,0.69,1592.334900873929,Daines,0,318.4669801747858
Th. Marsh/Stocksbridge Compressed Air,323.7601318902987,Compressed Air,5.0,0.69,0.69,1618.8006594514934,Th. Marsh/Stocksbridge,0,323.7601318902987
Thornton/Drax/Eggborough Compressed Air,217.61299061562707,Compressed Air,5.0,0.69,0.69,1088.0649530781352,Thornton/Drax/Eggborough,0,217.61299061562707
Keadby Compressed Air,104.22908736421584,Compressed Air,5.0,0.69,0.69,521.1454368210792,Keadby,0,104.22908736421584
Ratcliffe Compressed Air,191.8286240917339,Compressed Air,5.0,0.69,0.69,959.1431204586696,Ratcliffe,0,191.8286240917339
Feckenham Compressed Air,387.9918707947418,Compressed Air,5.0,0.69,0.69,1939.959353973709,Feckenham,0,387.9918707947418
Walpole Compressed Air,109.83787660678244,Compressed Air,5.0,0.69,0.69,549.1893830339122,Walpole,0,109.83787660678244
Bramford Compressed Air,245.5175385515277,Compressed Air,5.0,0.69,0.69,1227.5876927576387,Bramford,0,245.5175385515277
Pelham Compressed Air,257.5884336318819,Compressed Air,5.0,0.69,0.69,1287.9421681594094,Pelham,0,257.5884336318819
Sundon/East Claydon Compressed Air,504.86770088330576,Compressed Air,5.0,0.69,0.69,2524.338504416529,Sundon/East Claydon,0,504.86770088330576
Melksham Compressed Air,471.118714236691,Compressed Air,5.0,0.69,0.69,2355.593571183455,Melksham,0,471.118714236691
